eye_packets,578
norm_X,norm_Y,phi,theta,confidence,timestamp
1603849164.7588701,"{'circle_3d': {'center': [-7.457938599827385, -6.6003594853944865, 35.81863611956966], 'normal': [0.20200441633928445, 0.39461147238559446, -0.8963682288217818], 'radius': 2.2667719907214234}, 'confidence': 0.1547015983966031, 'timestamp': 174354.360828, 'diameter_3d': 4.533543981442847, 'ellipse': {'center': [89.0796047369326, 56.971651748183994], 'axes': [42.206640644750124, 44.199943886619614], 'angle': -65.54895135877231}, 'location': [89.0796047369326, 56.971651748183994], 'diameter': 44.199943886619614, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 1.9764412973782504, 'phi': -1.3491404549729487, 'norm_pos': [0.27837376480291437, 0.7626181177159], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.7783701,"{'circle_3d': {'center': [-7.459538598433316, -6.727786134723903, 35.76307643808921], 'normal': [0.2018710831221235, 0.38399258494147637, -0.900998202278486], 'radius': 2.232140998279567}, 'confidence': 0.16399834147054376, 'timestamp': 174354.377628, 'diameter_3d': 4.464281996559134, 'ellipse': {'center': [88.96409934006026, 55.691897174099054], 'axes': [41.74295336298525, 43.64750355307213], 'angle': -63.10337754841474}, 'location': [88.96409934006026, 55.691897174099054], 'diameter': 43.64750355307213, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 1.9649128416075348, 'phi': -1.3503837175489404, 'norm_pos': [0.27801281043768833, 0.7679504284412539], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.796053,"{'circle_3d': {'center': [-8.031784863473602, -6.519285760003472, 35.74089978389097], 'normal': [0.15418389436876634, 0.401367616168179, -0.9028462567950063], 'radius': 2.2774626164503666}, 'confidence': 0.15362678672678404, 'timestamp': 174354.394428, 'diameter_3d': 4.554925232900733, 'ellipse': {'center': [83.53315591307604, 57.58925243168925], 'axes': [42.13690622718121, 44.86439909702098], 'angle': -61.837400763638584}, 'location': [83.53315591307604, 57.58925243168925], 'diameter': 44.86439909702098, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 1.9838058511997585, 'phi': -1.4016526849955093, 'norm_pos': [0.2610411122283626, 0.7600447815346281], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.815423,"{'circle_3d': {'center': [-8.381998411004814, -6.005862304199731, 35.92879350667718], 'normal': [0.12499943207449872, 0.4441529041518242, -0.8871884465628219], 'radius': 2.2846216969740776}, 'confidence': 0.1406032439118536, 'timestamp': 174354.411228, 'diameter_3d': 4.569243393948155, 'ellipse': {'center': [80.65448944996363, 62.71563822140602], 'axes': [41.19901816618841, 44.791177125886016], 'angle': -65.00436983057885}, 'location': [80.65448944996363, 62.71563822140602], 'diameter': 44.791177125886016, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 2.0310248946358445, 'phi': -1.4308237858323287, 'norm_pos': [0.25204527953113637, 0.7386848407441415], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.828852,"{'circle_3d': {'center': [-8.379161148861597, -6.367087148236559, 35.755885985250345], 'normal': [0.12523587058643348, 0.4140508338154219, -0.901597406681725], 'radius': 2.277477912065535}, 'confidence': 0.19079304243137288, 'timestamp': 174354.428028, 'diameter_3d': 4.55495582413107, 'ellipse': {'center': [80.30328248292203, 59.04480655347744], 'axes': [41.742720195071364, 44.98132721847268], 'angle': -60.96115907441105}, 'location': [80.30328248292203, 59.04480655347744], 'diameter': 44.98132721847268, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 1.9976961331781549, 'phi': -1.4327750597420965, 'norm_pos': [0.25094775775913136, 0.753979972693844], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.833148,"{'circle_3d': {'center': [-7.612913992772878, -6.783272378468679, 35.70644338585721], 'normal': [0.18908980026049338, 0.3793687312960785, -0.9057176232978192], 'radius': 2.2633423150423435}, 'confidence': 0.19790223465243348, 'timestamp': 174354.436428, 'diameter_3d': 4.526684630084687, 'ellipse': {'center': [87.401629432733, 55.05279124391642], 'axes': [42.37531377043889, 44.46676633567556], 'angle': -60.968552249753536}, 'location': [87.401629432733, 55.05279124391642], 'diameter': 44.46676633567556, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 1.959910256236244, 'phi': -1.3649791579659358, 'norm_pos': [0.27313009197729066, 0.7706133698170149], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.8440409,"{'circle_3d': {'center': [-7.576953893637586, -6.864329840550168, 35.68039215660093], 'normal': [0.19208647518843436, 0.37261394278928767, -0.907888559069176], 'radius': 2.2751081873374592}, 'confidence': 0.18924523049328631, 'timestamp': 174354.444828, 'diameter_3d': 4.5502163746749185, 'ellipse': {'center': [87.68430000082697, 54.23689487351044], 'axes': [42.7090955517029, 44.742916665303824], 'angle': -59.78597760630977}, 'location': [87.68430000082697, 54.23689487351044], 'diameter': 44.742916665303824, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 1.95262054990358, 'phi': -1.3622961844528956, 'norm_pos': [0.2740134375025843, 0.7740129380270399], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.8486998,"{'circle_3d': {'center': [-7.483328969811096, -6.974493172394799, 35.65597443542905], 'normal': [0.19988855217397516, 0.3634336651355684, -0.9099233691668324], 'radius': 2.238940421724986}, 'confidence': 0.11073555672658845, 'timestamp': 174354.453228, 'diameter_3d': 4.477880843449972, 'ellipse': {'center': [88.52598481323984, 53.170231853939356], 'axes': [42.177418245652035, 44.04758392354622], 'angle': -58.29671637508331}, 'location': [88.52598481323984, 53.170231853939356], 'diameter': 44.04758392354622, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 1.9427472751641246, 'phi': -1.3545548480986203, 'norm_pos': [0.2766437025413745, 0.7784573672752527], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.85794,"{'circle_3d': {'center': [-7.726044887673913, -6.97416639685937, 35.605599854099715], 'normal': [0.1796622256854071, 0.36346089643018753, -0.9141212509442772], 'radius': 2.2445771479296206}, 'confidence': 0.1469597923439979, 'timestamp': 174354.461628, 'diameter_3d': 4.489154295859241, 'ellipse': {'center': [86.13537022343704, 53.07552020408566], 'axes': [42.23993902450679, 44.38540867476906], 'angle': -57.21451474987702}, 'location': [86.13537022343704, 53.07552020408566], 'diameter': 44.38540867476906, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 1.9427765053734185, 'phi': -1.3767290133809773, 'norm_pos': [0.2691730319482407, 0.7788519991496431], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.877963,"{'circle_3d': {'center': [-7.6847836885913985, -5.369318071118854, 36.3978942569329], 'normal': [0.18310065894228325, 0.49719825690856373, -0.8480967173748448], 'radius': 2.273810392399808}, 'confidence': 0.21415535191742982, 'timestamp': 174354.478428, 'diameter_3d': 4.547620784799616, 'ellipse': {'center': [88.10714499426204, 69.35385916156531], 'axes': [39.74476457337276, 43.449604634001155], 'angle': -79.7470786539701}, 'location': [88.10714499426204, 69.35385916156531], 'diameter': 43.449604634001155, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 2.0911629382627406, 'phi': -1.3581639460495463, 'norm_pos': [0.2753348281070689, 0.7110255868268112], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.89658,"{'circle_3d': {'center': [-7.753105282557334, -5.14531428767372, 36.517868229353645], 'normal': [0.17740719277845535, 0.5158652388623249, -0.8380988863397829], 'radius': 2.296955397915847}, 'confidence': 0.23680948888227413, 'timestamp': 174354.495228, 'diameter_3d': 4.593910795831694, 'ellipse': {'center': [87.70753925601464, 71.57516030724307], 'axes': [39.53418136614608, 43.75038124794131], 'angle': -80.76373878796774}, 'location': [87.70753925601464, 71.57516030724307], 'diameter': 43.75038124794131, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 2.11281367208366, 'phi': -1.362197439969209, 'norm_pos': [0.2740860601750458, 0.7017701653864872], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
