eye_packets,924
norm_X,norm_Y,phi,theta,confidence,timestamp
1603777126.015367,"{'circle_3d': {'center': [-0.9890275361674362, 4.2442981185728, 35.27782299319924], 'normal': [-0.0050645301916844975, 0.4629511838127932, -0.8863693090017675], 'radius': 2.2668412482581326}, 'confidence': 0.9974878518989746, 'timestamp': 102312.513099, 'diameter_3d': 4.533682496516265, 'ellipse': {'center': [150.48927987194315, 160.26601280678304], 'axes': [36.223554666105535, 43.61725565829112], 'angle': -87.4740979952732}, 'location': [150.48927987194315, 160.26601280678304], 'diameter': 43.61725565829112, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8040778575684637, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.0521181066271965, 'phi': -1.576510056982427, 'norm_pos': [0.47027899959982233, 0.33222494663840396], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.015551,"{'circle_3d': {'center': [-0.9718100211658184, 4.2923116901783125, 35.3029541237712], 'normal': [-0.0036297372748830092, 0.4669523147799192, -0.8842750481207703], 'radius': 2.285664004301498}, 'confidence': 0.9995101781009382, 'timestamp': 102312.521499, 'diameter_3d': 4.571328008602996, 'ellipse': {'center': [150.65961800549758, 160.68739337806056], 'axes': [36.36198701846628, 43.94865990314957], 'angle': -87.6871034784145}, 'location': [150.65961800549758, 160.68739337806056], 'diameter': 43.94865990314957, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8047481874100981, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.0566374496706685, 'phi': -1.5749010642257644, 'norm_pos': [0.47081130626717993, 0.33046919425808097], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.021184,"{'circle_3d': {'center': [-0.9072203053374902, 4.290131144870702, 35.30173440376623], 'normal': [0.0017527390441443406, 0.46677060267095166, -0.8843766914545179], 'radius': 2.282068453200073}, 'confidence': 0.997666804721594, 'timestamp': 102312.529899, 'diameter_3d': 4.564136906400146, 'ellipse': {'center': [151.2736775792723, 160.66967294319767], 'axes': [36.31915718680913, 43.880628729183684], 'angle': -88.37474485302867}, 'location': [151.2736775792723, 160.66967294319767], 'diameter': 43.880628729183684, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8053186891225583, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.0564319698009483, 'phi': -1.568814437441381, 'norm_pos': [0.4727302424352259, 0.330543029403343], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.03235,"{'circle_3d': {'center': [-0.8873405676001069, 4.264349195852645, 35.28822472590332], 'normal': [0.003409383855592948, 0.46462210691944694, -0.8855024979430939], 'radius': 2.2552789218167835}, 'confidence': 0.9986358600679873, 'timestamp': 102312.538299, 'diameter_3d': 4.510557843633567, 'ellipse': {'center': [151.45983909829513, 160.45142202383607], 'axes': [35.98130850490292, 43.381389119952196], 'angle': -88.57645917984831}, 'location': [151.45983909829513, 160.45142202383607], 'diameter': 43.381389119952196, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8058415311113287, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.054004137852662, 'phi': -1.5669461208197628, 'norm_pos': [0.4733119971821723, 0.33145240823401634], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.0494652,"{'circle_3d': {'center': [-0.8972324429212729, 4.241719660397431, 35.27634828714301], 'normal': [0.0025850609121624486, 0.4627363122981791, -0.8864922011731194], 'radius': 2.2500930026280135}, 'confidence': 0.9955980033172294, 'timestamp': 102312.546699, 'diameter_3d': 4.500186005256027, 'ellipse': {'center': [151.36288871698846, 160.25095454225527], 'axes': [35.97411694298772, 43.296032338973326], 'angle': -88.46057538941076}, 'location': [151.36288871698846, 160.25095454225527], 'diameter': 43.296032338973326, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8057053742355658, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.051875708332775, 'phi': -1.5678802790490451, 'norm_pos': [0.47300902724058896, 0.3322876894072697], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.055048,"{'circle_3d': {'center': [-0.8673850260312345, 4.217391600589785, 35.263813498395024], 'normal': [0.0050723456529989846, 0.4607089739808753, -0.8875367669021186], 'radius': 2.2533723980277736}, 'confidence': 0.8851118115063958, 'timestamp': 102312.555099, 'diameter_3d': 4.506744796055547, 'ellipse': {'center': [151.64410116137964, 160.03086559979567], 'axes': [36.11068849610205, 43.374301659598785], 'angle': -88.77297670358276}, 'location': [151.64410116137964, 160.03086559979567], 'diameter': 43.374301659598785, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8054948849162247, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.049590157645275, 'phi': -1.5650813067319105, 'norm_pos': [0.47388781612931136, 0.333204726667518], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.072667,"{'circle_3d': {'center': [-0.8685377616000772, 4.237381346872558, 35.27420722511199], 'normal': [0.004976284355595424, 0.46237478617110633, -0.8866706230090381], 'radius': 2.2739843996385036}, 'confidence': 0.9973452258165106, 'timestamp': 102312.563499, 'diameter_3d': 4.547968799277007, 'ellipse': {'center': [151.63530113387657, 160.20055295150186], 'axes': [36.373585502568154, 43.758637205251674], 'angle': -88.76795914769194}, 'location': [151.63530113387657, 160.20055295150186], 'diameter': 43.758637205251674, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8065554768123095, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.051467936974635, 'phi': -1.5651840599852722, 'norm_pos': [0.47386031604336426, 0.3324976960354089], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.0842812,"{'circle_3d': {'center': [-0.8576484085343452, 4.233402312116225, 35.27219988614972], 'normal': [0.005883730444406423, 0.4620431999414119, -0.8868379012558937], 'radius': 2.269121313730093}, 'confidence': 0.9420121573182456, 'timestamp': 102312.571899, 'diameter_3d': 4.538242627460186, 'ellipse': {'center': [151.7385612003451, 160.1670909358887], 'axes': [36.30980951562848, 43.667377707355506], 'angle': -88.88400757419878}, 'location': [151.7385612003451, 160.1670909358887], 'diameter': 43.667377707355506, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8065107563058116, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.051094011547772, 'phi': -1.5641619191867253, 'norm_pos': [0.4741830037510784, 0.33263712110046373], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.101263,"{'circle_3d': {'center': [-0.8115171914298623, 4.234849862335531, 35.27336026526203], 'normal': [0.00972799853644666, 0.46216382912635406, -0.8867412029965345], 'radius': 2.283388211024252}, 'confidence': 0.9980726793571343, 'timestamp': 102312.580299, 'diameter_3d': 4.566776422048504, 'ellipse': {'center': [152.17775752891805, 160.17284438221608], 'axes': [36.535442363920275, 43.940507419309256], 'angle': -89.3823421261052}, 'location': [152.17775752891805, 160.17284438221608], 'diameter': 43.940507419309256, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8059418204481306, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.0512300350586563, 'phi': -1.5598262621689611, 'norm_pos': [0.4755554922778689, 0.33261314840743295], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.1067,"{'circle_3d': {'center': [-0.819373293979138, 4.214392453729158, 35.26263977501852], 'normal': [0.00907332332400702, 0.460459045075823, -0.8876345771834935], 'radius': 2.3053091197420996}, 'confidence': 0.9961562161806113, 'timestamp': 102312.588699, 'diameter_3d': 4.610618239484199, 'ellipse': {'center': [152.10025245876892, 159.97872495502372], 'axes': [36.95703406302017, 44.37612029146376], 'angle': -89.29177861036}, 'location': [152.10025245876892, 159.97872495502372], 'diameter': 44.37612029146376, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8050007770518897, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.0493085844494807, 'phi': -1.560574769905679, 'norm_pos': [0.4753132889336529, 0.3334219793540678], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.1068501,"{'circle_3d': {'center': [-0.7895272360759611, 4.198045110060993, 35.25452215218385], 'normal': [0.011560494815938432, 0.45909676643680924, -0.8883110457530495], 'radius': 2.2810680603235673}, 'confidence': 0.9834291838450786, 'timestamp': 102312.597099, 'diameter_3d': 4.562136120647135, 'ellipse': {'center': [152.38309905157323, 159.84313051227824], 'axes': [36.623869704043194, 43.918929490539035], 'angle': -89.61183691132514}, 'location': [152.38309905157323, 159.84313051227824], 'diameter': 43.918929490539035, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8041905689830764, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.0477745452425355, 'phi': -1.5577830446892613, 'norm_pos': [0.47619718453616633, 0.33398695619884067], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
