eye_packets,777
norm_X,norm_Y,phi,theta,confidence,timestamp
1581482568.605828,"{'circle_3d': {'center': [-0.5059350107248699, -4.702713820567418, 78.37088949608969], 'normal': [-0.44136479380099997, 0.22423049819820073, -0.868860059198711], 'radius': 15.106869077300953}, 'confidence': 0.007030231580373757, 'timestamp': 350253.076575, 'diameter_3d': 30.213738154601906, 'ellipse': {'center': [164.8763346194989, 77.92496638450565], 'axes': [211.77039937764636, 240.54483128630636], 'angle': -20.588086718612324}, 'location': [164.8763346194989, 77.92496638450565], 'diameter': 240.54483128630636, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 1.7969496828717955, 'phi': -2.040808690578685, 'norm_pos': [0.5152385456859341, 0.6753126400645597], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.616574,"{'circle_3d': {'center': [-0.7773483461646471, -5.425764552364478, 78.35078490228716], 'normal': [-0.4639825717543146, 0.16397627054844566, -0.8705354420155882], 'radius': 15.575164500498756}, 'confidence': 0.00955070086836694, 'timestamp': 350253.084975, 'diameter_3d': 31.150329000997512, 'ellipse': {'center': [163.7808933142548, 73.11924527427145], 'axes': [217.78619280691055, 248.3119253043019], 'angle': -11.992574858001058}, 'location': [163.7808933142548, 73.11924527427145], 'diameter': 248.3119253043019, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 1.7355164718914242, 'phi': -2.0604826340317257, 'norm_pos': [0.5118152916070462, 0.6953364780238689], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.620376,"{'circle_3d': {'center': [-3.2668910436640086, -7.985497091403957, 79.92427994349592], 'normal': [-0.6714444632125949, -0.04933477437151091, -0.7394108552481918], 'radius': 16.276103083044454}, 'confidence': 0.011563928642057528, 'timestamp': 350253.093375, 'diameter_3d': 32.55220616608891, 'ellipse': {'center': [147.18195916138114, 57.82292480527529], 'axes': [181.17218886748086, 256.0348852624268], 'angle': 9.56768653732253}, 'location': [147.18195916138114, 57.82292480527529], 'diameter': 256.0348852624268, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 1.5214415176568983, 'phi': -2.3080578122783466, 'norm_pos': [0.4599436223793161, 0.7590711466446862], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.6293728,"{'circle_3d': {'center': [2.803457042639207, -2.094096510039975, 78.21569682273079], 'normal': [-0.16558212268732683, 0.44161527407548756, -0.8817927819786183], 'radius': 2.179197080322957}, 'confidence': 0.20123273373431871, 'timestamp': 350253.101775, 'diameter_3d': 4.358394160645914, 'ellipse': {'center': [182.29655773346678, 103.21020527356839], 'axes': [31.072608954819305, 34.562823572515306], 'angle': -72.51367466570439}, 'location': [182.29655773346678, 103.21020527356839], 'diameter': 34.562823572515306, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 2.028194545174083, 'phi': -1.7564137393623245, 'norm_pos': [0.5696767429170837, 0.5699574780267984], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.637996,"{'circle_3d': {'center': [0.4505072038921156, -0.8212236045481767, 79.74345904954593], 'normal': [-0.3616612759162512, 0.5476880161998042, -0.7544792630773572], 'radius': 15.29504875516497}, 'confidence': 0.00897166250021893, 'timestamp': 350253.110175, 'diameter_3d': 30.59009751032994, 'ellipse': {'center': [169.88303643509028, 103.9354123958719], 'axes': [184.1884370914185, 239.74325194716397], 'angle': -56.49328932138057}, 'location': [169.88303643509028, 103.9354123958719], 'diameter': 239.74325194716397, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 2.150394782960108, 'phi': -2.0177896533156057, 'norm_pos': [0.5308844888596571, 0.5669357816838672], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.645403,"{'circle_3d': {'center': [-0.9414854161307868, 0.2580539194835776, 81.54469106142162], 'normal': [-0.47766066091815973, 0.637627809869117, -0.6043765954210503], 'radius': 15.819247628159362}, 'confidence': 0.004816310408139591, 'timestamp': 350253.118575, 'diameter_3d': 31.638495256318723, 'ellipse': {'center': [159.5673227330021, 112.79819722691136], 'axes': [147.08237981062112, 243.48591460862517], 'angle': -52.839632049538025}, 'location': [159.5673227330021, 112.79819722691136], 'diameter': 243.48591460862517, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 2.2622112646737698, 'phi': -2.239616826200208, 'norm_pos': [0.49864788354063155, 0.530007511554536], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.6521118,"{'circle_3d': {'center': [2.8131243399428763, -2.044020289553538, 78.23910925069588], 'normal': [-0.16477651457868772, 0.4457882924493573, -0.8798417463148619], 'radius': 2.146135829297062}, 'confidence': 0.19420507271573406, 'timestamp': 350253.126975, 'diameter_3d': 4.292271658594124, 'ellipse': {'center': [182.3638283632294, 103.61655389649866], 'axes': [30.51884310385241, 34.02866145207731], 'angle': -72.79960840142354}, 'location': [182.3638283632294, 103.61655389649866], 'diameter': 34.02866145207731, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 2.032851032202569, 'phi': -1.7559314680659293, 'norm_pos': [0.5698869636350918, 0.5682643587645889], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.665167,"{'circle_3d': {'center': [0.02287154987600637, -4.605781517303197, 78.14361900988189], 'normal': [-0.3972975804175936, 0.23230819013688578, -0.8877992663826944], 'radius': 14.994935056384818}, 'confidence': 0.006989254853185125, 'timestamp': 350253.135375, 'diameter_3d': 29.989870112769637, 'ellipse': {'center': [168.29857309355648, 78.42457150945974], 'axes': [215.893937735866, 239.23427213843578], 'angle': -23.727875671346915}, 'location': [168.29857309355648, 78.42457150945974], 'diameter': 239.23427213843578, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 1.8052464529489234, 'phi': -1.9915762597040483, 'norm_pos': [0.525933040917364, 0.6732309520439177], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.673012,"{'circle_3d': {'center': [-2.488179902850584, -6.488175475442748, 79.29973265810104], 'normal': [-0.6065518681448093, 0.0754420269585898, -0.7914564623644318], 'radius': 15.426968284174906}, 'confidence': 0.008774215049319542, 'timestamp': 350253.143775, 'diameter_3d': 30.853936568349813, 'ellipse': {'center': [151.69317503216556, 67.12395027887577], 'axes': [189.84709060278593, 243.80721408344948], 'angle': -1.1118933629870404}, 'location': [151.69317503216556, 67.12395027887577], 'diameter': 243.80721408344948, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 1.6463101007045513, 'phi': -2.2246948702066867, 'norm_pos': [0.4740411719755174, 0.7203168738380177], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.682047,"{'circle_3d': {'center': [-2.977007585423106, -8.252007525756966, 79.69063845408095], 'normal': [-0.6472875083591865, -0.07154397723426167, -0.7588809793661057], 'radius': 16.00223489487197}, 'confidence': 0.01161636844684609, 'timestamp': 350253.152175, 'diameter_3d': 32.00446978974394, 'ellipse': {'center': [148.9296220249516, 56.06262723402889], 'axes': [183.41837841844597, 252.2855438064459], 'angle': 12.08184137446817}, 'location': [148.9296220249516, 56.06262723402889], 'diameter': 252.2855438064459, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 1.499191175090182, 'phi': -2.277000509324835, 'norm_pos': [0.4654050688279738, 0.7664057198582129], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.6879098,"{'circle_3d': {'center': [2.7924239979653693, -2.0423612793871317, 78.24384805995078], 'normal': [-0.1665015430768133, 0.44592654329655784, -0.8794468455436196], 'radius': 2.1771992537767826}, 'confidence': 0.19299071767400355, 'timestamp': 350253.160575, 'diameter_3d': 4.354398507553565, 'ellipse': {'center': [182.20120432771225, 103.62530650716249], 'axes': [30.945951945429094, 34.51884000339001], 'angle': -72.55826026786791}, 'location': [182.20120432771225, 103.62530650716249], 'diameter': 34.51884000339001, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 2.0330054844764063, 'phi': -1.7579070065704414, 'norm_pos': [0.5693787635241008, 0.5682278895534896], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
