eye_packets,763
norm_X,norm_Y,phi,theta,confidence,timestamp
1581482109.8164868,"{'circle_3d': {'center': [0.8216604966266106, 9.304550500795546, 78.98246699722736], 'normal': [-0.2829374475069062, 0.5666196203494667, -0.7738789353854406], 'radius': 2.815657874202097}, 'confidence': 0.9995969995876756, 'timestamp': 349794.284093, 'diameter_3d': 5.631315748404194, 'ellipse': {'center': [166.62580939982882, 192.73083443702808], 'axes': [31.35616912670425, 44.2846321677674], 'angle': -66.66385916279187}, 'location': [166.62580939982882, 192.73083443702808], 'diameter': 44.2846321677674, 'sphere': {'center': [4.216909866709485, 2.505115056601946, 88.26901422185266], 'radius': 12.0}, 'projected_sphere': {'center': [189.61950057342563, 137.59588400057933], 'axes': [168.57557695842235, 168.57557695842235], 'angle': 90.0}, 'model_confidence': 0.8413824417974447, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 2.1731938625928473, 'phi': -1.9213088728871626, 'norm_pos': [0.520705654374465, 0.19695485651238298], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482109.824539,"{'circle_3d': {'center': [0.8418098818606516, 9.303122217285622, 78.97408018574639], 'normal': [-0.2812583320707361, 0.5665005967236396, -0.7745778363421895], 'radius': 2.8175253997191674}, 'confidence': 0.9996693498983468, 'timestamp': 349794.292493, 'diameter_3d': 5.635050799438335, 'ellipse': {'center': [166.78415268383768, 192.7265610024536], 'axes': [31.414369489622196, 44.318654451792], 'angle': -66.80111214973311}, 'location': [166.78415268383768, 192.7265610024536], 'diameter': 44.318654451792, 'sphere': {'center': [4.216909866709485, 2.505115056601946, 88.26901422185266], 'radius': 12.0}, 'projected_sphere': {'center': [189.61950057342563, 137.59588400057933], 'axes': [168.57557695842235, 168.57557695842235], 'angle': 90.0}, 'model_confidence': 0.8417384451299026, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 2.173049420023232, 'phi': -1.919103928433478, 'norm_pos': [0.5212004771369927, 0.19697266248977674], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482109.831479,"{'circle_3d': {'center': [0.8177121686267337, 9.309968624313196, 78.98788158992909], 'normal': [-0.28326647484022927, 0.5670711306426042, -0.7734277193269636], 'radius': 2.862619897476745}, 'confidence': 0.9997444610703895, 'timestamp': 349794.300893, 'diameter_3d': 5.72523979495349, 'ellipse': {'center': [166.6003632850811, 192.75803036166974], 'axes': [31.852862509328563, 45.0205757326375], 'angle': -66.6507259569959}, 'location': [166.6003632850811, 192.75803036166974], 'diameter': 45.0205757326375, 'sphere': {'center': [4.216909866709485, 2.505115056601946, 88.26901422185266], 'radius': 12.0}, 'projected_sphere': {'center': [189.61950057342563, 137.59588400057933], 'axes': [168.57557695842235, 168.57557695842235], 'angle': 90.0}, 'model_confidence': 0.8423618578903058, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 2.1737419289208684, 'phi': -1.9218721571423016, 'norm_pos': [0.5206261352658784, 0.19684154015970945], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482109.843141,"{'circle_3d': {'center': [0.8208871898102412, 9.336470951631025, 79.00620651503732], 'normal': [-0.2830018897416036, 0.56927965791909, -0.7719006422346112], 'radius': 2.778514876060092}, 'confidence': 0.9997124725365251, 'timestamp': 349794.309292, 'diameter_3d': 5.557029752120184, 'ellipse': {'center': [166.61271708705831, 192.96732561499203], 'axes': [30.8238430575298, 43.68707469077587], 'angle': -66.7425949787159}, 'location': [166.61271708705831, 192.96732561499203], 'diameter': 43.68707469077587, 'sphere': {'center': [4.216909866709485, 2.505115056601946, 88.26901422185266], 'radius': 12.0}, 'projected_sphere': {'center': [189.61950057342563, 137.59588400057933], 'axes': [168.57557695842235, 168.57557695842235], 'angle': 90.0}, 'model_confidence': 0.8427136049842243, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 2.176425740819278, 'phi': -1.9222087503745524, 'norm_pos': [0.5206647408970573, 0.19596947660419983], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482109.8521202,"{'circle_3d': {'center': [0.8099294315671299, 9.3390897789496, 79.01216411996214], 'normal': [-0.28391503626186293, 0.5694978935289712, -0.7714041751575431], 'radius': 2.8347147163555815}, 'confidence': 0.9997366062250428, 'timestamp': 349794.317692, 'diameter_3d': 5.669429432711163, 'ellipse': {'center': [166.5336154864427, 192.9702840580699], 'axes': [31.420424950853047, 44.5678542194138], 'angle': -66.67328923425545}, 'location': [166.5336154864427, 192.9702840580699], 'diameter': 44.5678542194138, 'sphere': {'center': [4.216909866709485, 2.505115056601946, 88.26901422185266], 'radius': 12.0}, 'projected_sphere': {'center': [189.61950057342563, 137.59588400057933], 'axes': [168.57557695842235, 168.57557695842235], 'angle': 90.0}, 'model_confidence': 0.8430658104468858, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 2.1766912121798647, 'phi': -1.9234596592703064, 'norm_pos': [0.5204175483951334, 0.19595714975804213], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482109.8594491,"{'circle_3d': {'center': [0.8407625854163396, 9.345030684986709, 79.0052577628564], 'normal': [-0.28134560677442877, 0.5699929690320635, -0.7719797049163544], 'radius': 2.8679282574361458}, 'confidence': 0.9990310005851935, 'timestamp': 349794.326092, 'diameter_3d': 5.7358565148722915, 'ellipse': {'center': [166.7790044850744, 193.01524735232613], 'axes': [31.816576239814793, 45.09416500784112], 'angle': -66.90380649236685}, 'location': [166.7790044850744, 193.01524735232613], 'diameter': 45.09416500784112, 'sphere': {'center': [4.216909866709485, 2.505115056601946, 88.26901422185266], 'radius': 12.0}, 'projected_sphere': {'center': [189.61950057342563, 137.59588400057933], 'axes': [168.57557695842235, 168.57557695842235], 'angle': 90.0}, 'model_confidence': 0.8435848540712554, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 2.1772936248455808, 'phi': -1.9202830150782548, 'norm_pos': [0.5211843890158575, 0.19576980269864108], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482109.867973,"{'circle_3d': {'center': [0.8514631758732305, 9.300167229308054, 78.96842098586275], 'normal': [-0.2804538909030212, 0.566254347725509, -0.7750494363324927], 'radius': 2.826120050780579}, 'confidence': 0.9997332990081268, 'timestamp': 349794.334492, 'diameter_3d': 5.652240101561158, 'ellipse': {'center': [166.86115674396552, 192.7065216691413], 'axes': [31.536608173058838, 44.45706226545971], 'angle': -66.861020014712}, 'location': [166.86115674396552, 192.7065216691413], 'diameter': 44.45706226545971, 'sphere': {'center': [4.216909866709485, 2.505115056601946, 88.26901422185266], 'radius': 12.0}, 'projected_sphere': {'center': [189.61950057342563, 137.59588400057933], 'axes': [168.57557695842235, 168.57557695842235], 'angle': 90.0}, 'model_confidence': 0.8447173418191567, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 2.172750627075018, 'phi': -1.9179912583953223, 'norm_pos': [0.5214411148248923, 0.19705615971191126], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482109.875314,"{'circle_3d': {'center': [0.860904494169783, 9.307011341469135, 78.97001240072183], 'normal': [-0.2796671143783085, 0.5668246904055991, -0.7749168184275695], 'radius': 2.799358549475699}, 'confidence': 0.9999580553433455, 'timestamp': 349794.342892, 'diameter_3d': 5.598717098951398, 'ellipse': {'center': [166.93135305867247, 192.76442630175308], 'axes': [31.22729610638682, 44.03496038195438], 'angle': -66.94516611879847}, 'location': [166.93135305867247, 192.76442630175308], 'diameter': 44.03496038195438, 'sphere': {'center': [4.216909866709485, 2.505115056601946, 88.26901422185266], 'radius': 12.0}, 'projected_sphere': {'center': [189.61950057342563, 137.59588400057933], 'axes': [168.57557695842235, 168.57557695842235], 'angle': 90.0}, 'model_confidence': 0.8452203078962883, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 2.1734427615170104, 'phi': -1.9171480037695412, 'norm_pos': [0.5216604783083515, 0.19681489040936218], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482109.8841548,"{'circle_3d': {'center': [0.8310325497158559, 9.294143232076932, 78.97143758990846], 'normal': [-0.2821564430828024, 0.5657523479562488, -0.7747980526620164], 'radius': 2.8474238575418696}, 'confidence': 0.9984455088968658, 'timestamp': 349794.351292, 'diameter_3d': 5.694847715083739, 'ellipse': {'center': [166.70408159834358, 192.65218815916205], 'axes': [31.764355554240694, 44.790712449657505], 'angle': -66.70194677569208}, 'location': [166.70408159834358, 192.65218815916205], 'diameter': 44.790712449657505, 'sphere': {'center': [4.216909866709485, 2.505115056601946, 88.26901422185266], 'radius': 12.0}, 'projected_sphere': {'center': [189.61950057342563, 137.59588400057933], 'axes': [168.57557695842235, 168.57557695842235], 'angle': 90.0}, 'model_confidence': 0.8453031699189983, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 2.172141701799998, 'phi': -1.920036553588755, 'norm_pos': [0.5209502549948237, 0.19728254933682476], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482109.892236,"{'circle_3d': {'center': [0.8453841455383131, 9.318382121975421, 78.98396138369506], 'normal': [-0.28096047676426433, 0.5677722554477896, -0.7737544031797992], 'radius': 2.816026269429742}, 'confidence': 0.9999714464463242, 'timestamp': 349794.359692, 'diameter_3d': 5.632052538859484, 'ellipse': {'center': [166.81081281029148, 192.83738239063908], 'axes': [31.346718984525314, 44.28953251100503], 'angle': -66.86626927812043}, 'location': [166.81081281029148, 192.83738239063908], 'diameter': 44.28953251100503, 'sphere': {'center': [4.216909866709485, 2.505115056601946, 88.26901422185266], 'radius': 12.0}, 'projected_sphere': {'center': [189.61950057342563, 137.59588400057933], 'axes': [168.57557695842235, 168.57557695842235], 'angle': 90.0}, 'model_confidence': 0.8458796498752141, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 2.1745934003292495, 'phi': -1.9191052335294245, 'norm_pos': [0.5212837900321609, 0.1965109067056705], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482109.9019468,"{'circle_3d': {'center': [0.8187737929293877, 9.326374585903835, 78.99954338161682], 'normal': [-0.28317800614834143, 0.5684382941084908, -0.7724559033529868], 'radius': 2.851961053047276}, 'confidence': 0.998982753205276, 'timestamp': 349794.368092, 'diameter_3d': 5.703922106094552, 'ellipse': {'center': [166.60608055243057, 192.8782596089843], 'axes': [31.674127252266196, 44.846258321676025], 'angle': -66.70145653948299}, 'location': [166.60608055243057, 192.8782596089843], 'diameter': 44.846258321676025, 'sphere': {'center': [4.216909866709485, 2.505115056601946, 88.26901422185266], 'radius': 12.0}, 'projected_sphere': {'center': [189.61950057342563, 137.59588400057933], 'axes': [168.57557695842235, 168.57557695842235], 'angle': 90.0}, 'model_confidence': 0.8470064640370367, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 2.1754027252432775, 'phi': -1.9221774144698531, 'norm_pos': [0.5206440017263455, 0.19634058496256535], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
