eye_packets,778
norm_X,norm_Y,phi,theta,confidence,timestamp
1581481666.536033,"{'circle_3d': {'center': [5.606064335957873, 3.464997890672118, 83.5649923365984], 'normal': [-0.23046440186053216, 0.43268911181116265, -0.8715883730265879], 'radius': 2.5902903652148273}, 'confidence': 0.5396179493181328, 'timestamp': 349351.006633, 'diameter_3d': 5.1805807304296545, 'ellipse': {'center': [201.7227889153527, 145.4893433560731], 'axes': [33.31386120735404, 38.55589261217566], 'angle': -69.58639882821451}, 'location': [201.7227889153527, 145.4893433560731], 'diameter': 38.55589261217566, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.018269763702523, 'phi': -1.8292989695994244, 'norm_pos': [0.6303837153604772, 0.3937944026830287], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.544904,"{'circle_3d': {'center': [5.736385955061526, 3.678369730154771, 83.63971390686048], 'normal': [-0.21960426693522758, 0.45047009843471675, -0.8653615755047469], 'radius': 2.6060252436900515}, 'confidence': 0.5480097457167135, 'timestamp': 349351.015033, 'diameter_3d': 5.212050487380103, 'ellipse': {'center': [202.64715645340019, 147.03878291575646], 'axes': [33.155146944002844, 38.760625429313336], 'angle': -71.5039812598353}, 'location': [202.64715645340019, 147.03878291575646], 'diameter': 38.760625429313336, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.038088144888533, 'phi': -1.8193216506510124, 'norm_pos': [0.6332723639168756, 0.3873384045176814], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.5532548,"{'circle_3d': {'center': [5.609397736117783, 3.554046916203895, 83.60878950956256], 'normal': [-0.23018661851387298, 0.44010986393881074, -0.8679386086129077], 'radius': 2.5881490160573186}, 'confidence': 0.5859651803087724, 'timestamp': 349351.023433, 'diameter_3d': 5.176298032114637, 'ellipse': {'center': [201.72498209064113, 146.13422811272338], 'axes': [33.098629054718124, 38.50475627828474], 'angle': -69.89156473093641}, 'location': [201.72498209064113, 146.13422811272338], 'diameter': 38.50475627828474, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.0265173470779136, 'phi': -1.8300389350269868, 'norm_pos': [0.6303905690332535, 0.39110738286365254], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.563927,"{'circle_3d': {'center': [5.618827775797472, 3.562431686830791, 83.61054806107421], 'normal': [-0.2294007818738989, 0.4408085948243854, -0.867792062653603], 'radius': 2.5881016131402563}, 'confidence': 0.4706254901872623, 'timestamp': 349351.031833, 'diameter_3d': 5.176203226280513, 'ellipse': {'center': [201.79362522347466, 146.1955660164797], 'axes': [33.08760904667356, 38.50355010092164], 'angle': -70.01043601532159}, 'location': [201.79362522347466, 146.1955660164797], 'diameter': 38.50355010092164, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.0272956409406357, 'phi': -1.829234556935683, 'norm_pos': [0.6306050788233584, 0.3908518082646679], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.5691872,"{'circle_3d': {'center': [5.605140693655466, 3.4539284384796365, 83.55974848745883], 'normal': [-0.2305413720523994, 0.43176665746178916, -0.8720253604548845], 'radius': 2.5870880483098895}, 'confidence': 0.6375005035739679, 'timestamp': 349351.040233, 'diameter_3d': 5.174176096619779, 'ellipse': {'center': [201.71831080170384, 145.40966510810608], 'axes': [33.29530161966501, 38.51050238691939], 'angle': -69.54261632800385}, 'location': [201.71831080170384, 145.40966510810608], 'diameter': 38.51050238691939, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.01724681978893, 'phi': -1.829257621098634, 'norm_pos': [0.6303697212553245, 0.3941263953828913], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.5794501,"{'circle_3d': {'center': [5.604205674266005, 3.385423009172095, 83.52635409664835], 'normal': [-0.23061929033485445, 0.42605787168616066, -0.8748082263557581], 'radius': 2.646172361538511}, 'confidence': 0.9925860405418844, 'timestamp': 349351.048633, 'diameter_3d': 5.292344723077022, 'ellipse': {'center': [201.73431020761026, 144.90327496679384], 'axes': [34.20208442095937, 39.40525993549163], 'angle': -69.31705122875366}, 'location': [201.73431020761026, 144.90327496679384], 'diameter': 39.40525993549163, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.010927202783491, 'phi': -1.828554675912228, 'norm_pos': [0.630419719398782, 0.3962363543050257], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.5853162,"{'circle_3d': {'center': [5.617002987996302, 3.4969834199183523, 83.57804153439962], 'normal': [-0.22955284752399643, 0.4353545725816822, -0.870500939876486], 'radius': 2.5802780175019695}, 'confidence': 0.5866244651419835, 'timestamp': 349351.057033, 'diameter_3d': 5.160556035003939, 'ellipse': {'center': [201.7958776554656, 145.7233678289394], 'axes': [33.12617472338847, 38.401405484921554], 'angle': -69.79490563289416}, 'location': [201.7958776554656, 145.7233678289394], 'diameter': 38.401405484921554, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.02122842223613, 'phi': -1.8286288481924575, 'norm_pos': [0.63061211767333, 0.3928193007127525], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.594763,"{'circle_3d': {'center': [5.642701047976484, 3.7016059713511535, 83.67609660706341], 'normal': [-0.22741134252564774, 0.4524064518677486, -0.8623296838211688], 'radius': 2.5918361746103113}, 'confidence': 0.5431858671993511, 'timestamp': 349351.065433, 'diameter_3d': 5.183672349220623, 'ellipse': {'center': [201.93669280028723, 147.20176438355972], 'axes': [32.848807267056024, 38.530741607692526], 'angle': -70.64721493562159}, 'location': [201.93669280028723, 147.20176438355972], 'diameter': 38.530741607692526, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.040258209894898, 'phi': -1.8286432379450426, 'norm_pos': [0.6310521650008976, 0.38665931506850115], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.600429,"{'circle_3d': {'center': [5.5874204870121345, 3.2525866916865245, 83.46710484461177], 'normal': [-0.23201805593934355, 0.4149881785623629, -0.8797456640254728], 'radius': 2.6306342704909946}, 'confidence': 0.4587678776846044, 'timestamp': 349351.073833, 'diameter_3d': 5.261268540981989, 'ellipse': {'center': [201.6388410467616, 143.94099624339998], 'axes': [34.26393116478861, 39.19980386276785], 'angle': -68.70645610653008}, 'location': [201.6388410467616, 143.94099624339998], 'diameter': 39.19980386276785, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 1.9987261366661697, 'phi': -1.8286579216583356, 'norm_pos': [0.63012137827113, 0.4002458489858334], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.6101062,"{'circle_3d': {'center': [5.541021750629918, 3.716239541270838, 83.71115775428802], 'normal': [-0.23588461730452845, 0.45362591602772273, -0.8594079215524522], 'radius': 2.6397631674271698}, 'confidence': 0.49050974953544224, 'timestamp': 349351.082233, 'diameter_3d': 5.2795263348543395, 'ellipse': {'center': [201.17482224105672, 147.29077112425043], 'axes': [33.33679279523273, 39.22465326530458], 'angle': -69.70340097408327}, 'location': [201.17482224105672, 147.29077112425043], 'diameter': 39.22465326530458, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.0416260856023394, 'phi': -1.8386728993324415, 'norm_pos': [0.6286713195033022, 0.3862884536489566], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.6203961,"{'circle_3d': {'center': [5.543458188447676, 3.6821272112307333, 83.69255680183747], 'normal': [-0.23568158081971516, 0.45078322185771386, -0.8609580009233314], 'radius': 2.6034335315426604}, 'confidence': 0.42580695995653084, 'timestamp': 349351.090633, 'diameter_3d': 5.206867063085321, 'ellipse': {'center': [201.19835633758314, 147.0513735658097], 'axes': [32.95642841325014, 38.6930257325415], 'angle': -69.62623117154668}, 'location': [201.19835633758314, 147.0513735658097], 'diameter': 38.6930257325415, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.0384388999465686, 'phi': -1.8379939229988724, 'norm_pos': [0.6287448635549473, 0.3872859434757928], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
