eye_packets,777
norm_X,norm_Y,phi,theta,confidence,timestamp
1581496267.6701682,"{'circle_3d': {'center': [-3.5599856325781416, 7.475517949436898, 61.67892108331037], 'normal': [-0.2568034933549678, 0.6751698601795593, -0.6915183480615676], 'radius': 3.14702312840068}, 'confidence': 0.9946577441641461, 'timestamp': 361364.2473, 'diameter_3d': 6.29404625680136, 'ellipse': {'center': [124.45316658513302, 194.4919303870126], 'axes': [37.68539339824185, 63.31414573030302], 'angle': -68.76088292224033}, 'location': [124.45316658513302, 194.4919303870126], 'diameter': 63.31414573030302, 'sphere': {'center': [-0.47834371231852796, -0.6265203727178141, 69.97714126004918], 'radius': 12.0}, 'projected_sphere': {'center': [155.76185742519314, 114.44900686009002], 'axes': [212.64086717550975, 212.64086717550975], 'angle': 90.0}, 'model_confidence': 0.33642301339797953, 'model_id': 1, 'model_birth_timestamp': 361196.307132, 'theta': 2.3119912729541388, 'phi': -1.9263735268470077, 'norm_pos': [0.3889161455785407, 0.18961695672078094], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581496267.676079,"{'circle_3d': {'center': [-3.569428269433422, 7.519243008369755, 61.72536961996494], 'normal': [-0.2575903797595745, 0.6788136150906308, -0.6876476366736871], 'radius': 3.1667970172224917}, 'confidence': 0.9942079694074657, 'timestamp': 361364.2557, 'diameter_3d': 6.3335940344449835, 'ellipse': {'center': [124.38655903418868, 194.86909557025842], 'axes': [37.588665930002, 63.66495270397279], 'angle': -68.81042109920914}, 'location': [124.38655903418868, 194.86909557025842], 'diameter': 63.66495270397279, 'sphere': {'center': [-0.47834371231852796, -0.6265203727178141, 69.97714126004918], 'radius': 12.0}, 'projected_sphere': {'center': [155.76185742519314, 114.44900686009002], 'axes': [212.64086717550975, 212.64086717550975], 'angle': 90.0}, 'model_confidence': 0.33625341897218775, 'model_id': 1, 'model_birth_timestamp': 361196.307132, 'theta': 2.316942107921207, 'phi': -1.929213173547293, 'norm_pos': [0.3887079969818396, 0.18804543512392324], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581496267.685317,"{'circle_3d': {'center': [-3.5546081934066844, 7.511704986725502, 61.71240382675409], 'normal': [-0.25635537342401304, 0.6781854466202764, -0.6887281194412576], 'radius': 3.135479830961926}, 'confidence': 0.9781518935473366, 'timestamp': 361364.2641, 'diameter_3d': 6.270959661923852, 'ellipse': {'center': [124.52270544954254, 194.82107481611348], 'axes': [37.30893774492156, 63.04762909958141], 'angle': -68.88295199016385}, 'location': [124.52270544954254, 194.82107481611348], 'diameter': 63.04762909958141, 'sphere': {'center': [-0.47834371231852796, -0.6265203727178141, 69.97714126004918], 'radius': 12.0}, 'projected_sphere': {'center': [155.76185742519314, 114.44900686009002], 'axes': [212.64086717550975, 212.64086717550975], 'angle': 90.0}, 'model_confidence': 0.3357657432577765, 'model_id': 1, 'model_birth_timestamp': 361196.307132, 'theta': 2.316086992450825, 'phi': -1.9271236770240672, 'norm_pos': [0.38913345452982046, 0.18824552159952712], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581496267.6940281,"{'circle_3d': {'center': [-3.564648552290366, 7.49472753038618, 61.69945710739541], 'normal': [-0.25719206999765315, 0.6767706585919995, -0.6898070127211476], 'radius': 3.142398364558288}, 'confidence': 0.9928825257791395, 'timestamp': 361364.2725, 'diameter_3d': 6.284796729116576, 'ellipse': {'center': [124.41681970759343, 194.66307172733534], 'axes': [37.48311291567109, 63.200096856662825], 'angle': -68.77954830594038}, 'location': [124.41681970759343, 194.66307172733534], 'diameter': 63.200096856662825, 'sphere': {'center': [-0.47834371231852796, -0.6265203727178141, 69.97714126004918], 'radius': 12.0}, 'projected_sphere': {'center': [155.76185742519314, 114.44900686009002], 'axes': [212.64086717550975, 212.64086717550975], 'angle': 90.0}, 'model_confidence': 0.3350881319790333, 'model_id': 1, 'model_birth_timestamp': 361196.307132, 'theta': 2.3141635307046626, 'phi': -1.9276775848254168, 'norm_pos': [0.3888025615862295, 0.18890386780276947], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581496267.699855,"{'circle_3d': {'center': [-3.5720692625460706, 7.520345968182929, 61.727448475262115], 'normal': [-0.2578104625189619, 0.6789055284083954, -0.6874743987322556], 'radius': 3.1755659503747387}, 'confidence': 0.988887941678873, 'timestamp': 361364.2809, 'diameter_3d': 6.351131900749477, 'ellipse': {'center': [124.36267202227485, 194.87416996364095], 'axes': [37.67792678107164, 63.839356384525516], 'angle': -68.79692669896012}, 'location': [124.36267202227485, 194.87416996364095], 'diameter': 63.839356384525516, 'sphere': {'center': [-0.47834371231852796, -0.6265203727178141, 69.97714126004918], 'radius': 12.0}, 'projected_sphere': {'center': [155.76185742519314, 114.44900686009002], 'axes': [212.64086717550975, 212.64086717550975], 'angle': 90.0}, 'model_confidence': 0.33464678093987343, 'model_id': 1, 'model_birth_timestamp': 361196.307132, 'theta': 2.31706728469879, 'phi': -1.929576641855782, 'norm_pos': [0.3886333500696089, 0.18802429181816271], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581496267.7091799,"{'circle_3d': {'center': [-3.565525805052674, 7.499524284379111, 61.70449325852221], 'normal': [-0.2572651743945122, 0.6771703880914104, -0.6893873334605807], 'radius': 3.1655740166622257}, 'confidence': 0.9631990955701197, 'timestamp': 361364.2893, 'diameter_3d': 6.331148033324451, 'ellipse': {'center': [124.41424565594886, 194.6957901267749], 'axes': [37.72410817642841, 63.66169331120941], 'angle': -68.78594808093607}, 'location': [124.41424565594886, 194.6957901267749], 'diameter': 63.66169331120941, 'sphere': {'center': [-0.47834371231852796, -0.6265203727178141, 69.97714126004918], 'radius': 12.0}, 'projected_sphere': {'center': [155.76185742519314, 114.44900686009002], 'axes': [212.64086717550975, 212.64086717550975], 'angle': 90.0}, 'model_confidence': 0.3338593705782045, 'model_id': 1, 'model_birth_timestamp': 361196.307132, 'theta': 2.3147066339865936, 'phi': -1.9279699291994916, 'norm_pos': [0.3887945176748402, 0.18876754113843786], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581496267.716629,"{'circle_3d': {'center': [-3.5709627246186386, 7.509872319562414, 61.716704128651784], 'normal': [-0.2577182510250092, 0.6780327243566857, -0.6883697609497829], 'radius': 3.16105413264913}, 'confidence': 0.9491185856474023, 'timestamp': 361364.2977, 'diameter_3d': 6.32210826529826, 'ellipse': {'center': [124.36581856051957, 194.78753222739812], 'axes': [37.58226736596452, 63.55819265927767], 'angle': -68.7780040816284}, 'location': [124.36581856051957, 194.78753222739812], 'diameter': 63.55819265927767, 'sphere': {'center': [-0.47834371231852796, -0.6265203727178141, 69.97714126004918], 'radius': 12.0}, 'projected_sphere': {'center': [155.76185742519314, 114.44900686009002], 'axes': [212.64086717550975, 212.64086717550975], 'angle': 90.0}, 'model_confidence': 0.33354985645488444, 'model_id': 1, 'model_birth_timestamp': 361196.307132, 'theta': 2.3158791961072183, 'phi': -1.9290314534513548, 'norm_pos': [0.38864318300162365, 0.18838528238584118], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581496267.724206,"{'circle_3d': {'center': [-3.5543752684655723, 7.508769455002237, 61.70942759274174], 'normal': [-0.2563359630122537, 0.6779408189766709, -0.6889761389422867], 'radius': 3.178867838770228}, 'confidence': 0.9947746338814916, 'timestamp': 361364.3061, 'diameter_3d': 6.357735677540456, 'ellipse': {'center': [124.5300046720954, 194.77702508580853], 'axes': [37.848101560049045, 63.92433582858169], 'angle': -68.87717216615461}, 'location': [124.5300046720954, 194.77702508580853], 'diameter': 63.92433582858169, 'sphere': {'center': [-0.47834371231852796, -0.6265203727178141, 69.97714126004918], 'radius': 12.0}, 'projected_sphere': {'center': [155.76185742519314, 114.44900686009002], 'axes': [212.64086717550975, 212.64086717550975], 'angle': 90.0}, 'model_confidence': 0.3338891727907911, 'model_id': 1, 'model_birth_timestamp': 361196.307132, 'theta': 2.3157541673790862, 'phi': -1.9269812384720575, 'norm_pos': [0.3891562646002981, 0.18842906214246447], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581496267.736257,"{'circle_3d': {'center': [-3.554090595974658, 7.503763682053228, 61.704399133256196], 'normal': [-0.25631224030467753, 0.6775236712309203, -0.6893951772327487], 'radius': 3.1767051604279954}, 'confidence': 0.828536987116572, 'timestamp': 361364.3145, 'diameter_3d': 6.353410320855991, 'ellipse': {'center': [124.52986986227776, 194.73350157681946], 'axes': [37.85851455126526, 63.885950338396015], 'angle': -68.86665780295378}, 'location': [124.52986986227776, 194.73350157681946], 'diameter': 63.885950338396015, 'sphere': {'center': [-0.47834371231852796, -0.6265203727178141, 69.97714126004918], 'radius': 12.0}, 'projected_sphere': {'center': [155.76185742519314, 114.44900686009002], 'axes': [212.64086717550975, 212.64086717550975], 'angle': 90.0}, 'model_confidence': 0.333576882728126, 'model_id': 1, 'model_birth_timestamp': 361196.307132, 'theta': 2.3151868577315264, 'phi': -1.9267523429716789, 'norm_pos': [0.389155843319618, 0.18861041009658552], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581496267.7443259,"{'circle_3d': {'center': [-3.575129066959558, 7.494489714302623, 61.70313886496896], 'normal': [-0.2580654462200858, 0.6767508405850364, -0.689500199590018], 'radius': 3.1675998577910365}, 'confidence': 0.927007070161472, 'timestamp': 361364.3229, 'diameter_3d': 6.335199715582073, 'ellipse': {'center': [124.31811352574053, 194.6462326931911], 'axes': [37.757450182866684, 63.703882422314095], 'angle': -68.71452708876043}, 'location': [124.31811352574053, 194.6462326931911], 'diameter': 63.703882422314095, 'sphere': {'center': [-0.47834371231852796, -0.6265203727178141, 69.97714126004918], 'radius': 12.0}, 'projected_sphere': {'center': [155.76185742519314, 114.44900686009002], 'axes': [212.64086717550975, 212.64086717550975], 'angle': 90.0}, 'model_confidence': 0.3332304373573347, 'model_id': 1, 'model_birth_timestamp': 361196.307132, 'theta': 2.3141366114902535, 'phi': -1.9289347389838816, 'norm_pos': [0.38849410476793916, 0.18897403044503702], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581496267.7522,"{'circle_3d': {'center': [-3.569598406173372, 7.474533726921133, 61.68153598421527], 'normal': [-0.257604557821237, 0.675087841636579, -0.6913004396528258], 'radius': 3.1539053244378934}, 'confidence': 0.9169145905543423, 'timestamp': 361364.3313, 'diameter_3d': 6.307810648875787, 'ellipse': {'center': [124.35973431462372, 194.47641860519172], 'axes': [37.74871070365806, 63.450131183278835], 'angle': -68.6992258453146}, 'location': [124.35973431462372, 194.47641860519172], 'diameter': 63.450131183278835, 'sphere': {'center': [-0.47834371231852796, -0.6265203727178141, 69.97714126004918], 'radius': 12.0}, 'projected_sphere': {'center': [155.76185742519314, 114.44900686009002], 'axes': [212.64086717550975, 212.64086717550975], 'angle': 90.0}, 'model_confidence': 0.3330885297432862, 'model_id': 1, 'model_birth_timestamp': 361196.307132, 'theta': 2.3118800914950506, 'phi': -1.9274942717755679, 'norm_pos': [0.38862416973319913, 0.18968158914503452], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
