eye_packets,708
norm_X,norm_Y,phi,theta,confidence,timestamp
1581497139.0595899,"{'circle_3d': {'center': [0.2923157610349145, 0.26798655631096846, 3.4609279143224185], 'normal': [-0.24327673622324053, 0.5723669453795953, -0.7830788654084588], 'radius': 0.29455429236616243}, 'confidence': 0.13949999051157935, 'timestamp': 362235.67145, 'diameter_3d': 0.5891085847323249, 'ellipse': {'center': [213.37131231539638, 166.12418507430806], 'axes': [79.93657104886894, 106.24010781032018], 'angle': -73.71944655030084}, 'location': [213.37131231539638, 166.12418507430806], 'diameter': 106.24010781032018, 'sphere': {'center': [3.2116365957138013, -6.600416788244176, 12.857874299223926], 'radius': 12.0}, 'projected_sphere': {'center': [314.86344344358247, -198.26865883720677], 'axes': [1157.2674964553141, 1157.2674964553141], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.1801858110871786, 'phi': -1.872010373231913, 'norm_pos': [0.6667853509856136, 0.30781589552371647], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.071265,"{'circle_3d': {'center': [0.31563179929012897, 0.37186084585153356, 3.5304683998229667], 'normal': [-0.24133373303530603, 0.5810231361746424, -0.77728382495008], 'radius': 0.2938811125887097}, 'confidence': 0.1477284090400493, 'timestamp': 362235.67985, 'diameter_3d': 0.5877622251774194, 'ellipse': {'center': [216.38993114229123, 183.53808771735086], 'axes': [75.85847501365306, 104.03128810322572], 'angle': -74.42462614908356}, 'location': [216.38993114229123, 183.53808771735086], 'diameter': 104.03128810322572, 'sphere': {'center': [3.2116365957138013, -6.600416788244176, 12.857874299223926], 'radius': 12.0}, 'projected_sphere': {'center': [314.86344344358247, -198.26865883720677], 'axes': [1157.2674964553141, 1157.2674964553141], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.1907815527224876, 'phi': -1.8718429644172614, 'norm_pos': [0.6762185348196601, 0.23525796784437136], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.079618,"{'circle_3d': {'center': [0.31528340371729957, 0.3628078734594302, 3.5238162054549367], 'normal': [-0.2413627659997085, 0.5802687218086339, -0.7778381744807491], 'radius': 0.2944260013038789}, 'confidence': 0.1610245675363191, 'timestamp': 362235.68825, 'diameter_3d': 0.5888520026077578, 'ellipse': {'center': [216.44095783749268, 182.0519493890634], 'axes': [76.35743061279499, 104.41578225679538], 'angle': -74.40786006195727}, 'location': [216.44095783749268, 182.0519493890634], 'diameter': 104.41578225679538, 'sphere': {'center': [3.2116365957138013, -6.600416788244176, 12.857874299223926], 'radius': 12.0}, 'projected_sphere': {'center': [314.86344344358247, -198.26865883720677], 'axes': [1157.2674964553141, 1157.2674964553141], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.1898549314654154, 'phi': -1.8716751792690312, 'norm_pos': [0.6763779932421646, 0.2414502108789025], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.0870678,"{'circle_3d': {'center': [0.3166466280805609, 0.36182953315849975, 3.5226635759773526], 'normal': [-0.24124916396943671, 0.580187193450223, -0.7779342269372145], 'radius': 0.2949684932452805}, 'confidence': 0.13969155113284787, 'timestamp': 362235.69665, 'diameter_3d': 0.589936986490561, 'ellipse': {'center': [216.70363251726883, 181.8924263669726], 'axes': [76.55620399860993, 104.64649935512648], 'angle': -74.43909423429119}, 'location': [216.70363251726883, 181.8924263669726], 'diameter': 104.64649935512648, 'sphere': {'center': [3.2116365957138013, -6.600416788244176, 12.857874299223926], 'radius': 12.0}, 'projected_sphere': {'center': [314.86344344358247, -198.26865883720677], 'axes': [1157.2674964553141, 1157.2674964553141], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.189754829622631, 'phi': -1.8715070177872224, 'norm_pos': [0.6771988516164651, 0.24211489013761422], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.094996,"{'circle_3d': {'center': [0.31801253346838054, 0.36084558645551823, 3.521506379257154], 'normal': [-0.24113533852045177, 0.5801051978916413, -0.7780306599972311], 'radius': 0.2957058681530492}, 'confidence': 0.13578871427191577, 'timestamp': 362235.70505, 'diameter_3d': 0.5914117363060984, 'ellipse': {'center': [216.96833253337073, 181.72948668153288], 'axes': [76.80636639077169, 104.94690267293728], 'angle': -74.47050896962371}, 'location': [216.96833253337073, 181.72948668153288], 'diameter': 104.94690267293728, 'sphere': {'center': [3.2116365957138013, -6.600416788244176, 12.857874299223926], 'radius': 12.0}, 'projected_sphere': {'center': [314.86344344358247, -198.26865883720677], 'axes': [1157.2674964553141, 1157.2674964553141], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.1896541613427374, 'phi': -1.8713384799718351, 'norm_pos': [0.6780260391667835, 0.24279380549361307], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.102874,"{'circle_3d': {'center': [0.31938112351402825, 0.3598560321695361, 3.520344617935592], 'normal': [-0.2410212893499811, 0.580022735034476, -0.7781274734406946], 'radius': 0.29522477477039727}, 'confidence': 0.12199821469726062, 'timestamp': 362235.71345, 'diameter_3d': 0.5904495495407945, 'ellipse': {'center': [217.22567518366554, 181.58040045188687], 'axes': [76.73863460629603, 104.81384576837749], 'angle': -74.5017089543988}, 'location': [217.22567518366554, 181.58040045188687], 'diameter': 104.81384576837749, 'sphere': {'center': [3.2116365957138013, -6.600416788244176, 12.857874299223926], 'radius': 12.0}, 'projected_sphere': {'center': [314.86344344358247, -198.26865883720677], 'axes': [1157.2674964553141, 1157.2674964553141], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.1895529266257356, 'phi': -1.8711695658228689, 'norm_pos': [0.6788302349489548, 0.24341499811713807], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.1113338,"{'circle_3d': {'center': [0.5471221471767049, 0.5529742647221711, 3.5988592761840543], 'normal': [-0.22204287071142473, 0.596115921080529, -0.7715845852533227], 'radius': 0.2953496271620851}, 'confidence': 0.13335153245869275, 'timestamp': 362235.72185, 'diameter_3d': 0.5906992543241703, 'ellipse': {'center': [255.23141294218257, 213.5990842958483], 'axes': [71.73119444878813, 103.46658317736588], 'angle': -79.31067954432527}, 'location': [255.23141294218257, 213.5990842958483], 'diameter': 103.46658317736588, 'sphere': {'center': [3.2116365957138013, -6.600416788244176, 12.857874299223926], 'radius': 12.0}, 'projected_sphere': {'center': [314.86344344358247, -198.26865883720677], 'axes': [1157.2674964553141, 1157.2674964553141], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.2094511254716247, 'phi': -1.851000275340324, 'norm_pos': [0.7975981654443205, 0.11000381543396542], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.1193001,"{'circle_3d': {'center': [0.00485923260297394, 0.24607375592851177, 3.538960941326776], 'normal': [-0.2672314469259023, 0.5705408786810573, -0.7765761131580958], 'radius': 0.2958453685047338}, 'confidence': 0.08068124939229526, 'timestamp': 362235.73025, 'diameter_3d': 0.5916907370094676, 'ellipse': {'center': [161.75533998459758, 161.30516222283578], 'axes': [76.60646240331123, 103.8467993845246], 'angle': -66.70172638539898}, 'location': [161.75533998459758, 161.30516222283578], 'diameter': 103.8467993845246, 'sphere': {'center': [3.2116365957138013, -6.600416788244176, 12.857874299223926], 'radius': 12.0}, 'projected_sphere': {'center': [314.86344344358247, -198.26865883720677], 'axes': [1157.2674964553141, 1157.2674964553141], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.177960620241111, 'phi': -1.9022187461616071, 'norm_pos': [0.5054854374518675, 0.327895157404851], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.127918,"{'circle_3d': {'center': [0.13957976640802539, 0.26819712010020336, 3.5099007318878535], 'normal': [-0.25600473577548133, 0.5723844923620316, -0.7789977972780061], 'radius': 0.29441766085518983}, 'confidence': 0.16702889637078394, 'timestamp': 362235.73865, 'diameter_3d': 0.5888353217103797, 'ellipse': {'center': [185.59661181420427, 165.55606171498127], 'axes': [77.59481399395798, 104.36791183775446], 'angle': -69.95314486131282}, 'location': [185.59661181420427, 165.55606171498127], 'diameter': 104.36791183775446, 'sphere': {'center': [3.2116365957138013, -6.600416788244176, 12.857874299223926], 'radius': 12.0}, 'projected_sphere': {'center': [314.86344344358247, -198.26865883720677], 'axes': [1157.2674964553141, 1157.2674964553141], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.180207210068443, 'phi': -1.888311041549347, 'norm_pos': [0.5799894119193884, 0.310183076187578], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.135903,"{'circle_3d': {'center': [-0.032902145519198456, 0.3639454422650692, 3.6399229498787555], 'normal': [-0.27037822843608333, 0.5803635192091038, -0.768162612445431], 'radius': 0.29561795464993995}, 'confidence': 0.17604218532509963, 'timestamp': 362235.74705, 'diameter_3d': 0.5912359092998799, 'ellipse': {'center': [155.23214210645108, 180.33199908457368], 'axes': [71.42852903685565, 100.8917304147964], 'angle': -66.79576294484016}, 'location': [155.23214210645108, 180.33199908457368], 'diameter': 100.8917304147964, 'sphere': {'center': [3.2116365957138013, -6.600416788244176, 12.857874299223926], 'radius': 12.0}, 'projected_sphere': {'center': [314.86344344358247, -198.26865883720677], 'axes': [1157.2674964553141, 1157.2674964553141], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.1899713342313043, 'phi': -1.909234383702697, 'norm_pos': [0.4851004440826596, 0.24861667048094305], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.1433868,"{'circle_3d': {'center': [0.25511837776200963, 0.3548429293673241, 3.53674978082541], 'normal': [-0.2463765181626493, 0.579604976467625, -0.7767603765332097], 'radius': 0.2941750165443665}, 'confidence': 0.10571391741272823, 'timestamp': 362235.75545, 'diameter_3d': 0.588350033088733, 'ellipse': {'center': [205.669015314082, 180.43945751959137], 'axes': [75.79494029973254, 103.77635754367684], 'angle': -72.99023037608335}, 'location': [205.669015314082, 180.43945751959137], 'diameter': 103.77635754367684, 'sphere': {'center': [3.2116365957138013, -6.600416788244176, 12.857874299223926], 'radius': 12.0}, 'projected_sphere': {'center': [314.86344344358247, -198.26865883720677], 'axes': [1157.2674964553141, 1157.2674964553141], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.1890401814845104, 'phi': -1.8779434095301653, 'norm_pos': [0.6427156728565062, 0.24816892700170257], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
