eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1581495138.031292,"{'circle_3d': {'center': [0.7673546462299119, 1.702283817864318, 4.194385041250957], 'normal': [-0.21205738255143505, 0.6797052332237681, -0.7021627036760479], 'radius': 1.876431296590085}, 'confidence': 0.03838391909901943, 'timestamp': 360234.574169, 'diameter_3d': 3.75286259318017, 'ellipse': {'center': [306.7986279272217, 334.1309204104954], 'axes': [278.41355567748445, 603.5667118064405], 'angle': -80.21204795093922}, 'location': [306.7986279272217, 334.1309204104954], 'diameter': 603.5667118064405, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.3181570152116997, 'phi': -1.8640925138007327, 'norm_pos': [0.9587457122725678, -0.3922121683770641], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.031499,"{'circle_3d': {'center': [0.7685722824717374, 1.701216873310429, 4.19298475946756], 'normal': [-0.21195591286461626, 0.6796163211776106, -0.7022793938246643], 'radius': 1.878072743797453}, 'confidence': 0.03693137814864427, 'timestamp': 360234.582569, 'diameter_3d': 3.756145487594906, 'ellipse': {'center': [307.11928686865923, 333.93768188931], 'axes': [278.97200195551636, 604.4062976286493], 'angle': -80.23166747743474}, 'location': [307.11928686865923, 333.93768188931], 'diameter': 604.4062976286493, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.31803580345187, 'phi': -1.86391410801045, 'norm_pos': [0.9597477714645601, -0.391407007872125], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.0315928,"{'circle_3d': {'center': [0.6017260189903886, 1.7000781414815407, 4.244045264937528], 'normal': [-0.22585976815472872, 0.6795214268585368, -0.6980243517021671], 'radius': 1.8783428185179747}, 'confidence': 0.0362613880091975, 'timestamp': 360234.590969, 'diameter_3d': 3.7566856370359494, 'ellipse': {'center': [279.00362770837927, 332.05366312717996], 'axes': [272.6072423298471, 592.8821319672107], 'angle': -78.2538069055273}, 'location': [279.00362770837927, 332.05366312717996], 'diameter': 592.8821319672107, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.3179064512105856, 'phi': -1.8837343337895758, 'norm_pos': [0.8718863365886852, -0.38355692969658306], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.031692,"{'circle_3d': {'center': [0.7827425155411909, 1.6988675966359867, 4.186449332973806], 'normal': [-0.21077506010882852, 0.6794205481214073, -0.7028240126991439], 'radius': 1.8770780332332022}, 'confidence': 0.031990759866279236, 'timestamp': 360234.599369, 'diameter_3d': 3.7541560664664044, 'ellipse': {'center': [309.60553906818683, 333.8322638107921], 'axes': [279.7868060858506, 605.4146517591217], 'angle': -80.40634976722163}, 'location': [309.60553906818683, 333.8322638107921], 'diameter': 605.4146517591217, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.317768958487847, 'phi': -1.862158945846007, 'norm_pos': [0.9675173095880838, -0.3909677658783004], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.0318341,"{'circle_3d': {'center': [0.769976847763012, 1.697585211418673, 4.189048199162427], 'normal': [-0.21183886575701005, 0.679313682686631, -0.7026074405167587], 'radius': 1.8767662210409344}, 'confidence': 0.03481680368057618, 'timestamp': 360234.607769, 'diameter_3d': 3.7535324420818688, 'ellipse': {'center': [307.47079676727697, 333.5586606932291], 'axes': [279.52686347677394, 604.5808723008001], 'angle': -80.25862685903414}, 'location': [307.47079676727697, 333.5586606932291], 'diameter': 604.5808723008001, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.3176233252836536, 'phi': -1.863632251184215, 'norm_pos': [0.9608462398977405, -0.3898277528884546], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.0443652,"{'circle_3d': {'center': [0.6030163067089389, 1.6962309568622942, 4.239884577584556], 'normal': [-0.22575224417818282, 0.679200828140266, -0.698371075648248], 'radius': 1.8785302257846974}, 'confidence': 0.04613869033894863, 'timestamp': 360234.616169, 'diameter_3d': 3.757060451569395, 'ellipse': {'center': [279.37197759282833, 331.58783473735195], 'axes': [273.46612706026775, 593.5961152437108], 'angle': -78.27806827435735}, 'location': [279.37197759282833, 331.58783473735195], 'diameter': 593.5961152437108, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.3174695515980046, 'phi': -1.8834495160558167, 'norm_pos': [0.8730374299775885, -0.38161597807229986], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.0445042,"{'circle_3d': {'center': [0.7840874194516267, 1.6948048023886209, 4.182120689956786], 'normal': [-0.21066298478295883, 0.6790819819341266, -0.7031847329505622], 'radius': 1.876875782688461}, 'confidence': 0.0374974982594372, 'timestamp': 360234.624569, 'diameter_3d': 3.753751565376922, 'ellipse': {'center': [310.01328151037364, 333.34831121277006], 'axes': [280.6284313218719, 606.0509661905475], 'angle': -80.43553608777614}, 'location': [310.01328151037364, 333.34831121277006], 'diameter': 606.0509661905475, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.317307637430902, 'phi': -1.8618715433303528, 'norm_pos': [0.9687915047199176, -0.38895129671987516], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.063765,"{'circle_3d': {'center': [0.6870539280654735, 1.6933067157992046, 4.210348903198106], 'normal': [-0.21874910906513825, 0.6789571413850086, -0.7008323818471188], 'radius': 1.8789080798802056}, 'confidence': 0.033670186572580994, 'timestamp': 360234.632969, 'diameter_3d': 3.757816159760411, 'ellipse': {'center': [293.64453040821263, 332.0895327634029], 'axes': [277.60674677484485, 600.0798904560493], 'angle': -79.28670574910703}, 'location': [293.64453040821263, 332.0895327634029], 'diameter': 600.0798904560493, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.317137582781138, 'phi': -1.8733418645098339, 'norm_pos': [0.9176391575256645, -0.38370638651417854], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.064001,"{'circle_3d': {'center': [0.6100409067375114, 1.6917366633188173, 4.233249687644825], 'normal': [-0.22516686084246842, 0.6788263036783097, -0.6989239831432256], 'radius': 1.87804566023357}, 'confidence': 0.03966222941763028, 'timestamp': 360234.641369, 'diameter_3d': 3.75609132046714, 'ellipse': {'center': [280.7017439759737, 331.13080194825625], 'axes': [274.5832957713185, 594.5693598537007], 'angle': -78.37161418416513}, 'location': [280.7017439759737, 331.13080194825625], 'diameter': 594.5693598537007, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.3169593876510692, 'phi': -1.8824593603662354, 'norm_pos': [0.8771929499249179, -0.37971167478440093], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.082417,"{'circle_3d': {'center': [0.6999292329455167, 1.6900946095346718, 4.203231800149769], 'normal': [-0.21767616699180134, 0.6786894658629642, -0.7014254737678135], 'radius': 1.8787442108219414}, 'confidence': 0.04267546788189782, 'timestamp': 360234.649769, 'diameter_3d': 3.757488421643883, 'ellipse': {'center': [295.9544800743489, 331.82996483805204], 'axes': [278.7411646526221, 601.4123301592826], 'angle': -79.449183836361}, 'location': [295.9544800743489, 331.82996483805204], 'diameter': 601.4123301592826, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.316773052039546, 'phi': -1.8717066769869453, 'norm_pos': [0.9248577502323403, -0.38262485349188347], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.082518,"{'circle_3d': {'center': [0.6089343275359522, 1.6883805174390005, 4.23034779277749], 'normal': [-0.2252590757759317, 0.6785466248549916, -0.6991658077155035], 'radius': 1.878011476642634}, 'confidence': 0.04103570350304882, 'timestamp': 360234.658169, 'diameter_3d': 3.756022953285268, 'ellipse': {'center': [280.6433481575811, 330.70701276586067], 'axes': [275.2048446259616, 594.9676127851513], 'angle': -78.36620579835133}, 'location': [280.6433481575811, 330.70701276586067], 'diameter': 594.9676127851513, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.316578575946568, 'phi': -1.8824779006586843, 'norm_pos': [0.8770104629924409, -0.3779458865244194], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
