eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1581494368.220096,"{'circle_3d': {'center': [-0.4682915983009086, 1.9932342314696445, 28.92958127445822], 'normal': [-0.29891670765588374, 0.4864881877925836, -0.8209616586799013], 'radius': 1.3658906760384015}, 'confidence': 0.9926524839466794, 'timestamp': 359465.292555, 'diameter_3d': 2.731781352076803, 'ellipse': {'center': [150.29599204100944, 162.1963744721528], 'axes': [45.84190351912754, 58.5792904965407], 'angle': -59.904537978498404}, 'location': [150.29599204100944, 162.1963744721528], 'diameter': 58.5792904965407, 'sphere': {'center': [3.1187088935696963, -3.8446240220413586, 38.781121178617035], 'radius': 12.0}, 'projected_sphere': {'center': [209.8592989384575, 58.535379555247665], 'axes': [383.69184664533293, 383.69184664533293], 'angle': 90.0}, 'model_confidence': 0.09870729752332608, 'model_id': 15, 'model_birth_timestamp': 359453.095755, 'theta': 2.0788620300219485, 'phi': -1.91998167105039, 'norm_pos': [0.4696749751281545, 0.3241817730326967], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494368.228512,"{'circle_3d': {'center': [-0.4710337425045865, 1.991176943141296, 28.92936118856837], 'normal': [-0.2991452196728569, 0.48631674709855455, -0.820979999170722], 'radius': 1.35080200144874}, 'confidence': 0.9956012019552313, 'timestamp': 359465.300955, 'diameter_3d': 2.70160400289748, 'ellipse': {'center': [150.23007008704752, 162.1642078013847], 'axes': [45.337064637001376, 57.93206358886694], 'angle': -59.87055555233089}, 'location': [150.23007008704752, 162.1642078013847], 'diameter': 57.93206358886694, 'sphere': {'center': [3.1187088935696963, -3.8446240220413586, 38.781121178617035], 'radius': 12.0}, 'projected_sphere': {'center': [209.8592989384575, 58.535379555247665], 'axes': [383.69184664533293, 383.69184664533293], 'angle': 90.0}, 'model_confidence': 0.10078100662246348, 'model_id': 15, 'model_birth_timestamp': 359453.095755, 'theta': 2.078665814100413, 'phi': -1.920220227920495, 'norm_pos': [0.4694689690220235, 0.32431580082756384], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494368.2377658,"{'circle_3d': {'center': [-0.4746900427351992, 1.9843437656585392, 28.92664916767095], 'normal': [-0.29944991135874127, 0.48574731564165813, -0.8212060009121739], 'radius': 1.3676317460400764}, 'confidence': 0.9911450605639707, 'timestamp': 359465.309355, 'diameter_3d': 2.735263492080153, 'ellipse': {'center': [150.1593655848681, 162.00921901085934], 'axes': [45.92671480861332, 58.65966962915343], 'angle': -59.80555905925886}, 'location': [150.1593655848681, 162.00921901085934], 'diameter': 58.65966962915343, 'sphere': {'center': [3.1187088935696963, -3.8446240220413586, 38.781121178617035], 'radius': 12.0}, 'projected_sphere': {'center': [209.8592989384575, 58.535379555247665], 'axes': [383.69184664533293, 383.69184664533293], 'angle': 90.0}, 'model_confidence': 0.10047176248793033, 'model_id': 15, 'model_birth_timestamp': 359453.095755, 'theta': 2.078014246684621, 'phi': -1.9204592236756675, 'norm_pos': [0.46924801745271283, 0.3249615874547528], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494368.24421,"{'circle_3d': {'center': [-0.4612588650668328, 1.9948435396158706, 28.92797703862416], 'normal': [-0.2983306465530441, 0.4866222968047691, -0.8210953449994062], 'radius': 1.368474997631325}, 'confidence': 0.9922814506559169, 'timestamp': 359465.317755, 'diameter_3d': 2.73694999526265, 'ellipse': {'center': [150.44696232625037, 162.23096380677455], 'axes': [45.94154866357828, 58.69363739986589], 'angle': -59.97386044469216}, 'location': [150.44696232625037, 162.23096380677455], 'diameter': 58.69363739986589, 'sphere': {'center': [3.1187088935696963, -3.8446240220413586, 38.781121178617035], 'radius': 12.0}, 'projected_sphere': {'center': [209.8592989384575, 58.535379555247665], 'axes': [383.69184664533293, 383.69184664533293], 'angle': 90.0}, 'model_confidence': 0.10118838391945939, 'model_id': 15, 'model_birth_timestamp': 359453.095755, 'theta': 2.0790155343327212, 'phi': -1.9192989520729264, 'norm_pos': [0.4701467572695324, 0.32403765080510605], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494368.257317,"{'circle_3d': {'center': [-0.47035938043782544, 1.9851777823253771, 28.925564378196523], 'normal': [-0.29908902283396016, 0.4858168170305613, -0.8212964000350427], 'radius': 1.3740822197870053}, 'confidence': 0.9940491596277398, 'timestamp': 359465.326155, 'diameter_3d': 2.7481644395740106, 'ellipse': {'center': [150.25468532191618, 162.02356815171896], 'axes': [46.1524008262114, 58.938858109015904], 'angle': -59.84751404120105}, 'location': [150.25468532191618, 162.02356815171896], 'diameter': 58.938858109015904, 'sphere': {'center': [3.1187088935696963, -3.8446240220413586, 38.781121178617035], 'radius': 12.0}, 'projected_sphere': {'center': [209.8592989384575, 58.535379555247665], 'axes': [383.69184664533293, 383.69184664533293], 'angle': 90.0}, 'model_confidence': 0.10225469729802095, 'model_id': 15, 'model_birth_timestamp': 359453.095755, 'theta': 2.0780937604496947, 'phi': -1.9200358896964613, 'norm_pos': [0.4695458916309881, 0.3249017993678377], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494368.2656798,"{'circle_3d': {'center': [-0.4800429330451981, 1.984076045987023, 28.92844434399986], 'normal': [-0.2998959855512412, 0.4857250056690318, -0.8210564028847646], 'radius': 1.3763733727304455}, 'confidence': 0.9913667592291684, 'timestamp': 359465.334555, 'diameter_3d': 2.752746745460891, 'ellipse': {'center': [150.04987458452644, 161.99434992625157], 'axes': [46.20591255048792, 59.03110735430538], 'angle': -59.757506442242324}, 'location': [150.04987458452644, 161.99434992625157], 'diameter': 59.03110735430538, 'sphere': {'center': [3.1187088935696963, -3.8446240220413586, 38.781121178617035], 'radius': 12.0}, 'projected_sphere': {'center': [209.8592989384575, 58.535379555247665], 'axes': [383.69184664533293, 383.69184664533293], 'angle': 90.0}, 'model_confidence': 0.10257554512785871, 'model_id': 15, 'model_birth_timestamp': 359453.095755, 'theta': 2.077988723480324, 'phi': -1.9209972910186242, 'norm_pos': [0.4689058580766451, 0.3250235419739518], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494368.272096,"{'circle_3d': {'center': [-0.4775208918848062, 1.982027268777971, 28.92631189251701], 'normal': [-0.29968581545454187, 0.4855542742349441, -0.8212341071750021], 'radius': 1.3760268575675338}, 'confidence': 0.9914467266472231, 'timestamp': 359465.342955, 'diameter_3d': 2.7520537151350677, 'ellipse': {'center': [150.10293081040695, 161.95377797935257], 'axes': [46.2124074712759, 59.02060115960418], 'angle': -59.76959643657161}, 'location': [150.10293081040695, 161.95377797935257], 'diameter': 59.02060115960418, 'sphere': {'center': [3.1187088935696963, -3.8446240220413586, 38.781121178617035], 'radius': 12.0}, 'projected_sphere': {'center': [209.8592989384575, 58.535379555247665], 'axes': [383.69184664533293, 383.69184664533293], 'angle': 90.0}, 'model_confidence': 0.10289263577464292, 'model_id': 15, 'model_birth_timestamp': 359453.095755, 'theta': 2.0777934141439376, 'phi': -1.9207017298199538, 'norm_pos': [0.4690716587825217, 0.32519259175269766], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494368.2797928,"{'circle_3d': {'center': [-0.4800503231483768, 1.9873143037891055, 28.93036346848141], 'normal': [-0.29989660139317276, 0.485994860485872, -0.8208964758446355], 'radius': 1.3711589144961496}, 'confidence': 0.9934513506266546, 'timestamp': 359465.351355, 'diameter_3d': 2.742317828992299, 'ellipse': {'center': [150.04772254693185, 162.06487200424516], 'axes': [46.01399169485835, 58.80345672097286], 'angle': -59.77313798080369}, 'location': [150.04772254693185, 162.06487200424516], 'diameter': 58.80345672097286, 'sphere': {'center': [3.1187088935696963, -3.8446240220413586, 38.781121178617035], 'radius': 12.0}, 'projected_sphere': {'center': [209.8592989384575, 58.535379555247665], 'axes': [383.69184664533293, 383.69184664533293], 'angle': 90.0}, 'model_confidence': 0.10309108497633668, 'model_id': 15, 'model_birth_timestamp': 359453.095755, 'theta': 2.078297468895437, 'phi': -1.9210607346296675, 'norm_pos': [0.468899132959162, 0.3247296999823118], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494368.288516,"{'circle_3d': {'center': [-0.4775039804040988, 1.9770961487434295, 28.92339186512183], 'normal': [-0.29968440616448294, 0.485143347565399, -0.8214774427912672], 'radius': 1.3644134307479783}, 'confidence': 0.9918599897500424, 'timestamp': 359465.359755, 'diameter_3d': 2.7288268614959565, 'ellipse': {'center': [150.09674913682045, 161.86134128456948], 'axes': [45.84697350466584, 58.52793672551099], 'angle': -59.74572668105771}, 'location': [150.09674913682045, 161.86134128456948], 'diameter': 58.52793672551099, 'sphere': {'center': [3.1187088935696963, -3.8446240220413586, 38.781121178617035], 'radius': 12.0}, 'projected_sphere': {'center': [209.8592989384575, 58.535379555247665], 'axes': [383.69184664533293, 383.69184664533293], 'angle': 90.0}, 'model_confidence': 0.10288347429917577, 'model_id': 15, 'model_birth_timestamp': 359453.095755, 'theta': 2.0773234187310403, 'phi': -1.920604819751814, 'norm_pos': [0.4690523410525639, 0.32557774464762723], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494368.296242,"{'circle_3d': {'center': [-0.4789841818148375, 1.9756154519086024, 28.923057626316062], 'normal': [-0.2998077562820445, 0.4850199561624967, -0.821505296025081], 'radius': 1.356028602759378}, 'confidence': 0.9947843350420164, 'timestamp': 359465.368155, 'diameter_3d': 2.712057205518756, 'ellipse': {'center': [150.0609594192324, 161.8365427290943], 'axes': [45.56790575739924, 58.168618790588916], 'angle': -59.72553859799874}, 'location': [150.0609594192324, 161.8365427290943], 'diameter': 58.168618790588916, 'sphere': {'center': [3.1187088935696963, -3.8446240220413586, 38.781121178617035], 'radius': 12.0}, 'projected_sphere': {'center': [209.8592989384575, 58.535379555247665], 'axes': [383.69184664533293, 383.69184664533293], 'angle': 90.0}, 'model_confidence': 0.10490422650624165, 'model_id': 15, 'model_birth_timestamp': 359453.095755, 'theta': 2.0771823143322132, 'phi': -1.9207264134121627, 'norm_pos': [0.46894049818510125, 0.32568107196210705], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494368.304428,"{'circle_3d': {'center': [-0.4773838023317407, 1.9849637386169308, 28.927998634810557], 'normal': [-0.29967439132511975, 0.48579898005485744, -0.8210935453172065], 'radius': 1.3677986772355397}, 'confidence': 0.995482406113129, 'timestamp': 359465.376555, 'diameter_3d': 2.7355973544710794, 'ellipse': {'center': [150.10231965504917, 162.02048624214984], 'axes': [45.92108092338154, 58.66405327831711], 'angle': -59.785017016281685}, 'location': [150.10231965504917, 162.02048624214984], 'diameter': 58.66405327831711, 'sphere': {'center': [3.1187088935696963, -3.8446240220413586, 38.781121178617035], 'radius': 12.0}, 'projected_sphere': {'center': [209.8592989384575, 58.535379555247665], 'axes': [383.69184664533293, 383.69184664533293], 'angle': 90.0}, 'model_confidence': 0.10633448714387761, 'model_id': 15, 'model_birth_timestamp': 359453.095755, 'theta': 2.0780733535425275, 'phi': -1.9207445798799359, 'norm_pos': [0.4690697489220287, 0.32491464065770903], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
