eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1581555309.49573,"{'circle_3d': {'center': [-6.793117780549854, 2.3198356246732343, 45.669743761694285], 'normal': [-0.25532229835336756, 0.6303565187597675, -0.73311744162898], 'radius': 1.4982830811044132}, 'confidence': 0.9948377262049916, 'timestamp': 400723.296848, 'diameter_3d': 2.9965661622088264, 'ellipse': {'center': [67.85751890542603, 151.20061191297904], 'axes': [26.834917296267328, 40.92515446947553], 'angle': -62.59270573632325}, 'location': [67.85751890542603, 151.20061191297904], 'diameter': 40.92515446947553, 'sphere': {'center': [-3.729250200309443, -5.244442600443976, 54.467153061242044], 'radius': 12.0}, 'projected_sphere': {'center': [117.54991780840601, 60.30247168198297], 'axes': [273.19217480063907, 273.19217480063907], 'angle': 90.0}, 'model_confidence': 0.38781665026477175, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.252808703204036, 'phi': -1.9059284888152415, 'norm_pos': [0.21205474657945636, 0.36999745036258735], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555309.501802,"{'circle_3d': {'center': [-6.790157484122011, 2.3052275319207105, 45.65617539174454], 'normal': [-0.25507560698438064, 0.6291391776970572, -0.7342481391247924], 'radius': 1.4876254504550108}, 'confidence': 0.994948141272565, 'timestamp': 400723.305248, 'diameter_3d': 2.9752509009100216, 'ellipse': {'center': [67.86947697500464, 151.01555029436642], 'axes': [26.708938768052512, 40.64611609586739], 'angle': -62.55126559910687}, 'location': [67.86947697500464, 151.01555029436642], 'diameter': 40.64611609586739, 'sphere': {'center': [-3.729250200309443, -5.244442600443976, 54.467153061242044], 'radius': 12.0}, 'projected_sphere': {'center': [117.54991780840601, 60.30247168198297], 'axes': [273.19217480063907, 273.19217480063907], 'angle': 90.0}, 'model_confidence': 0.3884989353324819, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.251241579066043, 'phi': -1.9051503432884775, 'norm_pos': [0.2120921155468895, 0.37076854044013996], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555309.5096169,"{'circle_3d': {'center': [-6.786852806056433, 2.3279877150548636, 45.67457861332047], 'normal': [-0.2548002171455825, 0.6310358596249033, -0.7327145373267978], 'radius': 1.500732843942457}, 'confidence': 0.9949180961847354, 'timestamp': 400723.313648, 'diameter_3d': 3.001465687884914, 'ellipse': {'center': [67.95222911382011, 151.3069507054953], 'axes': [26.85877766155551, 40.98746882382419], 'angle': -62.664375389287734}, 'location': [67.95222911382011, 151.3069507054953], 'diameter': 40.98746882382419, 'sphere': {'center': [-3.729250200309443, -5.244442600443976, 54.467153061242044], 'radius': 12.0}, 'projected_sphere': {'center': [117.54991780840601, 60.30247168198297], 'axes': [273.19217480063907, 273.19217480063907], 'angle': 90.0}, 'model_confidence': 0.3894762045705713, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.253684108880894, 'phi': -1.9054637492770667, 'norm_pos': [0.21235071598068783, 0.3695543720604363], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555309.51886,"{'circle_3d': {'center': [-6.776683605669699, 2.313994554490649, 45.659021737584446], 'normal': [-0.2539527837800213, 0.6298697629112188, -0.7340109436381332], 'radius': 1.486981035213165}, 'confidence': 0.9909745743654823, 'timestamp': 400723.322048, 'diameter_3d': 2.97396207042633, 'ellipse': {'center': [68.05758462019784, 151.13274596223076], 'axes': [26.69005668700987, 40.62547004384326], 'angle': -62.66995304214829}, 'location': [68.05758462019784, 151.13274596223076], 'diameter': 40.62547004384326, 'sphere': {'center': [-3.729250200309443, -5.244442600443976, 54.467153061242044], 'radius': 12.0}, 'projected_sphere': {'center': [117.54991780840601, 60.30247168198297], 'axes': [273.19217480063907, 273.19217480063907], 'angle': 90.0}, 'model_confidence': 0.3882849557435897, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.2521818470784685, 'phi': -1.9038849827830253, 'norm_pos': [0.21267995193811826, 0.3702802251573718], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555309.525522,"{'circle_3d': {'center': [-6.801042948479752, 2.289826218630605, 45.646785570359995], 'normal': [-0.2559827290141924, 0.6278557349228817, -0.7350306242401704], 'radius': 1.4812515826190757}, 'confidence': 0.9961132383631363, 'timestamp': 400723.330448, 'diameter_3d': 2.9625031652381515, 'ellipse': {'center': [67.70261625978712, 150.81531303592027], 'axes': [26.633451814110103, 40.480728627173846], 'angle': -62.42125674713373}, 'location': [67.70261625978712, 150.81531303592027], 'diameter': 40.480728627173846, 'sphere': {'center': [-3.729250200309443, -5.244442600443976, 54.467153061242044], 'radius': 12.0}, 'projected_sphere': {'center': [117.54991780840601, 60.30247168198297], 'axes': [273.19217480063907, 273.19217480063907], 'angle': 90.0}, 'model_confidence': 0.3883391421376614, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.2495915096419337, 'phi': -1.9059213640399908, 'norm_pos': [0.21157067581183475, 0.37160286235033224], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555309.5340369,"{'circle_3d': {'center': [-6.796258897728757, 2.3048075999391333, 45.657937485382305], 'normal': [-0.2555840581182761, 0.6291041833652591, -0.7341012979883118], 'radius': 1.4699062155971383}, 'confidence': 0.9936512881378807, 'timestamp': 400723.338848, 'diameter_3d': 2.9398124311942766, 'ellipse': {'center': [67.78848186283335, 151.01558541436475], 'axes': [26.37959807988914, 40.16035798967011], 'angle': -62.51216425550728}, 'location': [67.78848186283335, 151.01558541436475], 'diameter': 40.16035798967011, 'sphere': {'center': [-3.729250200309443, -5.244442600443976, 54.467153061242044], 'radius': 12.0}, 'projected_sphere': {'center': [117.54991780840601, 60.30247168198297], 'axes': [273.19217480063907, 273.19217480063907], 'angle': 90.0}, 'model_confidence': 0.3878245061158636, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.25119655909405, 'phi': -1.905830218998905, 'norm_pos': [0.21183900582135423, 0.3707683941068135], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555309.5474539,"{'circle_3d': {'center': [-6.790308524377382, 2.3271066149396216, 45.67502223784784], 'normal': [-0.2550881936723282, 0.6309624346152998, -0.7326775686161835], 'radius': 1.4706705246301341}, 'confidence': 0.991997073618312, 'timestamp': 400723.347248, 'diameter_3d': 2.9413410492602683, 'ellipse': {'center': [67.90318383856211, 151.30639412701038], 'axes': [26.316634022433412, 40.165726555204934], 'angle': -62.63975945143706}, 'location': [67.90318383856211, 151.30639412701038], 'diameter': 40.165726555204934, 'sphere': {'center': [-3.729250200309443, -5.244442600443976, 54.467153061242044], 'radius': 12.0}, 'projected_sphere': {'center': [117.54991780840601, 60.30247168198297], 'axes': [273.19217480063907, 273.19217480063907], 'angle': 90.0}, 'model_confidence': 0.38670675104278684, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.253589462620178, 'phi': -1.905829999777474, 'norm_pos': [0.21219744949550662, 0.3695566911374567], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555309.553029,"{'circle_3d': {'center': [-6.773990385386565, 2.2974273415977082, 45.64390224407127], 'normal': [-0.2537283487564268, 0.628489161836807, -0.7352709014308977], 'radius': 1.4787496532394273}, 'confidence': 0.9923127327918119, 'timestamp': 400723.355648, 'diameter_3d': 2.9574993064788546, 'ellipse': {'center': [68.06316249531237, 150.921095798794], 'axes': [26.61405077517841, 40.41403205517017], 'angle': -62.618937653496026}, 'location': [68.06316249531237, 150.921095798794], 'diameter': 40.41403205517017, 'sphere': {'center': [-3.729250200309443, -5.244442600443976, 54.467153061242044], 'radius': 12.0}, 'projected_sphere': {'center': [117.54991780840601, 60.30247168198297], 'axes': [273.19217480063907, 273.19217480063907], 'angle': 90.0}, 'model_confidence': 0.38569825077293673, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.250405605534597, 'phi': -1.9030826622278567, 'norm_pos': [0.21269738279785116, 0.3711621008383583], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555309.560961,"{'circle_3d': {'center': [-6.795548990643624, 2.308322974304608, 45.66070406625616], 'normal': [-0.2555248991945151, 0.6293971312290486, -0.7338707495821568], 'radius': 1.4714778078438915}, 'confidence': 0.9910440524292741, 'timestamp': 400723.364048, 'diameter_3d': 2.942955615687783, 'ellipse': {'center': [67.8037764075509, 151.06084087647318], 'axes': [26.39528578867415, 40.2008097381134], 'angle': -62.53090237647903}, 'location': [67.8037764075509, 151.06084087647318], 'diameter': 40.2008097381134, 'sphere': {'center': [-3.729250200309443, -5.244442600443976, 54.467153061242044], 'radius': 12.0}, 'projected_sphere': {'center': [117.54991780840601, 60.30247168198297], 'axes': [273.19217480063907, 273.19217480063907], 'angle': 90.0}, 'model_confidence': 0.38462964987691084, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.2515734851808724, 'phi': -1.9058558725370385, 'norm_pos': [0.21188680127359655, 0.3705798296813617], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555309.569039,"{'circle_3d': {'center': [-6.779276424496293, 2.3069815662718325, 45.653905471045064], 'normal': [-0.25416885201557077, 0.6292853472263173, -0.734437299183082], 'radius': 1.500493926800011}, 'confidence': 0.9934705371012196, 'timestamp': 400723.372448, 'diameter_3d': 3.000987853600022, 'ellipse': {'center': [68.01371428339372, 151.03572757774396], 'axes': [26.955921586450074, 40.99961181836416], 'angle': -62.62529019642612}, 'location': [68.01371428339372, 151.03572757774396], 'diameter': 40.99961181836416, 'sphere': {'center': [-3.729250200309443, -5.244442600443976, 54.467153061242044], 'radius': 12.0}, 'projected_sphere': {'center': [117.54991780840601, 60.30247168198297], 'axes': [273.19217480063907, 273.19217480063907], 'angle': 90.0}, 'model_confidence': 0.38479307159832166, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.251429642920798, 'phi': -1.9039683486084864, 'norm_pos': [0.2125428571356054, 0.37068446842606684], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581555309.578909,"{'circle_3d': {'center': [-6.7923978254333095, 2.3090675151900735, 45.66024602416529], 'normal': [-0.2552623020936555, 0.6294591763028374, -0.7339089197563965], 'radius': 1.506766356984329}, 'confidence': 0.9760008281456969, 'timestamp': 400723.380848, 'diameter_3d': 3.013532713968658, 'ellipse': {'center': [67.84926181090671, 151.05749515587743], 'axes': [27.032533226771044, 41.16569783070696], 'angle': -62.553086558802306}, 'location': [67.84926181090671, 151.05749515587743], 'diameter': 41.16569783070696, 'sphere': {'center': [-3.729250200309443, -5.244442600443976, 54.467153061242044], 'radius': 12.0}, 'projected_sphere': {'center': [117.54991780840601, 60.30247168198297], 'axes': [273.19217480063907, 273.19217480063907], 'angle': 90.0}, 'model_confidence': 0.3851791511167102, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.2516533312402123, 'phi': -1.9055205645000377, 'norm_pos': [0.21202894315908347, 0.370593770183844], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
