imu_packets,1165
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1581656278.159729,0.03510,-0.03021,-0.99542,0.08368,0.0142
1581656278.163965,0.03503,-0.03015,-0.99542,0.08368,0.0142
1581656278.1701078,0.03497,-0.03009,-0.99542,0.08368,0.0142
1581656278.176176,0.03497,-0.03003,-0.99542,0.08374,0.0142
1581656278.180903,0.03491,-0.02991,-0.99542,0.08374,0.0142
1581656278.186419,0.03485,-0.02985,-0.99542,0.08374,0.0142
1581656278.192016,0.03485,-0.02972,-0.99542,0.08380,0.0142
1581656278.1976252,0.03485,-0.02966,-0.99542,0.08380,0.0142
1581656278.2036679,0.03479,-0.02948,-0.99542,0.08386,0.0142
1581656278.208554,0.03479,-0.02936,-0.99542,0.08386,0.0142
1581656278.21496,0.03479,-0.02930,-0.99542,0.08386,0.0142
1581656278.2202492,0.03479,-0.02917,-0.99542,0.08386,0.0142
1581656278.225385,0.03479,-0.02905,-0.99542,0.08386,0.0142
1581656278.230779,0.03473,-0.02899,-0.99542,0.08386,0.0142
1581656278.2363,0.03473,-0.02887,-0.99542,0.08386,0.0142
1581656278.243446,0.03473,-0.02875,-0.99548,0.08392,0.0142
1581656278.247676,0.03473,-0.02869,-0.99548,0.08386,0.0142
1581656278.252984,0.03467,-0.02856,-0.99548,0.08386,0.0142
1581656278.258634,0.03467,-0.02838,-0.99548,0.08386,0.0142
1581656278.2646642,0.03467,-0.02826,-0.99548,0.08386,0.0142
1581656278.269195,0.03467,-0.02814,-0.99548,0.08380,0.0142
1581656278.275172,0.03467,-0.02808,-0.99548,0.08380,0.0142
1581656278.280364,0.03467,-0.02795,-0.99548,0.08380,0.0142
1581656278.285673,0.03467,-0.02789,-0.99548,0.08374,0.0142
1581656278.291113,0.03467,-0.02777,-0.99548,0.08374,0.0142
1581656278.296551,0.03473,-0.02771,-0.99548,0.08368,0.0142
1581656278.303547,0.03473,-0.02765,-0.99548,0.08362,0.0142
1581656278.307682,0.03473,-0.02747,-0.99554,0.08356,0.0142
1581656278.313152,0.03479,-0.02740,-0.99554,0.08350,0.0142
1581656278.319763,0.03479,-0.02734,-0.99554,0.08350,0.0142
1581656278.3240378,0.03485,-0.02728,-0.99554,0.08344,0.0142
1581656278.3302588,0.03491,-0.02722,-0.99554,0.08344,0.0142
1581656278.335861,0.03491,-0.02716,-0.99554,0.08337,0.0142
1581656278.34113,0.03497,-0.02710,-0.99554,0.08331,0.0142
1581656278.346494,0.03503,-0.02710,-0.99554,0.08331,0.0142
