eye_packets,769
norm_X,norm_Y,phi,theta,confidence,timestamp
1582014693.933651,"{'circle_3d': {'center': [-2.9013452825266666, 9.413535336027978, 88.31263829821192], 'normal': [-0.12236575947570368, 0.6044593018952175, -0.787182045819314], 'radius': 3.0684759956407435}, 'confidence': 0.9964362259804005, 'timestamp': 7476.235395, 'diameter_3d': 6.136951991281487, 'ellipse': {'center': [139.6938430553393, 185.7618900315324], 'axes': [30.978921824514778, 43.09651634341344], 'angle': -77.97484931881043}, 'location': [139.6938430553393, 185.7618900315324], 'diameter': 43.09651634341344, 'sphere': {'center': [-1.4329561688182224, 2.1600237132853692, 97.75882284804369], 'radius': 12.0}, 'projected_sphere': {'center': [150.91199342643193, 133.69916968331958], 'axes': [152.21132544864489, 152.21132544864489], 'angle': 90.0}, 'model_confidence': 0.856604557472751, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.219883292649532, 'phi': -1.7250099436704605, 'norm_pos': [0.4365432595479353, 0.22599212486861497], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014693.940316,"{'circle_3d': {'center': [-2.9044019083094503, 9.398130976540445, 88.30130463863235], 'normal': [-0.12262047829093567, 0.6031756052712564, -0.7881265174509456], 'radius': 3.070333833863545}, 'confidence': 0.915721380230342, 'timestamp': 7476.243795, 'diameter_3d': 6.14066766772709, 'ellipse': {'center': [139.67012177435447, 185.66189990258624], 'axes': [31.05188566911516, 43.128111414882284], 'angle': -77.92717739321188}, 'location': [139.67012177435447, 185.66189990258624], 'diameter': 43.128111414882284, 'sphere': {'center': [-1.4329561688182224, 2.1600237132853692, 97.75882284804369], 'radius': 12.0}, 'projected_sphere': {'center': [150.91199342643193, 133.69916968331958], 'axes': [152.21132544864489, 152.21132544864489], 'angle': 90.0}, 'model_confidence': 0.8568065074487374, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.218272879197817, 'phi': -1.7251436210529858, 'norm_pos': [0.4364691305448577, 0.2264087504058907], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014693.9487,"{'circle_3d': {'center': [-2.9015460487665514, 9.420518087765574, 88.31803552904033], 'normal': [-0.12238248999569411, 0.6050411978733504, -0.7867322765836133], 'radius': 3.0524434453339198}, 'confidence': 0.9995654732582648, 'timestamp': 7476.252195, 'diameter_3d': 6.1048868906678395, 'ellipse': {'center': [139.6929679878211, 185.8102474356583], 'axes': [30.79120180732534, 42.86863654681561], 'angle': -77.98472442752943}, 'location': [139.6929679878211, 185.8102474356583], 'diameter': 42.86863654681561, 'sphere': {'center': [-1.4329561688182224, 2.1600237132853692, 97.75882284804369], 'radius': 12.0}, 'projected_sphere': {'center': [150.91199342643193, 133.69916968331958], 'axes': [152.21132544864489, 152.21132544864489], 'angle': 90.0}, 'model_confidence': 0.8573023055097662, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.2206139367027364, 'phi': -1.7251174776410365, 'norm_pos': [0.43654052496194096, 0.225790635684757], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014693.95679,"{'circle_3d': {'center': [-2.909839862948818, 9.409074940023444, 88.31053883103095], 'normal': [-0.12307364117754965, 0.6040876022281729, -0.7873570014177281], 'radius': 3.0609533215125433}, 'confidence': 0.9999107555633557, 'timestamp': 7476.260595, 'diameter_3d': 6.121906643025087, 'ellipse': {'center': [139.63382705453594, 185.73383165497245], 'axes': [30.912597917330043, 42.99181521528113], 'angle': -77.90496563687459}, 'location': [139.63382705453594, 185.73383165497245], 'diameter': 42.99181521528113, 'sphere': {'center': [-1.4329561688182224, 2.1600237132853692, 97.75882284804369], 'radius': 12.0}, 'projected_sphere': {'center': [150.91199342643193, 133.69916968331958], 'axes': [152.21132544864489, 152.21132544864489], 'angle': 90.0}, 'model_confidence': 0.8578581393124174, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.21941678862888, 'phi': -1.7258539545132645, 'norm_pos': [0.4363557095454248, 0.22610903477094813], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014693.964567,"{'circle_3d': {'center': [-2.89355565162773, 9.419864020077444, 88.31629310910753], 'normal': [-0.12171662356745896, 0.6049866922326729, -0.7868774782446798], 'radius': 3.0587536677587406}, 'confidence': 0.9999374790217719, 'timestamp': 7476.268995, 'diameter_3d': 6.117507335517481, 'ellipse': {'center': [139.74857432938828, 185.80555900150136], 'axes': [30.86354252540301, 42.9581506401378], 'angle': -78.04251959024174}, 'location': [139.74857432938828, 185.80555900150136], 'diameter': 42.9581506401378, 'sphere': {'center': [-1.4329561688182224, 2.1600237132853692, 97.75882284804369], 'radius': 12.0}, 'projected_sphere': {'center': [150.91199342643193, 133.69916968331958], 'axes': [152.21132544864489, 152.21132544864489], 'angle': 90.0}, 'model_confidence': 0.8581759730995842, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.2205454807589255, 'phi': -1.724263117082167, 'norm_pos': [0.4367142947793384, 0.22581017082707766], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014693.972464,"{'circle_3d': {'center': [-2.901030466131024, 9.412236424427757, 88.31159210830232], 'normal': [-0.12233952477606679, 0.6043510592618656, -0.787269228311781], 'radius': 3.053768303972524}, 'confidence': 0.9999222215506732, 'timestamp': 7476.277395, 'diameter_3d': 6.107536607945048, 'ellipse': {'center': [139.69520964228946, 185.7566743204742], 'axes': [30.835296900255265, 42.89035852470098], 'angle': -77.9750622761645}, 'location': [139.69520964228946, 185.7566743204742], 'diameter': 42.89035852470098, 'sphere': {'center': [-1.4329561688182224, 2.1600237132853692, 97.75882284804369], 'radius': 12.0}, 'projected_sphere': {'center': [150.91199342643193, 133.69916968331958], 'axes': [152.21132544864489, 152.21132544864489], 'angle': 90.0}, 'model_confidence': 0.8587844847387949, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.219747425011786, 'phi': -1.72496059765786, 'norm_pos': [0.4365475301321545, 0.22601385699802423], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014693.9809222,"{'circle_3d': {'center': [-2.90993744074523, 9.400488802863055, 88.30397268482145], 'normal': [-0.12308177266058395, 0.6033720907981406, -0.7879041802685203], 'radius': 3.044243388665672}, 'confidence': 0.9997927570877999, 'timestamp': 7476.285795, 'diameter_3d': 6.088486777331344, 'ellipse': {'center': [139.63102139885814, 185.68202283297668], 'axes': [30.7748848812133, 42.76017007168916], 'angle': -77.89019127611658}, 'location': [139.63102139885814, 185.68202283297668], 'diameter': 42.76017007168916, 'sphere': {'center': [-1.4329561688182224, 2.1600237132853692, 97.75882284804369], 'radius': 12.0}, 'projected_sphere': {'center': [150.91199342643193, 133.69916968331958], 'axes': [152.21132544864489, 152.21132544864489], 'angle': 90.0}, 'model_confidence': 0.8591732692968868, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.2185192454968714, 'phi': -1.7257580615866948, 'norm_pos': [0.4363469418714317, 0.22632490486259715], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014693.988611,"{'circle_3d': {'center': [-2.8950403018488604, 9.41316902382786, 88.31137911483758], 'normal': [-0.12184034441921983, 0.6044287758785409, -0.7872869777671764], 'radius': 3.0506672759968443}, 'confidence': 0.9999629354001335, 'timestamp': 7476.294195, 'diameter_3d': 6.101334551993689, 'ellipse': {'center': [139.73681963763795, 185.76398280450786], 'axes': [30.805205217890613, 42.84689562030435], 'angle': -78.02074016493258}, 'location': [139.73681963763795, 185.76398280450786], 'diameter': 42.84689562030435, 'sphere': {'center': [-1.4329561688182224, 2.1600237132853692, 97.75882284804369], 'radius': 12.0}, 'projected_sphere': {'center': [150.91199342643193, 133.69916968331958], 'axes': [152.21132544864489, 152.21132544864489], 'angle': 90.0}, 'model_confidence': 0.8598654859054422, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.219844974556871, 'phi': -1.7243380155944985, 'norm_pos': [0.4366775613676186, 0.22598340498121727], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014693.996447,"{'circle_3d': {'center': [-2.902216298864636, 9.420296151982647, 88.3179691373802], 'normal': [-0.12243834417053445, 0.6050227032247731, -0.786737809221958], 'radius': 3.0469472350431066}, 'confidence': 0.9999641970303869, 'timestamp': 7476.302595, 'diameter_3d': 6.093894470086213, 'ellipse': {'center': [139.68805515938865, 185.80990670600343], 'axes': [30.73599828178347, 42.79144348558613], 'angle': -77.97943013744329}, 'location': [139.68805515938865, 185.80990670600343], 'diameter': 42.79144348558613, 'sphere': {'center': [-1.4329561688182224, 2.1600237132853692, 97.75882284804369], 'radius': 12.0}, 'projected_sphere': {'center': [150.91199342643193, 133.69916968331958], 'axes': [152.21132544864489, 152.21132544864489], 'angle': 90.0}, 'model_confidence': 0.860408796850165, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.2205907080907292, 'phi': -1.7251857261093275, 'norm_pos': [0.4365251723730895, 0.22579205539165237], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014694.0085912,"{'circle_3d': {'center': [-2.8949341253157286, 9.408651572916991, 88.30789619467855], 'normal': [-0.12183149637479218, 0.6040523216359684, -0.787577221113762], 'radius': 3.043291648001318}, 'confidence': 0.9999283055301192, 'timestamp': 7476.310995, 'diameter_3d': 6.086583296002636, 'ellipse': {'center': [139.73650172167078, 185.73644472958284], 'axes': [30.747204961121295, 42.74493118731329], 'angle': -78.01419906701176}, 'location': [139.73650172167078, 185.73644472958284], 'diameter': 42.74493118731329, 'sphere': {'center': [-1.4329561688182224, 2.1600237132853692, 97.75882284804369], 'radius': 12.0}, 'projected_sphere': {'center': [150.91199342643193, 133.69916968331958], 'axes': [152.21132544864489, 152.21132544864489], 'angle': 90.0}, 'model_confidence': 0.860958096379183, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.2193725180717414, 'phi': -1.7242713440756294, 'norm_pos': [0.4366765678802212, 0.22609814696007147], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582014694.016375,"{'circle_3d': {'center': [-2.9048522315636833, 9.398582154121584, 88.30172003169062], 'normal': [-0.12265800522878842, 0.6032132034030179, -0.788091901362756], 'radius': 3.0379843283252947}, 'confidence': 0.9999785416989371, 'timestamp': 7476.319395, 'diameter_3d': 6.0759686566505895, 'ellipse': {'center': [139.66574727476774, 185.67160151583988], 'axes': [30.722435446072247, 42.673302134455795], 'angle': -77.92460233813442}, 'location': [139.66574727476774, 185.67160151583988], 'diameter': 42.673302134455795, 'sphere': {'center': [-1.4329561688182224, 2.1600237132853692, 97.75882284804369], 'radius': 12.0}, 'projected_sphere': {'center': [150.91199342643193, 133.69916968331958], 'axes': [152.21132544864489, 152.21132544864489], 'angle': 90.0}, 'model_confidence': 0.8615889484952066, 'model_id': 1, 'model_birth_timestamp': 7465.903395, 'theta': 2.2183200186224656, 'phi': -1.7251967850395595, 'norm_pos': [0.4364554602336492, 0.22636832701733378], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
