eye_packets,753
norm_X,norm_Y,phi,theta,confidence,timestamp
1582012695.227788,"{'circle_3d': {'center': [0.2581497562847974, 1.5920224743247813, 12.570044376952685], 'normal': [-0.20207768554458627, 0.5818275958136883, -0.787807881246822], 'radius': 0.40389423501954724}, 'confidence': 0.9995359780307, 'timestamp': 5618.953573, 'diameter_3d': 0.8077884700390945, 'ellipse': {'center': [172.839811651848, 198.26154663233353], 'axes': [28.587715316363692, 39.90868984239798], 'angle': -74.01895721560568}, 'location': [172.839811651848, 198.26154663233353], 'diameter': 39.90868984239798, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.936741916237438, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.191770318670054, 'phi': -1.8218891309566085, 'norm_pos': [0.540124411412025, 0.17391022236527698], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.23557,"{'circle_3d': {'center': [0.26301897156858933, 1.594066136765047, 12.570306197403289], 'normal': [-0.20167191760427028, 0.5819979010170437, -0.7877860628759383], 'radius': 0.40708777951291025}, 'confidence': 0.9997968819473053, 'timestamp': 5618.961973, 'diameter_3d': 0.8141755590258205, 'ellipse': {'center': [173.0812877297006, 198.35651100209586], 'axes': [28.810198190496322, 40.224170167894314], 'angle': -74.07638779583377}, 'location': [173.0812877297006, 198.35651100209586], 'diameter': 40.224170167894314, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9366766465198073, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.1919797314555898, 'phi': -1.8214124619302086, 'norm_pos': [0.5408790241553143, 0.17351453749126722], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.243484,"{'circle_3d': {'center': [0.26049415866861425, 1.5932011866122826, 12.570313917103636], 'normal': [-0.2018823186792682, 0.5819258218376467, -0.787785419567576], 'radius': 0.40423806066562085}, 'confidence': 0.9997036997089682, 'timestamp': 5618.970372, 'diameter_3d': 0.8084761213312417, 'ellipse': {'center': [172.9552922721395, 198.31754731583425], 'axes': [28.60907059544621, 39.94213092789213], 'angle': -74.04703858765205}, 'location': [172.9552922721395, 198.31754731583425], 'diameter': 39.94213092789213, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9366391856914902, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.1918910967356426, 'phi': -1.8216632946221583, 'norm_pos': [0.540485288350436, 0.173676886184024], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.255599,"{'circle_3d': {'center': [0.259095851576689, 1.5914090304621222, 12.569348737585244], 'normal': [-0.20199884427026196, 0.5817764754918, -0.7878658511941087], 'radius': 0.4059810605845293}, 'confidence': 0.9997660296278489, 'timestamp': 5618.978772, 'diameter_3d': 0.8119621211690586, 'ellipse': {'center': [172.88828892813044, 198.23286740999885], 'axes': [28.741162509828133, 40.117284209596065], 'angle': -74.02783870153245}, 'location': [172.88828892813044, 198.23286740999885], 'diameter': 40.117284209596065, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9365694537183833, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.1917074655910223, 'phi': -1.8217775277864356, 'norm_pos': [0.5402759029004076, 0.17402971912500476], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.263398,"{'circle_3d': {'center': [0.2619634012505143, 1.5925494991397597, 12.569456184076929], 'normal': [-0.2017598817974432, 0.5818715145482698, -0.7878568973198017], 'radius': 0.4014390939068003}, 'confidence': 0.9995586375402364, 'timestamp': 5618.987172, 'diameter_3d': 0.8028781878136007, 'ellipse': {'center': [173.02715224184948, 198.29434417827986], 'axes': [28.417591030573554, 39.66832118320682], 'angle': -74.06144571873709}, 'location': [173.02715224184948, 198.29434417827986], 'diameter': 39.66832118320682, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9364478856128677, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.191824319563915, 'phi': -1.8214956425184068, 'norm_pos': [0.5407098507557796, 0.17377356592383397], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.27131,"{'circle_3d': {'center': [0.2600789182248531, 1.5946061560126603, 12.571458342548974], 'normal': [-0.20191692204958164, 0.5820429026210115, -0.7876900507804646], 'radius': 0.4028216192974981}, 'confidence': 0.9995711450980396, 'timestamp': 5618.995572, 'diameter_3d': 0.8056432385949962, 'ellipse': {'center': [172.93287387755876, 198.3815867433831], 'axes': [28.49921985850779, 39.79848877067021], 'angle': -74.04571022762997}, 'location': [172.93287387755876, 198.3815867433831], 'diameter': 39.79848877067021, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9362971907003192, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.1920350721254294, 'phi': -1.8217336313994197, 'norm_pos': [0.5404152308673711, 0.1734100552359037], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.2793229,"{'circle_3d': {'center': [0.25675109782091754, 1.5910495031443235, 12.5696847239463], 'normal': [-0.20219424041657627, 0.5817465148819835, -0.7878378523306874], 'radius': 0.40061166682322735}, 'confidence': 0.9990765244506277, 'timestamp': 5619.003972, 'diameter_3d': 0.8012233336464547, 'ellipse': {'center': [172.76949597875412, 198.2200499034293], 'axes': [28.358636535003097, 39.58515510089753], 'angle': -74.00154582857614}, 'location': [172.76949597875412, 198.2200499034293], 'diameter': 39.58515510089753, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9359979057288803, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.191670629957589, 'phi': -1.8220187806491517, 'norm_pos': [0.5399046749336066, 0.17408312540237791], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.28735,"{'circle_3d': {'center': [0.25853335049745274, 1.5916520836864274, 12.569672456689492], 'normal': [-0.20204571936019833, 0.5817967299271588, -0.787838874602088], 'radius': 0.40165707476809814}, 'confidence': 0.9992823310545056, 'timestamp': 5619.012372, 'diameter_3d': 0.8033141495361963, 'ellipse': {'center': [172.85792855116378, 198.24848286440488], 'axes': [28.432258368551285, 39.68875846854731], 'angle': -74.02224210499217}, 'location': [172.85792855116378, 198.24848286440488], 'diameter': 39.68875846854731, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.935807225470231, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.1917323683361487, 'phi': -1.8218415927345442, 'norm_pos': [0.5401810267223868, 0.17396465473164635], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.295281,"{'circle_3d': {'center': [0.2591823204007082, 1.5924297176141948, 12.57008034842071], 'normal': [-0.20199163853492705, 0.5818615327544727, -0.7878048836244866], 'radius': 0.40494987845315566}, 'confidence': 0.9998761959207769, 'timestamp': 5619.020772, 'diameter_3d': 0.8098997569063113, 'ellipse': {'center': [172.89124025321152, 198.28002637250444], 'axes': [28.661871024305718, 40.013058226226015], 'angle': -74.03108347656271}, 'location': [172.89124025321152, 198.28002637250444], 'diameter': 40.013058226226015, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9357645725187269, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.191812046126659, 'phi': -1.8217875630998785, 'norm_pos': [0.540285125791286, 0.1738332234478982], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.303473,"{'circle_3d': {'center': [0.2554901737666144, 1.5940795351269275, 12.572246652637826], 'normal': [-0.20229931742110152, 0.5819990175472004, -0.7876243582730602], 'radius': 0.40652618616472963}, 'confidence': 0.9997872790854736, 'timestamp': 5619.029172, 'diameter_3d': 0.8130523723294593, 'ellipse': {'center': [172.70782484480299, 198.34593196907872], 'axes': [28.756221931446767, 40.16156643977972], 'angle': -73.99487679024628}, 'location': [172.70782484480299, 198.34593196907872], 'diameter': 40.16156643977972, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9357168765771973, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.1919811044807265, 'phi': -1.8222092044942344, 'norm_pos': [0.5397119526400094, 0.17355861679550533], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.311122,"{'circle_3d': {'center': [0.26016309119761205, 1.593651254621375, 12.57073124283758], 'normal': [-0.20190990763518504, 0.5819633275050711, -0.7877506424230808], 'radius': 0.4019904935189796}, 'confidence': 0.9997499727465702, 'timestamp': 5619.037572, 'diameter_3d': 0.8039809870379592, 'ellipse': {'center': [172.93734610156187, 198.3400795726248], 'axes': [28.44646794878656, 39.718621127174096], 'angle': -74.04444510906042}, 'location': [172.93734610156187, 198.3400795726248], 'diameter': 39.718621127174096, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9356524348696937, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.1919372162085033, 'phi': -1.821706774595482, 'norm_pos': [0.5404292065673808, 0.17358300178072994], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
