eye_packets,773
norm_X,norm_Y,phi,theta,confidence,timestamp
1582012782.839641,"{'circle_3d': {'center': [0.5577564599757934, 3.0587590977845194, 22.808799938889365], 'normal': [-0.19788208391657297, 0.6125560826355422, -0.7652566409323301], 'radius': 0.6813851318763466}, 'confidence': 0.9984033152394629, 'timestamp': 5706.568016, 'diameter_3d': 1.3627702637526933, 'ellipse': {'center': [175.25063860237282, 202.91598194825932], 'axes': [25.45194855355432, 37.11077730779106], 'angle': -75.18411166097003}, 'location': [175.25063860237282, 202.91598194825932], 'diameter': 37.11077730779106, 'sphere': {'center': [2.9323414669746692, -4.291913893841987, 31.991879630077324], 'radius': 12.0}, 'projected_sphere': {'center': [216.82853682079514, 36.82306119705788], 'axes': [465.1180290766815, 465.1180290766815], 'angle': 90.0}, 'model_confidence': 0.658496101442585, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.230086680572487, 'phi': -1.823836316115103, 'norm_pos': [0.547658245632415, 0.15451674188225284], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012782.8471081,"{'circle_3d': {'center': [0.5549702583667107, 3.0614840096963807, 22.811702866598342], 'normal': [-0.19811426738399654, 0.6127831586281973, -0.7650147302899153], 'radius': 0.6819575290966574}, 'confidence': 0.9974702343590858, 'timestamp': 5706.576416, 'diameter_3d': 1.3639150581933148, 'ellipse': {'center': [175.1731587216902, 202.97917234348176], 'axes': [25.457071782457746, 37.137128967116965], 'angle': -75.1648232686376}, 'location': [175.1731587216902, 202.97917234348176], 'diameter': 37.137128967116965, 'sphere': {'center': [2.9323414669746692, -4.291913893841987, 31.991879630077324], 'radius': 12.0}, 'projected_sphere': {'center': [216.82853682079514, 36.82306119705788], 'axes': [465.1180290766815, 465.1180290766815], 'angle': 90.0}, 'model_confidence': 0.6593596289688919, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.2303739952036805, 'phi': -1.8241974060309578, 'norm_pos': [0.5474161210052819, 0.15425344856882595], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012782.855098,"{'circle_3d': {'center': [0.5552714658122957, 3.0613352658836925, 22.81150572676775], 'normal': [-0.19808916676353114, 0.6127707633104733, -0.7650311586091314], 'radius': 0.6801175730332273}, 'confidence': 0.9979253868161695, 'timestamp': 5706.584816, 'diameter_3d': 1.3602351460664546, 'ellipse': {'center': [175.1809881094839, 202.97707584136612], 'axes': [25.389411203771488, 37.03722738426451], 'angle': -75.16714306883709}, 'location': [175.1809881094839, 202.97707584136612], 'diameter': 37.03722738426451, 'sphere': {'center': [2.9323414669746692, -4.291913893841987, 31.991879630077324], 'radius': 12.0}, 'projected_sphere': {'center': [216.82853682079514, 36.82306119705788], 'axes': [465.1180290766815, 465.1180290766815], 'angle': 90.0}, 'model_confidence': 0.6605690669624464, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.230358310009, 'phi': -1.824161446269955, 'norm_pos': [0.5474405878421372, 0.1542621839943078], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012782.863578,"{'circle_3d': {'center': [0.5545148722233981, 3.0592141162968955, 22.81000304280797], 'normal': [-0.1981522162292726, 0.6125940008449069, -0.7651563822724462], 'radius': 0.6798476285538415}, 'confidence': 0.9973244487796336, 'timestamp': 5706.593216, 'diameter_3d': 1.359695257107683, 'ellipse': {'center': [175.16138875760146, 202.92505187936104], 'axes': [25.38826399721323, 37.02489665832865], 'angle': -75.15705955408941}, 'location': [175.16138875760146, 202.92505187936104], 'diameter': 37.02489665832865, 'sphere': {'center': [2.9323414669746692, -4.291913893841987, 31.991879630077324], 'radius': 12.0}, 'projected_sphere': {'center': [216.82853682079514, 36.82306119705788], 'axes': [465.1180290766815, 465.1180290766815], 'angle': 90.0}, 'model_confidence': 0.6612007444039225, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.2301346532607575, 'phi': -1.824198956026523, 'norm_pos': [0.5473793398675045, 0.15447895050266236], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012782.87517,"{'circle_3d': {'center': [0.5578962593610162, 3.0562800542943087, 22.806779975930198], 'normal': [-0.19787043396780443, 0.6123494956780247, -0.7654249711789272], 'radius': 0.675579318165579}, 'confidence': 0.9972648449575361, 'timestamp': 5706.601616, 'diameter_3d': 1.351158636331158, 'ellipse': {'center': [175.25429108337903, 202.85978522882684], 'axes': [25.24658525042273, 36.797690969712626], 'angle': -75.18108267454912}, 'location': [175.25429108337903, 202.85978522882684], 'diameter': 36.797690969712626, 'sphere': {'center': [2.9323414669746692, -4.291913893841987, 31.991879630077324], 'radius': 12.0}, 'projected_sphere': {'center': [216.82853682079514, 36.82306119705788], 'axes': [465.1180290766815, 465.1180290766815], 'angle': 90.0}, 'model_confidence': 0.6622951218574258, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.229825345865109, 'phi': -1.8237687458871772, 'norm_pos': [0.5476696596355595, 0.15475089487988813], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012782.883307,"{'circle_3d': {'center': [0.5585176673166785, 3.0556038386532904, 22.806078427196613], 'normal': [-0.19781864997149923, 0.6122931443746065, -0.7654834335733927], 'radius': 0.6780277211227721}, 'confidence': 0.9974801405139796, 'timestamp': 5706.610016, 'diameter_3d': 1.3560554422455442, 'ellipse': {'center': [175.27228505472243, 202.8423018102568], 'axes': [25.34207412031952, 36.932259777595576], 'angle': -75.18528925258238}, 'location': [175.27228505472243, 202.8423018102568], 'diameter': 36.932259777595576, 'sphere': {'center': [2.9323414669746692, -4.291913893841987, 31.991879630077324], 'radius': 12.0}, 'projected_sphere': {'center': [216.82853682079514, 36.82306119705788], 'axes': [465.1180290766815, 465.1180290766815], 'angle': 90.0}, 'model_confidence': 0.6633065203713429, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.2297540700473615, 'phi': -1.8236868265028496, 'norm_pos': [0.5477258907960076, 0.15482374245726338], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012782.890958,"{'circle_3d': {'center': [0.5584663221644734, 3.0587605162026206, 22.80861754548191], 'normal': [-0.19782292873418297, 0.6125562008370506, -0.7652718403829513], 'radius': 0.6747840410141553}, 'confidence': 0.9963680146153363, 'timestamp': 5706.618416, 'diameter_3d': 1.3495680820283107, 'ellipse': {'center': [175.2683160564525, 202.9210867647614], 'axes': [25.206078482281388, 36.75145495686209], 'angle': -75.19016441505266}, 'location': [175.2683160564525, 202.9210867647614], 'diameter': 36.75145495686209, 'sphere': {'center': [2.9323414669746692, -4.291913893841987, 31.991879630077324], 'radius': 12.0}, 'projected_sphere': {'center': [216.82853682079514, 36.82306119705788], 'axes': [465.1180290766815, 465.1180290766815], 'angle': 90.0}, 'model_confidence': 0.6638060676753099, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.2300868301138057, 'phi': -1.8237590457421686, 'norm_pos': [0.547713487676414, 0.1544954718134941], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012782.899101,"{'circle_3d': {'center': [0.5629464200849825, 3.0601598926421065, 22.808580759308278], 'normal': [-0.19744958724080724, 0.6126728155403411, -0.7652749058974206], 'radius': 0.6752984564327085}, 'confidence': 0.9968516615397383, 'timestamp': 5706.626816, 'diameter_3d': 1.350596912865417, 'ellipse': {'center': [175.39014520288433, 202.95888077664227], 'axes': [25.22442543469808, 36.77978394962759], 'angle': -75.23097614428079}, 'location': [175.39014520288433, 202.95888077664227], 'diameter': 36.77978394962759, 'sphere': {'center': [2.9323414669746692, -4.291913893841987, 31.991879630077324], 'radius': 12.0}, 'projected_sphere': {'center': [216.82853682079514, 36.82306119705788], 'axes': [465.1180290766815, 465.1180290766815], 'angle': 90.0}, 'model_confidence': 0.6646239539796928, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.2302343723479834, 'phi': -1.82330072561019, 'norm_pos': [0.5480942037590135, 0.15433799676399051], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012782.907059,"{'circle_3d': {'center': [0.5598307873465598, 3.0605533012730683, 22.809700192721095], 'normal': [-0.19770922330234245, 0.6127055995929213, -0.7651816197796856], 'radius': 0.6796711947711914}, 'confidence': 0.9979106124474777, 'timestamp': 5706.635216, 'diameter_3d': 1.3593423895423828, 'ellipse': {'center': [175.30590793863402, 202.9626244183841], 'axes': [25.382127563771874, 37.01606092647985], 'angle': -75.2049295318266}, 'location': [175.30590793863402, 202.9626244183841], 'diameter': 37.01606092647985, 'sphere': {'center': [2.9323414669746692, -4.291913893841987, 31.991879630077324], 'radius': 12.0}, 'projected_sphere': {'center': [216.82853682079514, 36.82306119705788], 'axes': [465.1180290766815, 465.1180290766815], 'angle': 90.0}, 'model_confidence': 0.6657498216283697, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.2302758541389323, 'phi': -1.8236483210697654, 'norm_pos': [0.5478309623082314, 0.15432239825673288], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012782.915105,"{'circle_3d': {'center': [0.5555531828733886, 3.055539320539846, 22.80679341844986], 'normal': [-0.19806569034177338, 0.6122877678651527, -0.7654238509689553], 'radius': 0.6805894425320775}, 'confidence': 0.997856632181842, 'timestamp': 5706.643616, 'diameter_3d': 1.361178885064155, 'ellipse': {'center': [175.19195434657976, 202.836269909615], 'axes': [25.434450265406888, 37.070535581672694], 'angle': -75.15974486406714}, 'location': [175.19195434657976, 202.836269909615], 'diameter': 37.070535581672694, 'sphere': {'center': [2.9323414669746692, -4.291913893841987, 31.991879630077324], 'radius': 12.0}, 'projected_sphere': {'center': [216.82853682079514, 36.82306119705788], 'axes': [465.1180290766815, 465.1180290766815], 'angle': 90.0}, 'model_confidence': 0.666737410718532, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.229747269787228, 'phi': -1.824008201862003, 'norm_pos': [0.5474748573330618, 0.1548488753766042], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012782.923539,"{'circle_3d': {'center': [0.5610704617828652, 3.05749697253085, 22.80693359119514], 'normal': [-0.197605917099317, 0.6124509055310697, -0.7654121699068486], 'radius': 0.6764986607080944}, 'confidence': 0.9974196021651777, 'timestamp': 5706.652015, 'diameter_3d': 1.3529973214161888, 'ellipse': {'center': [175.34063693118534, 202.8916727570188], 'axes': [25.27929846044019, 36.847710858777795], 'angle': -75.21039496266178}, 'location': [175.34063693118534, 202.8916727570188], 'diameter': 36.847710858777795, 'sphere': {'center': [2.9323414669746692, -4.291913893841987, 31.991879630077324], 'radius': 12.0}, 'projected_sphere': {'center': [216.82853682079514, 36.82306119705788], 'axes': [465.1180290766815, 465.1180290766815], 'angle': 90.0}, 'model_confidence': 0.6673371618090229, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.2299536238002697, 'phi': -1.82344883275555, 'norm_pos': [0.5479394904099542, 0.15461803017908837], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
