eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1582011629.705912,"{'circle_3d': {'center': [-0.2886969031326001, 10.798984935628749, 73.63657341450764], 'normal': [-0.13953021446462546, 0.5181570807882983, -0.8438273276449422], 'radius': 2.184071925501296}, 'confidence': 0.9991425792792126, 'timestamp': 4553.436911, 'diameter_3d': 4.368143851002592, 'ellipse': {'center': [157.63286915493916, 210.70902544429515], 'axes': [28.215396345613726, 36.798426820196696], 'angle': -76.89548349338564}, 'location': [157.63286915493916, 210.70902544429515], 'diameter': 36.798426820196696, 'sphere': {'center': [1.3856656704429056, 4.5810999661691705, 83.76250134624694], 'radius': 12.0}, 'projected_sphere': {'center': [170.256531286277, 153.90875312192605], 'axes': [177.64512473775014, 177.64512473775014], 'angle': 90.0}, 'model_confidence': 0.8997065719490549, 'model_id': 1, 'model_birth_timestamp': 4394.886911, 'theta': 2.115491125945392, 'phi': -1.7346675328637575, 'norm_pos': [0.4926027161091849, 0.12204572731543684], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011629.715112,"{'circle_3d': {'center': [-0.3058229438652935, 10.815873477391477, 73.6498130028129], 'normal': [-0.14095738452568327, 0.5195644592685257, -0.842724028619502], 'radius': 2.203570566190019}, 'confidence': 0.996987010306605, 'timestamp': 4553.445311, 'diameter_3d': 4.407141132380038, 'ellipse': {'center': [157.4907944141887, 210.83090743951232], 'axes': [28.40835771106809, 37.12049317605533], 'angle': -76.78533577640128}, 'location': [157.4907944141887, 210.83090743951232], 'diameter': 37.12049317605533, 'sphere': {'center': [1.3856656704429056, 4.5810999661691705, 83.76250134624694], 'radius': 12.0}, 'projected_sphere': {'center': [170.256531286277, 153.90875312192605], 'axes': [177.64512473775014, 177.64512473775014], 'angle': 90.0}, 'model_confidence': 0.8998887101724695, 'model_id': 1, 'model_birth_timestamp': 4394.886911, 'theta': 2.11713745499876, 'phi': -1.7365261285029525, 'norm_pos': [0.4921587325443397, 0.12153788566869872], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011629.723464,"{'circle_3d': {'center': [-0.2854815695528452, 10.805156516950817, 73.63983435800087], 'normal': [-0.1392622699996459, 0.5186713792318038, -0.8435555823538388], 'radius': 2.1985300497611493}, 'confidence': 0.9996952065287928, 'timestamp': 4553.453711, 'diameter_3d': 4.397060099522299, 'ellipse': {'center': [157.66074753839555, 210.75400326553356], 'axes': [28.38698208256586, 37.04041996484509], 'angle': -76.93279857980728}, 'location': [157.66074753839555, 210.75400326553356], 'diameter': 37.04041996484509, 'sphere': {'center': [1.3856656704429056, 4.5810999661691705, 83.76250134624694], 'radius': 12.0}, 'projected_sphere': {'center': [170.256531286277, 153.90875312192605], 'axes': [177.64512473775014, 177.64512473775014], 'angle': 90.0}, 'model_confidence': 0.9000222091387844, 'model_id': 1, 'model_birth_timestamp': 4394.886911, 'theta': 2.1160925534261508, 'phi': -1.7344101884979404, 'norm_pos': [0.4926898360574861, 0.1218583197269435], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011629.729727,"{'circle_3d': {'center': [-0.3233837946988283, 10.813745530731472, 73.65145396270448], 'normal': [-0.14242078876181116, 0.5193871303801918, -0.8425872819618708], 'radius': 2.196288988294781}, 'confidence': 0.9997597310598164, 'timestamp': 4553.462111, 'diameter_3d': 4.392577976589562, 'ellipse': {'center': [157.34322105536444, 210.81255876225472], 'axes': [28.308750276276577, 36.997115172857384], 'angle': -76.63801346653669}, 'location': [157.34322105536444, 210.81255876225472], 'diameter': 36.997115172857384, 'sphere': {'center': [1.3856656704429056, 4.5810999661691705, 83.76250134624694], 'radius': 12.0}, 'projected_sphere': {'center': [170.256531286277, 153.90875312192605], 'axes': [177.64512473775014, 177.64512473775014], 'angle': 90.0}, 'model_confidence': 0.9001998769427533, 'model_id': 1, 'model_birth_timestamp': 4394.886911, 'theta': 2.1169299278278975, 'phi': -1.7382415715674042, 'norm_pos': [0.4916975657980139, 0.12161433849060532], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011629.740509,"{'circle_3d': {'center': [-0.29742088735313343, 10.829163411096225, 73.6566157924158], 'normal': [-0.1402572131496699, 0.5206719537439213, -0.8421571294859269], 'radius': 2.207843333093154}, 'confidence': 0.9996874044454268, 'timestamp': 4553.470511, 'diameter_3d': 4.415686666186308, 'ellipse': {'center': [157.56164063683343, 210.93330344852552], 'axes': [28.431294367954965, 37.1889835592253], 'angle': -76.87759574622063}, 'location': [157.56164063683343, 210.93330344852552], 'diameter': 37.1889835592253, 'sphere': {'center': [1.3856656704429056, 4.5810999661691705, 83.76250134624694], 'radius': 12.0}, 'projected_sphere': {'center': [170.256531286277, 153.90875312192605], 'axes': [177.64512473775014, 177.64512473775014], 'angle': 90.0}, 'model_confidence': 0.9002718303638857, 'model_id': 1, 'model_birth_timestamp': 4394.886911, 'theta': 2.118434143966278, 'phi': -1.735826801447022, 'norm_pos': [0.49238012699010447, 0.12111123563114368], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011629.745832,"{'circle_3d': {'center': [-0.3060746786592645, 10.835904999287411, 73.66223260779752], 'normal': [-0.14097836242518083, 0.5212337527598533, -0.8416890615374508], 'radius': 2.2141557202843796}, 'confidence': 0.9991585395267883, 'timestamp': 4553.478911, 'diameter_3d': 4.428311440568759, 'ellipse': {'center': [157.48964001735436, 210.9818157430381], 'axes': [28.48762162640907, 37.292561372004315], 'angle': -76.8189375558924}, 'location': [157.48964001735436, 210.9818157430381], 'diameter': 37.292561372004315, 'sphere': {'center': [1.3856656704429056, 4.5810999661691705, 83.76250134624694], 'radius': 12.0}, 'projected_sphere': {'center': [170.256531286277, 153.90875312192605], 'axes': [177.64512473775014, 177.64512473775014], 'angle': 90.0}, 'model_confidence': 0.9003469387029228, 'model_id': 1, 'model_birth_timestamp': 4394.886911, 'theta': 2.1190923077573425, 'phi': -1.7367504407942478, 'norm_pos': [0.49215512505423237, 0.12090910107067454], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011629.754654,"{'circle_3d': {'center': [-0.30665638710317467, 10.841712252874075, 73.66592866790194], 'normal': [-0.14102683812884, 0.5217176905587421, -0.8413810565287493], 'radius': 2.231022610608239}, 'confidence': 0.9999841925881894, 'timestamp': 4553.487311, 'diameter_3d': 4.462045221216478, 'ellipse': {'center': [157.48586942957752, 211.0226603931611], 'axes': [28.687639157489063, 37.57484072720821], 'angle': -76.82451195100305}, 'location': [157.48586942957752, 211.0226603931611], 'diameter': 37.57484072720821, 'sphere': {'center': [1.3856656704429056, 4.5810999661691705, 83.76250134624694], 'radius': 12.0}, 'projected_sphere': {'center': [170.256531286277, 153.90875312192605], 'axes': [177.64512473775014, 177.64512473775014], 'angle': 90.0}, 'model_confidence': 0.9006079422617219, 'model_id': 1, 'model_birth_timestamp': 4394.886911, 'theta': 2.11965946705412, 'phi': -1.7368661224248065, 'norm_pos': [0.49214334196742976, 0.12073891502849543], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011629.762541,"{'circle_3d': {'center': [-0.2943522836338732, 10.814540563988714, 73.6470795563543], 'normal': [-0.1400014961730649, 0.5194533831516287, -0.8429518158243865], 'radius': 2.1893512502335684}, 'confidence': 0.9992934813414802, 'timestamp': 4553.495711, 'diameter_3d': 4.378702500467137, 'ellipse': {'center': [157.5860312928102, 210.8258268795752], 'axes': [28.236239944158818, 36.88217667116864], 'angle': -76.87676086597513}, 'location': [157.5860312928102, 210.8258268795752], 'diameter': 36.88217667116864, 'sphere': {'center': [1.3856656704429056, 4.5810999661691705, 83.76250134624694], 'radius': 12.0}, 'projected_sphere': {'center': [170.256531286277, 153.90875312192605], 'axes': [177.64512473775014, 177.64512473775014], 'angle': 90.0}, 'model_confidence': 0.9007768143564632, 'model_id': 1, 'model_birth_timestamp': 4394.886911, 'theta': 2.1170074600736637, 'phi': -1.7353788246578088, 'norm_pos': [0.49245634779003183, 0.12155905466843664], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011629.7721128,"{'circle_3d': {'center': [-0.30514638808208616, 10.821601646291523, 73.653233649567], 'normal': [-0.14090100487708265, 0.5200418066768627, -0.8424389747233285], 'radius': 2.1991161138787394}, 'confidence': 0.9990371867996329, 'timestamp': 4553.504111, 'diameter_3d': 4.398232227757479, 'ellipse': {'center': [157.49629130861018, 210.87571424438408], 'axes': [28.335151914170773, 37.04370824893429], 'angle': -76.80107150280608}, 'location': [157.49629130861018, 210.87571424438408], 'diameter': 37.04370824893429, 'sphere': {'center': [1.3856656704429056, 4.5810999661691705, 83.76250134624694], 'radius': 12.0}, 'projected_sphere': {'center': [170.256531286277, 153.90875312192605], 'axes': [177.64512473775014, 177.64512473775014], 'angle': 90.0}, 'model_confidence': 0.9006176999820759, 'model_id': 1, 'model_birth_timestamp': 4394.886911, 'theta': 2.1176962226455402, 'phi': -1.7365160819330772, 'norm_pos': [0.49217591033940683, 0.12135119064839961], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011629.77795,"{'circle_3d': {'center': [-0.2835063451752, 10.820704278288272, 73.6490843761788], 'normal': [-0.13909766796817546, 0.5199670260099252, -0.8427847475056778], 'radius': 2.190888352380524}, 'confidence': 0.9987456901670534, 'timestamp': 4553.512511, 'diameter_3d': 4.381776704761048, 'ellipse': {'center': [157.67708154865448, 210.87478931936414], 'axes': [28.245799614727236, 36.906985290082], 'angle': -76.97638312502662}, 'location': [157.67708154865448, 210.87478931936414], 'diameter': 36.906985290082, 'sphere': {'center': [1.3856656704429056, 4.5810999661691705, 83.76250134624694], 'radius': 12.0}, 'projected_sphere': {'center': [170.256531286277, 153.90875312192605], 'axes': [177.64512473775014, 177.64512473775014], 'angle': 90.0}, 'model_confidence': 0.900600039764432, 'model_id': 1, 'model_birth_timestamp': 4394.886911, 'theta': 2.117608674230368, 'phi': -1.7343670521746661, 'norm_pos': [0.4927408798395453, 0.12135504450264945], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011629.790164,"{'circle_3d': {'center': [-0.31089776402261116, 10.805067034430751, 73.64400805692614], 'normal': [-0.14138028620545973, 0.5186639223551317, -0.8432077741100661], 'radius': 2.2053231336712282}, 'confidence': 0.9994045602415685, 'timestamp': 4553.520911, 'diameter_3d': 4.4106462673424565, 'ellipse': {'center': [157.44820833842186, 210.7469166818646], 'axes': [28.458185649765657, 37.15299600545577], 'angle': -76.72448386021166}, 'location': [157.44820833842186, 210.7469166818646], 'diameter': 37.15299600545577, 'sphere': {'center': [1.3856656704429056, 4.5810999661691705, 83.76250134624694], 'radius': 12.0}, 'projected_sphere': {'center': [170.256531286277, 153.90875312192605], 'axes': [177.64512473775014, 177.64512473775014], 'angle': 90.0}, 'model_confidence': 0.9004309216435691, 'model_id': 1, 'model_birth_timestamp': 4394.886911, 'theta': 2.116083831687594, 'phi': -1.7369206445660081, 'norm_pos': [0.49202565105756835, 0.12188784715889744], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
