imu_packets,1159
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1582013457.639872,0.06622,-0.01544,-0.99567,0.06329,0.0186
1582013457.645447,0.06616,-0.01550,-0.99567,0.06317,0.0185
1582013457.651801,0.06616,-0.01556,-0.99567,0.06311,0.0185
1582013457.6569731,0.06616,-0.01563,-0.99567,0.06299,0.0186
1582013457.6629162,0.06616,-0.01569,-0.99573,0.06293,0.0186
1582013457.669303,0.06610,-0.01575,-0.99573,0.06287,0.0186
1582013457.673784,0.06610,-0.01581,-0.99573,0.06281,0.0185
1582013457.6789918,0.06610,-0.01587,-0.99573,0.06274,0.0186
1582013457.684608,0.06610,-0.01593,-0.99573,0.06262,0.0185
1582013457.690381,0.06610,-0.01611,-0.99573,0.06244,0.0185
1582013457.695665,0.06610,-0.01617,-0.99573,0.06238,0.0186
1582013457.703006,0.06610,-0.01624,-0.99573,0.06232,0.0186
1582013457.707916,0.06610,-0.01636,-0.99573,0.06219,0.0186
1582013457.7148101,0.06604,-0.01642,-0.99573,0.06213,0.0185
1582013457.719088,0.06604,-0.01654,-0.99573,0.06207,0.0185
1582013457.7244842,0.06604,-0.01660,-0.99573,0.06201,0.0185
1582013457.730027,0.06604,-0.01666,-0.99573,0.06189,0.0186
1582013457.736542,0.06604,-0.01678,-0.99579,0.06177,0.0185
1582013457.740588,0.06604,-0.01685,-0.99579,0.06165,0.0185
1582013457.747265,0.06604,-0.01691,-0.99579,0.06158,0.0185
1582013457.752217,0.06604,-0.01697,-0.99579,0.06152,0.0185
1582013457.758067,0.06604,-0.01703,-0.99579,0.06140,0.0185
1582013457.763767,0.06604,-0.01709,-0.99579,0.06134,0.0185
1582013457.769376,0.06598,-0.01709,-0.99579,0.06122,0.0185
1582013457.774724,0.06598,-0.01715,-0.99579,0.06116,0.0185
1582013457.780119,0.06598,-0.01715,-0.99579,0.06110,0.0185
1582013457.785853,0.06592,-0.01721,-0.99579,0.06091,0.0185
1582013457.791625,0.06592,-0.01721,-0.99585,0.06085,0.0185
1582013457.797567,0.06592,-0.01721,-0.99585,0.06073,0.0185
1582013457.802877,0.06592,-0.01721,-0.99585,0.06067,0.0185
1582013457.808545,0.06598,-0.01715,-0.99585,0.06061,0.0185
1582013457.814086,0.06598,-0.01715,-0.99585,0.06055,0.0185
1582013457.81987,0.06604,-0.01715,-0.99585,0.06042,0.0185
1582013457.825761,0.06604,-0.01715,-0.99585,0.06036,0.0185
1582013457.8307872,0.06610,-0.01709,-0.99585,0.06024,0.0185
1582013457.837578,0.06616,-0.01703,-0.99585,0.06018,0.0185
1582013457.843114,0.06616,-0.01703,-0.99585,0.06012,0.0185
1582013457.847897,0.06616,-0.01703,-0.99585,0.06006,0.0185
1582013457.8532548,0.06622,-0.01703,-0.99585,0.06006,0.0185
1582013457.859403,0.06622,-0.01697,-0.99585,0.06000,0.0185
1582013457.865085,0.06622,-0.01697,-0.99585,0.05994,0.0185
1582013457.870412,0.06622,-0.01697,-0.99585,0.05994,0.0185
1582013457.8753111,0.06616,-0.01691,-0.99585,0.05981,0.0185
1582013457.8806882,0.06616,-0.01691,-0.99585,0.05981,0.0185
1582013457.886368,0.06616,-0.01685,-0.99585,0.05975,0.0185
1582013457.893228,0.06616,-0.01685,-0.99585,0.05975,0.0185
1582013457.8980029,0.06610,-0.01685,-0.99591,0.05975,0.0185
1582013457.904408,0.06610,-0.01678,-0.99591,0.05969,0.0185
1582013457.9089541,0.06610,-0.01678,-0.99591,0.05969,0.0185
1582013457.914237,0.06604,-0.01672,-0.99591,0.05963,0.0185
1582013457.920882,0.06604,-0.01672,-0.99591,0.05963,0.0185
1582013457.925184,0.06604,-0.01672,-0.99591,0.05957,0.0185
1582013457.931286,0.06604,-0.01666,-0.99591,0.05957,0.0185
1582013457.937016,0.06598,-0.01666,-0.99591,0.05957,0.0185
1582013457.942662,0.06598,-0.01666,-0.99591,0.05957,0.0185
1582013457.94841,0.06598,-0.01666,-0.99591,0.05957,0.0185
1582013457.954581,0.06598,-0.01666,-0.99591,0.05957,0.0185
1582013457.9599931,0.06598,-0.01672,-0.99591,0.05963,0.0185
1582013457.9657412,0.06592,-0.01678,-0.99591,0.05969,0.0185
1582013457.970898,0.06592,-0.01685,-0.99591,0.05969,0.0185
1582013457.9773529,0.06592,-0.01691,-0.99591,0.05975,0.0185
1582013457.9818308,0.06592,-0.01703,-0.99591,0.05975,0.0185
1582013457.987527,0.06598,-0.01709,-0.99591,0.05981,0.0185
1582013457.992935,0.06598,-0.01727,-0.99585,0.05988,0.0185
1582013457.999251,0.06598,-0.01740,-0.99585,0.05988,0.0185
1582013458.0041358,0.06604,-0.01764,-0.99585,0.05994,0.0185
1582013458.0089579,0.06604,-0.01782,-0.99585,0.06000,0.0185
1582013458.0147998,0.06610,-0.01813,-0.99585,0.06006,0.0185
1582013458.0206752,0.06628,-0.01874,-0.99579,0.06012,0.0185
1582013458.025259,0.06635,-0.01910,-0.99579,0.06018,0.0185
1582013458.03073,0.06647,-0.01953,-0.99579,0.06024,0.0185
1582013458.036662,0.06653,-0.01996,-0.99579,0.06024,0.0185
1582013458.042922,0.06665,-0.02039,-0.99573,0.06030,0.0185
1582013458.048397,0.06671,-0.02081,-0.99573,0.06036,0.0185
1582013458.0539362,0.06683,-0.02136,-0.99573,0.06042,0.0185
1582013458.05988,0.06689,-0.02191,-0.99567,0.06042,0.0185
1582013458.065383,0.06696,-0.02246,-0.99567,0.06049,0.0185
