eye_packets,763
norm_X,norm_Y,phi,theta,confidence,timestamp
1581992518.202415,"{'circle_3d': {'center': [0.14183276669708245, 5.023749913378985, 79.0273962440643], 'normal': [-0.16195691967490194, 0.6233506671661712, -0.7649862102763073], 'radius': 3.171871186542124}, 'confidence': 0.9471164427618104, 'timestamp': 15863.818415, 'diameter_3d': 6.343742373084248, 'ellipse': {'center': [161.23730177803472, 158.96299507375568], 'axes': [36.134131477565056, 49.79256708910922], 'angle': -76.43875503899378}, 'location': [161.23730177803472, 158.96299507375568], 'diameter': 49.79256708910922, 'sphere': {'center': [2.085315802795906, -2.4564580926150685, 88.20723076738], 'radius': 12.0}, 'projected_sphere': {'center': [174.6574808718696, 102.73379626396155], 'axes': [168.69365323622412, 168.69365323622412], 'angle': 90.0}, 'model_confidence': 0.8910838260999476, 'model_id': 67, 'model_birth_timestamp': 15815.143819, 'theta': 2.243816805237974, 'phi': -1.7794278439103917, 'norm_pos': [0.5038665680563585, 0.3376541871926847], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992518.2113018,"{'circle_3d': {'center': [0.14560401635577236, 5.03008817991388, 79.0317665777693], 'normal': [-0.16164264887001112, 0.6238788560440791, -0.7646220158008907], 'radius': 3.1719272604312083}, 'confidence': 0.9565514284227445, 'timestamp': 15863.826815, 'diameter_3d': 6.343854520862417, 'ellipse': {'center': [161.26653790361968, 159.0104629303565], 'axes': [36.11095578588896, 49.79073345816172], 'angle': -76.47767637750451}, 'location': [161.26653790361968, 159.0104629303565], 'diameter': 49.79073345816172, 'sphere': {'center': [2.085315802795906, -2.4564580926150685, 88.20723076738], 'radius': 12.0}, 'projected_sphere': {'center': [174.6574808718696, 102.73379626396155], 'axes': [168.69365323622412, 168.69365323622412], 'angle': 90.0}, 'model_confidence': 0.8910409576679212, 'model_id': 67, 'model_birth_timestamp': 15815.143819, 'theta': 2.2444924703415796, 'phi': -1.7791309568345661, 'norm_pos': [0.5039579309488115, 0.3374564044568479], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992518.2233138,"{'circle_3d': {'center': [0.13029538215857572, 5.044600426069584, 79.04688054186136], 'normal': [-0.16291836838644416, 0.6250882098903877, -0.7633625187932201], 'radius': 3.2007041125104614}, 'confidence': 0.9994584768154537, 'timestamp': 15863.835215, 'diameter_3d': 6.401408225020923, 'ellipse': {'center': [161.14917061731694, 159.10876212590372], 'axes': [36.358188815937154, 50.23318260734703], 'angle': -76.38768755717214}, 'location': [161.14917061731694, 159.10876212590372], 'diameter': 50.23318260734703, 'sphere': {'center': [2.085315802795906, -2.4564580926150685, 88.20723076738], 'radius': 12.0}, 'projected_sphere': {'center': [174.6574808718696, 102.73379626396155], 'axes': [168.69365323622412, 168.69365323622412], 'angle': 90.0}, 'model_confidence': 0.8910958382546297, 'model_id': 67, 'model_birth_timestamp': 15815.143819, 'theta': 2.2460408639394016, 'phi': -1.7810637350915806, 'norm_pos': [0.5035911581791155, 0.33704682447540113], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992518.232264,"{'circle_3d': {'center': [0.1452440836482225, 5.0354871355873545, 79.0362505350287], 'normal': [-0.16167264326230693, 0.6243287690168686, -0.7642483526959415], 'radius': 3.1763922976444543}, 'confidence': 0.9957418974402297, 'timestamp': 15863.843615, 'diameter_3d': 6.352784595288909, 'ellipse': {'center': [161.26394750916143, 159.0493100986624], 'axes': [36.13772537370332, 49.85806501580141], 'angle': -76.48405614154603}, 'location': [161.26394750916143, 159.0493100986624], 'diameter': 49.85806501580141, 'sphere': {'center': [2.085315802795906, -2.4564580926150685, 88.20723076738], 'radius': 12.0}, 'projected_sphere': {'center': [174.6574808718696, 102.73379626396155], 'axes': [168.69365323622412, 168.69365323622412], 'angle': 90.0}, 'model_confidence': 0.8911120913750237, 'model_id': 67, 'model_birth_timestamp': 15815.143819, 'theta': 2.2450682915808966, 'phi': -1.7792674597713551, 'norm_pos': [0.5039498359661294, 0.33729454125557334], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992518.238166,"{'circle_3d': {'center': [0.1468040821665404, 5.058043379391858, 79.05439295956387], 'normal': [-0.16154264338578045, 0.6262084560005772, -0.7627364839846772], 'radius': 3.179166997630732}, 'confidence': 0.9995771589502874, 'timestamp': 15863.852015, 'diameter_3d': 6.358333995261464, 'ellipse': {'center': [161.27574930118, 159.21633277560505], 'axes': [36.07142040915574, 49.89030430956693], 'angle': -76.53344686401547}, 'location': [161.27574930118, 159.21633277560505], 'diameter': 49.89030430956693, 'sphere': {'center': [2.085315802795906, -2.4564580926150685, 88.20723076738], 'radius': 12.0}, 'projected_sphere': {'center': [174.6574808718696, 102.73379626396155], 'axes': [168.69365323622412, 168.69365323622412], 'angle': 90.0}, 'model_confidence': 0.8912470726431532, 'model_id': 67, 'model_birth_timestamp': 15815.143819, 'theta': 2.2474768835364802, 'phi': -1.7795056646524954, 'norm_pos': [0.5039867165661875, 0.336598613434979], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992518.2460868,"{'circle_3d': {'center': [0.1279604509189851, 5.039731421659459, 79.04339408220498], 'normal': [-0.16311294598974338, 0.6246824595228774, -0.7636530570979179], 'radius': 3.1883793782674683}, 'confidence': 0.9907909960317068, 'timestamp': 15863.860415, 'diameter_3d': 6.376758756534937, 'ellipse': {'center': [161.13011824905558, 159.0758772477847], 'axes': [36.237027772500255, 50.04179969803072], 'angle': -76.36200509885157}, 'location': [161.13011824905558, 159.0758772477847], 'diameter': 50.04179969803072, 'sphere': {'center': [2.085315802795906, -2.4564580926150685, 88.20723076738], 'radius': 12.0}, 'projected_sphere': {'center': [174.6574808718696, 102.73379626396155], 'axes': [168.69365323622412, 168.69365323622412], 'angle': 90.0}, 'model_confidence': 0.8911428386897402, 'model_id': 67, 'model_birth_timestamp': 15815.143819, 'theta': 2.245521148576416, 'phi': -1.7812297665885644, 'norm_pos': [0.5035316195282987, 0.33718384480089714], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992518.254208,"{'circle_3d': {'center': [0.1363707421669913, 5.027301417402304, 79.03144977899134], 'normal': [-0.16241208838574286, 0.6236466258347811, -0.7646484156990545], 'radius': 3.1742205359598077}, 'confidence': 0.9985500666357318, 'timestamp': 15863.868815, 'diameter_3d': 6.348441071919615, 'ellipse': {'center': [161.19483300642574, 158.98824773048193], 'axes': [36.13953189227808, 49.82691902263979], 'angle': -76.40385233559806}, 'location': [161.19483300642574, 158.98824773048193], 'diameter': 49.82691902263979, 'sphere': {'center': [2.085315802795906, -2.4564580926150685, 88.20723076738], 'radius': 12.0}, 'projected_sphere': {'center': [174.6574808718696, 102.73379626396155], 'axes': [168.69365323622412, 168.69365323622412], 'angle': 90.0}, 'model_confidence': 0.8909182748975564, 'model_id': 67, 'model_birth_timestamp': 15815.143819, 'theta': 2.244195354005144, 'phi': -1.7800869954668646, 'norm_pos': [0.5037338531450805, 0.3375489677896586], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992518.2630458,"{'circle_3d': {'center': [0.12968842225049082, 5.035250254875937, 79.03936146286901], 'normal': [-0.1629689483787846, 0.6243090289575838, -0.7639891087092484], 'radius': 3.1829966682672755}, 'confidence': 0.9992659388662892, 'timestamp': 15863.877215, 'diameter_3d': 6.365993336534551, 'ellipse': {'center': [161.1432627870458, 159.0442527169812], 'axes': [36.19739861980192, 49.95979279232778], 'angle': -76.36732466790502}, 'location': [161.1432627870458, 159.0442527169812], 'diameter': 49.95979279232778, 'sphere': {'center': [2.085315802795906, -2.4564580926150685, 88.20723076738], 'radius': 12.0}, 'projected_sphere': {'center': [174.6574808718696, 102.73379626396155], 'axes': [168.69365323622412, 168.69365323622412], 'angle': 90.0}, 'model_confidence': 0.8909777747036274, 'model_id': 67, 'model_birth_timestamp': 15815.143819, 'theta': 2.2450430217037822, 'phi': -1.7809596399667469, 'norm_pos': [0.5035726962095182, 0.337315613679245], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992518.2709389,"{'circle_3d': {'center': [0.12429031834060322, 5.047682097821271, 79.05068889549436], 'normal': [-0.1634187903712752, 0.6253450158696949, -0.7630451559904697], 'radius': 3.1836299317059455}, 'confidence': 0.9707695126014588, 'timestamp': 15863.885615, 'diameter_3d': 6.367259863411891, 'ellipse': {'center': [161.1009578119973, 159.13599750250197], 'axes': [36.14389195109575, 49.96262328453505], 'angle': -76.34806133511606}, 'location': [161.1009578119973, 159.13599750250197], 'diameter': 49.96262328453505, 'sphere': {'center': [2.085315802795906, -2.4564580926150685, 88.20723076738], 'radius': 12.0}, 'projected_sphere': {'center': [174.6574808718696, 102.73379626396155], 'axes': [168.69365323622412, 168.69365323622412], 'angle': 90.0}, 'model_confidence': 0.8910168576134914, 'model_id': 67, 'model_birth_timestamp': 15815.143819, 'theta': 2.2463699120069975, 'phi': -1.7817757769549245, 'norm_pos': [0.5034404931624915, 0.3369333437395752], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992518.278295,"{'circle_3d': {'center': [0.12377464016173345, 5.04150392189767, 79.04573951888689], 'normal': [-0.1634617635528477, 0.6248301678760615, -0.7634576040410926], 'radius': 3.196734425659282}, 'confidence': 0.9910070120050586, 'timestamp': 15863.894015, 'diameter_3d': 6.393468851318564, 'ellipse': {'center': [161.09812915279417, 159.08628342992822], 'axes': [36.319733670282794, 50.171531085668995], 'angle': -76.33375485170396}, 'location': [161.09812915279417, 159.08628342992822], 'diameter': 50.171531085668995, 'sphere': {'center': [2.085315802795906, -2.4564580926150685, 88.20723076738], 'radius': 12.0}, 'projected_sphere': {'center': [174.6574808718696, 102.73379626396155], 'axes': [168.69365323622412, 168.69365323622412], 'angle': 90.0}, 'model_confidence': 0.8909829273807235, 'model_id': 67, 'model_birth_timestamp': 15815.143819, 'theta': 2.245710319439181, 'phi': -1.7817189687293515, 'norm_pos': [0.5034316536024818, 0.3371404857086324], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581992518.286614,"{'circle_3d': {'center': [0.1231048354014126, 5.017596093998904, 79.02636794654475], 'normal': [-0.16351758061620777, 0.6228378488844977, -0.7650719017362705], 'radius': 3.1879109695264445}, 'confidence': 0.9432182605760133, 'timestamp': 15863.902415, 'diameter_3d': 6.375821939052889, 'ellipse': {'center': [161.09277381664927, 158.9109498382818], 'axes': [36.32414409118093, 50.0451065266901], 'angle': -76.2880409971133}, 'location': [161.09277381664927, 158.9109498382818], 'diameter': 50.0451065266901, 'sphere': {'center': [2.085315802795906, -2.4564580926150685, 88.20723076738], 'radius': 12.0}, 'projected_sphere': {'center': [174.6574808718696, 102.73379626396155], 'axes': [168.69365323622412, 168.69365323622412], 'angle': 90.0}, 'model_confidence': 0.8910487078373053, 'model_id': 67, 'model_birth_timestamp': 15815.143819, 'theta': 2.2431611503939437, 'phi': -1.781356736357496, 'norm_pos': [0.503414918177029, 0.3378710423404925], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
