eye_packets,751
norm_X,norm_Y,phi,theta,confidence,timestamp
1581991280.42576,"{'circle_3d': {'center': [-3.4848716143508236, 10.46836410987178, 72.76628956498112], 'normal': [-0.0688114268659274, 0.666159383178265, -0.7426282136683394], 'radius': 3.1057375048769185}, 'confidence': 0.9910740922005299, 'timestamp': 14626.067276, 'diameter_3d': 6.211475009753837, 'ellipse': {'center': [130.3408823497616, 208.7086889923138], 'axes': [34.070484381934364, 52.96795422946435], 'angle': -82.7181617659837}, 'location': [130.3408823497616, 208.7086889923138], 'diameter': 52.96795422946435, 'sphere': {'center': [-2.6591344919596946, 2.4744515117326014, 81.6778281290012], 'radius': 12.0}, 'projected_sphere': {'center': [139.81504377894174, 138.78306478535615], 'axes': [182.17918302747555, 182.17918302747555], 'angle': 90.0}, 'model_confidence': 0.9684708537464393, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.299843597776946, 'phi': -1.663191823413783, 'norm_pos': [0.40731525734300505, 0.13038046253202584], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991280.436429,"{'circle_3d': {'center': [-3.479093946659918, 10.468855237342964, 72.76619665296973], 'normal': [-0.06832995455835193, 0.6662003104675303, -0.742635956335956], 'radius': 3.094228996379355}, 'confidence': 0.9405194808502675, 'timestamp': 14626.075676, 'diameter_3d': 6.18845799275871, 'ellipse': {'center': [130.3894648619944, 208.7165480277265], 'axes': [33.945404432462894, 52.77162184848312], 'angle': -82.75825442614214}, 'location': [130.3894648619944, 208.7165480277265], 'diameter': 52.77162184848312, 'sphere': {'center': [-2.6591344919596946, 2.4744515117326014, 81.6778281290012], 'radius': 12.0}, 'projected_sphere': {'center': [139.81504377894174, 138.78306478535615], 'axes': [182.17918302747555, 182.17918302747555], 'angle': 90.0}, 'model_confidence': 0.9683642647255519, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.299898475459931, 'phi': -1.6625480174287446, 'norm_pos': [0.4074670776937325, 0.13034771655113953], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991280.4412642,"{'circle_3d': {'center': [-3.482987185690057, 10.474043438746255, 72.77121284931772], 'normal': [-0.06865439114419687, 0.6666326605844711, -0.7422179399736232], 'radius': 3.101265704259822}, 'confidence': 0.9997423211350402, 'timestamp': 14626.084076, 'diameter_3d': 6.202531408519644, 'ellipse': {'center': [130.35866402081206, 208.75255263887263], 'axes': [33.99187595638309, 52.88809129484102], 'angle': -82.73701766256876}, 'location': [130.35866402081206, 208.75255263887263], 'diameter': 52.88809129484102, 'sphere': {'center': [-2.6591344919596946, 2.4744515117326014, 81.6778281290012], 'radius': 12.0}, 'projected_sphere': {'center': [139.81504377894174, 138.78306478535615], 'axes': [182.17918302747555, 182.17918302747555], 'angle': 90.0}, 'model_confidence': 0.9683442221938288, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.3004783600058416, 'phi': -1.663032828874513, 'norm_pos': [0.4073708250650377, 0.13019769733803066], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991280.449068,"{'circle_3d': {'center': [-3.479893869958542, 10.461002756989286, 72.75923220529685], 'normal': [-0.06839661483323732, 0.6655459371047238, -0.7432163269753623], 'radius': 3.1040246717434763}, 'confidence': 0.9997949384384237, 'timestamp': 14626.092475, 'diameter_3d': 6.208049343486953, 'ellipse': {'center': [130.380165438421, 208.65494207186148], 'axes': [34.09505068471019, 52.94383925046056], 'angle': -82.74455140008848}, 'location': [130.380165438421, 208.65494207186148], 'diameter': 52.94383925046056, 'sphere': {'center': [-2.6591344919596946, 2.4744515117326014, 81.6778281290012], 'radius': 12.0}, 'projected_sphere': {'center': [139.81504377894174, 138.78306478535615], 'axes': [182.17918302747555, 182.17918302747555], 'angle': 90.0}, 'model_confidence': 0.9685027552904013, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.2990213756970195, 'phi': -1.662565709474715, 'norm_pos': [0.4074380169950656, 0.1306044080339105], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991280.458781,"{'circle_3d': {'center': [-3.493442084503747, 10.460955031985621, 72.76044665448697], 'normal': [-0.06952563271200435, 0.665541960021085, -0.7431151228761853], 'radius': 3.119612790319959}, 'confidence': 0.8837455943826839, 'timestamp': 14626.100875, 'diameter_3d': 6.239225580639918, 'ellipse': {'center': [130.26639447596756, 208.64827020395728], 'axes': [34.25724396299757, 53.20896972155448], 'angle': -82.65163960847022}, 'location': [130.26639447596756, 208.64827020395728], 'diameter': 53.20896972155448, 'sphere': {'center': [-2.6591344919596946, 2.4744515117326014, 81.6778281290012], 'radius': 12.0}, 'projected_sphere': {'center': [139.81504377894174, 138.78306478535615], 'axes': [182.17918302747555, 182.17918302747555], 'angle': 90.0}, 'model_confidence': 0.9685369655330067, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.2990160470476173, 'phi': -1.6640844689428143, 'norm_pos': [0.4070824827373986, 0.13063220748351134], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991280.465905,"{'circle_3d': {'center': [-3.469217753709274, 10.462889648508934, 72.75994602370676], 'normal': [-0.0675069384791316, 0.6657031780646945, -0.7431568421078693], 'radius': 3.077647369600578}, 'confidence': 0.9654057454454461, 'timestamp': 14626.109275, 'diameter_3d': 6.155294739201156, 'ellipse': {'center': [130.47019586447922, 208.67832612090947], 'axes': [33.80207166288217, 52.49312897140566], 'angle': -82.81973193124846}, 'location': [130.47019586447922, 208.67832612090947], 'diameter': 52.49312897140566, 'sphere': {'center': [-2.6591344919596946, 2.4744515117326014, 81.6778281290012], 'radius': 12.0}, 'projected_sphere': {'center': [139.81504377894174, 138.78306478535615], 'axes': [182.17918302747555, 182.17918302747555], 'angle': 90.0}, 'model_confidence': 0.9684731086079812, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.2992320734696903, 'phi': -1.661385781760507, 'norm_pos': [0.40771936207649756, 0.13050697449621051], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991280.472876,"{'circle_3d': {'center': [-3.4637821820175176, 10.470555336438915, 72.7663262511244], 'normal': [-0.06705397417148523, 0.6663419853921928, -0.742625156489733], 'radius': 3.0985258314413917}, 'confidence': 0.8330499137948928, 'timestamp': 14626.117675, 'diameter_3d': 6.197051662882783, 'ellipse': {'center': [130.51911013048783, 208.72943777326924], 'axes': [33.99400482574771, 52.844967817294254], 'angle': -82.86488862264594}, 'location': [130.51911013048783, 208.72943777326924], 'diameter': 52.844967817294254, 'sphere': {'center': [-2.6591344919596946, 2.4744515117326014, 81.6778281290012], 'radius': 12.0}, 'projected_sphere': {'center': [139.81504377894174, 138.78306478535615], 'axes': [182.17918302747555, 182.17918302747555], 'angle': 90.0}, 'model_confidence': 0.9685442251674115, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.300088462194402, 'phi': -1.660845300649786, 'norm_pos': [0.4078722191577745, 0.1302940092780448], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991280.48113,"{'circle_3d': {'center': [-3.4755841530791223, 10.440537964774778, 72.7405535682911], 'normal': [-0.06803747175995228, 0.6638405377535147, -0.744772880059175], 'radius': 3.1211321605987488}, 'confidence': 0.9998468094119761, 'timestamp': 14626.126075, 'diameter_3d': 6.2422643211974975, 'ellipse': {'center': [130.40963584494304, 208.49753831603445], 'axes': [34.397560207083025, 53.24944871478527], 'angle': -82.75267897392911}, 'location': [130.40963584494304, 208.49753831603445], 'diameter': 53.24944871478527, 'sphere': {'center': [-2.6591344919596946, 2.4744515117326014, 81.6778281290012], 'radius': 12.0}, 'projected_sphere': {'center': [139.81504377894174, 138.78306478535615], 'axes': [182.17918302747555, 182.17918302747555], 'angle': 90.0}, 'model_confidence': 0.9686062546175322, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.296738731889972, 'phi': -1.66189677955652, 'norm_pos': [0.407530112015447, 0.1312602570165231], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991280.489331,"{'circle_3d': {'center': [-3.4834640616733052, 10.452182626279967, 72.75167066767], 'normal': [-0.06869413080946757, 0.6648109262122806, -0.7438464551109332], 'radius': 3.112663626284865}, 'confidence': 0.9317169884586083, 'timestamp': 14626.134475, 'diameter_3d': 6.22532725256973, 'ellipse': {'center': [130.34717381425736, 208.58616668346866], 'axes': [34.23546902324619, 53.096756422535385], 'angle': -82.71080683420949}, 'location': [130.34717381425736, 208.58616668346866], 'diameter': 53.096756422535385, 'sphere': {'center': [-2.6591344919596946, 2.4744515117326014, 81.6778281290012], 'radius': 12.0}, 'projected_sphere': {'center': [139.81504377894174, 138.78306478535615], 'axes': [182.17918302747555, 182.17918302747555], 'angle': 90.0}, 'model_confidence': 0.9686775524209601, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.2980370094069804, 'phi': -1.6628850066791052, 'norm_pos': [0.40733491816955425, 0.1308909721522139], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991280.500971,"{'circle_3d': {'center': [-3.4773183253131323, 10.447594954958335, 72.7470074025178], 'normal': [-0.06818198611278646, 0.6644286202688111, -0.7442350605402838], 'radius': 3.1199108464201606}, 'confidence': 0.9997547390388314, 'timestamp': 14626.142875, 'diameter_3d': 6.239821692840321, 'ellipse': {'center': [130.3974792917822, 208.5503417590063], 'axes': [34.34455513273758, 53.22390385320893], 'angle': -82.74816102161407}, 'location': [130.3974792917822, 208.5503417590063], 'diameter': 53.22390385320893, 'sphere': {'center': [-2.6591344919596946, 2.4744515117326014, 81.6778281290012], 'radius': 12.0}, 'projected_sphere': {'center': [139.81504377894174, 138.78306478535615], 'axes': [182.17918302747555, 182.17918302747555], 'angle': 90.0}, 'model_confidence': 0.968772971782994, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.2975253454629145, 'phi': -1.6621548146111036, 'norm_pos': [0.40749212278681934, 0.13104024267080705], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581991280.5094762,"{'circle_3d': {'center': [-3.4735154017701793, 10.442062674202823, 72.7417240507456], 'normal': [-0.06786507581754038, 0.6639675968725185, -0.7446753398546324], 'radius': 3.097189992544903}, 'confidence': 0.9953029117621975, 'timestamp': 14626.151275, 'diameter_3d': 6.194379985089806, 'ellipse': {'center': [130.42708537797324, 208.51663891233892], 'axes': [34.1264893366849, 52.83981156361475], 'angle': -82.76851861238423}, 'location': [130.42708537797324, 208.51663891233892], 'diameter': 52.83981156361475, 'sphere': {'center': [-2.6591344919596946, 2.4744515117326014, 81.6778281290012], 'radius': 12.0}, 'projected_sphere': {'center': [139.81504377894174, 138.78306478535615], 'axes': [182.17918302747555, 182.17918302747555], 'angle': 90.0}, 'model_confidence': 0.9686371043030162, 'model_id': 1, 'model_birth_timestamp': 14450.341897, 'theta': 2.2969086384203656, 'phi': -1.661679053157106, 'norm_pos': [0.4075846418061664, 0.13118067119858778], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
