eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1581993516.007645,"{'circle_3d': {'center': [0.4931387308526838, 4.287350493599427, 66.84370439426374], 'normal': [-0.18339702017608714, 0.5828081528792076, -0.791643979278601], 'radius': 2.6130484118377995}, 'confidence': 0.8776789520379276, 'timestamp': 379.193167, 'diameter_3d': 5.226096823675599, 'ellipse': {'center': [164.7142914847442, 159.35206489192026], 'axes': [36.63758346136081, 48.50239187839587], 'angle': -74.1526396621583}, 'location': [164.7142914847442, 159.35206489192026], 'diameter': 48.50239187839587, 'sphere': {'center': [2.6939029729657293, -2.7063473409510648, 76.34343214560695], 'radius': 12.0}, 'projected_sphere': {'center': [181.8777149035323, 98.02122194101258], 'axes': [194.90871161804642, 194.90871161804642], 'angle': 90.0}, 'model_confidence': 0.9314383384468439, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.1929764736881587, 'phi': -1.7984464656083932, 'norm_pos': [0.5147321608898257, 0.3360330629503322], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993516.017047,"{'circle_3d': {'center': [0.4908132875248561, 4.302645209949756, 66.85552303667674], 'normal': [-0.18359080712007275, 0.5840827125750684, -0.7906590924108509], 'radius': 2.6278546922153465}, 'confidence': 0.8386471180622155, 'timestamp': 379.201567, 'diameter_3d': 5.255709384430693, 'ellipse': {'center': [164.69343410662958, 159.48206401633468], 'axes': [36.7805322664352, 48.76882220465026], 'angle': -74.16588886307139}, 'location': [164.69343410662958, 159.48206401633468], 'diameter': 48.76882220465026, 'sphere': {'center': [2.6939029729657293, -2.7063473409510648, 76.34343214560695], 'radius': 12.0}, 'projected_sphere': {'center': [181.8777149035323, 98.02122194101258], 'axes': [194.90871161804642, 194.90871161804642], 'angle': 90.0}, 'model_confidence': 0.9314890394871544, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.1945458344630424, 'phi': -1.798952894289514, 'norm_pos': [0.5146669815832174, 0.3354913999319389], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993516.0243819,"{'circle_3d': {'center': [0.4876241549281217, 4.293995220994593, 66.84987971290344], 'normal': [-0.18385656816980062, 0.5833618801621382, -0.7911293693919589], 'radius': 2.6289613141722086}, 'confidence': 0.8586520354962063, 'timestamp': 379.209967, 'diameter_3d': 5.257922628344417, 'ellipse': {'center': [164.6646464145136, 159.40497712661642], 'axes': [36.82753914044109, 48.79342411647366], 'angle': -74.1225789088195}, 'location': [164.6646464145136, 159.40497712661642], 'diameter': 48.79342411647366, 'sphere': {'center': [2.6939029729657293, -2.7063473409510648, 76.34343214560695], 'radius': 12.0}, 'projected_sphere': {'center': [181.8777149035323, 98.02122194101258], 'axes': [194.90871161804642, 194.90871161804642], 'angle': 90.0}, 'model_confidence': 0.9315797427883576, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.193658058764536, 'phi': -1.7991406598984385, 'norm_pos': [0.514577020045355, 0.3358125953057649], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993516.045316,"{'circle_3d': {'center': [0.4839692204657777, 4.297694698358807, 66.85345912556409], 'normal': [-0.18416114604166262, 0.5836701699424893, -0.7908310850035721], 'radius': 2.623279415984325}, 'confidence': 0.7942172956219674, 'timestamp': 379.226767, 'diameter_3d': 5.24655883196865, 'ellipse': {'center': [164.63004034347946, 159.43899259336075], 'axes': [36.72858375603754, 48.6852971371954], 'angle': -74.10120021474917}, 'location': [164.63004034347946, 159.43899259336075], 'diameter': 48.6852971371954, 'sphere': {'center': [2.6939029729657293, -2.7063473409510648, 76.34343214560695], 'radius': 12.0}, 'projected_sphere': {'center': [181.8777149035323, 98.02122194101258], 'axes': [194.90871161804642, 194.90871161804642], 'angle': 90.0}, 'model_confidence': 0.9315811019938391, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.194037678476861, 'phi': -1.79958917849865, 'norm_pos': [0.5144688760733733, 0.33567086419433023], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993516.0490072,"{'circle_3d': {'center': [0.47858336410317603, 4.294721744309227, 66.8525211938594], 'normal': [-0.18460996740521277, 0.583422423771691, -0.7909092459789628], 'radius': 2.6314449281154846}, 'confidence': 0.8178775357650155, 'timestamp': 379.235167, 'diameter_3d': 5.262889856230969, 'ellipse': {'center': [164.58136732450538, 159.40948248610314], 'axes': [36.84885435061032, 48.83756400590649], 'angle': -74.05220083891984}, 'location': [164.58136732450538, 159.40948248610314], 'diameter': 48.83756400590649, 'sphere': {'center': [2.6939029729657293, -2.7063473409510648, 76.34343214560695], 'radius': 12.0}, 'projected_sphere': {'center': [181.8777149035323, 98.02122194101258], 'axes': [194.90871161804642, 194.90871161804642], 'angle': 90.0}, 'model_confidence': 0.9316090962191215, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.1937326023610537, 'phi': -1.800105571635051, 'norm_pos': [0.5143167728890793, 0.3357938229745703], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993516.0550551,"{'circle_3d': {'center': [0.4897733316768327, 4.292722444698131, 66.84844216878211], 'normal': [-0.18367747010740804, 0.5832558154707663, -0.7912491647354035], 'radius': 2.630424306742635}, 'confidence': 0.9229696817821238, 'timestamp': 379.243567, 'diameter_3d': 5.26084861348527, 'ellipse': {'center': [164.6847364271112, 159.39353883823787], 'axes': [36.85573732663906, 48.82164959157337], 'angle': -74.1370361606052}, 'location': [164.6847364271112, 159.39353883823787], 'diameter': 48.82164959157337, 'sphere': {'center': [2.6939029729657293, -2.7063473409510648, 76.34343214560695], 'radius': 12.0}, 'projected_sphere': {'center': [181.8777149035323, 98.02122194101258], 'axes': [194.90871161804642, 194.90871161804642], 'angle': 90.0}, 'model_confidence': 0.9317810069137344, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.1935274774986184, 'phi': -1.7988925133195341, 'norm_pos': [0.5146398013347225, 0.3358602548406755], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993516.06287,"{'circle_3d': {'center': [0.47792182476575995, 4.306865122688088, 66.86164547374607], 'normal': [-0.18466509568333078, 0.5844343719699294, -0.7901488893217407], 'radius': 2.6345872477321484}, 'confidence': 0.859631822840539, 'timestamp': 379.251967, 'diameter_3d': 5.269174495464297, 'ellipse': {'center': [164.57484123854687, 159.51555432491062], 'axes': [36.84256719680175, 48.88930492014886], 'angle': -74.07227453246307}, 'location': [164.57484123854687, 159.51555432491062], 'diameter': 48.88930492014886, 'sphere': {'center': [2.6939029729657293, -2.7063473409510648, 76.34343214560695], 'radius': 12.0}, 'projected_sphere': {'center': [181.8777149035323, 98.02122194101258], 'axes': [194.90871161804642, 194.90871161804642], 'angle': 90.0}, 'model_confidence': 0.9318101266586942, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.194979143290942, 'phi': -1.8003847268981832, 'norm_pos': [0.514296378870459, 0.33535185697953906], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993516.0709069,"{'circle_3d': {'center': [0.4793858869377523, 4.30858597199279, 66.86257645159701], 'normal': [-0.18454309050233142, 0.5845777760786546, -0.7900713078341618], 'radius': 2.6420471667914156}, 'confidence': 0.7962931936947641, 'timestamp': 379.260367, 'diameter_3d': 5.284094333582831, 'ellipse': {'center': [164.58906514502422, 159.52852615498585], 'axes': [36.941679233680254, 49.027153576217096], 'angle': -74.0874855103785}, 'location': [164.58906514502422, 159.52852615498585], 'diameter': 49.027153576217096, 'sphere': {'center': [2.6939029729657293, -2.7063473409510648, 76.34343214560695], 'radius': 12.0}, 'projected_sphere': {'center': [181.8777149035323, 98.02122194101258], 'axes': [194.90871161804642, 194.90871161804642], 'angle': 90.0}, 'model_confidence': 0.9317858699315007, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.195155882253854, 'phi': -1.8002600586568978, 'norm_pos': [0.5143408285782007, 0.3352978076875589], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993516.078939,"{'circle_3d': {'center': [0.49548439494201446, 4.3088873541828825, 66.85905351925567], 'normal': [-0.1832015481686429, 0.5846028912611623, -0.7903648855292739], 'radius': 2.632949075658739}, 'confidence': 0.9216018139288854, 'timestamp': 379.268767, 'diameter_3d': 5.265898151317478, 'ellipse': {'center': [164.73672604201928, 159.5360881614167], 'axes': [36.83186876959962, 48.86090325104514], 'angle': -74.21591666604225}, 'location': [164.73672604201928, 159.5360881614167], 'diameter': 48.86090325104514, 'sphere': {'center': [2.6939029729657293, -2.7063473409510648, 76.34343214560695], 'radius': 12.0}, 'projected_sphere': {'center': [181.8777149035323, 98.02122194101258], 'axes': [194.90871161804642, 194.90871161804642], 'angle': 90.0}, 'model_confidence': 0.9318936645394738, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.1951868378761006, 'phi': -1.7985675628517417, 'norm_pos': [0.5148022688813103, 0.33526629932743046], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993516.091083,"{'circle_3d': {'center': [0.5062755862857657, 4.319843795170699, 66.86467038387184], 'normal': [-0.18230228222333028, 0.585515928010147, -0.7898968134779262], 'radius': 2.621789807446057}, 'confidence': 0.751537669665341, 'timestamp': 379.277167, 'diameter_3d': 5.243579614892114, 'ellipse': {'center': [164.83447940800457, 159.637635241], 'axes': [36.64342820594047, 48.649733687259776], 'angle': -74.32410003417792}, 'location': [164.83447940800457, 159.637635241], 'diameter': 48.649733687259776, 'sphere': {'center': [2.6939029729657293, -2.7063473409510648, 76.34343214560695], 'radius': 12.0}, 'projected_sphere': {'center': [181.8777149035323, 98.02122194101258], 'axes': [194.90871161804642, 194.90871161804642], 'angle': 90.0}, 'model_confidence': 0.9320258061983999, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.1963126672718865, 'phi': -1.7976172937542807, 'norm_pos': [0.5151077481500143, 0.33484318649583333], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581993516.0994718,"{'circle_3d': {'center': [0.47755131997644895, 4.3142159755379295, 66.86717359755853], 'normal': [-0.18469597108244004, 0.5850469430407496, -0.7896882123373683], 'radius': 2.630026408874852}, 'confidence': 0.9625610343935751, 'timestamp': 379.285567, 'diameter_3d': 5.260052817749704, 'ellipse': {'center': [164.57046517639355, 159.58181536698177], 'axes': [36.74827238130105, 48.8006232004322], 'angle': -74.08461640041456}, 'location': [164.57046517639355, 159.58181536698177], 'diameter': 48.8006232004322, 'sphere': {'center': [2.6939029729657293, -2.7063473409510648, 76.34343214560695], 'radius': 12.0}, 'projected_sphere': {'center': [181.8777149035323, 98.02122194101258], 'axes': [194.90871161804642, 194.90871161804642], 'angle': 90.0}, 'model_confidence': 0.9320772305292491, 'model_id': 1, 'model_birth_timestamp': 244.457167, 'theta': 2.1957342662994415, 'phi': -1.8005510705437358, 'norm_pos': [0.5142827036762299, 0.33507576930424265], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
