eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1582178958.587476,"{'circle_3d': {'center': [-1.7514250229772763, 5.029768121812685, 63.57908044526723], 'normal': [-0.33489626245063325, 0.48848070458624754, -0.8057487788656708], 'radius': 1.7004099500151493}, 'confidence': 0.9965978492187773, 'timestamp': 35294.352255, 'diameter_3d': 3.4008199000302985, 'ellipse': {'center': [143.03615450543018, 168.88618040165537], 'axes': [25.1352644949902, 33.174338920492566], 'angle': -56.89538818507368}, 'location': [143.03615450543018, 168.88618040165537], 'diameter': 33.174338920492566, 'sphere': {'center': [2.2673301264303225, -0.832000333222285, 73.24806579165528], 'radius': 12.0}, 'projected_sphere': {'center': [179.19156039403498, 112.95762692130249], 'axes': [203.14529590889472, 203.14529590889472], 'angle': 90.0}, 'model_confidence': 0.6373735937708069, 'model_id': 106, 'model_birth_timestamp': 34836.326927, 'theta': 2.081144065706534, 'phi': -1.9647068742111082, 'norm_pos': [0.4469879828294693, 0.29630758165976934], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178958.595047,"{'circle_3d': {'center': [-1.7507986194961696, 5.039915489182666, 63.58497902004086], 'normal': [-0.334844062160541, 0.48932631853374586, -0.8052572309678684], 'radius': 1.701575222858697}, 'confidence': 0.9966157528182408, 'timestamp': 35294.360655, 'diameter_3d': 3.403150445717394, 'ellipse': {'center': [143.04388415176615, 168.98023790477941], 'axes': [25.129347627879984, 33.194023033916345], 'angle': -56.94470677821513}, 'location': [143.04388415176615, 168.98023790477941], 'diameter': 33.194023033916345, 'sphere': {'center': [2.2673301264303225, -0.832000333222285, 73.24806579165528], 'radius': 12.0}, 'projected_sphere': {'center': [179.19156039403498, 112.95762692130249], 'axes': [203.14529590889472, 203.14529590889472], 'angle': 90.0}, 'model_confidence': 0.6373017281041782, 'model_id': 106, 'model_birth_timestamp': 34836.326927, 'theta': 2.0821134309520217, 'phi': -1.9648679275254857, 'norm_pos': [0.4470121379742692, 0.29591567539675245], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178958.603391,"{'circle_3d': {'center': [-1.757403697959937, 5.042982276192881, 63.58959298370689], 'normal': [-0.335394485365855, 0.4895818841179305, -0.8048727339956986], 'radius': 1.7009580262477877}, 'confidence': 0.996755656713103, 'timestamp': 35294.369055, 'diameter_3d': 3.4019160524955754, 'ellipse': {'center': [142.98073868711577, 169.0067355359982], 'axes': [25.102671572277018, 33.17956877338715], 'angle': -56.91181965580219}, 'location': [142.98073868711577, 169.0067355359982], 'diameter': 33.17956877338715, 'sphere': {'center': [2.2673301264303225, -0.832000333222285, 73.24806579165528], 'radius': 12.0}, 'projected_sphere': {'center': [179.19156039403498, 112.95762692130249], 'axes': [203.14529590889472, 203.14529590889472], 'angle': 90.0}, 'model_confidence': 0.6376368251174269, 'model_id': 106, 'model_birth_timestamp': 34836.326927, 'theta': 2.082406500985445, 'phi': -1.9656201010930412, 'norm_pos': [0.4468148083972368, 0.29580526860000755], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178958.616174,"{'circle_3d': {'center': [-1.7494512795063129, 5.029721605329132, 63.578232129589175], 'normal': [-0.3347317838280529, 0.4884768282126181, -0.8058194718388418], 'radius': 1.6976078106516088}, 'confidence': 0.9954632187902603, 'timestamp': 35294.377455, 'diameter_3d': 3.3952156213032176, 'ellipse': {'center': [143.05475501112906, 168.88689365842023], 'axes': [25.09698826293723, 33.12010147827332], 'angle': -56.90907706931753}, 'location': [143.05475501112906, 168.88689365842023], 'diameter': 33.12010147827332, 'sphere': {'center': [2.2673301264303225, -0.832000333222285, 73.24806579165528], 'radius': 12.0}, 'projected_sphere': {'center': [179.19156039403498, 112.95762692130249], 'axes': [203.14529590889472, 203.14529590889472], 'angle': 90.0}, 'model_confidence': 0.6375256761248393, 'model_id': 106, 'model_birth_timestamp': 34836.326927, 'theta': 2.081139623257281, 'phi': -1.9645017184148772, 'norm_pos': [0.4470461094097783, 0.29630460975658235], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178958.623422,"{'circle_3d': {'center': [-1.7624811320681806, 5.0276676781219924, 63.582409475723736], 'normal': [-0.3358176048748752, 0.4883056676120231, -0.805471359660962], 'radius': 1.680514806228015}, 'confidence': 0.9940943940542617, 'timestamp': 35294.385855, 'diameter_3d': 3.36102961245603, 'ellipse': {'center': [142.9267915880479, 168.86705285919646], 'axes': [24.828984966557858, 32.78435802809064], 'angle': -56.80827939586762}, 'location': [142.9267915880479, 168.86705285919646], 'diameter': 32.78435802809064, 'sphere': {'center': [2.2673301264303225, -0.832000333222285, 73.24806579165528], 'radius': 12.0}, 'projected_sphere': {'center': [179.19156039403498, 112.95762692130249], 'axes': [203.14529590889472, 203.14529590889472], 'angle': 90.0}, 'model_confidence': 0.6371597918081617, 'model_id': 106, 'model_birth_timestamp': 34836.326927, 'theta': 2.0809434786977405, 'phi': -1.965803798673409, 'norm_pos': [0.4466462237126497, 0.2963872797533481], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178958.6329012,"{'circle_3d': {'center': [-1.752820835614365, 5.025590865218878, 63.577129353320274], 'normal': [-0.33501258017039065, 0.48813259987009694, -0.8059113698612506], 'radius': 1.6999037936541892}, 'confidence': 0.9965457475676833, 'timestamp': 35294.394255, 'diameter_3d': 3.3998075873083784, 'ellipse': {'center': [143.02202219624758, 168.8471061354254], 'axes': [25.1355208937078, 33.16546765458354], 'angle': -56.86703769163138}, 'location': [143.02202219624758, 168.8471061354254], 'diameter': 33.16546765458354, 'sphere': {'center': [2.2673301264303225, -0.832000333222285, 73.24806579165528], 'radius': 12.0}, 'projected_sphere': {'center': [179.19156039403498, 112.95762692130249], 'axes': [203.14529590889472, 203.14529590889472], 'angle': 90.0}, 'model_confidence': 0.637292255576094, 'model_id': 106, 'model_birth_timestamp': 34836.326927, 'theta': 2.0807451705015403, 'phi': -1.9647584419419828, 'norm_pos': [0.44694381936327365, 0.29647039110239415], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178958.638798,"{'circle_3d': {'center': [-1.7542807345040545, 5.039162018668372, 63.585969811954165], 'normal': [-0.3351342384111981, 0.4892635293242214, -0.8051746649750928], 'radius': 1.6959287219168935}, 'confidence': 0.996132046473059, 'timestamp': 35294.402655, 'diameter_3d': 3.391857443833787, 'ellipse': {'center': [143.00950965422686, 168.97325091271716], 'axes': [25.042314169311062, 33.083321811164325], 'angle': -56.91687771147649}, 'location': [143.00950965422686, 168.97325091271716], 'diameter': 33.083321811164325, 'sphere': {'center': [2.2673301264303225, -0.832000333222285, 73.24806579165528], 'radius': 12.0}, 'projected_sphere': {'center': [179.19156039403498, 112.95762692130249], 'axes': [203.14529590889472, 203.14529590889472], 'angle': 90.0}, 'model_confidence': 0.6371245792665792, 'model_id': 106, 'model_birth_timestamp': 34836.326927, 'theta': 2.0820414347521567, 'phi': -1.96521149383346, 'norm_pos': [0.44690471766945894, 0.2959447878636785], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178958.649594,"{'circle_3d': {'center': [-1.7479698733012148, 5.030554155190941, 63.57812159416676], 'normal': [-0.3346083333109614, 0.4885462073677689, -0.8058286831240431], 'radius': 1.691981437662659}, 'confidence': 0.9965852530985149, 'timestamp': 35294.411055, 'diameter_3d': 3.383962875325318, 'ellipse': {'center': [143.06837234964001, 168.89614301484005], 'axes': [25.014086395870574, 33.01036594163109], 'angle': -56.92319333897561}, 'location': [143.06837234964001, 168.89614301484005], 'diameter': 33.01036594163109, 'sphere': {'center': [2.2673301264303225, -0.832000333222285, 73.24806579165528], 'radius': 12.0}, 'projected_sphere': {'center': [179.19156039403498, 112.95762692130249], 'axes': [203.14529590889472, 203.14529590889472], 'angle': 90.0}, 'model_confidence': 0.6367505777100768, 'model_id': 106, 'model_birth_timestamp': 34836.326927, 'theta': 2.081219135678481, 'phi': -1.964367008668014, 'norm_pos': [0.44708866359262506, 0.2962660707714998], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178958.655412,"{'circle_3d': {'center': [-1.7566380206100547, 5.0387110138338524, 63.5866772459466], 'normal': [-0.33533067892003143, 0.48922594558801147, -0.8051157121423894], 'radius': 1.6966561697797975}, 'confidence': 0.9974858219502002, 'timestamp': 35294.419455, 'diameter_3d': 3.393312339559595, 'ellipse': {'center': [142.98686549993798, 168.96819991273964], 'axes': [25.050478064856968, 33.09714311462115], 'angle': -56.89830957000843}, 'location': [142.98686549993798, 168.96819991273964], 'diameter': 33.09714311462115, 'sphere': {'center': [2.2673301264303225, -0.832000333222285, 73.24806579165528], 'radius': 12.0}, 'projected_sphere': {'center': [179.19156039403498, 112.95762692130249], 'axes': [203.14529590889472, 203.14529590889472], 'angle': 90.0}, 'model_confidence': 0.6371983559799066, 'model_id': 106, 'model_birth_timestamp': 34836.326927, 'theta': 2.0819983413790815, 'phi': -1.9654454101828136, 'norm_pos': [0.4468339546873062, 0.2959658336969182], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178958.6634429,"{'circle_3d': {'center': [-1.7457060095684733, 5.039481216145451, 63.582599150742276], 'normal': [-0.33441967799989963, 0.489290129113978, -0.805455553409417], 'radius': 1.700872353231923}, 'confidence': 0.9971608969181245, 'timestamp': 35294.427855, 'diameter_3d': 3.401744706463846, 'ellipse': {'center': [143.09271092920233, 168.9779229171378], 'axes': [25.127890610507162, 33.18155708304452], 'angle': -56.97863171255971}, 'location': [143.09271092920233, 168.9779229171378], 'diameter': 33.18155708304452, 'sphere': {'center': [2.2673301264303225, -0.832000333222285, 73.24806579165528], 'radius': 12.0}, 'projected_sphere': {'center': [179.19156039403498, 112.95762692130249], 'axes': [203.14529590889472, 203.14529590889472], 'angle': 90.0}, 'model_confidence': 0.6374594020296831, 'model_id': 106, 'model_birth_timestamp': 34836.326927, 'theta': 2.0820719346023986, 'phi': -1.9643313016770685, 'norm_pos': [0.44716472165375726, 0.2959253211785925], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582178958.67095,"{'circle_3d': {'center': [-1.750744629524732, 5.028184627602864, 63.57783789979691], 'normal': [-0.33483956299625456, 0.4883487467354291, -0.8058523243215305], 'radius': 1.6952159061529357}, 'confidence': 0.9976083432140478, 'timestamp': 35294.436255, 'diameter_3d': 3.3904318123058714, 'ellipse': {'center': [143.04175483236028, 168.87269604517667], 'axes': [25.063246140350753, 33.07362367345483], 'angle': -56.893155560330946}, 'location': [143.04175483236028, 168.87269604517667], 'diameter': 33.07362367345483, 'sphere': {'center': [2.2673301264303225, -0.832000333222285, 73.24806579165528], 'radius': 12.0}, 'projected_sphere': {'center': [179.19156039403498, 112.95762692130249], 'axes': [203.14529590889472, 203.14529590889472], 'angle': 90.0}, 'model_confidence': 0.6382229473814283, 'model_id': 106, 'model_birth_timestamp': 34836.326927, 'theta': 2.0809928439641037, 'phi': -1.9646013355785488, 'norm_pos': [0.4470054838511259, 0.29636376647843055], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
