eye_packets,777
norm_X,norm_Y,phi,theta,confidence,timestamp
1582180009.403838,"{'circle_3d': {'center': [-10.810749507643067, 21.071394831737315, 369.69378753474393], 'normal': [0.36129552319655706, -0.46740276339850084, -0.8068458351417395], 'radius': 9.740589246052764}, 'confidence': 0.04002058116272855, 'timestamp': 36345.048205, 'diameter_3d': 19.481178492105528, 'ellipse': {'center': [141.73979389854134, 155.50898798019114], 'axes': [27.580537178268784, 32.677859335872135], 'angle': -51.13185384057714}, 'location': [141.73979389854134, 155.50898798019114], 'diameter': 32.677859335872135, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.0844457408927917, 'phi': -1.1497837948538008, 'norm_pos': [0.4429368559329417, 0.3520458834158703], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.411684,"{'circle_3d': {'center': [-10.85470155877871, 21.037643933510314, 369.69381670789704], 'normal': [0.35763285226858665, -0.4702153382507511, -0.8068434040456469], 'radius': 9.684981874668805}, 'confidence': 0.3132850263553612, 'timestamp': 36345.056605, 'diameter_3d': 19.36996374933761, 'ellipse': {'center': [141.66880456782167, 155.4513882663652], 'axes': [27.42488613643171, 32.49097154080569], 'angle': -51.64310628342387}, 'location': [141.66880456782167, 155.4513882663652], 'diameter': 32.49097154080569, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.0812615695856678, 'phi': -1.1535703659496404, 'norm_pos': [0.4427150142744427, 0.35228588222347834], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.41907,"{'circle_3d': {'center': [-9.54618755300805, 21.140734110113158, 370.32315923674975], 'normal': [0.4666756860828085, -0.4616244902005142, -0.754398193307921], 'radius': 15.955263777258562}, 'confidence': 0.0264820229500413, 'timestamp': 36345.065005, 'diameter_3d': 31.910527554517124, 'ellipse': {'center': [143.59934142526504, 155.82355359976236], 'axes': [42.37585035069594, 53.46205981716263], 'angle': -42.885352528179226}, 'location': [143.59934142526504, 155.82355359976236], 'diameter': 53.46205981716263, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.0909707114688385, 'phi': -1.0168077432992064, 'norm_pos': [0.44874794195395323, 0.35073519333432346], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.427571,"{'circle_3d': {'center': [-10.82477921013011, 20.9908219260076, 369.73461227955437], 'normal': [0.3601263813226368, -0.4741171722093105, -0.803443773074202], 'radius': 9.73809548521608}, 'confidence': 0.11135624704391235, 'timestamp': 36345.073405, 'diameter_3d': 19.47619097043216, 'ellipse': {'center': [141.7192230385154, 155.3715873254476], 'axes': [27.467993973082702, 32.665624953750125], 'angle': -51.70055945469877}, 'location': [141.7192230385154, 155.3715873254476], 'diameter': 32.665624953750125, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.0768352533485743, 'phi': -1.149416574229387, 'norm_pos': [0.4428725719953606, 0.35261838614396834], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.435282,"{'circle_3d': {'center': [-8.844620454643973, 21.63453022089143, 370.4973215598186], 'normal': [0.5251396109464807, -0.42047481430232403, -0.739884666385515], 'radius': 16.418556785162416}, 'confidence': 0.05191509395462069, 'timestamp': 36345.081805, 'diameter_3d': 32.83711357032483, 'ellipse': {'center': [144.7125163144393, 156.6151236607578], 'axes': [42.710140478381966, 55.004447893076986], 'angle': -36.369296595082346}, 'location': [144.7125163144393, 156.6151236607578], 'diameter': 55.004447893076986, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.1368277458880702, 'phi': -0.9535508527346735, 'norm_pos': [0.45222661348262283, 0.3474369847468425], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.442982,"{'circle_3d': {'center': [-10.81806844147035, 21.012383696915954, 369.72492781161253], 'normal': [0.3606856120442834, -0.47232035796694777, -0.8042508120693538], 'radius': 9.758299251792723}, 'confidence': 0.08918842019303329, 'timestamp': 36345.090205, 'diameter_3d': 19.516598503585445, 'ellipse': {'center': [141.72915784504303, 155.40891079500878], 'axes': [27.549960069386145, 32.734351502137535], 'angle': -51.52839962397028}, 'location': [141.72915784504303, 155.40891079500878], 'diameter': 32.734351502137535, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.0788748981966676, 'phi': -1.1492121134253748, 'norm_pos': [0.44290361826575947, 0.3524628716874634], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.4510348,"{'circle_3d': {'center': [-10.864557725836255, 20.963964089873954, 369.7327510405962], 'normal': [0.3568115050137914, -0.4763553252204479, -0.8035988763207141], 'radius': 9.675589825866494}, 'confidence': 0.037480033252679346, 'timestamp': 36345.098605, 'diameter_3d': 19.351179651732988, 'ellipse': {'center': [141.65517112478838, 155.3252985686371], 'axes': [27.29806522159981, 32.45583222831315], 'angle': -52.1380514280495}, 'location': [141.65517112478838, 155.3252985686371], 'diameter': 32.45583222831315, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.0742914865665478, 'phi': -1.1529290514914552, 'norm_pos': [0.4426724097649637, 0.3528112559640121], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.462989,"{'circle_3d': {'center': [-12.247195562029644, 19.541180242930057, 370.1765237098756], 'normal': [0.24159168533100905, -0.5949206457991061, -0.7666178205474337], 'radius': 16.927365471705144}, 'confidence': 0.012389789946754456, 'timestamp': 36345.107005, 'diameter_3d': 33.85473094341029, 'ellipse': {'center': [139.22943994759234, 153.34909334341444], 'axes': [45.739412916069455, 56.73085104910455], 'angle': -68.81364282589641}, 'location': [139.22943994759234, 153.34909334341444], 'diameter': 56.73085104910455, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 0.9336294074262526, 'phi': -1.2655084469774818, 'norm_pos': [0.43509199983622604, 0.3610454444024398], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.471338,"{'circle_3d': {'center': [-10.761329848950748, 21.02672764896136, 369.74214247889137], 'normal': [0.3654138280875836, -0.4711250286298308, -0.8028162564627842], 'radius': 9.780311040204397}, 'confidence': 0.11529889881769206, 'timestamp': 36345.115405, 'diameter_3d': 19.560622080408795, 'ellipse': {'center': [141.82314191040592, 155.4314394871559], 'axes': [27.564610268549288, 32.80698603643039], 'angle': -51.04448436100899}, 'location': [141.82314191040592, 155.4314394871559], 'diameter': 32.80698603643039, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.0802305359953903, 'phi': -1.1436555289626225, 'norm_pos': [0.44319731847001853, 0.3523690021368504], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.47908,"{'circle_3d': {'center': [-10.775426602705334, 21.050909590998245, 369.72159775939986], 'normal': [0.36423909860803466, -0.4691098667934236, -0.8045283164204121], 'radius': 9.722274433126168}, 'confidence': 0.2686510051121605, 'timestamp': 36345.123805, 'diameter_3d': 19.444548866252337, 'ellipse': {'center': [141.80021067598832, 155.4715166232267], 'axes': [27.45491450514484, 32.61406645437533], 'angle': -51.00221349185005}, 'location': [141.80021067598832, 155.4715166232267], 'diameter': 32.61406645437533, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.0825137376931238, 'phi': -1.14566929987867, 'norm_pos': [0.44312565836246354, 0.3522020140698887], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582180009.4869251,"{'circle_3d': {'center': [-9.852677465007524, 21.128753041080607, 370.14778872067154], 'normal': [0.4411348600828514, -0.46262291261989247, -0.7690124029811031], 'radius': 16.36288726913806}, 'confidence': 0.07685277851908147, 'timestamp': 36345.132205, 'diameter_3d': 32.72577453827612, 'ellipse': {'center': [143.07215975191858, 155.85047307947227], 'axes': [44.2701356492255, 54.850830492500435], 'angle': -44.6534572625581}, 'location': [143.07215975191858, 155.85047307947227], 'diameter': 54.850830492500435, 'sphere': {'center': [-15.146295786001751, 26.680227992519328, 379.3759375564448], 'radius': 12.0}, 'projected_sphere': {'center': [135.24697151905184, 163.60250537213065], 'axes': [39.2223083410136, 39.2223083410136], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 36342.125011, 'theta': 1.0898448599872748, 'phi': -1.0499861079573702, 'norm_pos': [0.44710049922474554, 0.3506230288355322], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
