imu_packets,1173
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1582179965.832313,-0.02686,0.03247,0.98969,0.13684,0.4116
1582179965.8377512,-0.02692,0.03253,0.98969,0.13678,0.4116
1582179965.8445902,-0.02692,0.03253,0.98969,0.13678,0.4116
1582179965.848595,-0.02692,0.03259,0.98969,0.13672,0.4116
1582179965.855007,-0.02692,0.03259,0.98969,0.13672,0.4116
1582179965.859736,-0.02698,0.03259,0.98969,0.13672,0.4116
1582179965.8657138,-0.02698,0.03265,0.98969,0.13666,0.4116
1582179965.871147,-0.02698,0.03265,0.98969,0.13666,0.4116
1582179965.8769128,-0.02698,0.03265,0.98969,0.13666,0.4116
1582179965.882198,-0.02698,0.03265,0.98969,0.13666,0.4116
1582179965.887773,-0.02704,0.03271,0.98969,0.13660,0.4116
1582179965.8930602,-0.02704,0.03271,0.98969,0.13660,0.4116
1582179965.8985658,-0.02704,0.03271,0.98969,0.13660,0.4116
1582179965.903955,-0.02710,0.03278,0.98969,0.13660,0.4116
1582179965.911586,-0.02710,0.03278,0.98969,0.13660,0.4116
1582179965.914999,-0.02710,0.03284,0.98969,0.13660,0.4116
1582179965.922552,-0.02710,0.03284,0.98969,0.13660,0.4116
1582179965.926272,-0.02710,0.03284,0.98969,0.13660,0.4116
1582179965.932827,-0.02710,0.03284,0.98969,0.13660,0.4116
1582179965.937836,-0.02710,0.03284,0.98969,0.13660,0.4116
1582179965.942909,-0.02710,0.03290,0.98969,0.13660,0.4116
1582179965.947955,-0.02710,0.03290,0.98969,0.13660,0.4116
1582179965.9533281,-0.02710,0.03290,0.98969,0.13660,0.4116
1582179965.959591,-0.02710,0.03290,0.98969,0.13660,0.4116
1582179965.964447,-0.02710,0.03290,0.98969,0.13660,0.4116
1582179965.970874,-0.02710,0.03290,0.98969,0.13666,0.4116
1582179965.975821,-0.02704,0.03290,0.98969,0.13666,0.4116
1582179965.9818618,-0.02704,0.03290,0.98969,0.13666,0.4116
1582179965.987103,-0.02704,0.03290,0.98969,0.13666,0.4117
1582179965.992621,-0.02704,0.03290,0.98969,0.13666,0.4117
1582179965.9978912,-0.02704,0.03290,0.98969,0.13666,0.4117
1582179966.004658,-0.02704,0.03290,0.98969,0.13666,0.4117
1582179966.008333,-0.02704,0.03290,0.98969,0.13666,0.4117
1582179966.013938,-0.02704,0.03290,0.98969,0.13666,0.4117
1582179966.019448,-0.02698,0.03296,0.98969,0.13660,0.4117
1582179966.0246882,-0.02698,0.03290,0.98969,0.13660,0.4117
1582179966.030232,-0.02698,0.03290,0.98969,0.13660,0.4117
1582179966.036339,-0.02698,0.03290,0.98969,0.13660,0.4117
1582179966.043079,-0.02698,0.03290,0.98975,0.13654,0.4117
1582179966.0473971,-0.02698,0.03290,0.98975,0.13654,0.4117
1582179966.052928,-0.02698,0.03290,0.98975,0.13654,0.4117
1582179966.05859,-0.02698,0.03290,0.98975,0.13647,0.4117
1582179966.0641751,-0.02698,0.03290,0.98975,0.13647,0.4117
1582179966.069358,-0.02698,0.03284,0.98975,0.13641,0.4117
1582179966.0756931,-0.02698,0.03284,0.98975,0.13641,0.4117
1582179966.080982,-0.02698,0.03284,0.98975,0.13641,0.4117
1582179966.08689,-0.02698,0.03284,0.98975,0.13635,0.4117
1582179966.093768,-0.02698,0.03284,0.98975,0.13635,0.4117
1582179966.098784,-0.02698,0.03284,0.98975,0.13629,0.4117
1582179966.103819,-0.02692,0.03284,0.98975,0.13629,0.4117
1582179966.109395,-0.02692,0.03284,0.98975,0.13623,0.4117
1582179966.117748,-0.02686,0.03284,0.98975,0.13623,0.4117
1582179966.121737,-0.02686,0.03284,0.98975,0.13617,0.4117
1582179966.1273222,-0.02679,0.03284,0.98975,0.13617,0.4117
1582179966.132482,-0.02673,0.03284,0.98981,0.13617,0.4117
1582179966.137865,-0.02673,0.03284,0.98981,0.13617,0.4117
1582179966.143593,-0.02667,0.03290,0.98981,0.13617,0.4117
1582179966.149929,-0.02661,0.03296,0.98981,0.13611,0.4117
1582179966.156634,-0.02661,0.03296,0.98981,0.13611,0.4117
1582179966.160768,-0.02661,0.03302,0.98981,0.13611,0.4117
