imu_packets,1172
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1582183293.645694,0.01947,-0.02332,-0.97247,0.23108,0.3814
1582183293.652216,0.01947,-0.02332,-0.97247,0.23108,0.3814
1582183293.657378,0.01947,-0.02332,-0.97247,0.23108,0.3814
1582183293.66231,0.01947,-0.02338,-0.97247,0.23108,0.3814
1582183293.6677918,0.01947,-0.02338,-0.97247,0.23108,0.3814
1582183293.6732001,0.01947,-0.02338,-0.97247,0.23108,0.3814
1582183293.6789849,0.01947,-0.02338,-0.97247,0.23108,0.3814
1582183293.684644,0.01953,-0.02344,-0.97247,0.23114,0.3814
1582183293.691493,0.01953,-0.02350,-0.97247,0.23114,0.3814
1582183293.695982,0.01953,-0.02350,-0.97241,0.23114,0.3814
1582183293.7022889,0.01953,-0.02356,-0.97241,0.23114,0.3814
1582183293.708549,0.01953,-0.02356,-0.97241,0.23114,0.3814
1582183293.7133372,0.01953,-0.02362,-0.97241,0.23114,0.3814
1582183293.717856,0.01953,-0.02362,-0.97241,0.23120,0.3814
1582183293.724022,0.01953,-0.02368,-0.97241,0.23120,0.3814
1582183293.729462,0.01959,-0.02374,-0.97241,0.23126,0.3814
1582183293.735626,0.01959,-0.02380,-0.97241,0.23126,0.3814
1582183293.741371,0.01959,-0.02380,-0.97241,0.23126,0.3814
1582183293.7471879,0.01959,-0.02380,-0.97241,0.23132,0.3814
1582183293.7524722,0.01959,-0.02380,-0.97241,0.23132,0.3814
1582183293.758303,0.01959,-0.02380,-0.97241,0.23132,0.3814
1582183293.763188,0.01959,-0.02380,-0.97235,0.23138,0.3814
1582183293.769078,0.01965,-0.02380,-0.97235,0.23138,0.3814
1582183293.7745652,0.01965,-0.02380,-0.97235,0.23145,0.3814
1582183293.780158,0.01965,-0.02380,-0.97235,0.23145,0.3814
1582183293.786283,0.01965,-0.02380,-0.97235,0.23145,0.3814
1582183293.791703,0.01965,-0.02380,-0.97235,0.23151,0.3814
1582183293.797065,0.01971,-0.02374,-0.97235,0.23151,0.3814
1582183293.8033469,0.01971,-0.02374,-0.97235,0.23151,0.3814
1582183293.8079438,0.01971,-0.02374,-0.97235,0.23157,0.3814
1582183293.8133278,0.01971,-0.02374,-0.97235,0.23157,0.3814
1582183293.8189828,0.01971,-0.02374,-0.97235,0.23157,0.3814
1582183293.824727,0.01978,-0.02368,-0.97235,0.23157,0.3814
1582183293.8303192,0.01978,-0.02368,-0.97229,0.23163,0.3814
1582183293.8358521,0.01984,-0.02362,-0.97229,0.23163,0.3814
1582183293.842371,0.01984,-0.02362,-0.97235,0.23163,0.3814
1582183293.8470662,0.01984,-0.02356,-0.97229,0.23163,0.3814
1582183293.852582,0.01990,-0.02356,-0.97229,0.23163,0.3814
1582183293.858809,0.01990,-0.02350,-0.97229,0.23163,0.3814
1582183293.8648992,0.01996,-0.02344,-0.97229,0.23163,0.3814
1582183293.8707578,0.01996,-0.02344,-0.97229,0.23163,0.3814
1582183293.875274,0.01996,-0.02338,-0.97229,0.23163,0.3814
1582183293.881643,0.01996,-0.02338,-0.97229,0.23163,0.3814
1582183293.886531,0.02002,-0.02332,-0.97229,0.23163,0.3814
1582183293.891828,0.02002,-0.02325,-0.97229,0.23163,0.3814
1582183293.89766,0.02002,-0.02325,-0.97229,0.23163,0.3814
1582183293.902703,0.02008,-0.02319,-0.97229,0.23163,0.3814
1582183293.909329,0.02008,-0.02319,-0.97229,0.23163,0.3814
1582183293.913984,0.02008,-0.02319,-0.97229,0.23163,0.3814
1582183293.919383,0.02014,-0.02319,-0.97229,0.23163,0.3814
