eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1582251945.746932,"{'circle_3d': {'center': [-1.1233191331102612, 6.15680377879366, 61.20132781958759], 'normal': [-0.20032732796655756, 0.5993325998591698, -0.775028642319642], 'radius': 2.141967627597921}, 'confidence': 0.991121641764555, 'timestamp': 53390.131703, 'diameter_3d': 4.283935255195842, 'ellipse': {'center': [148.73261594022648, 182.04908471186926], 'axes': [30.871325028377466, 43.41270065901711], 'angle': -72.27240377408823}, 'location': [148.73261594022648, 182.04908471186926], 'diameter': 43.41270065901711, 'sphere': {'center': [1.2806088024884292, -1.0351874195163766, 70.5016715274233], 'radius': 12.0}, 'projected_sphere': {'center': [171.26182458289645, 110.89643995390232], 'axes': [211.05882566503507, 211.05882566503507], 'angle': 90.0}, 'model_confidence': 0.8314722721498913, 'model_id': 8, 'model_birth_timestamp': 53352.508462, 'theta': 2.213463446142348, 'phi': -1.8237375946084553, 'norm_pos': [0.46478942481320773, 0.24146214703387814], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251945.7555652,"{'circle_3d': {'center': [-1.1129052697871724, 6.167866796553466, 61.20720541332201], 'normal': [-0.1994595060229668, 0.6002545180058202, -0.7745388428417742], 'radius': 2.130042005233811}, 'confidence': 0.9974323867634856, 'timestamp': 53390.140103, 'diameter_3d': 4.260084010467622, 'ellipse': {'center': [148.8373887963404, 182.15859413939123], 'axes': [30.668928452245865, 43.16677072210578], 'angle': -72.3740954968562}, 'location': [148.8373887963404, 182.15859413939123], 'diameter': 43.16677072210578, 'sphere': {'center': [1.2806088024884292, -1.0351874195163766, 70.5016715274233], 'radius': 12.0}, 'projected_sphere': {'center': [171.26182458289645, 110.89643995390232], 'axes': [211.05882566503507, 211.05882566503507], 'angle': 90.0}, 'model_confidence': 0.8306971648529338, 'model_id': 8, 'model_birth_timestamp': 53352.508462, 'theta': 2.2146156210665744, 'phi': -1.8228403369751534, 'norm_pos': [0.4651168399885638, 0.24100585775253658], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251945.764199,"{'circle_3d': {'center': [-1.1289160787985943, 6.169999784569098, 61.212997391652266], 'normal': [-0.20079374010725196, 0.6004322670071229, -0.7740561779809191], 'radius': 2.1429624674538856}, 'confidence': 0.9965238762379461, 'timestamp': 53390.148503, 'diameter_3d': 4.285924934907771, 'ellipse': {'center': [148.67823665107696, 182.17064474664306], 'axes': [30.826546036140446, 43.424627480886166], 'angle': -72.2610683392275}, 'location': [148.67823665107696, 182.17064474664306], 'diameter': 43.424627480886166, 'sphere': {'center': [1.2806088024884292, -1.0351874195163766, 70.5016715274233], 'radius': 12.0}, 'projected_sphere': {'center': [171.26182458289645, 110.89643995390232], 'axes': [211.05882566503507, 211.05882566503507], 'angle': 90.0}, 'model_confidence': 0.8302003070349229, 'model_id': 8, 'model_birth_timestamp': 53352.508462, 'theta': 2.214837878903007, 'phi': -1.8246066133424415, 'norm_pos': [0.4646194895346155, 0.24095564688898718], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251945.770781,"{'circle_3d': {'center': [-1.117107179969657, 6.166703369961665, 61.2073868791087], 'normal': [-0.19980966520484053, 0.6001575657898368, -0.7745237206928831], 'radius': 2.1515758588833815}, 'confidence': 0.9973328078105801, 'timestamp': 53390.156903, 'diameter_3d': 4.303151717766763, 'ellipse': {'center': [148.7972910180672, 182.1402010852973], 'axes': [30.9785941206724, 43.6032486659066], 'angle': -72.34054201862223}, 'location': [148.7972910180672, 182.1402010852973], 'diameter': 43.6032486659066, 'sphere': {'center': [1.2806088024884292, -1.0351874195163766, 70.5016715274233], 'radius': 12.0}, 'projected_sphere': {'center': [171.26182458289645, 110.89643995390232], 'axes': [211.05882566503507, 211.05882566503507], 'angle': 90.0}, 'model_confidence': 0.8297491194940054, 'model_id': 8, 'model_birth_timestamp': 53352.508462, 'theta': 2.2144944073759576, 'phi': -1.823268984093501, 'norm_pos': [0.46499153443146, 0.24108249547792793], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251945.778286,"{'circle_3d': {'center': [-1.1219354358225975, 6.169367508232937, 61.21069905539425], 'normal': [-0.20021201985925222, 0.6003795773124428, -0.7742477060024208], 'radius': 2.1435950397695795}, 'confidence': 0.7889808694489634, 'timestamp': 53390.165303, 'diameter_3d': 4.287190079539159, 'ellipse': {'center': [148.7483141116759, 182.16629104061818], 'axes': [30.846969149652665, 43.43908577598767], 'angle': -72.3109980254555}, 'location': [148.7483141116759, 182.16629104061818], 'diameter': 43.43908577598767, 'sphere': {'center': [1.2806088024884292, -1.0351874195163766, 70.5016715274233], 'radius': 12.0}, 'projected_sphere': {'center': [171.26182458289645, 110.89643995390232], 'axes': [211.05882566503507, 211.05882566503507], 'angle': 90.0}, 'model_confidence': 0.8292886002561062, 'model_id': 8, 'model_birth_timestamp': 53352.508462, 'theta': 2.214771991697858, 'phi': -1.823842372372069, 'norm_pos': [0.4648384815989872, 0.24097378733075758], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251945.787621,"{'circle_3d': {'center': [-1.1228867046555295, 6.167839889483072, 61.20976069417985], 'normal': [-0.20029129226199657, 0.6002522757499541, -0.7743259027702873], 'radius': 2.1399085626216516}, 'confidence': 0.928026409698523, 'timestamp': 53390.173703, 'diameter_3d': 4.279817125243303, 'ellipse': {'center': [148.73817684815023, 182.15289881896538], 'axes': [30.798693786559685, 43.36500403558557], 'angle': -72.3005461255118}, 'location': [148.73817684815023, 182.15289881896538], 'diameter': 43.36500403558557, 'sphere': {'center': [1.2806088024884292, -1.0351874195163766, 70.5016715274233], 'radius': 12.0}, 'projected_sphere': {'center': [171.26182458289645, 110.89643995390232], 'axes': [211.05882566503507, 211.05882566503507], 'angle': 90.0}, 'model_confidence': 0.8292037019839271, 'model_id': 8, 'model_birth_timestamp': 53352.508462, 'theta': 2.214612817580527, 'phi': -1.8239138530753551, 'norm_pos': [0.4648068026504695, 0.24102958825431087], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251945.794065,"{'circle_3d': {'center': [-1.1324347191374475, 6.170633906037793, 61.21440282306634], 'normal': [-0.20108696013548974, 0.6004851104628475, -0.7739390586964131], 'radius': 2.1350566301862237}, 'confidence': 0.9567942894520483, 'timestamp': 53390.182103, 'diameter_3d': 4.270113260372447, 'ellipse': {'center': [148.64216056732292, 182.17806278904948], 'axes': [30.70577641795197, 43.26335282427355], 'angle': -72.23662385522363}, 'location': [148.64216056732292, 182.17806278904948], 'diameter': 43.26335282427355, 'sphere': {'center': [1.2806088024884292, -1.0351874195163766, 70.5016715274233], 'radius': 12.0}, 'projected_sphere': {'center': [171.26182458289645, 110.89643995390232], 'axes': [211.05882566503507, 211.05882566503507], 'angle': 90.0}, 'model_confidence': 0.8290421301615725, 'model_id': 8, 'model_birth_timestamp': 53352.508462, 'theta': 2.2149039616566255, 'phi': -1.824998334118117, 'norm_pos': [0.46450675177288414, 0.24092473837896056], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251945.8078148,"{'circle_3d': {'center': [-1.1286548644791778, 6.17966046535282, 61.22043138500546], 'normal': [-0.2007719722473006, 0.6012373237390998, -0.7734366785348197], 'radius': 2.141258319130638}, 'confidence': 0.9970539008402569, 'timestamp': 53390.190503, 'diameter_3d': 4.282516638261276, 'ellipse': {'center': [148.68194574695391, 182.26141168432915], 'axes': [30.76417382922978, 43.38483660805214], 'angle': -72.28480984874408}, 'location': [148.68194574695391, 182.26141168432915], 'diameter': 43.38483660805214, 'sphere': {'center': [1.2806088024884292, -1.0351874195163766, 70.5016715274233], 'radius': 12.0}, 'projected_sphere': {'center': [171.26182458289645, 110.89643995390232], 'axes': [211.05882566503507, 211.05882566503507], 'angle': 90.0}, 'model_confidence': 0.8284744794154086, 'model_id': 8, 'model_birth_timestamp': 53352.508462, 'theta': 2.215844988975145, 'phi': -1.8247749115199734, 'norm_pos': [0.46463108045923096, 0.24057745131529518], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251945.8165498,"{'circle_3d': {'center': [-1.1471165489090465, 6.174099800295973, 61.22092115903], 'normal': [-0.20231044594978964, 0.6007739349843625, -0.7733958640327748], 'radius': 2.164830033829775}, 'confidence': 0.7699170268848691, 'timestamp': 53390.198903, 'diameter_3d': 4.32966006765955, 'ellipse': {'center': [148.49837627469773, 182.1977411975087], 'axes': [31.101706556369468, 43.86229220467019], 'angle': -72.13665523878532}, 'location': [148.49837627469773, 182.1977411975087], 'diameter': 43.86229220467019, 'sphere': {'center': [1.2806088024884292, -1.0351874195163766, 70.5016715274233], 'radius': 12.0}, 'projected_sphere': {'center': [171.26182458289645, 110.89643995390232], 'axes': [211.05882566503507, 211.05882566503507], 'angle': 90.0}, 'model_confidence': 0.8284447305232034, 'model_id': 8, 'model_birth_timestamp': 53352.508462, 'theta': 2.2152652056867836, 'phi': -1.826650493677607, 'norm_pos': [0.4640574258584304, 0.2408427450103805], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251945.822998,"{'circle_3d': {'center': [-1.1320064334341027, 6.174709821332919, 61.21745537850754], 'normal': [-0.20105126966021097, 0.6008247700707746, -0.7736846790763133], 'radius': 2.1391057063111876}, 'confidence': 0.9978680745794596, 'timestamp': 53390.207303, 'diameter_3d': 4.278211412622375, 'ellipse': {'center': [148.64742099608821, 182.2150076910716], 'axes': [30.74852752547447, 43.34329115199385], 'angle': -72.24899924644731}, 'location': [148.64742099608821, 182.2150076910716], 'diameter': 43.34329115199385, 'sphere': {'center': [1.2806088024884292, -1.0351874195163766, 70.5016715274233], 'radius': 12.0}, 'projected_sphere': {'center': [171.26182458289645, 110.89643995390232], 'axes': [211.05882566503507, 211.05882566503507], 'angle': 90.0}, 'model_confidence': 0.8279134485601691, 'model_id': 8, 'model_birth_timestamp': 53352.508462, 'theta': 2.215328797249537, 'phi': -1.8250351452441274, 'norm_pos': [0.4645231906127757, 0.24077080128720163], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582251945.831706,"{'circle_3d': {'center': [-1.1289367081211192, 6.179759588163806, 61.22058160712471], 'normal': [-0.20079545921746236, 0.6012455839733486, -0.7734241600248827], 'radius': 2.141188404489188}, 'confidence': 0.9290897589996655, 'timestamp': 53390.215703, 'diameter_3d': 4.282376808978376, 'ellipse': {'center': [148.6791218117044, 182.26228734793733], 'axes': [30.76242019300403, 43.38331299194459], 'angle': -72.28296285163343}, 'location': [148.6791218117044, 182.26228734793733], 'diameter': 43.38331299194459, 'sphere': {'center': [1.2806088024884292, -1.0351874195163766, 70.5016715274233], 'radius': 12.0}, 'projected_sphere': {'center': [171.26182458289645, 110.89643995390232], 'axes': [211.05882566503507, 211.05882566503507], 'angle': 90.0}, 'model_confidence': 0.8277384700203005, 'model_id': 8, 'model_birth_timestamp': 53352.508462, 'theta': 2.2158553263186787, 'phi': -1.8248072980006376, 'norm_pos': [0.4646222556615762, 0.24057380271692774], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
