eye_packets,779
norm_X,norm_Y,phi,theta,confidence,timestamp
1582252910.390889,"{'circle_3d': {'center': [-1.1777904421720053, 8.877657600904177, 63.70653976677026], 'normal': [-0.13722556087393425, 0.7194944339315882, -0.6808060700260372], 'radius': 2.3626095215391576}, 'confidence': 0.9991686032215168, 'timestamp': 54354.776799, 'diameter_3d': 4.725219043078315, 'ellipse': {'center': [148.60885571551003, 206.04426883901786], 'axes': [26.59936975659714, 46.00456909873829], 'angle': -79.49173015682975}, 'location': [148.60885571551003, 206.04426883901786], 'diameter': 46.00456909873829, 'sphere': {'center': [0.4689162883152058, 0.24372439372511798, 71.8762126070827], 'radius': 12.0}, 'projected_sphere': {'center': [164.04484443754316, 122.10235234479623], 'axes': [207.02259426693442, 207.02259426693442], 'angle': 90.0}, 'model_confidence': 0.8307519873133828, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.373870412176535, 'phi': -1.7696946671473062, 'norm_pos': [0.46440267411096886, 0.14148221317075893], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252910.398931,"{'circle_3d': {'center': [-1.1873767696390247, 8.887754226760588, 63.71916402614576], 'normal': [-0.13802442149618588, 0.7203358194196224, -0.6797540484114121], 'radius': 2.353232448413871}, 'confidence': 0.9988365201723799, 'timestamp': 54354.785199, 'diameter_3d': 4.706464896827742, 'ellipse': {'center': [148.51750515874093, 206.12872508598065], 'axes': [26.428928821078685, 45.812805682525244], 'angle': -79.44184089542084}, 'location': [148.51750515874093, 206.12872508598065], 'diameter': 45.812805682525244, 'sphere': {'center': [0.4689162883152058, 0.24372439372511798, 71.8762126070827], 'radius': 12.0}, 'projected_sphere': {'center': [164.04484443754316, 122.10235234479623], 'axes': [207.02259426693442, 207.02259426693442], 'angle': 90.0}, 'model_confidence': 0.8309241725093286, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.37508267502103, 'phi': -1.7711233628418142, 'norm_pos': [0.4641172036210654, 0.14113031214174732], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252910.4068701,"{'circle_3d': {'center': [-1.1681740921634969, 8.89498468031736, 63.72295371632154], 'normal': [-0.13642419837322523, 0.7209383572160202, -0.679438240896764], 'radius': 2.3775706683629796}, 'confidence': 0.9993054431964655, 'timestamp': 54354.793599, 'diameter_3d': 4.755141336725959, 'ellipse': {'center': [148.70565091828624, 206.18661674420792], 'axes': [26.682370859384953, 46.28423366170382], 'angle': -79.57292288742019}, 'location': [148.70565091828624, 206.18661674420792], 'diameter': 46.28423366170382, 'sphere': {'center': [0.4689162883152058, 0.24372439372511798, 71.8762126070827], 'radius': 12.0}, 'projected_sphere': {'center': [164.04484443754316, 122.10235234479623], 'axes': [207.02259426693442, 207.02259426693442], 'angle': 90.0}, 'model_confidence': 0.8314317023778051, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.375951746181874, 'phi': -1.7689510950328067, 'norm_pos': [0.4647051591196445, 0.14088909689913365], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252910.415034,"{'circle_3d': {'center': [-1.174498370824477, 8.887759186754536, 63.71656489685516], 'normal': [-0.13695122159497355, 0.7203362327524515, -0.6799706425189624], 'radius': 2.3498475979691045}, 'confidence': 0.9988704412148972, 'timestamp': 54354.801999, 'diameter_3d': 4.699695195938209, 'ellipse': {'center': [148.64165547057607, 206.13311804424455], 'axes': [26.403822750112383, 45.74871830465367], 'angle': -79.52427672994455}, 'location': [148.64165547057607, 206.13311804424455], 'diameter': 45.74871830465367, 'sphere': {'center': [0.4689162883152058, 0.24372439372511798, 71.8762126070827], 'radius': 12.0}, 'projected_sphere': {'center': [164.04484443754316, 122.10235234479623], 'axes': [207.02259426693442, 207.02259426693442], 'angle': 90.0}, 'model_confidence': 0.8315514422437054, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.3750832709232403, 'phi': -1.769544933618293, 'norm_pos': [0.4645051733455502, 0.14111200814898106], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252910.422766,"{'circle_3d': {'center': [-1.182149397666452, 8.88127602737555, 63.711245743916834], 'normal': [-0.13758880716513816, 0.7197959694708693, -0.6804139052638224], 'radius': 2.3689149326035714}, 'confidence': 0.9990765203200624, 'timestamp': 54354.810399, 'diameter_3d': 4.737829865207143, 'ellipse': {'center': [148.56778071513045, 206.07140857207037], 'axes': [26.646198314516795, 46.1240462972253], 'angle': -79.46792411068023}, 'location': [148.56778071513045, 206.07140857207037], 'diameter': 46.1240462972253, 'sphere': {'center': [0.4689162883152058, 0.24372439372511798, 71.8762126070827], 'radius': 12.0}, 'projected_sphere': {'center': [164.04484443754316, 122.10235234479623], 'axes': [207.02259426693442, 207.02259426693442], 'angle': 90.0}, 'model_confidence': 0.8319585269322638, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.3743046874449876, 'phi': -1.7703192442857825, 'norm_pos': [0.46427431473478264, 0.14136913094970682], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252910.4306629,"{'circle_3d': {'center': [-1.1922572885072367, 8.885689055590552, 63.71796836394215], 'normal': [-0.13843113140187022, 0.7201637218221194, -0.6798536869283797], 'radius': 2.3711546797213723}, 'confidence': 0.9991757023382108, 'timestamp': 54354.818799, 'diameter_3d': 4.742309359442745, 'ellipse': {'center': [148.4711028564213, 206.10487967990977], 'axes': [26.636864391342222, 46.16283836000155], 'angle': -79.40825395919356}, 'location': [148.4711028564213, 206.10487967990977], 'diameter': 46.16283836000155, 'sphere': {'center': [0.4689162883152058, 0.24372439372511798, 71.8762126070827], 'radius': 12.0}, 'projected_sphere': {'center': [164.04484443754316, 122.10235234479623], 'axes': [207.02259426693442, 207.02259426693442], 'angle': 90.0}, 'model_confidence': 0.8322079416674177, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.374834593833384, 'phi': -1.771669265168722, 'norm_pos': [0.4639721964263166, 0.14122966800037595], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252910.438897,"{'circle_3d': {'center': [-1.1816460381564766, 8.883558344227316, 63.71355903644883], 'normal': [-0.13754686053930687, 0.7199861625418498, -0.6802211308861564], 'radius': 2.358900309952759}, 'confidence': 0.9990458256919621, 'timestamp': 54354.827199, 'diameter_3d': 4.717800619905518, 'ellipse': {'center': [148.5724385584708, 206.09356354211988], 'axes': [26.52142760963575, 45.92725163089572], 'angle': -79.4737440718882}, 'location': [148.5724385584708, 206.09356354211988], 'diameter': 45.92725163089572, 'sphere': {'center': [0.4689162883152058, 0.24372439372511798, 71.8762126070827], 'radius': 12.0}, 'projected_sphere': {'center': [164.04484443754316, 122.10235234479623], 'axes': [207.02259426693442, 207.02259426693442], 'angle': 90.0}, 'model_confidence': 0.8325518028864387, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.374578706488459, 'phi': -1.7703150565489068, 'norm_pos': [0.4642888704952212, 0.14127681857450047], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252910.450707,"{'circle_3d': {'center': [-1.1700162907536533, 8.882004684772943, 63.70957231779842], 'normal': [-0.13657771492240492, 0.7198566909206521, -0.6805533574403577], 'radius': 2.359184687367832}, 'confidence': 0.9989764200968538, 'timestamp': 54354.835599, 'diameter_3d': 4.718369374735664, 'ellipse': {'center': [148.684489509467, 206.0835349196009], 'axes': [26.544853610360487, 45.93565375125462], 'angle': -79.54647548124903}, 'location': [148.684489509467, 206.0835349196009], 'diameter': 45.93565375125462, 'sphere': {'center': [0.4689162883152058, 0.24372439372511798, 71.8762126070827], 'radius': 12.0}, 'projected_sphere': {'center': [164.04484443754316, 122.10235234479623], 'axes': [207.02259426693442, 207.02259426693442], 'angle': 90.0}, 'model_confidence': 0.8328228369585577, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.3743921628932423, 'phi': -1.7688516745889602, 'norm_pos': [0.4646390297170844, 0.1413186045016629], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252910.458623,"{'circle_3d': {'center': [-1.1764943967065182, 8.887680323018321, 63.71688361689894], 'normal': [-0.13711755708514367, 0.7203296607744335, -0.6799440825153138], 'radius': 2.3487699797049015}, 'confidence': 0.9987030015207518, 'timestamp': 54354.843999, 'diameter_3d': 4.697539959409803, 'ellipse': {'center': [148.62230264774186, 206.13226603442692], 'axes': [26.390120139355073, 45.7274954038229], 'angle': -79.51140821587413}, 'location': [148.62230264774186, 206.13226603442692], 'diameter': 45.7274954038229, 'sphere': {'center': [0.4689162883152058, 0.24372439372511798, 71.8762126070827], 'radius': 12.0}, 'projected_sphere': {'center': [164.04484443754316, 122.10235234479623], 'axes': [207.02259426693442, 207.02259426693442], 'angle': 90.0}, 'model_confidence': 0.8330958844414371, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.375073796141912, 'phi': -1.7697875769672529, 'norm_pos': [0.46444469577419334, 0.14111555818988786], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252910.4668329,"{'circle_3d': {'center': [-1.189193877548862, 8.897708706772148, 63.73009536097127], 'normal': [-0.13817584715533898, 0.7211653594205858, -0.6788431038426196], 'radius': 2.3589993735839743}, 'confidence': 0.9988225117846932, 'timestamp': 54354.852399, 'diameter_3d': 4.7179987471679485, 'ellipse': {'center': [148.50208228178244, 206.20941789810308], 'axes': [26.437458101385175, 45.917314929913275], 'angle': -79.44157382677625}, 'location': [148.50208228178244, 206.20941789810308], 'diameter': 45.917314929913275, 'sphere': {'center': [0.4689162883152058, 0.24372439372511798, 71.8762126070827], 'radius': 12.0}, 'projected_sphere': {'center': [164.04484443754316, 122.10235234479623], 'axes': [207.02259426693442, 207.02259426693442], 'angle': 90.0}, 'model_confidence': 0.8332312932570418, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.376279366908063, 'phi': -1.7715992342758273, 'norm_pos': [0.4640690071305701, 0.14079409209123717], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252910.4749901,"{'circle_3d': {'center': [-1.2016663163657266, 8.899313132844028, 63.73434934735061], 'normal': [-0.13921521705674436, 0.7212990615932425, -0.6784886049776747], 'radius': 2.358550136034036}, 'confidence': 0.9988997654895728, 'timestamp': 54354.860799, 'diameter_3d': 4.717100272068072, 'ellipse': {'center': [148.38194829577043, 206.21963347119922], 'axes': [26.41087140450585, 45.90551381527073], 'angle': -79.36371503263743}, 'location': [148.38194829577043, 206.21963347119922], 'diameter': 45.90551381527073, 'sphere': {'center': [0.4689162883152058, 0.24372439372511798, 71.8762126070827], 'radius': 12.0}, 'projected_sphere': {'center': [164.04484443754316, 122.10235234479623], 'axes': [207.02259426693442, 207.02259426693442], 'angle': 90.0}, 'model_confidence': 0.8333790114663397, 'model_id': 1, 'model_birth_timestamp': 54238.705599, 'theta': 2.376472384742807, 'phi': -1.7731717951506696, 'norm_pos': [0.4636935884242826, 0.1407515272033366], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
