eye_packets,758
norm_X,norm_Y,phi,theta,confidence,timestamp
1582252500.2629938,"{'circle_3d': {'center': [-1.2241796399180518, 8.897136543589886, 68.71439030952979], 'normal': [-0.19065018469666667, 0.6205530435265385, -0.7606355416657026], 'radius': 2.406847871806286}, 'confidence': 0.9995794503409086, 'timestamp': 53944.649868, 'diameter_3d': 4.813695743612572, 'ellipse': {'center': [149.05905537072653, 199.9598734420448], 'axes': [29.409709803366102, 43.451965269034694], 'angle': -73.89750355760022}, 'location': [149.05905537072653, 199.9598734420448], 'diameter': 43.451965269034694, 'sphere': {'center': [1.0636225764419485, 1.4505000212714239, 77.84201680951823], 'radius': 12.0}, 'projected_sphere': {'center': [168.47159444760652, 131.55301532575808], 'axes': [191.15640382766304, 191.15640382766304], 'angle': 90.0}, 'model_confidence': 0.9354014201590766, 'model_id': 80, 'model_birth_timestamp': 53936.797622, 'theta': 2.2402440980622833, 'phi': -1.8163828092734697, 'norm_pos': [0.46580954803352037, 0.16683386065814665], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252500.268428,"{'circle_3d': {'center': [-1.2105512372768472, 8.88351197434627, 68.6998908658199], 'normal': [-0.18951448447656633, 0.6194176627562371, -0.761843828641528], 'radius': 2.4047509952941315}, 'confidence': 0.9995986659637128, 'timestamp': 53944.658268, 'diameter_3d': 4.809501990588263, 'ellipse': {'center': [149.17918317344754, 199.8541302988885], 'axes': [29.456137478379908, 43.423194325396025], 'angle': -73.96716357270539}, 'location': [149.17918317344754, 199.8541302988885], 'diameter': 43.423194325396025, 'sphere': {'center': [1.0636225764419485, 1.4505000212714239, 77.84201680951823], 'radius': 12.0}, 'projected_sphere': {'center': [168.47159444760652, 131.55301532575808], 'axes': [191.15640382766304, 191.15640382766304], 'angle': 90.0}, 'model_confidence': 0.9354518080793794, 'model_id': 80, 'model_birth_timestamp': 53936.797622, 'theta': 2.238797040086346, 'phi': -1.8146053829088682, 'norm_pos': [0.46618494741702354, 0.16727445708796462], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252500.275242,"{'circle_3d': {'center': [-1.2169123022214983, 8.870607249251211, 68.6909966810035], 'normal': [-0.1900445732219539, 0.6183422689983157, -0.7625850107095603], 'radius': 2.4022291180034343}, 'confidence': 0.9992353073911585, 'timestamp': 53944.666668, 'diameter_3d': 4.804458236006869, 'ellipse': {'center': [149.12056071109924, 199.74872670112535], 'axes': [29.47056574839676, 43.38323611196881], 'angle': -73.89788083506365}, 'location': [149.12056071109924, 199.74872670112535], 'diameter': 43.38323611196881, 'sphere': {'center': [1.0636225764419485, 1.4505000212714239, 77.84201680951823], 'radius': 12.0}, 'projected_sphere': {'center': [168.47159444760652, 131.55301532575808], 'axes': [191.15640382766304, 191.15640382766304], 'angle': 90.0}, 'model_confidence': 0.9355386998456616, 'model_id': 80, 'model_birth_timestamp': 53936.797622, 'theta': 2.2374279582939405, 'phi': -1.8150322640838255, 'norm_pos': [0.46600175222218515, 0.1677136387453111], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252500.286164,"{'circle_3d': {'center': [-1.1932088358228783, 8.88052592615923, 68.6931684104403], 'normal': [-0.1880692843554022, 0.6191688254073172, -0.7624040332564945], 'radius': 2.4002708847734175}, 'confidence': 0.999371087059968, 'timestamp': 53944.675068, 'diameter_3d': 4.800541769546835, 'ellipse': {'center': [149.33360961380737, 199.83593318813746], 'axes': [29.43371906188569, 43.346452142921684], 'angle': -74.0833668026057}, 'location': [149.33360961380737, 199.83593318813746], 'diameter': 43.346452142921684, 'sphere': {'center': [1.0636225764419485, 1.4505000212714239, 77.84201680951823], 'radius': 12.0}, 'projected_sphere': {'center': [168.47159444760652, 131.55301532575808], 'axes': [191.15640382766304, 191.15640382766304], 'angle': 90.0}, 'model_confidence': 0.9356713041210107, 'model_id': 80, 'model_birth_timestamp': 53936.797622, 'theta': 2.2384801143360638, 'phi': -1.8126471805440971, 'norm_pos': [0.46666753004314804, 0.16735027838276062], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252500.291497,"{'circle_3d': {'center': [-1.1961783452887, 8.878102730011383, 68.6919338702622], 'normal': [-0.18831674347755403, 0.6189668923949966, -0.7625069116046687], 'radius': 2.3913438193225836}, 'confidence': 0.9996923110322544, 'timestamp': 53944.683468, 'diameter_3d': 4.782687638645167, 'ellipse': {'center': [149.30599649539806, 199.8178846375043], 'axes': [29.330567516394115, 43.18593386342937], 'angle': -74.0578977559493}, 'location': [149.30599649539806, 199.8178846375043], 'diameter': 43.18593386342937, 'sphere': {'center': [1.0636225764419485, 1.4505000212714239, 77.84201680951823], 'radius': 12.0}, 'projected_sphere': {'center': [168.47159444760652, 131.55301532575808], 'axes': [191.15640382766304, 191.15640382766304], 'angle': 90.0}, 'model_confidence': 0.9358116383653803, 'model_id': 80, 'model_birth_timestamp': 53936.797622, 'theta': 2.2382229853763778, 'phi': -1.81292170703793, 'norm_pos': [0.46658123904811893, 0.16742548067706542], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252500.300042,"{'circle_3d': {'center': [-1.1980967377058058, 8.871459841067265, 68.68701920728006], 'normal': [-0.18847660951231288, 0.6184133183163201, -0.762916466853181], 'radius': 2.41435675560265}, 'confidence': 0.9990841769903078, 'timestamp': 53944.691868, 'diameter_3d': 4.8287135112053, 'ellipse': {'center': [149.29005689291213, 199.7575719545189], 'axes': [29.638187310386716, 43.60485472327868], 'angle': -74.03183890273912}, 'location': [149.29005689291213, 199.7575719545189], 'diameter': 43.60485472327868, 'sphere': {'center': [1.0636225764419485, 1.4505000212714239, 77.84201680951823], 'radius': 12.0}, 'projected_sphere': {'center': [168.47159444760652, 131.55301532575808], 'axes': [191.15640382766304, 191.15640382766304], 'angle': 90.0}, 'model_confidence': 0.9359055999216603, 'model_id': 80, 'model_birth_timestamp': 53936.797622, 'theta': 2.2375183655190556, 'phi': -1.8129942462832855, 'norm_pos': [0.4665314277903504, 0.16767678352283788], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252500.308796,"{'circle_3d': {'center': [-1.174128242240061, 8.877139679388995, 68.68573510448297], 'normal': [-0.18647923489016746, 0.6188866381764643, -0.7630234754196046], 'radius': 2.4243177098921684}, 'confidence': 0.998877027679351, 'timestamp': 53944.700268, 'diameter_3d': 4.848635419784337, 'ellipse': {'center': [149.5060311854547, 199.80735856816506], 'axes': [29.765243035963202, 43.785627789841946], 'angle': -74.21130155592914}, 'location': [149.5060311854547, 199.80735856816506], 'diameter': 43.785627789841946, 'sphere': {'center': [1.0636225764419485, 1.4505000212714239, 77.84201680951823], 'radius': 12.0}, 'projected_sphere': {'center': [168.47159444760652, 131.55301532575808], 'axes': [191.15640382766304, 191.15640382766304], 'angle': 90.0}, 'model_confidence': 0.9358736351363306, 'model_id': 80, 'model_birth_timestamp': 53936.797622, 'theta': 2.2381208091060434, 'phi': -1.810492917834807, 'norm_pos': [0.4672063474545459, 0.1674693392993123], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252500.315755,"{'circle_3d': {'center': [-1.1683686522622891, 8.871800399638278, 68.6800019738481], 'normal': [-0.18599926905868647, 0.6184416981972378, -0.7635012363058433], 'radius': 2.4012635590092017}, 'confidence': 0.9995171632980927, 'timestamp': 53944.708668, 'diameter_3d': 4.8025271180184035, 'ellipse': {'center': [149.55500474788826, 199.77185687514145], 'axes': [29.510370591455345, 43.372629270253185], 'angle': -74.2418671060914}, 'location': [149.55500474788826, 199.77185687514145], 'diameter': 43.372629270253185, 'sphere': {'center': [1.0636225764419485, 1.4505000212714239, 77.84201680951823], 'radius': 12.0}, 'projected_sphere': {'center': [168.47159444760652, 131.55301532575808], 'axes': [191.15640382766304, 191.15640382766304], 'angle': 90.0}, 'model_confidence': 0.9360551609023493, 'model_id': 80, 'model_birth_timestamp': 53936.797622, 'theta': 2.2375544795041207, 'phi': -1.8097552679740347, 'norm_pos': [0.4673593898371508, 0.16761726302024393], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252500.323752,"{'circle_3d': {'center': [-1.1613255370389428, 8.871628787387477, 68.67815006403121], 'normal': [-0.18541234279007426, 0.6184273971763378, -0.7636555621239173], 'radius': 2.401353927628761}, 'confidence': 0.9994526460305474, 'timestamp': 53944.717067, 'diameter_3d': 4.802707855257522, 'ellipse': {'center': [149.61803324684925, 199.77233944270785], 'axes': [29.520278299518548, 43.37541638882942], 'angle': -74.29121616458411}, 'location': [149.61803324684925, 199.77233944270785], 'diameter': 43.37541638882942, 'sphere': {'center': [1.0636225764419485, 1.4505000212714239, 77.84201680951823], 'radius': 12.0}, 'projected_sphere': {'center': [168.47159444760652, 131.55301532575808], 'axes': [191.15640382766304, 191.15640382766304], 'angle': 90.0}, 'model_confidence': 0.9362890336658936, 'model_id': 80, 'model_birth_timestamp': 53936.797622, 'theta': 2.2375362810311423, 'phi': -1.8089831326234314, 'norm_pos': [0.46755635389640393, 0.16761525232205066], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252500.333318,"{'circle_3d': {'center': [-1.1590623267428817, 8.870060146067754, 68.67633083542515], 'normal': [-0.1852237419320692, 0.6182966770663608, -0.7638071645077563], 'radius': 2.385842011167332}, 'confidence': 0.9996641274220747, 'timestamp': 53944.725467, 'diameter_3d': 4.771684022334664, 'ellipse': {'center': [149.63680441743014, 199.76434754198954], 'axes': [29.338341149291594, 43.09621814931266], 'angle': -74.3042428976082}, 'location': [149.63680441743014, 199.76434754198954], 'diameter': 43.09621814931266, 'sphere': {'center': [1.0636225764419485, 1.4505000212714239, 77.84201680951823], 'radius': 12.0}, 'projected_sphere': {'center': [168.47159444760652, 131.55301532575808], 'axes': [191.15640382766304, 191.15640382766304], 'angle': 90.0}, 'model_confidence': 0.9364440284668651, 'model_id': 80, 'model_birth_timestamp': 53936.797622, 'theta': 2.237369947893363, 'phi': -1.8087044293533332, 'norm_pos': [0.4676150138044692, 0.1676485519083769], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252500.340731,"{'circle_3d': {'center': [-1.1505260740338845, 8.876444444974076, 68.67943555914584], 'normal': [-0.18451238753965274, 0.618828701975221, -0.7635484375310319], 'radius': 2.398674153599649}, 'confidence': 0.9996088554585527, 'timestamp': 53944.733867, 'diameter_3d': 4.797348307199298, 'ellipse': {'center': [149.71500219801382, 199.81488909007584], 'axes': [29.479983924021422, 43.32616308010454], 'angle': -74.37636672194661}, 'location': [149.71500219801382, 199.81488909007584], 'diameter': 43.32616308010454, 'sphere': {'center': [1.0636225764419485, 1.4505000212714239, 77.84201680951823], 'radius': 12.0}, 'projected_sphere': {'center': [168.47159444760652, 131.55301532575808], 'axes': [191.15640382766304, 191.15640382766304], 'angle': 90.0}, 'model_confidence': 0.9366392902750542, 'model_id': 80, 'model_birth_timestamp': 53936.797622, 'theta': 2.238047052301936, 'phi': -1.8079019815526196, 'norm_pos': [0.46785938186879317, 0.16743796212468398], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252500.3526368,"{'circle_3d': {'center': [-1.1293658512029072, 8.889922932707853, 68.68528221136532], 'normal': [-0.18274903563707132, 0.619951909286369, -0.7630612165127423], 'radius': 2.38861093356407}, 'confidence': 0.9995827615697658, 'timestamp': 53944.742267, 'diameter_3d': 4.77722186712814, 'ellipse': {'center': [149.90503785447402, 199.93215415611954], 'axes': [29.32521057471769, 43.14061385719417], 'angle': -74.55050859789121}, 'location': [149.90503785447402, 199.93215415611954], 'diameter': 43.14061385719417, 'sphere': {'center': [1.0636225764419485, 1.4505000212714239, 77.84201680951823], 'radius': 12.0}, 'projected_sphere': {'center': [168.47159444760652, 131.55301532575808], 'axes': [191.15640382766304, 191.15640382766304], 'angle': 90.0}, 'model_confidence': 0.9367672548631578, 'model_id': 80, 'model_birth_timestamp': 53936.797622, 'theta': 2.2394777383350633, 'phi': -1.8058633718767565, 'norm_pos': [0.4684532432952313, 0.16694935768283525], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582252500.3612869,"{'circle_3d': {'center': [-1.1216823188328386, 8.876672963224344, 68.67269851692448], 'normal': [-0.18210874127289894, 0.6188477451627433, -0.7641098577161457], 'radius': 2.3952102306341314}, 'confidence': 0.9995106305328021, 'timestamp': 53944.750667, 'diameter_3d': 4.790420461268263, 'ellipse': {'center': [149.9729558765378, 199.82531461757088], 'axes': [29.469049370698194, 43.267746885102085], 'angle': -74.58047356482814}, 'location': [149.9729558765378, 199.82531461757088], 'diameter': 43.267746885102085, 'sphere': {'center': [1.0636225764419485, 1.4505000212714239, 77.84201680951823], 'radius': 12.0}, 'projected_sphere': {'center': [168.47159444760652, 131.55301532575808], 'axes': [191.15640382766304, 191.15640382766304], 'angle': 90.0}, 'model_confidence': 0.9368232183762926, 'model_id': 80, 'model_birth_timestamp': 53936.797622, 'theta': 2.2380712951281225, 'phi': -1.8047597300477651, 'norm_pos': [0.46866548711418066, 0.16739452242678798], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
