eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1582268359.607624,"{'circle_3d': {'center': [-0.5555054957812684, 8.82231279928927, 78.1676510158135], 'normal': [-0.2114485016914094, 0.6125329326428205, -0.7616383246400118], 'radius': 2.211330630717888}, 'confidence': 0.9985344129589874, 'timestamp': 57428.249122, 'diameter_3d': 4.422661261435776, 'ellipse': {'center': [155.67236898942767, 189.76763273101687], 'axes': [24.239066320370018, 35.09776379607391], 'angle': -72.43214891861474}, 'location': [155.67236898942767, 189.76763273101687], 'diameter': 35.09776379607391, 'sphere': {'center': [1.9818765245156447, 1.4719176075754234, 87.30731091149364], 'radius': 12.0}, 'projected_sphere': {'center': [174.07400402522234, 130.4526059406627], 'axes': [170.4324625813336, 170.4324625813336], 'angle': 90.0}, 'model_confidence': 0.8161191267932244, 'model_id': 1, 'model_birth_timestamp': 57139.932049, 'theta': 2.2300573929516894, 'phi': -1.8415997064798473, 'norm_pos': [0.48647615309196146, 0.2093015302874297], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268359.618922,"{'circle_3d': {'center': [-0.5455300650219874, 8.816986898019787, 78.16060806020712], 'normal': [-0.21061721579480266, 0.6120891075370302, -0.7622252376072098], 'radius': 2.1952089248682785}, 'confidence': 0.9982336847112229, 'timestamp': 57428.257522, 'diameter_3d': 4.390417849736557, 'ellipse': {'center': [155.74975450401962, 189.73460596432483], 'axes': [24.08894966975266, 34.844917594656984], 'angle': -72.49122713939609}, 'location': [155.74975450401962, 189.73460596432483], 'diameter': 34.844917594656984, 'sphere': {'center': [1.9818765245156447, 1.4719176075754234, 87.30731091149364], 'radius': 12.0}, 'projected_sphere': {'center': [174.07400402522234, 130.4526059406627], 'axes': [170.4324625813336, 170.4324625813336], 'angle': 90.0}, 'model_confidence': 0.8162378586666352, 'model_id': 1, 'model_birth_timestamp': 57139.932049, 'theta': 2.2294960274215536, 'phi': -1.8403882660582955, 'norm_pos': [0.4867179828250613, 0.2094391418153132], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268359.629398,"{'circle_3d': {'center': [-0.5596758814193639, 8.812572060654661, 78.16098358472614], 'normal': [-0.21179603382791737, 0.6117212044232697, -0.7621939438972918], 'radius': 2.2127222214681233}, 'confidence': 0.9988950186595962, 'timestamp': 57428.265922, 'diameter_3d': 4.4254444429362465, 'ellipse': {'center': [155.63920616465788, 189.69610450082848], 'axes': [24.281080337667987, 35.122850787417526], 'angle': -72.38294727408297}, 'location': [155.63920616465788, 189.69610450082848], 'diameter': 35.122850787417526, 'sphere': {'center': [1.9818765245156447, 1.4719176075754234, 87.30731091149364], 'radius': 12.0}, 'projected_sphere': {'center': [174.07400402522234, 130.4526059406627], 'axes': [170.4324625813336, 170.4324625813336], 'angle': 90.0}, 'model_confidence': 0.8165493478558439, 'model_id': 1, 'model_birth_timestamp': 57139.932049, 'theta': 2.2290308755253414, 'phi': -1.8418351277415754, 'norm_pos': [0.4863725192645559, 0.20959956457988127], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268359.63551,"{'circle_3d': {'center': [-0.5541654571036239, 8.818417555660046, 78.16414791501057], 'normal': [-0.2113368318016057, 0.6122083290070519, -0.7619302497069224], 'radius': 2.2119115728334533}, 'confidence': 0.9977463625213893, 'timestamp': 57428.274322, 'diameter_3d': 4.423823145666907, 'ellipse': {'center': [155.68284246786837, 189.73974349346378], 'axes': [24.259160665992276, 35.108554940189755], 'angle': -72.43357785095183}, 'location': [155.68284246786837, 189.73974349346378], 'diameter': 35.108554940189755, 'sphere': {'center': [1.9818765245156447, 1.4719176075754234, 87.30731091149364], 'radius': 12.0}, 'projected_sphere': {'center': [174.07400402522234, 130.4526059406627], 'axes': [170.4324625813336, 170.4324625813336], 'angle': 90.0}, 'model_confidence': 0.8166269138650262, 'model_id': 1, 'model_birth_timestamp': 57139.932049, 'theta': 2.229646798939388, 'phi': -1.8413648605892574, 'norm_pos': [0.48650888271208864, 0.20941773544390097], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268359.642894,"{'circle_3d': {'center': [-0.5515768165038788, 8.82132783393588, 78.16576927490163], 'normal': [-0.21112111175162696, 0.6124508521967047, -0.7617951363826676], 'radius': 2.224691278952053}, 'confidence': 0.9982446860260935, 'timestamp': 57428.282722, 'diameter_3d': 4.449382557904106, 'ellipse': {'center': [155.70428246227635, 189.75893976176945], 'axes': [24.392731122021427, 35.310736114227566], 'angle': -72.45769162034885}, 'location': [155.70428246227635, 189.75893976176945], 'diameter': 35.310736114227566, 'sphere': {'center': [1.9818765245156447, 1.4719176075754234, 87.30731091149364], 'radius': 12.0}, 'projected_sphere': {'center': [174.07400402522234, 130.4526059406627], 'axes': [170.4324625813336, 170.4324625813336], 'angle': 90.0}, 'model_confidence': 0.8166412115363841, 'model_id': 1, 'model_birth_timestamp': 57139.932049, 'theta': 2.2299535563318553, 'phi': -1.8411475840824962, 'norm_pos': [0.4865758826946136, 0.2093377509926273], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268359.6621702,"{'circle_3d': {'center': [-0.5492977130186725, 8.841184838527733, 78.18113660579166], 'normal': [-0.2109311864611931, 0.6141056025793591, -0.7605145254751651], 'radius': 2.2205897953115326}, 'confidence': 0.9970668302257505, 'timestamp': 57428.291122, 'diameter_3d': 4.441179590623065, 'ellipse': {'center': [155.72268518832075, 189.90343855813086], 'axes': [24.286566654905165, 35.238703192075185], 'angle': -72.51408874255537}, 'location': [155.72268518832075, 189.90343855813086], 'diameter': 35.238703192075185, 'sphere': {'center': [1.9818765245156447, 1.4719176075754234, 87.30731091149364], 'radius': 12.0}, 'projected_sphere': {'center': [174.07400402522234, 130.4526059406627], 'axes': [170.4324625813336, 170.4324625813336], 'angle': 90.0}, 'model_confidence': 0.8162910809367263, 'model_id': 1, 'model_birth_timestamp': 57139.932049, 'theta': 2.232048530947326, 'phi': -1.8413490301356528, 'norm_pos': [0.48663339121350235, 0.2087356726744548], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268359.663497,"{'circle_3d': {'center': [-0.5602358929908384, 8.817959344618084, 78.16546562433271], 'normal': [-0.21184270145887357, 0.612170144753555, -0.7618204405967446], 'radius': 2.2209399641471252}, 'confidence': 0.9980243954745591, 'timestamp': 57428.299522, 'diameter_3d': 4.4418799282942505, 'ellipse': {'center': [155.63557065775734, 189.73328952325295], 'axes': [24.353579649924328, 35.25132118148544], 'angle': -72.3900816476547}, 'location': [155.63557065775734, 189.73328952325295], 'diameter': 35.25132118148544, 'sphere': {'center': [1.9818765245156447, 1.4719176075754234, 87.30731091149364], 'radius': 12.0}, 'projected_sphere': {'center': [174.07400402522234, 130.4526059406627], 'axes': [170.4324625813336, 170.4324625813336], 'angle': 90.0}, 'model_confidence': 0.8162667907665844, 'model_id': 1, 'model_birth_timestamp': 57139.932049, 'theta': 2.229598507920694, 'phi': -1.8420184566000795, 'norm_pos': [0.4863611583054917, 0.20944462698644606], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268359.66717,"{'circle_3d': {'center': [-0.5509251767763412, 8.800465159721147, 78.14885545667642], 'normal': [-0.21106680844099882, 0.6107122960121436, -0.7632046212347685], 'radius': 2.1908836453872467}, 'confidence': 0.9982401192975371, 'timestamp': 57428.307922, 'diameter_3d': 4.381767290774493, 'ellipse': {'center': [155.70627917344, 189.61489235553444], 'axes': [24.087986262784003, 34.78146120409206], 'angle': -72.41951783770284}, 'location': [155.70627917344, 189.61489235553444], 'diameter': 34.78146120409206, 'sphere': {'center': [1.9818765245156447, 1.4719176075754234, 87.30731091149364], 'radius': 12.0}, 'projected_sphere': {'center': [174.07400402522234, 130.4526059406627], 'axes': [170.4324625813336, 170.4324625813336], 'angle': 90.0}, 'model_confidence': 0.816206538105313, 'model_id': 1, 'model_birth_timestamp': 57139.932049, 'theta': 2.2277561371277117, 'phi': -1.8406061172129815, 'norm_pos': [0.48658212241700005, 0.20993794851860648], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268359.674597,"{'circle_3d': {'center': [-0.5551530420480086, 8.807038956923256, 78.15529060072491], 'normal': [-0.21141913054697112, 0.6112601124456527, -0.762668359230728], 'radius': 2.200036666761638}, 'confidence': 0.9972822441804045, 'timestamp': 57428.316322, 'diameter_3d': 4.400073333523276, 'ellipse': {'center': [155.67379522114484, 189.6596321141169], 'axes': [24.163758439217908, 34.92395548576877], 'angle': -72.40331945632028}, 'location': [155.67379522114484, 189.6596321141169], 'diameter': 34.92395548576877, 'sphere': {'center': [1.9818765245156447, 1.4719176075754234, 87.30731091149364], 'radius': 12.0}, 'projected_sphere': {'center': [174.07400402522234, 130.4526059406627], 'axes': [170.4324625813336, 170.4324625813336], 'angle': 90.0}, 'model_confidence': 0.8159565363256682, 'model_id': 1, 'model_birth_timestamp': 57139.932049, 'theta': 2.228448138041691, 'phi': -1.8412157926847472, 'norm_pos': [0.4864806100660776, 0.2097515328578462], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268359.6838741,"{'circle_3d': {'center': [-0.5540308070033826, 8.829066528601034, 78.17267716077328], 'normal': [-0.21132561095991895, 0.6130957434188008, -0.7612194792266977], 'radius': 2.221554650137247}, 'confidence': 0.9969318211978565, 'timestamp': 57428.324722, 'diameter_3d': 4.443109300274494, 'ellipse': {'center': [155.68497610429426, 189.81476323502017], 'axes': [24.331126329913012, 35.25782975706809], 'angle': -72.45628606092274}, 'location': [155.68497610429426, 189.81476323502017], 'diameter': 35.25782975706809, 'sphere': {'center': [1.9818765245156447, 1.4719176075754234, 87.30731091149364], 'radius': 12.0}, 'projected_sphere': {'center': [174.07400402522234, 130.4526059406627], 'axes': [170.4324625813336, 170.4324625813336], 'angle': 90.0}, 'model_confidence': 0.8157500501737136, 'model_id': 1, 'model_birth_timestamp': 57139.932049, 'theta': 2.2307696071197793, 'phi': -1.841591645005042, 'norm_pos': [0.4865155503259196, 0.20910515318741596], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268359.691863,"{'circle_3d': {'center': [-0.5518080576264881, 8.815176547496783, 78.16089136177473], 'normal': [-0.21114038184517772, 0.6119382449934466, -0.7622016291432425], 'radius': 2.224205213377518}, 'confidence': 0.9983455744440433, 'timestamp': 57428.333122, 'diameter_3d': 4.448410426755036, 'ellipse': {'center': [155.7022022879112, 189.71459914179084], 'axes': [24.406808975787435, 35.305215861803326], 'angle': -72.44349530664795}, 'location': [155.7022022879112, 189.71459914179084], 'diameter': 35.305215861803326, 'sphere': {'center': [1.9818765245156447, 1.4719176075754234, 87.30731091149364], 'radius': 12.0}, 'projected_sphere': {'center': [174.07400402522234, 130.4526059406627], 'axes': [170.4324625813336, 170.4324625813336], 'angle': 90.0}, 'model_confidence': 0.8158966820550173, 'model_id': 1, 'model_birth_timestamp': 57139.932049, 'theta': 2.2293052667432764, 'phi': -1.841033800769495, 'norm_pos': [0.4865693821497225, 0.20952250357587154], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
