eye_packets,780
norm_X,norm_Y,phi,theta,confidence,timestamp
1582268622.530537,"{'circle_3d': {'center': [-0.5891606222266645, 6.391125184530087, 46.561685300659036], 'normal': [-0.17839531360784797, 0.6524908782910849, -0.7364989924159341], 'radius': 1.2631441346734054}, 'confidence': 0.9992165938984049, 'timestamp': 57691.169193, 'diameter_3d': 2.5262882693468107, 'ellipse': {'center': [152.21226042967723, 204.91142890596836], 'axes': [21.68894251104592, 33.65246874218023], 'angle': -75.73423922960095}, 'location': [152.21226042967723, 204.91142890596836], 'diameter': 33.65246874218023, 'sphere': {'center': [1.551583141067511, -1.4387653549629313, 55.399673209650246], 'radius': 12.0}, 'projected_sphere': {'center': [177.36439028839408, 103.89819888104266], 'axes': [268.59364212653884, 268.59364212653884], 'angle': 90.0}, 'model_confidence': 0.9279693573075343, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.281663132275078, 'phi': -1.8084400165141985, 'norm_pos': [0.47566331384274135, 0.14620237955846516], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268622.5409422,"{'circle_3d': {'center': [-0.5877034850923359, 6.402189013763107, 46.571146304288874], 'normal': [-0.17827388551332057, 0.6534128640605031, -0.7357105754467812], 'radius': 1.2612237316783876}, 'confidence': 0.999176244876039, 'timestamp': 57691.177593, 'diameter_3d': 2.5224474633567753, 'ellipse': {'center': [152.2329513313931, 205.04213096016053], 'axes': [21.616478022996535, 33.59448600132168], 'angle': -75.76266474773223}, 'location': [152.2329513313931, 205.04213096016053], 'diameter': 33.59448600132168, 'sphere': {'center': [1.551583141067511, -1.4387653549629313, 55.399673209650246], 'radius': 12.0}, 'projected_sphere': {'center': [177.36439028839408, 103.89819888104266], 'axes': [268.59364212653884, 268.59364212653884], 'angle': 90.0}, 'model_confidence': 0.9281099405787918, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.2828804371092417, 'phi': -1.8085293007926717, 'norm_pos': [0.4757279729106035, 0.1456577876659978], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268622.5463,"{'circle_3d': {'center': [-0.5886926354924737, 6.396926353029204, 46.56671475522661], 'normal': [-0.17835631471333205, 0.6529743089993446, -0.736079871201969], 'radius': 1.2526236487313884}, 'confidence': 0.9992351251757527, 'timestamp': 57691.185993, 'diameter_3d': 2.505247297462777, 'ellipse': {'center': [152.21832757943693, 204.98270366867877], 'axes': [21.487359675754035, 33.36849757364982], 'angle': -75.74705299429765}, 'location': [152.21832757943693, 204.98270366867877], 'diameter': 33.36849757364982, 'sphere': {'center': [1.551583141067511, -1.4387653549629313, 55.399673209650246], 'radius': 12.0}, 'projected_sphere': {'center': [177.36439028839408, 103.89819888104266], 'axes': [268.59364212653884, 268.59364212653884], 'angle': 90.0}, 'model_confidence': 0.9285186171599791, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.2823012502085827, 'phi': -1.8085202454800358, 'norm_pos': [0.4756822736857404, 0.14590540138050512], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268622.5549078,"{'circle_3d': {'center': [-0.582120517824428, 6.3979725312779125, 46.566052887359476], 'normal': [-0.1778086382409949, 0.6530614905200703, -0.7361350268575644], 'radius': 1.254185910199543}, 'confidence': 0.9989995639260895, 'timestamp': 57691.194393, 'diameter_3d': 2.508371820399086, 'ellipse': {'center': [152.30571487813057, 204.99732507445418], 'axes': [21.516446420377186, 33.41062195821614], 'angle': -75.7952132218877}, 'location': [152.30571487813057, 204.99732507445418], 'diameter': 33.41062195821614, 'sphere': {'center': [1.551583141067511, -1.4387653549629313, 55.399673209650246], 'radius': 12.0}, 'projected_sphere': {'center': [177.36439028839408, 103.89819888104266], 'axes': [268.59364212653884, 268.59364212653884], 'angle': 90.0}, 'model_confidence': 0.9288295846738293, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.2824163652640554, 'phi': -1.8078002414046626, 'norm_pos': [0.47595535899415803, 0.14584447885644092], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268622.5655801,"{'circle_3d': {'center': [-0.5965134624691077, 6.392401663747064, 46.56460082132522], 'normal': [-0.17900805029471822, 0.6525972515591663, -0.7362560323604187], 'radius': 1.2431766990194386}, 'confidence': 0.9993744294117718, 'timestamp': 57691.202793, 'diameter_3d': 2.4863533980388772, 'ellipse': {'center': [152.11319056657115, 204.9291633780482], 'axes': [21.334423210987268, 33.11823436826013], 'angle': -75.68434346677822}, 'location': [152.11319056657115, 204.9291633780482], 'diameter': 33.11823436826013, 'sphere': {'center': [1.551583141067511, -1.4387653549629313, 55.399673209650246], 'radius': 12.0}, 'projected_sphere': {'center': [177.36439028839408, 103.89819888104266], 'axes': [268.59364212653884, 268.59364212653884], 'angle': 90.0}, 'model_confidence': 0.9290850512537641, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.2818035125574707, 'phi': -1.8093014494739115, 'norm_pos': [0.4753537205205348, 0.1461284859247992], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268622.575553,"{'circle_3d': {'center': [-0.5856274757081112, 6.397539509142851, 46.5665165340142], 'normal': [-0.17810088473130187, 0.6530254053421485, -0.7360963896363372], 'radius': 1.257473759952836}, 'confidence': 0.9988749806629411, 'timestamp': 57691.211193, 'diameter_3d': 2.514947519905672, 'ellipse': {'center': [152.2594722897224, 204.9897528875756], 'axes': [21.571216729786915, 33.4978938464406], 'angle': -75.76972224447046}, 'location': [152.2594722897224, 204.9897528875756], 'diameter': 33.4978938464406, 'sphere': {'center': [1.551583141067511, -1.4387653549629313, 55.399673209650246], 'radius': 12.0}, 'projected_sphere': {'center': [177.36439028839408, 103.89819888104266], 'axes': [268.59364212653884, 268.59364212653884], 'angle': 90.0}, 'model_confidence': 0.9291389747903112, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.2823687167709874, 'phi': -1.8081873201424372, 'norm_pos': [0.4758108509053825, 0.1458760296351016], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268622.581224,"{'circle_3d': {'center': [-0.5935556020815906, 6.39843544604961, 46.56923361825679], 'normal': [-0.1787615619290918, 0.653100066751045, -0.735869965949455], 'radius': 1.2425583287149207}, 'confidence': 0.9992762819154207, 'timestamp': 57691.219593, 'diameter_3d': 2.4851166574298413, 'ellipse': {'center': [152.15319307467075, 205.00125301057517], 'axes': [21.304606524608875, 33.098480623662375], 'angle': -75.7151640616315}, 'location': [152.15319307467075, 205.00125301057517], 'diameter': 33.098480623662375, 'sphere': {'center': [1.551583141067511, -1.4387653549629313, 55.399673209650246], 'radius': 12.0}, 'projected_sphere': {'center': [177.36439028839408, 103.89819888104266], 'axes': [268.59364212653884, 268.59364212653884], 'angle': 90.0}, 'model_confidence': 0.9293795098849089, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.2824673052210502, 'phi': -1.8091056115354387, 'norm_pos': [0.4754787283583461, 0.14582811245593674], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268622.589387,"{'circle_3d': {'center': [-0.5976879570992146, 6.395891702215606, 46.567981268522104], 'normal': [-0.17910592484722712, 0.6528880880982114, -0.735974328427345], 'radius': 1.2481408843294677}, 'confidence': 0.9991311525079849, 'timestamp': 57691.227993, 'diameter_3d': 2.4962817686589354, 'ellipse': {'center': [152.09856984742748, 204.96802508414572], 'axes': [21.405834772402088, 33.24811319465756], 'angle': -75.68179852462728}, 'location': [152.09856984742748, 204.96802508414572], 'diameter': 33.24811319465756, 'sphere': {'center': [1.551583141067511, -1.4387653549629313, 55.399673209650246], 'radius': 12.0}, 'projected_sphere': {'center': [177.36439028839408, 103.89819888104266], 'axes': [268.59364212653884, 268.59364212653884], 'angle': 90.0}, 'model_confidence': 0.9295636514408456, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.2821874147970744, 'phi': -1.8095148703657187, 'norm_pos': [0.4753080307732109, 0.14596656214939285], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268622.597315,"{'circle_3d': {'center': [-0.6002036123888193, 6.397534167521862, 46.57005127201586], 'normal': [-0.17931556278802752, 0.6530249602070661, -0.7358018281361991], 'radius': 1.2441420451342746}, 'confidence': 0.9986254319299822, 'timestamp': 57691.236393, 'diameter_3d': 2.4882840902685492, 'ellipse': {'center': [152.065110232231, 204.9873402350106], 'axes': [21.328892275424597, 33.14008007857382], 'angle': -75.66673496068123}, 'location': [152.065110232231, 204.9873402350106], 'diameter': 33.14008007857382, 'sphere': {'center': [1.551583141067511, -1.4387653549629313, 55.399673209650246], 'radius': 12.0}, 'projected_sphere': {'center': [177.36439028839408, 103.89819888104266], 'axes': [268.59364212653884, 268.59364212653884], 'angle': 90.0}, 'model_confidence': 0.9293474076673025, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.2823681290068136, 'phi': -1.8098376886195204, 'norm_pos': [0.4752034694757219, 0.14588608235412248], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268622.60532,"{'circle_3d': {'center': [-0.5944179753462078, 6.397054131525269, 46.56821737363301], 'normal': [-0.1788334263678099, 0.65298495720735, -0.7359546530014364], 'radius': 1.24262237953969}, 'confidence': 0.9989239198286118, 'timestamp': 57691.244793, 'diameter_3d': 2.48524475907938, 'ellipse': {'center': [152.14157423910535, 204.98469441962283], 'axes': [21.309931356963286, 33.10090505836247], 'angle': -75.70680353532335}, 'location': [152.14157423910535, 204.98469441962283], 'diameter': 33.10090505836247, 'sphere': {'center': [1.551583141067511, -1.4387653549629313, 55.399673209650246], 'radius': 12.0}, 'projected_sphere': {'center': [177.36439028839408, 103.89819888104266], 'axes': [268.59364212653884, 268.59364212653884], 'angle': 90.0}, 'model_confidence': 0.9296069035703014, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.2823153095602025, 'phi': -1.8091714210527783, 'norm_pos': [0.4754424194972042, 0.14589710658490485], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268622.614291,"{'circle_3d': {'center': [-0.5866692721830757, 6.40409807629895, 46.57259159590025], 'normal': [-0.17818770110421556, 0.6535719526051568, -0.735590134479166], 'radius': 1.2564118665844917}, 'confidence': 0.9992424555660278, 'timestamp': 57691.253193, 'diameter_3d': 2.5128237331689833, 'ellipse': {'center': [152.24648955073732, 205.06636078833745], 'axes': [21.527889200211227, 33.465239718163104], 'angle': -75.77308454745929}, 'location': [152.24648955073732, 205.06636078833745], 'diameter': 33.465239718163104, 'sphere': {'center': [1.551583141067511, -1.4387653549629313, 55.399673209650246], 'radius': 12.0}, 'projected_sphere': {'center': [177.36439028839408, 103.89819888104266], 'axes': [268.59364212653884, 268.59364212653884], 'angle': 90.0}, 'model_confidence': 0.9299478327789434, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.2830906122910846, 'phi': -1.8084561085882744, 'norm_pos': [0.47577027984605413, 0.145556830048594], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
