eye_packets,777
norm_X,norm_Y,phi,theta,confidence,timestamp
1582519871.415477,"{'circle_3d': {'center': [-3.601215662357088, 9.272170975492472, 62.90106317641468], 'normal': [-0.25895130112457604, 0.5984540630414487, -0.7581536507035174], 'radius': 2.4309183967522308}, 'confidence': 0.999902353589014, 'timestamp': 9674.092587, 'diameter_3d': 4.8618367935044615, 'ellipse': {'center': [124.66307837474672, 211.0311241556023], 'axes': [31.41368485793847, 47.937772015036494], 'angle': -66.85915458618933}, 'location': [124.66307837474672, 211.0311241556023], 'diameter': 47.937772015036494, 'sphere': {'center': [-0.4938000488621759, 2.090722218995089, 71.99890698485689], 'radius': 12.0}, 'projected_sphere': {'center': [155.74776836044273, 138.00371464041234], 'axes': [206.66980407257606, 206.66980407257606], 'angle': 90.0}, 'model_confidence': 0.9774263960374618, 'model_id': 42, 'model_birth_timestamp': 9634.681763, 'theta': 2.21236641150972, 'phi': -1.89992819586892, 'norm_pos': [0.3895721199210835, 0.12070364935165712], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582519871.42321,"{'circle_3d': {'center': [-3.5820372814485353, 9.277336309485317, 62.89861200559195], 'normal': [-0.25735310271552997, 0.5988845075408523, -0.7583579149387449], 'radius': 2.4335929020347353}, 'confidence': 0.9999190900218372, 'timestamp': 9674.100987, 'diameter_3d': 4.867185804069471, 'ellipse': {'center': [124.85016181020771, 211.0843503437372], 'axes': [31.461880447049946, 47.99238912091086], 'angle': -66.99964910605249}, 'location': [124.85016181020771, 211.0843503437372], 'diameter': 47.99238912091086, 'sphere': {'center': [-0.4938000488621759, 2.090722218995089, 71.99890698485689], 'radius': 12.0}, 'projected_sphere': {'center': [155.74776836044273, 138.00371464041234], 'axes': [206.66980407257606, 206.66980407257606], 'angle': 90.0}, 'model_confidence': 0.977649177703166, 'model_id': 42, 'model_birth_timestamp': 9634.681763, 'theta': 2.2129037978977566, 'phi': -1.89795720904898, 'norm_pos': [0.3901567556568991, 0.12048187356776163], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582519871.4352808,"{'circle_3d': {'center': [-3.6222966469177655, 9.266288461801444, 62.90364678346339], 'normal': [-0.2607080498379658, 0.5979638535671964, -0.7579383501161248], 'radius': 2.449277375751818}, 'confidence': 0.99999433917996, 'timestamp': 9674.109387, 'diameter_3d': 4.898554751503636, 'ellipse': {'center': [124.46020849159731, 210.96439925832289], 'axes': [31.63685077734942, 48.2980914140058], 'angle': -66.70426363916694}, 'location': [124.46020849159731, 210.96439925832289], 'diameter': 48.2980914140058, 'sphere': {'center': [-0.4938000488621759, 2.090722218995089, 71.99890698485689], 'radius': 12.0}, 'projected_sphere': {'center': [155.74776836044273, 138.00371464041234], 'axes': [206.66980407257606, 206.66980407257606], 'angle': 90.0}, 'model_confidence': 0.9779758484147028, 'model_id': 42, 'model_birth_timestamp': 9634.681763, 'theta': 2.211754674418664, 'phi': -1.902089136030416, 'norm_pos': [0.3889381515362416, 0.12098166975698799], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582519871.444451,"{'circle_3d': {'center': [-3.596464011108546, 9.266160875000867, 62.89470155927056], 'normal': [-0.2585553301871975, 0.5979532213338149, -0.7586837854655277], 'radius': 2.4324660278974135}, 'confidence': 0.9999146877609241, 'timestamp': 9674.117787, 'diameter_3d': 4.864932055794827, 'ellipse': {'center': [124.70648261912383, 210.98050392873128], 'axes': [31.470106473703, 47.97313494557298], 'angle': -66.87372364984695}, 'location': [124.70648261912383, 210.98050392873128], 'diameter': 47.97313494557298, 'sphere': {'center': [-0.4938000488621759, 2.090722218995089, 71.99890698485689], 'radius': 12.0}, 'projected_sphere': {'center': [155.74776836044273, 138.00371464041234], 'axes': [206.66980407257606, 206.66980407257606], 'angle': 90.0}, 'model_confidence': 0.9781198448556516, 'model_id': 42, 'model_birth_timestamp': 9634.681763, 'theta': 2.2117414094470282, 'phi': -1.8992469151937446, 'norm_pos': [0.389707758184762, 0.12091456696361969], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582519871.4518678,"{'circle_3d': {'center': [-3.5940648615592643, 9.26170719934774, 62.89037623051956], 'normal': [-0.2583554010580907, 0.5975820816960543, -0.7590442295281109], 'radius': 2.4423632305945135}, 'confidence': 0.9998416353456306, 'timestamp': 9674.126187, 'diameter_3d': 4.884726461189027, 'ellipse': {'center': [124.72900770900753, 210.93983079495413], 'axes': [31.623192994624073, 48.17174710234987], 'angle': -66.87714862628818}, 'location': [124.72900770900753, 210.93983079495413], 'diameter': 48.17174710234987, 'sphere': {'center': [-0.4938000488621759, 2.090722218995089, 71.99890698485689], 'radius': 12.0}, 'projected_sphere': {'center': [155.74776836044273, 138.00371464041234], 'axes': [206.66980407257606, 206.66980407257606], 'angle': 90.0}, 'model_confidence': 0.9783137859314395, 'model_id': 42, 'model_birth_timestamp': 9634.681763, 'theta': 2.211278450970229, 'phi': -1.8988658855913438, 'norm_pos': [0.38977814909064856, 0.12108403835435777], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582519871.459411,"{'circle_3d': {'center': [-3.603725374039197, 9.279885509961783, 62.90801617880056], 'normal': [-0.2591604437647517, 0.5990969409138912, -0.7575742338380276], 'radius': 2.434041367154852}, 'confidence': 0.9999169339674825, 'timestamp': 9674.134587, 'diameter_3d': 4.868082734309704, 'ellipse': {'center': [124.64258945443639, 211.0962343169011], 'axes': [31.414236640923765, 47.99411863665487], 'angle': -66.86406863443122}, 'location': [124.64258945443639, 211.0962343169011], 'diameter': 47.99411863665487, 'sphere': {'center': [-0.4938000488621759, 2.090722218995089, 71.99890698485689], 'radius': 12.0}, 'projected_sphere': {'center': [155.74776836044273, 138.00371464041234], 'axes': [206.66980407257606, 206.66980407257606], 'angle': 90.0}, 'model_confidence': 0.9784236821199221, 'model_id': 42, 'model_birth_timestamp': 9634.681763, 'theta': 2.213169088928385, 'phi': -1.9004092848297351, 'norm_pos': [0.3895080920451137, 0.1204323570129121], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582519871.467155,"{'circle_3d': {'center': [-3.5945645966732487, 9.248829222821428, 62.8804222784591], 'normal': [-0.25839704565092275, 0.5965089169855282, -0.7598737255331488], 'radius': 2.433372571513654}, 'confidence': 0.9999189340597584, 'timestamp': 9674.142987, 'diameter_3d': 4.866745143027308, 'ellipse': {'center': [124.71762789571594, 210.82993824763287], 'axes': [31.563857255225088, 48.00186983515279], 'angle': -66.83801212346671}, 'location': [124.71762789571594, 210.82993824763287], 'diameter': 48.00186983515279, 'sphere': {'center': [-0.4938000488621759, 2.090722218995089, 71.99890698485689], 'radius': 12.0}, 'projected_sphere': {'center': [155.74776836044273, 138.00371464041234], 'axes': [206.66980407257606, 206.66980407257606], 'angle': 90.0}, 'model_confidence': 0.9786547665739165, 'model_id': 42, 'model_birth_timestamp': 9634.681763, 'theta': 2.2099406860011857, 'phi': -1.898581993673523, 'norm_pos': [0.3897425871741123, 0.12154192396819641], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582519871.475769,"{'circle_3d': {'center': [-3.582553848060695, 9.259561326723778, 62.88477807335709], 'normal': [-0.2573961499332099, 0.5974032589773908, -0.759510742624983], 'radius': 2.419234838946177}, 'confidence': 0.9997919681492611, 'timestamp': 9674.151387, 'diameter_3d': 4.838469677892354, 'ellipse': {'center': [124.83588664128993, 210.93340687088994], 'axes': [31.355046518493573, 47.719504959345294], 'angle': -66.94704781509301}, 'location': [124.83588664128993, 210.93340687088994], 'diameter': 47.719504959345294, 'sphere': {'center': [-0.4938000488621759, 2.090722218995089, 71.99890698485689], 'radius': 12.0}, 'projected_sphere': {'center': [155.74776836044273, 138.00371464041234], 'axes': [206.66980407257606, 206.66980407257606], 'angle': 90.0}, 'model_confidence': 0.9787912026557932, 'model_id': 42, 'model_birth_timestamp': 9634.681763, 'theta': 2.2110554450657673, 'phi': -1.8975460766230225, 'norm_pos': [0.390112145754031, 0.12111080470462521], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582519871.4833422,"{'circle_3d': {'center': [-3.5822876601860365, 9.257571976644929, 62.88312348446739], 'normal': [-0.2573739676103217, 0.5972374798041533, -0.7596486250324584], 'radius': 2.4422163835267177}, 'confidence': 0.9998671957418817, 'timestamp': 9674.159787, 'diameter_3d': 4.884432767053435, 'ellipse': {'center': [124.84062575645522, 210.90931150588113], 'axes': [31.662820741768265, 48.174366214083], 'angle': -66.94329059075771}, 'location': [124.84062575645522, 210.90931150588113], 'diameter': 48.174366214083, 'sphere': {'center': [-0.4938000488621759, 2.090722218995089, 71.99890698485689], 'radius': 12.0}, 'projected_sphere': {'center': [155.74776836044273, 138.00371464041234], 'axes': [206.66980407257606, 206.66980407257606], 'angle': 90.0}, 'model_confidence': 0.9791760373136449, 'model_id': 42, 'model_birth_timestamp': 9634.681763, 'theta': 2.210848738569443, 'phi': -1.8974647062358785, 'norm_pos': [0.39012695548892257, 0.12121120205882863], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582519871.4911392,"{'circle_3d': {'center': [-3.5822447199477194, 9.271282052567896, 62.89390451422987], 'normal': [-0.25737038925712863, 0.5983799861310672, -0.7587502058855852], 'radius': 2.4490125128518767}, 'confidence': 0.9999635148219536, 'timestamp': 9674.168187, 'diameter_3d': 4.898025025703753, 'ellipse': {'center': [124.84765402752055, 211.02685555261337], 'axes': [31.68869747926541, 48.30026927445158], 'angle': -66.98155355859295}, 'location': [124.84765402752055, 211.02685555261337], 'diameter': 48.30026927445158, 'sphere': {'center': [-0.4938000488621759, 2.090722218995089, 71.99890698485689], 'radius': 12.0}, 'projected_sphere': {'center': [155.74776836044273, 138.00371464041234], 'axes': [206.66980407257606, 206.66980407257606], 'angle': 90.0}, 'model_confidence': 0.9793729475446766, 'model_id': 42, 'model_birth_timestamp': 9634.681763, 'theta': 2.212273952302366, 'phi': -1.8978202973803895, 'norm_pos': [0.3901489188360017, 0.12072143519744427], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582519871.4999611,"{'circle_3d': {'center': [-3.5949391993708693, 9.254203912893125, 62.884771480577285], 'normal': [-0.2584282625423911, 0.5969568078248363, -0.7595112920232999], 'radius': 2.4655645516435727}, 'confidence': 0.9998803361022846, 'timestamp': 9674.176587, 'diameter_3d': 4.931129103287145, 'ellipse': {'center': [124.72052932064295, 210.8669782281793], 'axes': [31.956644484492973, 48.63396734159083], 'angle': -66.85052312375055}, 'location': [124.72052932064295, 210.8669782281793], 'diameter': 48.63396734159083, 'sphere': {'center': [-0.4938000488621759, 2.090722218995089, 71.99890698485689], 'radius': 12.0}, 'projected_sphere': {'center': [155.74776836044273, 138.00371464041234], 'axes': [206.66980407257606, 206.66980407257606], 'angle': 90.0}, 'model_confidence': 0.9794966318696696, 'model_id': 42, 'model_birth_timestamp': 9634.681763, 'theta': 2.21049884720522, 'phi': -1.8987642748674698, 'norm_pos': [0.38975165412700924, 0.12138759071591954], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
