quatI,quatJ,quatK,quatReal,quatRadianAccuracy,IMUtimestamp
0.05090,0.02112,-0.95673,0.28577,0.02051,1580887676.658249
0.05090,0.02100,-0.95673,0.28577,0.02051,1580887676.6804612
0.05090,0.02081,-0.95673,0.28577,0.02051,1580887676.7007098
0.05084,0.02057,-0.95673,0.28577,0.02051,1580887676.7256231
0.05084,0.02039,-0.95673,0.28577,0.02051,1580887676.743896
0.05084,0.02014,-0.95673,0.28577,0.02051,1580887676.7574542
0.05084,0.01990,-0.95673,0.28577,0.02051,1580887676.776211
0.05084,0.01959,-0.95673,0.28577,0.02051,1580887676.795404
0.05084,0.01935,-0.95679,0.28577,0.02051,1580887676.81604
0.05084,0.01898,-0.95679,0.28577,0.02051,1580887676.845503
0.05084,0.01868,-0.95679,0.28571,0.02051,1580887676.874675
0.05084,0.01831,-0.95679,0.28571,0.02051,1580887676.8946471
0.05090,0.01764,-0.95679,0.28564,0.02051,1580887676.912909
0.05090,0.01727,-0.95685,0.28564,0.02051,1580887676.92633
0.05090,0.01691,-0.95685,0.28564,0.02051,1580887676.9552379
0.05090,0.01648,-0.95685,0.28558,0.02051,1580887676.970033
0.05090,0.01605,-0.95685,0.28552,0.02051,1580887676.970783
0.05090,0.01563,-0.95691,0.28552,0.02051,1580887677.000011
0.05090,0.01514,-0.95691,0.28546,0.02051,1580887677.009056
0.05090,0.01447,-0.95697,0.28534,0.02051,1580887677.035438
0.05084,0.01379,-0.95697,0.28528,0.02051,1580887677.070602
0.05084,0.01318,-0.95703,0.28516,0.02051,1580887677.106519
0.05078,0.01233,-0.95709,0.28503,0.02051,1580887677.1190982
0.05078,0.01154,-0.95715,0.28491,0.02051,1580887677.139204
0.05078,0.01074,-0.95721,0.28473,0.02051,1580887677.154756
0.05078,0.00995,-0.95728,0.28455,0.02051,1580887677.1705449
0.05078,0.00903,-0.95734,0.28436,0.02051,1580887677.191993
0.05072,0.00824,-0.95740,0.28412,0.02051,1580887677.221654
0.05072,0.00745,-0.95746,0.28394,0.02051,1580887677.248624
0.05072,0.00671,-0.95752,0.28369,0.02051,1580887677.2790139
0.05072,0.00580,-0.95764,0.28345,0.02051,1580887677.3079429
0.05072,0.00507,-0.95770,0.28320,0.02051,1580887677.329761
0.05072,0.00433,-0.95776,0.28296,0.02051,1580887677.3536818
0.05072,0.00348,-0.95789,0.28271,0.02051,1580887677.391011
0.05072,0.00269,-0.95795,0.28247,0.02051,1580887677.413472
0.05072,0.00189,-0.95801,0.28223,0.02057,1580887677.419837
0.05072,0.00116,-0.95807,0.28198,0.02057,1580887677.441569
0.05078,0.00031,-0.95813,0.28174,0.02057,1580887677.4907148
0.05084,-0.00049,-0.95819,0.28156,0.02057,1580887677.521756
0.05084,-0.00128,-0.95825,0.28131,0.02057,1580887677.540737
0.05090,-0.00208,-0.95831,0.28107,0.02057,1580887677.553598
0.05096,-0.00281,-0.95837,0.28088,0.02057,1580887677.573579
0.05103,-0.00360,-0.95844,0.28070,0.02057,1580887677.5949252
0.05109,-0.00427,-0.95850,0.28052,0.02057,1580887677.620224
0.05115,-0.00513,-0.95850,0.28033,0.02057,1580887677.65477
0.05121,-0.00580,-0.95856,0.28021,0.02057,1580887677.670534
0.05133,-0.00659,-0.95862,0.28003,0.02057,1580887677.684557
0.05139,-0.00739,-0.95862,0.27985,0.02057,1580887677.703097
0.05145,-0.00812,-0.95868,0.27972,0.02057,1580887677.721565
0.05151,-0.00879,-0.95868,0.27960,0.02057,1580887677.748895
0.05157,-0.00952,-0.95874,0.27948,0.02057,1580887677.77948
0.05164,-0.01038,-0.95874,0.27936,0.02057,1580887677.807555
0.05170,-0.01111,-0.95874,0.27924,0.02057,1580887677.830805
0.05176,-0.01178,-0.95880,0.27911,0.02057,1580887677.8596249
0.05182,-0.01257,-0.95880,0.27899,0.02057,1580887677.8879821
0.05188,-0.01324,-0.95880,0.27893,0.02057,1580887677.910839
0.05200,-0.01398,-0.95880,0.27881,0.02057,1580887677.9430778
0.05206,-0.01459,-0.95886,0.27875,0.02057,1580887677.960254
0.05212,-0.01538,-0.95886,0.27863,0.02057,1580887677.986146
0.05225,-0.01605,-0.95886,0.27856,0.02057,1580887678.000502
0.05231,-0.01666,-0.95886,0.27850,0.02057,1580887678.011156
0.05237,-0.01727,-0.95886,0.27844,0.02057,1580887678.030661
0.05249,-0.01801,-0.95886,0.27838,0.02057,1580887678.0616891
0.05255,-0.01868,-0.95886,0.27832,0.02057,1580887678.088671
0.05267,-0.01929,-0.95886,0.27826,0.02057,1580887678.1090748
0.05273,-0.01996,-0.95886,0.27820,0.02057,1580887678.1251462
0.05280,-0.02063,-0.95886,0.27814,0.02057,1580887678.168812
0.05292,-0.02130,-0.95886,0.27808,0.02057,1580887678.170219
0.05298,-0.02185,-0.95886,0.27808,0.02057,1580887678.1865118
0.05304,-0.02252,-0.95886,0.27802,0.02057,1580887678.217472
0.05310,-0.02313,-0.95886,0.27802,0.02057,1580887678.225794
0.05310,-0.02374,-0.95880,0.27802,0.02063,1580887678.246453
0.05316,-0.02429,-0.95880,0.27795,0.02063,1580887678.265891
0.05322,-0.02484,-0.95880,0.27795,0.02063,1580887678.29347
0.05328,-0.02545,-0.95880,0.27795,0.02063,1580887678.330855
0.05328,-0.02600,-0.95874,0.27795,0.02063,1580887678.350488
0.05334,-0.02661,-0.95874,0.27795,0.02063,1580887678.3686001
0.05334,-0.02710,-0.95874,0.27795,0.02063,1580887678.3870132
0.05341,-0.02771,-0.95874,0.27795,0.02063,1580887678.411944
0.05347,-0.02832,-0.95868,0.27795,0.02063,1580887678.433344
0.05347,-0.02887,-0.95868,0.27802,0.02063,1580887678.4552588
0.05353,-0.02942,-0.95862,0.27802,0.02063,1580887678.478749
0.05359,-0.02991,-0.95862,0.27808,0.02063,1580887678.506737
0.05365,-0.03052,-0.95856,0.27814,0.02063,1580887678.523558
0.05371,-0.03101,-0.95850,0.27820,0.02063,1580887678.5477388
0.05377,-0.03149,-0.95850,0.27820,0.02063,1580887678.581355
0.05389,-0.03204,-0.95844,0.27826,0.02063,1580887678.5995321
0.05396,-0.03247,-0.95844,0.27838,0.02063,1580887678.64361
0.05402,-0.03290,-0.95837,0.27844,0.02063,1580887678.661403
0.05408,-0.03333,-0.95831,0.27850,0.02063,1580887678.6839209
0.05420,-0.03375,-0.95831,0.27863,0.02063,1580887678.706502
0.05426,-0.03418,-0.95825,0.27869,0.02063,1580887678.734145
0.05438,-0.03461,-0.95819,0.27875,0.02069,1580887678.740252
0.05450,-0.03503,-0.95813,0.27887,0.02069,1580887678.781107
0.05457,-0.03552,-0.95807,0.27893,0.02069,1580887678.8163352
0.05469,-0.03589,-0.95807,0.27905,0.02069,1580887678.824848
0.05481,-0.03632,-0.95801,0.27911,0.02069,1580887678.8604858
0.05487,-0.03662,-0.95795,0.27917,0.02069,1580887678.8910432
0.05499,-0.03705,-0.95795,0.27924,0.02069,1580887678.892618
0.05505,-0.03741,-0.95789,0.27930,0.02069,1580887678.9223979
0.05511,-0.03772,-0.95789,0.27936,0.02069,1580887678.9530082
0.05524,-0.03802,-0.95782,0.27942,0.02069,1580887678.985714
0.05530,-0.03833,-0.95782,0.27942,0.02069,1580887679.007663
0.05542,-0.03864,-0.95776,0.27948,0.02069,1580887679.026779
0.05548,-0.03894,-0.95776,0.27948,0.02069,1580887679.045417
0.05554,-0.03918,-0.95776,0.27948,0.02069,1580887679.060878
0.05560,-0.03949,-0.95770,0.27948,0.02069,1580887679.0993202
0.05566,-0.03973,-0.95770,0.27948,0.02069,1580887679.1296709
0.05573,-0.04004,-0.95770,0.27942,0.02069,1580887679.138072
0.05579,-0.04028,-0.95770,0.27942,0.02069,1580887679.172946
0.05585,-0.04059,-0.95770,0.27936,0.02069,1580887679.1905742
0.05591,-0.04083,-0.95770,0.27930,0.02069,1580887679.221811
0.05591,-0.04108,-0.95770,0.27924,0.02069,1580887679.254432
0.05597,-0.04132,-0.95770,0.27924,0.02069,1580887679.263103
0.05603,-0.04156,-0.95770,0.27911,0.02069,1580887679.27909
0.05609,-0.04181,-0.95770,0.27905,0.02069,1580887679.306648
0.05609,-0.04205,-0.95770,0.27899,0.02069,1580887679.322437
0.05615,-0.04224,-0.95770,0.27893,0.02069,1580887679.3466618
0.05621,-0.04248,-0.95776,0.27887,0.02069,1580887679.3763871
0.05621,-0.04266,-0.95776,0.27881,0.02069,1580887679.378119
0.05627,-0.04285,-0.95776,0.27875,0.02069,1580887679.379771
0.05634,-0.04303,-0.95776,0.27869,0.02069,1580887679.381272
0.05640,-0.04327,-0.95776,0.27863,0.02069,1580887679.383286
0.05640,-0.04340,-0.95776,0.27856,0.02069,1580887679.385052
0.05646,-0.04358,-0.95776,0.27850,0.02069,1580887679.387306
0.05652,-0.04376,-0.95776,0.27844,0.02069,1580887679.420205
0.05658,-0.04395,-0.95776,0.27838,0.02069,1580887679.488996
0.05658,-0.04413,-0.95782,0.27832,0.02069,1580887679.5426931
0.05664,-0.04431,-0.95782,0.27826,0.02069,1580887679.598757
0.05670,-0.04443,-0.95782,0.27826,0.02069,1580887679.6193988
0.05676,-0.04462,-0.95782,0.27820,0.02069,1580887679.660908
0.05682,-0.04480,-0.95782,0.27820,0.02069,1580887679.685945
0.05682,-0.04498,-0.95782,0.27814,0.02069,1580887679.694699
0.05688,-0.04510,-0.95776,0.27814,0.02069,1580887679.730058
0.05695,-0.04529,-0.95776,0.27814,0.02069,1580887679.730905
0.05695,-0.04547,-0.95776,0.27808,0.02069,1580887679.7608068
0.05701,-0.04559,-0.95776,0.27808,0.02069,1580887679.762433
0.05701,-0.04572,-0.95776,0.27808,0.02069,1580887679.76366
0.05707,-0.04590,-0.95776,0.27808,0.02069,1580887679.7656488
0.05707,-0.04602,-0.95776,0.27808,0.02069,1580887679.768034
0.05713,-0.04614,-0.95776,0.27808,0.02069,1580887679.769454
0.05713,-0.04626,-0.95776,0.27802,0.02069,1580887679.7720058
0.05719,-0.04639,-0.95776,0.27802,0.02069,1580887679.817641
0.05719,-0.04651,-0.95776,0.27802,0.02069,1580887679.9220212
0.05719,-0.04663,-0.95776,0.27802,0.02069,1580887679.9670851
0.05719,-0.04675,-0.95776,0.27802,0.02069,1580887679.991146
0.05719,-0.04687,-0.95770,0.27802,0.02069,1580887679.993105
0.05719,-0.04700,-0.95770,0.27802,0.02069,1580887679.995501
0.05719,-0.04706,-0.95770,0.27802,0.02069,1580887679.997115
0.05719,-0.04718,-0.95770,0.27802,0.02069,1580887679.9992461
0.05719,-0.04724,-0.95770,0.27802,0.02069,1580887680.0010948
0.05713,-0.04730,-0.95770,0.27802,0.02069,1580887680.023633
0.05713,-0.04742,-0.95770,0.27802,0.02069,1580887680.0729148
0.05713,-0.04749,-0.95770,0.27808,0.02069,1580887680.158893
0.05707,-0.04755,-0.95770,0.27808,0.02069,1580887680.232311
0.05707,-0.04755,-0.95764,0.27814,0.02069,1580887680.290142
0.05707,-0.04761,-0.95764,0.27814,0.02069,1580887680.3321831
0.05701,-0.04767,-0.95764,0.27820,0.02069,1580887680.351608
0.05701,-0.04767,-0.95764,0.27826,0.02069,1580887680.376728
0.05701,-0.04773,-0.95764,0.27826,0.02069,1580887680.378697
0.05695,-0.04773,-0.95758,0.27832,0.02069,1580887680.3800519
0.05695,-0.04773,-0.95758,0.27838,0.02069,1580887680.382164
0.05695,-0.04779,-0.95758,0.27844,0.02069,1580887680.383762
0.05695,-0.04779,-0.95758,0.27844,0.02069,1580887680.385151
0.05688,-0.04779,-0.95752,0.27850,0.02069,1580887680.3881989
0.05688,-0.04779,-0.95752,0.27856,0.02069,1580887680.404233
0.05688,-0.04773,-0.95752,0.27863,0.02069,1580887680.4620411
0.05688,-0.04773,-0.95752,0.27869,0.02069,1580887680.569906
0.05682,-0.04773,-0.95746,0.27875,0.02069,1580887680.6105092
0.05682,-0.04767,-0.95746,0.27881,0.02063,1580887680.650086
0.05682,-0.04761,-0.95746,0.27887,0.02063,1580887680.6690938
0.05676,-0.04755,-0.95746,0.27893,0.02063,1580887680.683842
0.05676,-0.04742,-0.95746,0.27899,0.02063,1580887680.705139
0.05670,-0.04730,-0.95740,0.27905,0.02063,1580887680.706933
0.05670,-0.04718,-0.95740,0.27911,0.02063,1580887680.7093718
0.05664,-0.04700,-0.95740,0.27917,0.02063,1580887680.711972
0.05664,-0.04675,-0.95740,0.27924,0.02063,1580887680.71387
0.05658,-0.04657,-0.95740,0.27930,0.02063,1580887680.715573
0.05652,-0.04626,-0.95740,0.27942,0.02063,1580887680.717951
0.05652,-0.04596,-0.95740,0.27948,0.02063,1580887680.720012
0.05646,-0.04565,-0.95740,0.27954,0.02063,1580887680.722294
0.05640,-0.04535,-0.95740,0.27960,0.02063,1580887680.784389
0.05634,-0.04498,-0.95740,0.27960,0.02063,1580887680.8357399
0.05627,-0.04462,-0.95740,0.27966,0.02063,1580887680.927912
0.05621,-0.04419,-0.95740,0.27972,0.02063,1580887680.99704
0.05615,-0.04382,-0.95740,0.27979,0.02063,1580887681.038393
0.05603,-0.04333,-0.95740,0.27985,0.02063,1580887681.075187
0.05597,-0.04291,-0.95746,0.27991,0.02069,1580887681.108093
0.05591,-0.04248,-0.95746,0.27997,0.02069,1580887681.139434
0.05585,-0.04211,-0.95746,0.27997,0.02069,1580887681.141479
0.05573,-0.04163,-0.95746,0.28003,0.02063,1580887681.143729
0.05566,-0.04120,-0.95746,0.28009,0.02069,1580887681.1454542
0.05560,-0.04077,-0.95746,0.28009,0.02069,1580887681.147446
0.05548,-0.04034,-0.95752,0.28015,0.02069,1580887681.14898
0.05542,-0.03986,-0.95752,0.28021,0.02069,1580887681.1503391
0.05530,-0.03943,-0.95752,0.28027,0.02069,1580887681.1519701
0.05524,-0.03900,-0.95752,0.28033,0.02069,1580887681.1539662
0.05511,-0.03851,-0.95752,0.28040,0.02069,1580887681.1787899
0.05505,-0.03809,-0.95752,0.28046,0.02069,1580887681.23216
0.05493,-0.03766,-0.95752,0.28052,0.02069,1580887681.276171
0.05487,-0.03729,-0.95752,0.28058,0.02069,1580887681.3431199
0.05481,-0.03687,-0.95752,0.28064,0.02069,1580887681.400322
0.05469,-0.03644,-0.95752,0.28070,0.02069,1580887681.424536
0.05463,-0.03607,-0.95752,0.28076,0.02069,1580887681.4687629
0.05450,-0.03564,-0.95752,0.28082,0.02069,1580887681.4751518
0.05444,-0.03534,-0.95752,0.28088,0.02069,1580887681.4817002
0.05438,-0.03497,-0.95752,0.28094,0.02069,1580887681.518076
0.05438,-0.03467,-0.95752,0.28101,0.02069,1580887681.5455492
0.05432,-0.03430,-0.95752,0.28107,0.02069,1580887681.5475972
0.05432,-0.03406,-0.95752,0.28113,0.02069,1580887681.549632
0.05426,-0.03369,-0.95752,0.28119,0.02069,1580887681.551622
0.05426,-0.03339,-0.95752,0.28125,0.02069,1580887681.555001
0.05426,-0.03308,-0.95752,0.28131,0.02069,1580887681.6145012
0.05426,-0.03278,-0.95752,0.28137,0.02069,1580887681.673024
0.05426,-0.03247,-0.95752,0.28137,0.02069,1580887681.7266078
0.05426,-0.03217,-0.95752,0.28143,0.02069,1580887681.7577212
0.05426,-0.03186,-0.95752,0.28143,0.02069,1580887681.779979
0.05426,-0.03156,-0.95752,0.28149,0.02069,1580887681.8149362
0.05420,-0.03125,-0.95752,0.28149,0.02069,1580887681.816569
0.05420,-0.03094,-0.95752,0.28156,0.02069,1580887681.818542
0.05420,-0.03064,-0.95752,0.28156,0.02069,1580887681.821603
0.05414,-0.03040,-0.95752,0.28162,0.02069,1580887681.853745
0.05414,-0.03015,-0.95752,0.28162,0.02069,1580887681.8902872
0.05414,-0.02991,-0.95752,0.28168,0.02069,1580887681.929714
0.05414,-0.02972,-0.95752,0.28168,0.02069,1580887681.959747
0.05408,-0.02948,-0.95752,0.28168,0.02069,1580887681.9846442
0.05408,-0.02930,-0.95752,0.28174,0.02069,1580887682.0093591
0.05408,-0.02905,-0.95752,0.28174,0.02069,1580887682.0174341
0.05402,-0.02887,-0.95752,0.28180,0.02069,1580887682.051703
0.05402,-0.02869,-0.95752,0.28180,0.02069,1580887682.0559518
0.05402,-0.02850,-0.95752,0.28186,0.02069,1580887682.10447
0.05402,-0.02838,-0.95752,0.28186,0.02069,1580887682.1300569
0.05402,-0.02820,-0.95752,0.28192,0.02069,1580887682.146832
0.05402,-0.02808,-0.95752,0.28192,0.02069,1580887682.182403
0.05402,-0.02789,-0.95752,0.28198,0.02069,1580887682.201948
0.05402,-0.02777,-0.95752,0.28198,0.02069,1580887682.212384
0.05402,-0.02771,-0.95746,0.28204,0.02069,1580887682.23565
0.05402,-0.02759,-0.95746,0.28210,0.02069,1580887682.27153
0.05402,-0.02747,-0.95746,0.28210,0.02069,1580887682.273654
0.05402,-0.02740,-0.95746,0.28217,0.02069,1580887682.275061
0.05402,-0.02728,-0.95746,0.28223,0.02069,1580887682.277111
0.05408,-0.02722,-0.95746,0.28223,0.02069,1580887682.278672
0.05408,-0.02710,-0.95740,0.28229,0.02069,1580887682.279943
0.05408,-0.02704,-0.95740,0.28235,0.02069,1580887682.281997
0.05408,-0.02698,-0.95740,0.28235,0.02069,1580887682.2834592
0.05408,-0.02692,-0.95740,0.28241,0.02069,1580887682.284788
0.05408,-0.02686,-0.95740,0.28241,0.02069,1580887682.287006
0.05414,-0.02679,-0.95740,0.28241,0.02069,1580887682.355239
0.05414,-0.02673,-0.95740,0.28247,0.02069,1580887682.441782
0.05414,-0.02667,-0.95740,0.28247,0.02069,1580887682.512712
0.05414,-0.02661,-0.95740,0.28247,0.02069,1580887682.611508
0.05414,-0.02655,-0.95740,0.28247,0.02069,1580887682.651587
0.05414,-0.02655,-0.95740,0.28247,0.02069,1580887682.653813
0.05420,-0.02649,-0.95734,0.28253,0.02069,1580887682.696121
0.05420,-0.02643,-0.95734,0.28253,0.02063,1580887682.723818
0.05420,-0.02643,-0.95734,0.28253,0.02069,1580887682.741736
0.05426,-0.02643,-0.95734,0.28259,0.02069,1580887682.7599812
0.05426,-0.02637,-0.95734,0.28259,0.02069,1580887682.762569
0.05426,-0.02637,-0.95734,0.28259,0.02063,1580887682.7640152
0.05426,-0.02637,-0.95734,0.28265,0.02063,1580887682.7654731
0.05426,-0.02637,-0.95734,0.28265,0.02063,1580887682.768362
0.05426,-0.02631,-0.95734,0.28271,0.02063,1580887682.771189
0.05432,-0.02631,-0.95728,0.28271,0.02063,1580887682.806087
0.05432,-0.02625,-0.95728,0.28271,0.02063,1580887682.88758
0.05432,-0.02625,-0.95728,0.28278,0.02063,1580887682.956213
0.05432,-0.02625,-0.95728,0.28278,0.02063,1580887682.986372
