quatI,quatJ,quatK,quatReal,quatRadianAccuracy,IMUtimestamp
0.04675,-0.05237,-0.99176,0.10730,0.01672,1580890049.0018392
0.04657,-0.05304,-0.99170,0.10748,0.01672,1580890049.004642
0.04639,-0.05371,-0.99164,0.10760,0.01672,1580890049.006751
0.04608,-0.05444,-0.99158,0.10785,0.01672,1580890049.009849
0.04590,-0.05511,-0.99158,0.10809,0.01672,1580890049.123702
0.04565,-0.05585,-0.99152,0.10828,0.01672,1580890049.200029
0.04541,-0.05646,-0.99146,0.10852,0.01678,1580890049.282968
0.04510,-0.05725,-0.99139,0.10883,0.01672,1580890049.35422
0.04480,-0.05798,-0.99133,0.10913,0.01678,1580890049.374052
0.04456,-0.05872,-0.99127,0.10944,0.01678,1580890049.4225202
0.04431,-0.05939,-0.99121,0.10968,0.01678,1580890049.482615
0.04395,-0.06018,-0.99115,0.11005,0.01678,1580890049.492772
0.04364,-0.06097,-0.99103,0.11041,0.01678,1580890049.493868
0.04340,-0.06165,-0.99097,0.11078,0.01678,1580890049.5386171
0.04309,-0.06244,-0.99091,0.11115,0.01678,1580890049.541065
0.04279,-0.06323,-0.99084,0.11157,0.01678,1580890049.588442
0.04254,-0.06396,-0.99072,0.11200,0.01678,1580890049.7251
0.04230,-0.06464,-0.99066,0.11237,0.01678,1580890049.7736452
0.04205,-0.06537,-0.99060,0.11279,0.01678,1580890049.8248892
0.04175,-0.06610,-0.99048,0.11328,0.01678,1580890049.857787
0.04150,-0.06677,-0.99042,0.11371,0.01678,1580890049.8675
0.04126,-0.06744,-0.99030,0.11420,0.01678,1580890049.8688269
0.04102,-0.06799,-0.99023,0.11462,0.01678,1580890049.906177
0.04077,-0.06860,-0.99011,0.11511,0.01678,1580890049.952482
0.04053,-0.06909,-0.99005,0.11554,0.01678,1580890049.954705
0.04028,-0.06964,-0.98999,0.11609,0.01678,1580890049.956463
0.04004,-0.07013,-0.98987,0.11658,0.01678,1580890049.958055
0.03973,-0.07062,-0.98981,0.11713,0.01678,1580890049.96073
0.03949,-0.07111,-0.98975,0.11768,0.01678,1580890050.0450401
0.03925,-0.07153,-0.98962,0.11816,0.01678,1580890050.171864
0.03900,-0.07196,-0.98956,0.11865,0.01678,1580890050.246636
0.03870,-0.07239,-0.98944,0.11920,0.01678,1580890050.2495308
0.03845,-0.07281,-0.98938,0.11975,0.01678,1580890050.251946
0.03821,-0.07324,-0.98932,0.12030,0.01678,1580890050.254814
0.03802,-0.07361,-0.98920,0.12079,0.01678,1580890050.2570229
0.03778,-0.07397,-0.98914,0.12134,0.01678,1580890050.261972
0.03754,-0.07434,-0.98901,0.12189,0.01678,1580890050.272993
0.03741,-0.07465,-0.98895,0.12238,0.01678,1580890050.324621
0.03723,-0.07495,-0.98889,0.12286,0.01678,1580890050.356103
0.03705,-0.07532,-0.98883,0.12341,0.01678,1580890050.398206
0.03693,-0.07556,-0.98871,0.12390,0.01678,1580890050.486353
0.03674,-0.07587,-0.98865,0.12439,0.01678,1580890050.565809
0.03662,-0.07605,-0.98859,0.12482,0.01678,1580890050.661616
0.03650,-0.07629,-0.98853,0.12531,0.01678,1580890050.70143
0.03638,-0.07648,-0.98840,0.12579,0.01678,1580890050.761923
0.03632,-0.07666,-0.98834,0.12622,0.01678,1580890050.830317
0.03619,-0.07678,-0.98828,0.12665,0.01685,1580890050.8815129
0.03613,-0.07690,-0.98822,0.12708,0.01678,1580890050.9608169
0.03601,-0.07703,-0.98816,0.12750,0.01685,1580890050.9712808
0.03595,-0.07709,-0.98816,0.12787,0.01685,1580890050.974045
0.03589,-0.07715,-0.98810,0.12830,0.01678,1580890050.976073
0.03589,-0.07721,-0.98804,0.12866,0.01685,1580890050.977163
0.03583,-0.07727,-0.98798,0.12903,0.01685,1580890051.045776
0.03583,-0.07733,-0.98792,0.12939,0.01685,1580890051.1276631
0.03583,-0.07733,-0.98785,0.12970,0.01685,1580890051.147604
0.03589,-0.07733,-0.98785,0.13007,0.01685,1580890051.215359
0.03589,-0.07733,-0.98779,0.13037,0.01685,1580890051.2508512
0.03595,-0.07739,-0.98773,0.13068,0.01685,1580890051.252888
0.03601,-0.07739,-0.98773,0.13092,0.01685,1580890051.255594
0.03607,-0.07745,-0.98767,0.13129,0.01685,1580890051.258016
0.03613,-0.07745,-0.98761,0.13153,0.01685,1580890051.3028212
0.03625,-0.07751,-0.98755,0.13184,0.01685,1580890051.379489
0.03638,-0.07758,-0.98755,0.13208,0.01685,1580890051.49682
0.03650,-0.07764,-0.98749,0.13232,0.01685,1580890051.59468
0.03662,-0.07770,-0.98743,0.13257,0.01685,1580890051.6554098
0.03674,-0.07770,-0.98743,0.13281,0.01685,1580890051.7146082
0.03693,-0.07770,-0.98737,0.13300,0.01685,1580890051.815199
0.03705,-0.07770,-0.98737,0.13318,0.01685,1580890051.835156
0.03723,-0.07770,-0.98730,0.13342,0.01685,1580890051.8879879
0.03735,-0.07764,-0.98730,0.13361,0.01685,1580890051.949445
0.03754,-0.07751,-0.98724,0.13379,0.01685,1580890052.000491
0.03772,-0.07739,-0.98724,0.13391,0.01685,1580890052.0342631
