quatI,quatJ,quatK,quatReal,quatRadianAccuracy,IMUtimestamp
0.05530,-0.01361,-0.99274,0.10602,0.01581,1580888868.752086
0.05511,-0.01373,-0.99274,0.10602,0.01581,1580888868.75874
0.05499,-0.01379,-0.99274,0.10602,0.01581,1580888868.768482
0.05481,-0.01392,-0.99274,0.10602,0.01581,1580888868.770837
0.05463,-0.01398,-0.99274,0.10602,0.01581,1580888868.784118
0.05444,-0.01410,-0.99280,0.10602,0.01581,1580888868.80397
0.05426,-0.01428,-0.99280,0.10596,0.01581,1580888868.896375
0.05408,-0.01440,-0.99280,0.10590,0.01581,1580888868.8993979
0.05389,-0.01459,-0.99280,0.10590,0.01581,1580888868.912468
0.05371,-0.01477,-0.99280,0.10583,0.01581,1580888868.918716
0.05353,-0.01495,-0.99286,0.10571,0.01581,1580888868.934518
0.05328,-0.01520,-0.99286,0.10565,0.01581,1580888868.949931
0.05316,-0.01538,-0.99286,0.10559,0.01581,1580888869.022333
0.05298,-0.01563,-0.99286,0.10547,0.01581,1580888869.0247161
0.05280,-0.01581,-0.99292,0.10535,0.01581,1580888869.0499341
0.05261,-0.01605,-0.99292,0.10529,0.01581,1580888869.052823
0.05249,-0.01630,-0.99292,0.10516,0.01581,1580888869.053843
0.05231,-0.01654,-0.99298,0.10504,0.01581,1580888869.0632231
0.05212,-0.01672,-0.99298,0.10486,0.01587,1580888869.06462
0.05200,-0.01697,-0.99298,0.10474,0.01587,1580888869.081492
0.05182,-0.01715,-0.99304,0.10455,0.01587,1580888869.153124
0.05164,-0.01733,-0.99304,0.10437,0.01587,1580888869.193865
0.05145,-0.01746,-0.99304,0.10419,0.01587,1580888869.196842
0.05127,-0.01764,-0.99310,0.10400,0.01587,1580888869.245676
0.05109,-0.01776,-0.99310,0.10376,0.01587,1580888869.2943108
0.05090,-0.01788,-0.99316,0.10352,0.01587,1580888869.312452
0.05066,-0.01801,-0.99323,0.10327,0.01593,1580888869.3288589
0.05048,-0.01819,-0.99323,0.10303,0.01587,1580888869.418017
0.05029,-0.01837,-0.99329,0.10272,0.01593,1580888869.4542139
0.05005,-0.01862,-0.99329,0.10242,0.01593,1580888869.49957
0.04987,-0.01880,-0.99335,0.10217,0.01593,1580888869.535176
0.04968,-0.01910,-0.99335,0.10187,0.01593,1580888869.551289
0.04950,-0.01935,-0.99341,0.10156,0.01593,1580888869.6264808
0.04932,-0.01959,-0.99347,0.10126,0.01593,1580888869.6463082
0.04919,-0.01978,-0.99347,0.10101,0.01593,1580888869.667562
0.04907,-0.02002,-0.99353,0.10065,0.01593,1580888869.695586
0.04895,-0.02020,-0.99353,0.10034,0.01593,1580888869.733184
0.04889,-0.02032,-0.99359,0.10004,0.01593,1580888869.735331
0.04883,-0.02051,-0.99359,0.09967,0.01593,1580888869.738662
0.04883,-0.02063,-0.99365,0.09930,0.01593,1580888869.7416708
0.04877,-0.02063,-0.99365,0.09894,0.01599,1580888869.742896
0.04877,-0.02063,-0.99371,0.09863,0.01599,1580888869.744017
0.04877,-0.02057,-0.99377,0.09827,0.01599,1580888869.749252
0.04889,-0.02032,-0.99377,0.09784,0.01599,1580888869.7548742
0.04901,-0.02008,-0.99384,0.09747,0.01599,1580888869.7589471
0.04919,-0.01965,-0.99390,0.09705,0.01599,1580888869.7769458
0.04944,-0.01917,-0.99390,0.09668,0.01605,1580888869.8111591
0.04974,-0.01862,-0.99396,0.09625,0.01605,1580888869.923
0.04999,-0.01807,-0.99396,0.09583,0.01605,1580888870.127508
0.05029,-0.01752,-0.99402,0.09540,0.01605,1580888870.141279
0.05060,-0.01709,-0.99402,0.09497,0.01605,1580888870.151278
0.05084,-0.01672,-0.99408,0.09454,0.01605,1580888870.155951
0.05103,-0.01654,-0.99408,0.09424,0.01605,1580888870.170586
0.05121,-0.01642,-0.99414,0.09387,0.01605,1580888870.1833081
0.05133,-0.01642,-0.99414,0.09357,0.01605,1580888870.239746
0.05145,-0.01642,-0.99414,0.09332,0.01605,1580888870.280546
0.05157,-0.01648,-0.99420,0.09308,0.01605,1580888870.283197
0.05170,-0.01654,-0.99420,0.09283,0.01611,1580888870.284566
0.05188,-0.01666,-0.99420,0.09265,0.01611,1580888870.286744
0.05200,-0.01672,-0.99420,0.09241,0.01611,1580888870.287958
0.05219,-0.01685,-0.99426,0.09216,0.01611,1580888870.28911
0.05243,-0.01691,-0.99426,0.09192,0.01611,1580888870.291488
0.05255,-0.01709,-0.99426,0.09167,0.01611,1580888870.300813
0.05273,-0.01727,-0.99426,0.09137,0.01611,1580888870.302939
0.05286,-0.01740,-0.99426,0.09106,0.01611,1580888870.304131
0.05298,-0.01758,-0.99432,0.09082,0.01611,1580888870.3077812
0.05304,-0.01770,-0.99432,0.09058,0.01617,1580888870.310501
0.05304,-0.01782,-0.99432,0.09033,0.01617,1580888870.313353
0.05304,-0.01794,-0.99438,0.09009,0.01617,1580888870.419446
0.05298,-0.01807,-0.99438,0.08984,0.01617,1580888870.423622
0.05292,-0.01819,-0.99438,0.08972,0.01617,1580888870.4320261
0.05273,-0.01831,-0.99438,0.08960,0.01617,1580888870.435178
0.05261,-0.01843,-0.99445,0.08948,0.01617,1580888870.439605
0.05237,-0.01855,-0.99445,0.08948,0.01617,1580888870.449
0.05212,-0.01862,-0.99445,0.08942,0.01617,1580888870.489388
0.05188,-0.01862,-0.99445,0.08948,0.01617,1580888870.5032032
0.05164,-0.01855,-0.99445,0.08948,0.01617,1580888870.582517
0.05145,-0.01843,-0.99451,0.08954,0.01617,1580888870.622877
0.05121,-0.01825,-0.99451,0.08966,0.01617,1580888870.7055502
0.05103,-0.01801,-0.99451,0.08978,0.01617,1580888870.712901
0.05090,-0.01770,-0.99451,0.08997,0.01617,1580888870.7166011
0.05078,-0.01740,-0.99451,0.09009,0.01617,1580888870.722541
0.05072,-0.01709,-0.99451,0.09027,0.01617,1580888870.726458
0.05060,-0.01678,-0.99445,0.09045,0.01617,1580888870.730397
0.05054,-0.01648,-0.99445,0.09058,0.01617,1580888870.7324958
0.05054,-0.01611,-0.99445,0.09076,0.01617,1580888870.738102
0.05054,-0.01581,-0.99445,0.09094,0.01617,1580888870.744885
0.05060,-0.01544,-0.99445,0.09113,0.01617,1580888870.7484741
0.05066,-0.01514,-0.99445,0.09131,0.01624,1580888870.752256
0.05078,-0.01477,-0.99438,0.09149,0.01624,1580888870.754795
0.05090,-0.01453,-0.99438,0.09161,0.01624,1580888870.7581701
0.05103,-0.01422,-0.99438,0.09174,0.01624,1580888870.763754
0.05121,-0.01398,-0.99438,0.09186,0.01624,1580888870.770178
0.05139,-0.01379,-0.99432,0.09198,0.01624,1580888870.774855
0.05164,-0.01361,-0.99432,0.09210,0.01624,1580888870.777698
0.05182,-0.01343,-0.99432,0.09222,0.01624,1580888870.779531
0.05212,-0.01331,-0.99426,0.09235,0.01624,1580888870.7839181
0.05237,-0.01318,-0.99426,0.09241,0.01624,1580888870.786818
0.05261,-0.01312,-0.99426,0.09247,0.01624,1580888870.7997499
0.05292,-0.01306,-0.99420,0.09259,0.01624,1580888870.8054929
0.05316,-0.01306,-0.99420,0.09271,0.01624,1580888870.831685
0.05341,-0.01306,-0.99414,0.09283,0.01624,1580888870.890986
0.05365,-0.01312,-0.99414,0.09296,0.01624,1580888870.8947918
0.05396,-0.01318,-0.99408,0.09314,0.01624,1580888870.9058309
0.05432,-0.01324,-0.99408,0.09332,0.01630,1580888870.9496908
0.05463,-0.01337,-0.99402,0.09351,0.01630,1580888871.075456
0.05493,-0.01343,-0.99402,0.09369,0.01630,1580888871.117223
0.05530,-0.01355,-0.99396,0.09387,0.01630,1580888871.146562
0.05560,-0.01367,-0.99390,0.09406,0.01630,1580888871.1960971
0.05591,-0.01373,-0.99390,0.09424,0.01630,1580888871.1996129
0.05621,-0.01385,-0.99384,0.09448,0.01630,1580888871.243498
0.05652,-0.01392,-0.99377,0.09473,0.01630,1580888871.256504
0.05682,-0.01398,-0.99377,0.09491,0.01630,1580888871.281516
0.05737,-0.01404,-0.99371,0.09534,0.01630,1580888871.319874
0.05762,-0.01404,-0.99365,0.09558,0.01630,1580888871.321478
0.05786,-0.01404,-0.99359,0.09576,0.01636,1580888871.325197
0.05817,-0.01404,-0.99359,0.09595,0.01636,1580888871.404907
0.05841,-0.01404,-0.99353,0.09619,0.01636,1580888871.452367
0.05865,-0.01404,-0.99353,0.09637,0.01636,1580888871.476015
0.05890,-0.01404,-0.99347,0.09656,0.01636,1580888871.513897
0.05914,-0.01398,-0.99347,0.09674,0.01636,1580888871.518144
0.05933,-0.01398,-0.99341,0.09692,0.01636,1580888871.520939
0.05957,-0.01398,-0.99341,0.09711,0.01636,1580888871.52831
0.05981,-0.01398,-0.99335,0.09723,0.01636,1580888871.5574038
0.06006,-0.01398,-0.99335,0.09735,0.01636,1580888871.571945
0.06030,-0.01398,-0.99329,0.09747,0.01636,1580888871.625728
0.06049,-0.01404,-0.99329,0.09760,0.01636,1580888871.661728
0.06079,-0.01410,-0.99329,0.09766,0.01636,1580888871.713103
0.06097,-0.01416,-0.99323,0.09772,0.01642,1580888871.761941
0.06122,-0.01428,-0.99323,0.09778,0.01642,1580888871.764516
0.06140,-0.01440,-0.99323,0.09778,0.01642,1580888871.7860448
0.06165,-0.01453,-0.99316,0.09784,0.01642,1580888871.8042161
0.06183,-0.01471,-0.99316,0.09784,0.01642,1580888871.82946
0.06201,-0.01489,-0.99316,0.09784,0.01642,1580888871.945218
0.06219,-0.01514,-0.99316,0.09784,0.01642,1580888871.9924932
0.06238,-0.01538,-0.99310,0.09784,0.01642,1580888872.0413451
0.06256,-0.01569,-0.99310,0.09784,0.01642,1580888872.072395
0.06268,-0.01599,-0.99310,0.09784,0.01642,1580888872.078721
0.06281,-0.01642,-0.99310,0.09790,0.01642,1580888872.1480262
0.06299,-0.01678,-0.99304,0.09790,0.01648,1580888872.1633658
0.06311,-0.01715,-0.99304,0.09796,0.01648,1580888872.16633
0.06329,-0.01746,-0.99304,0.09796,0.01648,1580888872.169385
0.06348,-0.01782,-0.99298,0.09808,0.01648,1580888872.2109
0.06366,-0.01819,-0.99298,0.09814,0.01648,1580888872.246424
0.06390,-0.01849,-0.99292,0.09821,0.01648,1580888872.300583
