quatI,quatJ,quatK,quatReal,quatRadianAccuracy,IMUtimestamp
0.03650,-0.08008,-0.98578,0.14319,0.01599,1580889176.9155421
0.03650,-0.08014,-0.98578,0.14319,0.01599,1580889176.9785442
0.03650,-0.08014,-0.98578,0.14319,0.01599,1580889177.048361
0.03650,-0.08020,-0.98578,0.14319,0.01593,1580889177.093832
0.03644,-0.08020,-0.98578,0.14319,0.01599,1580889177.0986948
0.03644,-0.08026,-0.98578,0.14325,0.01593,1580889177.116521
0.03644,-0.08032,-0.98578,0.14325,0.01593,1580889177.255284
0.03644,-0.08032,-0.98572,0.14325,0.01599,1580889177.3296041
0.03638,-0.08038,-0.98572,0.14331,0.01599,1580889177.3673532
0.03638,-0.08038,-0.98572,0.14331,0.01599,1580889177.38149
0.03638,-0.08044,-0.98572,0.14337,0.01599,1580889177.4020329
0.03632,-0.08044,-0.98572,0.14343,0.01599,1580889177.412556
0.03632,-0.08051,-0.98572,0.14349,0.01599,1580889177.426974
0.03632,-0.08057,-0.98572,0.14349,0.01599,1580889177.428573
0.03632,-0.08057,-0.98566,0.14355,0.01599,1580889177.44343
0.03632,-0.08063,-0.98566,0.14362,0.01599,1580889177.451125
0.03632,-0.08063,-0.98566,0.14368,0.01599,1580889177.5083141
0.03638,-0.08069,-0.98566,0.14374,0.01599,1580889177.6246688
0.03638,-0.08069,-0.98566,0.14380,0.01599,1580889177.690219
0.03638,-0.08075,-0.98566,0.14380,0.01599,1580889177.746092
0.03638,-0.08075,-0.98566,0.14386,0.01599,1580889177.821707
0.03644,-0.08075,-0.98560,0.14386,0.01599,1580889177.8237271
0.03644,-0.08081,-0.98560,0.14386,0.01599,1580889177.8457558
0.03638,-0.08081,-0.98560,0.14392,0.01599,1580889177.847487
0.03638,-0.08081,-0.98560,0.14392,0.01599,1580889177.850235
0.03638,-0.08087,-0.98560,0.14392,0.01599,1580889177.874551
0.03638,-0.08087,-0.98560,0.14392,0.01599,1580889177.9070451
0.03632,-0.08093,-0.98560,0.14392,0.01599,1580889177.925772
0.03632,-0.08093,-0.98560,0.14392,0.01599,1580889177.928618
0.03632,-0.08093,-0.98560,0.14392,0.01599,1580889177.966485
0.03625,-0.08093,-0.98560,0.14392,0.01599,1580889178.005879
0.03625,-0.08093,-0.98560,0.14386,0.01599,1580889178.06606
0.03625,-0.08093,-0.98560,0.14386,0.01599,1580889178.203182
0.03625,-0.08099,-0.98560,0.14380,0.01599,1580889178.330528
0.03619,-0.08099,-0.98566,0.14380,0.01599,1580889178.43331
0.03619,-0.08099,-0.98566,0.14374,0.01593,1580889178.475112
0.03619,-0.08099,-0.98566,0.14368,0.01593,1580889178.5867898
0.03613,-0.08105,-0.98566,0.14368,0.01593,1580889178.620546
0.03607,-0.08105,-0.98566,0.14362,0.01593,1580889178.657574
0.03601,-0.08105,-0.98566,0.14362,0.01593,1580889178.666429
0.03589,-0.08112,-0.98566,0.14362,0.01593,1580889178.7528498
0.03583,-0.08112,-0.98566,0.14362,0.01593,1580889178.927705
0.03571,-0.08112,-0.98566,0.14368,0.01593,1580889178.960233
0.03558,-0.08112,-0.98566,0.14368,0.01593,1580889179.0719109
0.03546,-0.08118,-0.98566,0.14374,0.01593,1580889179.074069
0.03534,-0.08118,-0.98566,0.14374,0.01599,1580889179.077365
0.03516,-0.08124,-0.98566,0.14380,0.01599,1580889179.082725
0.03503,-0.08130,-0.98566,0.14386,0.01599,1580889179.09922
0.03485,-0.08136,-0.98560,0.14392,0.01599,1580889179.10039
0.03473,-0.08142,-0.98560,0.14392,0.01599,1580889179.10204
0.03461,-0.08148,-0.98560,0.14398,0.01593,1580889179.104256
0.03442,-0.08160,-0.98560,0.14410,0.01593,1580889179.1421828
0.03430,-0.08173,-0.98560,0.14417,0.01593,1580889179.158444
0.03412,-0.08185,-0.98553,0.14423,0.01593,1580889179.183966
0.03400,-0.08203,-0.98553,0.14435,0.01593,1580889179.199991
0.03387,-0.08215,-0.98553,0.14447,0.01593,1580889179.328694
0.03375,-0.08228,-0.98547,0.14459,0.01593,1580889179.386994
0.03357,-0.08246,-0.98547,0.14478,0.01593,1580889179.482324
0.03345,-0.08258,-0.98541,0.14490,0.01599,1580889179.569182
0.03333,-0.08276,-0.98541,0.14514,0.01599,1580889179.5908558
0.03320,-0.08289,-0.98535,0.14532,0.01599,1580889179.6317508
0.03308,-0.08307,-0.98529,0.14557,0.01599,1580889179.776808
0.03296,-0.08319,-0.98529,0.14575,0.01599,1580889179.878005
0.03290,-0.08331,-0.98523,0.14600,0.01599,1580889179.954605
0.03284,-0.08350,-0.98517,0.14624,0.01599,1580889180.071768
0.03284,-0.08362,-0.98511,0.14655,0.01599,1580889180.0805771
0.03278,-0.08374,-0.98511,0.14673,0.01599,1580889180.1094248
0.03284,-0.08386,-0.98505,0.14697,0.01599,1580889180.183468
0.03284,-0.08398,-0.98499,0.14722,0.01599,1580889180.2375731
0.03284,-0.08405,-0.98492,0.14740,0.01599,1580889180.3073359
0.03290,-0.08417,-0.98492,0.14758,0.01599,1580889180.378016
0.03302,-0.08423,-0.98486,0.14777,0.01599,1580889180.3902879
0.03308,-0.08429,-0.98486,0.14789,0.01599,1580889180.496045
0.03320,-0.08429,-0.98480,0.14807,0.01599,1580889180.584196
0.03326,-0.08429,-0.98480,0.14813,0.01599,1580889180.6456058
0.03339,-0.08423,-0.98480,0.14825,0.01599,1580889180.64885
0.03351,-0.08423,-0.98474,0.14838,0.01599,1580889180.6778061
0.03357,-0.08411,-0.98474,0.14850,0.01599,1580889180.748277
0.03363,-0.08405,-0.98474,0.14856,0.01599,1580889180.823932
0.03369,-0.08392,-0.98474,0.14868,0.01599,1580889180.872654
0.03375,-0.08374,-0.98474,0.14874,0.01599,1580889180.918914
0.03381,-0.08362,-0.98474,0.14874,0.01599,1580889180.9845152
0.03387,-0.08350,-0.98474,0.14880,0.01599,1580889181.0162492
0.03400,-0.08331,-0.98474,0.14880,0.01599,1580889181.1277618
0.03406,-0.08319,-0.98480,0.14880,0.01593,1580889181.175884
0.03412,-0.08301,-0.98480,0.14880,0.01593,1580889181.182946
0.03424,-0.08289,-0.98480,0.14874,0.01593,1580889181.25187
0.03430,-0.08276,-0.98480,0.14868,0.01593,1580889181.319077
0.03436,-0.08258,-0.98486,0.14856,0.01593,1580889181.365987
0.03442,-0.08240,-0.98486,0.14850,0.01593,1580889181.4132411
0.03448,-0.08228,-0.98492,0.14838,0.01599,1580889181.5191832
0.03455,-0.08209,-0.98492,0.14825,0.01599,1580889181.5981288
0.03455,-0.08185,-0.98499,0.14813,0.01599,1580889181.631681
0.03461,-0.08167,-0.98499,0.14807,0.01599,1580889181.63939
0.03455,-0.08148,-0.98505,0.14795,0.01599,1580889181.744554
0.03455,-0.08124,-0.98505,0.14783,0.01599,1580889181.828057
0.03448,-0.08099,-0.98511,0.14771,0.01599,1580889181.884872
0.03436,-0.08069,-0.98517,0.14758,0.01599,1580889181.931211
0.03424,-0.08044,-0.98517,0.14746,0.01599,1580889181.941014
0.03406,-0.08020,-0.98523,0.14740,0.01599,1580889182.051837
0.03387,-0.07996,-0.98529,0.14728,0.01599,1580889182.1093671
0.03375,-0.07971,-0.98535,0.14716,0.01599,1580889182.118104
0.03357,-0.07953,-0.98535,0.14703,0.01599,1580889182.123254
0.03345,-0.07935,-0.98541,0.14691,0.01599,1580889182.164032
0.03326,-0.07916,-0.98541,0.14679,0.01605,1580889182.2568152
0.03314,-0.07898,-0.98547,0.14673,0.01605,1580889182.321026
0.03302,-0.07880,-0.98547,0.14661,0.01605,1580889182.366248
0.03296,-0.07855,-0.98553,0.14648,0.01605,1580889182.4053729
0.03290,-0.07831,-0.98560,0.14636,0.01605,1580889182.485058
0.03290,-0.07806,-0.98560,0.14624,0.01605,1580889182.592948
0.03296,-0.07776,-0.98566,0.14612,0.01605,1580889182.634753
0.03302,-0.07739,-0.98572,0.14600,0.01605,1580889182.6807559
0.03314,-0.07703,-0.98578,0.14581,0.01605,1580889182.735199
0.03326,-0.07666,-0.98578,0.14569,0.01605,1580889182.781964
0.03345,-0.07623,-0.98584,0.14551,0.01605,1580889182.863944
0.03357,-0.07587,-0.98590,0.14532,0.01605,1580889182.9572911
0.03369,-0.07556,-0.98596,0.14514,0.01605,1580889183.03794
0.03381,-0.07532,-0.98596,0.14496,0.01605,1580889183.0876732
0.03387,-0.07507,-0.98602,0.14478,0.01605,1580889183.1621041
0.03394,-0.07489,-0.98608,0.14459,0.01605,1580889183.209823
0.03394,-0.07477,-0.98608,0.14441,0.01605,1580889183.253889
