eye_packets,523
norm_X,norm_Y,phi,theta,confidence,timestamp
1580951768.887545,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 2798.861563, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8833006184161718, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951768.903451,"{'circle_3d': {'center': [-4.275538768019687, 9.008361602881912, 56.19254695894026], 'normal': [-0.19557140178715743, 0.6662922748454269, -0.7195876814428609], 'radius': 1.8216162490925565}, 'confidence': 0.9968617466748466, 'timestamp': 2798.872735, 'diameter_3d': 3.643232498185113, 'ellipse': {'center': [112.89370148369014, 219.1315263730362], 'axes': [24.03900273244227, 40.21947561676546], 'angle': -72.61077884956669}, 'location': [112.89370148369014, 219.1315263730362], 'diameter': 40.21947561676546, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.882931649951213, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.3000217964466487, 'phi': -1.8361688810534413, 'norm_pos': [0.35279281713653166, 0.0869519734456825], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951768.908486,"{'circle_3d': {'center': [-4.331502233452033, 9.01954707169048, 56.21834100302512], 'normal': [-0.2002350239065196, 0.6672243972461409, -0.7174381777691227], 'radius': 1.8702964727498146}, 'confidence': 0.9983932591379946, 'timestamp': 2798.883907, 'diameter_3d': 3.740592945499629, 'ellipse': {'center': [112.30329387633239, 219.19623312588027], 'axes': [24.55002892197521, 41.27582756478687], 'angle': -72.27807720184806}, 'location': [112.30329387633239, 219.19623312588027], 'diameter': 41.27582756478687, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8826927200003776, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.3012725077540317, 'phi': -1.8429677158787245, 'norm_pos': [0.3509477933635387, 0.08668236197549883], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951768.917998,"{'circle_3d': {'center': [-4.326839483002282, 9.010748617810147, 56.20886796586878], 'normal': [-0.19984646136904036, 0.6664911927561132, -0.7182275975321515], 'radius': 1.8675641373404626}, 'confidence': 0.9992645133163831, 'timestamp': 2798.895079, 'diameter_3d': 3.735128274680925, 'ellipse': {'center': [112.34648604166577, 219.1164920522658], 'axes': [24.560973676573383, 41.22242334014452], 'angle': -72.28843713410738}, 'location': [112.34648604166577, 219.1164920522658], 'diameter': 41.22242334014452, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8825433754186984, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.3002885848454584, 'phi': -1.8421810440469872, 'norm_pos': [0.3510827688802055, 0.08701461644889241], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951768.933724,"{'circle_3d': {'center': [-4.4359265885915375, 8.984809731851659, 56.21588322285109], 'normal': [-0.20893705350147831, 0.6643296189262391, -0.7176429927836251], 'radius': 1.870249509734886}, 'confidence': 0.9992689397521877, 'timestamp': 2798.906251, 'diameter_3d': 3.740499019469772, 'ellipse': {'center': [111.15323292375191, 218.81855357385092], 'axes': [24.55131601804832, 41.2762774086831], 'angle': -71.53725606596488}, 'location': [111.15323292375191, 218.81855357385092], 'diameter': 41.2762774086831, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.882677045165392, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.297392883718602, 'phi': -1.8541081675137365, 'norm_pos': [0.3473538528867247, 0.08825602677562117], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951768.943678,"{'circle_3d': {'center': [-4.626080740714437, 8.930222414956646, 56.222988630680135], 'normal': [-0.22478323284505328, 0.6597806758516547, -0.7170508754645378], 'radius': 1.88857905512477}, 'confidence': 0.9995561426484652, 'timestamp': 2798.917423, 'diameter_3d': 3.77715811024954, 'ellipse': {'center': [109.07065197139661, 218.20105230940834], 'axes': [24.738605026442986, 41.675216033723565], 'angle': -70.20993876453223}, 'location': [109.07065197139661, 218.20105230940834], 'diameter': 41.675216033723565, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8829104127628162, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2913231855287304, 'phi': -1.8745764548945418, 'norm_pos': [0.34084578741061444, 0.09082894871079861], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951768.96684,"{'circle_3d': {'center': [-4.662824262481706, 8.918871701521041, 56.22414897262219], 'normal': [-0.22784519299232572, 0.6588347830653544, -0.7169541803027005], 'radius': 1.9182061996832422}, 'confidence': 0.999516559819674, 'timestamp': 2798.937482, 'diameter_3d': 3.8364123993664845, 'ellipse': {'center': [108.67053644077365, 218.0655755204305], 'axes': [25.11771861786533, 42.32838308342261], 'angle': -69.95196372068104}, 'location': [108.67053644077365, 218.0655755204305], 'diameter': 42.32838308342261, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8833135614024656, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2900651369840546, 'phi': -1.8784987480673732, 'norm_pos': [0.33959542637741763, 0.09139343533153954], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951768.9845572,"{'circle_3d': {'center': [-4.685155576273471, 8.907509002235754, 56.22084130673319], 'normal': [-0.22970613580830604, 0.657887891458247, -0.7172298191267831], 'radius': 1.8893765983093227}, 'confidence': 0.9990934420499007, 'timestamp': 2798.957541, 'diameter_3d': 3.7787531966186454, 'ellipse': {'center': [108.4194661779045, 217.95478059747086], 'axes': [24.754037728743533, 41.694232012652215], 'angle': -69.7842954315785}, 'location': [108.4194661779045, 217.95478059747086], 'diameter': 41.694232012652215, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8835250447293497, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2888071467408113, 'phi': -1.880742833963667, 'norm_pos': [0.33881083180595156, 0.0918550808438714], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951768.9914072,"{'circle_3d': {'center': [-4.71399316856668, 8.906385651668387, 56.229099018696374], 'normal': [-0.23210926849940683, 0.6577942789109664, -0.7165416764631851], 'radius': 1.8769525106195488}, 'confidence': 0.9981547032943157, 'timestamp': 2798.965941, 'diameter_3d': 3.7539050212390976, 'ellipse': {'center': [108.10877007974545, 217.93212961640688], 'axes': [24.54773946956313, 41.41377135893884], 'angle': -69.60125150120976}, 'location': [108.10877007974545, 217.93212961640688], 'diameter': 41.41377135893884, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8836191122901682, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2886828531643264, 'phi': -1.8840600463376278, 'norm_pos': [0.33783990649920453, 0.09194945993163794], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951769.002798,"{'circle_3d': {'center': [-4.692920486254105, 8.902108985307029, 56.21838047943987], 'normal': [-0.23035321164002562, 0.65743789004752, -0.7174348880678934], 'radius': 1.9035009400764125}, 'confidence': 0.9993983056860346, 'timestamp': 2798.974341, 'diameter_3d': 3.807001880152825, 'ellipse': {'center': [108.33321721361324, 217.8954174605114], 'axes': [24.950827160298257, 42.00790335782602], 'angle': -69.72237113767699}, 'location': [108.33321721361324, 217.8954174605114], 'diameter': 42.00790335782602, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8840870895412745, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.288209783080677, 'phi': -1.8814776562839173, 'norm_pos': [0.3385413037925414, 0.09210242724786921], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951769.006761,"{'circle_3d': {'center': [-4.706646042950733, 8.894571959521379, 56.21589533912492], 'normal': [-0.2314970080314112, 0.6568098045653825, -0.7176419830941392], 'radius': 1.8637731802773698}, 'confidence': 0.9985654083414299, 'timestamp': 2798.982741, 'diameter_3d': 3.7275463605547396, 'ellipse': {'center': [108.17641925230521, 217.8283537290942], 'axes': [24.440371125035004, 41.13245663281981], 'angle': -69.61787366013614}, 'location': [108.17641925230521, 217.8283537290942], 'diameter': 41.13245663281981, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8840812267286835, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2873765381650464, 'phi': -1.882837936101366, 'norm_pos': [0.3380513101634538, 0.09238185946210753], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
