eye_packets,612
norm_X,norm_Y,phi,theta,confidence,timestamp
1580956162.295595,"{'circle_3d': {'center': [17.158011312097067, 5.52415386975467, 80.08257772820738], 'normal': [-0.737605535547797, -0.5706155619757065, -0.3610207118163668], 'radius': 0.9545409136784974}, 'confidence': 0.45982874958235304, 'timestamp': 1657.896715, 'diameter_3d': 1.9090818273569947, 'ellipse': {'center': [292.87734416128615, 162.79147952155643], 'axes': [8.22420516525675, 14.835481714318318], 'angle': 41.00598853248938}, 'location': [292.87734416128615, 162.79147952155643], 'diameter': 14.835481714318318, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 0.9635410940396888, 'phi': -2.686420956695444, 'norm_pos': [0.9152417005040192, 0.32170216866018153], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.3040981,"{'circle_3d': {'center': [17.668254369655468, 6.042731471924016, 78.55193415028049], 'normal': [-0.6950852807512639, -0.5274007617949279, -0.48857434331027494], 'radius': 0.9529731965348076}, 'confidence': 0.2734742478685588, 'timestamp': 1657.905115, 'diameter_3d': 1.9059463930696152, 'ellipse': {'center': [299.49980845461334, 167.72333862765578], 'axes': [10.2724280345876, 15.103938418503525], 'angle': 41.93571663249775}, 'location': [299.49980845461334, 167.72333862765578], 'diameter': 15.103938418503525, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.0152579837730433, 'phi': -2.528924090723826, 'norm_pos': [0.9359369014206667, 0.30115275571810096], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.310893,"{'circle_3d': {'center': [18.349030244090706, 5.111262507168253, 78.70439982874417], 'normal': [-0.6383539578816606, -0.6050231755245747, -0.4758688701049678], 'radius': 0.9315663043602049}, 'confidence': 0.23160196230232089, 'timestamp': 1657.913515, 'diameter_3d': 1.8631326087204099, 'ellipse': {'center': [304.58796072268734, 160.29374072725267], 'axes': [9.66213989237492, 14.805694432673963], 'angle': 50.008149960567074}, 'location': [304.58796072268734, 160.29374072725267], 'diameter': 14.805694432673963, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 0.9210013523126379, 'phi': -2.5010019429870476, 'norm_pos': [0.9518373772583979, 0.3321094136364472], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.324966,"{'circle_3d': {'center': [17.40483703029762, 5.960425267925771, 79.04256416523745], 'normal': [-0.7170367256977511, -0.534259612128115, -0.447688508730528], 'radius': 0.9574570916596727}, 'confidence': 0.20341014204329178, 'timestamp': 1657.921915, 'diameter_3d': 1.9149141833193455, 'ellipse': {'center': [296.56659261209404, 166.78007844533124], 'axes': [9.668938242189906, 15.07297185730684], 'angle': 40.67281574817842}, 'location': [296.56659261209404, 166.78007844533124], 'diameter': 15.07297185730684, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.0071646888388652, 'phi': -2.5834542385472945, 'norm_pos': [0.9267706019127939, 0.3050830064777865], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.327044,"{'circle_3d': {'center': [17.58635630052104, 5.790220768834939, 78.96132981823425], 'normal': [-0.7019101198457993, -0.5484433203856841, -0.45445803764746145], 'radius': 0.9328958231514061}, 'confidence': 0.5718173329931981, 'timestamp': 1657.930315, 'diameter_3d': 1.8657916463028121, 'ellipse': {'center': [298.13000298656357, 165.49110226054094], 'axes': [9.497513486251346, 14.713895141408301], 'angle': 42.502168222462004}, 'location': [298.13000298656357, 165.49110226054094], 'diameter': 14.713895141408301, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 0.9902948668491958, 'phi': -2.567005785873898, 'norm_pos': [0.9316562593330111, 0.31045374058107944], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.3357399,"{'circle_3d': {'center': [17.579605232809925, 5.8954187458534895, 78.84701996951128], 'normal': [-0.7024727088217255, -0.5396768223008049, -0.46398385837437545], 'radius': 0.9228996293043512}, 'confidence': 0.4959144217004166, 'timestamp': 1657.938715, 'diameter_3d': 1.8457992586087024, 'ellipse': {'center': [298.27675894921606, 166.38386953660938], 'axes': [9.555567554362614, 14.573674892547478], 'angle': 42.01983355886283}, 'location': [298.27675894921606, 166.38386953660938], 'diameter': 14.573674892547478, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.000743144376397, 'phi': -2.557870811639274, 'norm_pos': [0.9321148717163001, 0.30673387693079424], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.342217,"{'circle_3d': {'center': [17.428932939893812, 6.293450252679871, 78.63256886478072], 'normal': [-0.7150287332314017, -0.5065075300652733, -0.48185478376858865], 'radius': 0.8852709314957679}, 'confidence': 0.5910074061695325, 'timestamp': 1657.947115, 'diameter_3d': 1.7705418629915357, 'ellipse': {'center': [297.4636433229035, 169.64644145334253], 'axes': [9.479622771689765, 14.00018597662469], 'angle': 39.26856850806717}, 'location': [297.4636433229035, 169.64644145334253], 'diameter': 14.00018597662469, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.0396668604821433, 'phi': -2.548602023359896, 'norm_pos': [0.9295738853840735, 0.29313982727773946], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.349252,"{'circle_3d': {'center': [17.485395936318934, 5.853907165697546, 79.04231351896219], 'normal': [-0.7103234835293084, -0.5431361206471338, -0.4477093959201332], 'radius': 0.9554201296277469}, 'confidence': 0.4587747867180371, 'timestamp': 1657.955515, 'diameter_3d': 1.9108402592554938, 'ellipse': {'center': [297.1985321303522, 165.94485703239965], 'axes': [9.632347040292172, 15.047452499434954], 'angle': 41.61522136858385}, 'location': [297.1985321303522, 165.94485703239965], 'diameter': 15.047452499434954, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 0.9966286529968644, 'phi': -2.579198729768522, 'norm_pos': [0.9287454129073506, 0.30856309569833473], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.3571131,"{'circle_3d': {'center': [17.162296289098414, 5.584915635515943, 79.97944120897154], 'normal': [-0.7372484541310184, -0.5655520814956007, -0.3696154217526875], 'radius': 0.9523718247773268}, 'confidence': 0.3773153672875571, 'timestamp': 1657.963915, 'diameter_3d': 1.9047436495546537, 'ellipse': {'center': [293.08223412697237, 163.31790204897382], 'axes': [8.347759742154985, 14.819356639203592], 'angle': 40.80328770945703}, 'location': [293.08223412697237, 163.31790204897382], 'diameter': 14.819356639203592, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 0.969693803838222, 'phi': -2.676870062019605, 'norm_pos': [0.9158819816467887, 0.3195087414626091], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.36882,"{'circle_3d': {'center': [17.629283613922397, 6.106934534850456, 78.53856817926322], 'normal': [-0.6983328437290197, -0.5220505065510578, -0.4896881742283803], 'radius': 0.9725867409901251}, 'confidence': 0.31639036256173647, 'timestamp': 1657.972315, 'diameter_3d': 1.9451734819802502, 'ellipse': {'center': [299.2180216612479, 168.23935731219717], 'axes': [10.512009822605949, 15.413538094970516], 'angle': 41.394660534555}, 'location': [299.2180216612479, 168.23935731219717], 'diameter': 15.413538094970516, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.0215430228826212, 'phi': -2.5300452777499003, 'norm_pos': [0.9350563176913997, 0.2990026778658451], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956162.3786938,"{'circle_3d': {'center': [17.42494502669954, 6.270241891788454, 78.66301040029153], 'normal': [-0.7153610593309243, -0.5084415601395579, -0.47931798914268825], 'radius': 0.9211575103272024}, 'confidence': 0.5430992591833205, 'timestamp': 1657.980715, 'diameter_3d': 1.8423150206544048, 'ellipse': {'center': [297.382239807045, 169.44624745784574], 'axes': [9.822537793938514, 14.56271292536553], 'angle': 39.35860828020284}, 'location': [297.382239807045, 169.44624745784574], 'diameter': 14.56271292536553, 'sphere': {'center': [26.009277738670633, 12.37154061346315, 84.41482627000379], 'radius': 12.0}, 'projected_sphere': {'center': [351.029857082179, 210.86502358973354], 'axes': [176.27235235201215, 176.27235235201215], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.0374223374048757, 'phi': -2.551260745740287, 'norm_pos': [0.9293194993970155, 0.29397396892564276], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
