eye_packets,821
norm_X,norm_Y,phi,theta,confidence,timestamp
1580955653.5613031,"{'circle_3d': {'center': [-8.419180055732248, 7.031963303008056, 66.10273634311045], 'normal': [-0.08810173349771314, 0.5640214039454596, -0.8210468564254361], 'radius': 3.172270126093721}, 'confidence': 0.998742187826982, 'timestamp': 1149.157837, 'diameter_3d': 6.344540252187442, 'ellipse': {'center': [81.07770697525638, 185.3429754296613], 'axes': [44.45800266872737, 59.79215655175617], 'angle': -75.12472008802642}, 'location': [81.07770697525638, 185.3429754296613], 'diameter': 59.79215655175617, 'sphere': {'center': [-7.36195925375969, 0.26370645566254025, 75.95529862021569], 'radius': 12.0}, 'projected_sphere': {'center': [99.90656583218043, 122.15255558836365], 'axes': [195.90470013687303, 195.90470013687303], 'angle': 90.0}, 'model_confidence': 0.864934164321296, 'model_id': 83, 'model_birth_timestamp': 1124.168094, 'theta': 2.1700440149950344, 'phi': -1.67769145715762, 'norm_pos': [0.2533678342976762, 0.22773760237641127], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955653.571933,"{'circle_3d': {'center': [-8.400545835423939, 7.041888266068688, 66.1075786172167], 'normal': [-0.08654888180535411, 0.5648484842005123, -0.8206433335832483], 'radius': 3.1589288290711823}, 'confidence': 0.9987204648715595, 'timestamp': 1149.166237, 'diameter_3d': 6.317857658142365, 'ellipse': {'center': [81.25603802652029, 185.43598400410764], 'axes': [44.246622996198475, 59.53665566947929], 'angle': -75.29245445173426}, 'location': [81.25603802652029, 185.43598400410764], 'diameter': 59.53665566947929, 'sphere': {'center': [-7.36195925375969, 0.26370645566254025, 75.95529862021569], 'radius': 12.0}, 'projected_sphere': {'center': [99.90656583218043, 122.15255558836365], 'axes': [195.90470013687303, 195.90470013687303], 'angle': 90.0}, 'model_confidence': 0.86497280251292, 'model_id': 83, 'model_birth_timestamp': 1124.168094, 'theta': 2.171045956638513, 'phi': -1.6758725692420267, 'norm_pos': [0.2539251188328759, 0.22735006664955149], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955653.5769138,"{'circle_3d': {'center': [-8.391216210268432, 7.031069442062323, 66.09916203797493], 'normal': [-0.0857714130423952, 0.5639469155333152, -0.8213447151867299], 'radius': 3.1335169639958314}, 'confidence': 0.9990963877698256, 'timestamp': 1149.174637, 'diameter_3d': 6.267033927991663, 'ellipse': {'center': [81.33231095734068, 185.35274560013994], 'axes': [43.953631931117805, 59.0649259008088], 'angle': -75.3369162632734}, 'location': [81.33231095734068, 185.35274560013994], 'diameter': 59.0649259008088, 'sphere': {'center': [-7.36195925375969, 0.26370645566254025, 75.95529862021569], 'radius': 12.0}, 'projected_sphere': {'center': [99.90656583218043, 122.15255558836365], 'axes': [195.90470013687303, 195.90470013687303], 'angle': 90.0}, 'model_confidence': 0.8650527126037533, 'model_id': 83, 'model_birth_timestamp': 1124.168094, 'theta': 2.1699538119064394, 'phi': -1.67484722107656, 'norm_pos': [0.25416347174168963, 0.22769689333275023], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955653.5856938,"{'circle_3d': {'center': [-8.42053317594242, 7.027299196924843, 66.0996791834873], 'normal': [-0.08821449351522757, 0.5636327284385252, -0.8213016197273664], 'radius': 3.1222612671312424}, 'confidence': 0.9995543109109281, 'timestamp': 1149.183037, 'diameter_3d': 6.244522534262485, 'ellipse': {'center': [81.06020881505047, 185.32153864458823], 'axes': [43.77662993511735, 58.8514995251482], 'angle': -75.10283995054878}, 'location': [81.06020881505047, 185.32153864458823], 'diameter': 58.8514995251482, 'sphere': {'center': [-7.36195925375969, 0.26370645566254025, 75.95529862021569], 'radius': 12.0}, 'projected_sphere': {'center': [99.90656583218043, 122.15255558836365], 'axes': [195.90470013687303, 195.90470013687303], 'angle': 90.0}, 'model_confidence': 0.8651876167980133, 'model_id': 83, 'model_birth_timestamp': 1124.168094, 'theta': 2.1695734024885676, 'phi': -1.677794281194822, 'norm_pos': [0.25331315254703274, 0.22782692231421575], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955653.5957272,"{'circle_3d': {'center': [-8.401474103501917, 7.020845142460465, 66.09322552960516], 'normal': [-0.08662623747851886, 0.5630948905664938, -0.8218394242175436], 'radius': 3.136529778464814}, 'confidence': 0.9989526491145226, 'timestamp': 1149.191437, 'diameter_3d': 6.273059556929628, 'ellipse': {'center': [81.23021030288615, 185.26190313205717], 'axes': [44.03194905581442, 59.12672696178146], 'angle': -75.23247383133439}, 'location': [81.23021030288615, 185.26190313205717], 'diameter': 59.12672696178146, 'sphere': {'center': [-7.36195925375969, 0.26370645566254025, 75.95529862021569], 'radius': 12.0}, 'projected_sphere': {'center': [99.90656583218043, 122.15255558836365], 'axes': [195.90470013687303, 195.90470013687303], 'angle': 90.0}, 'model_confidence': 0.8652042131126803, 'model_id': 83, 'model_birth_timestamp': 1124.168094, 'theta': 2.168922431691078, 'phi': -1.6758138555497266, 'norm_pos': [0.25384440719651924, 0.22807540361642842], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955653.602491,"{'circle_3d': {'center': [-8.407177052919858, 7.030340293279701, 66.10034117434444], 'normal': [-0.08710148326334734, 0.5638861531347633, -0.8212464538226043], 'radius': 3.1239670246662605}, 'confidence': 0.9992662808349184, 'timestamp': 1149.199837, 'diameter_3d': 6.247934049332521, 'ellipse': {'center': [81.18512430286826, 185.34855457848644], 'axes': [43.80296113016331, 58.8833974372079], 'angle': -75.21280720137611}, 'location': [81.18512430286826, 185.34855457848644], 'diameter': 58.8833974372079, 'sphere': {'center': [-7.36195925375969, 0.26370645566254025, 75.95529862021569], 'radius': 12.0}, 'projected_sphere': {'center': [99.90656583218043, 122.15255558836365], 'axes': [195.90470013687303, 195.90470013687303], 'angle': 90.0}, 'model_confidence': 0.8653739468517552, 'model_id': 83, 'model_birth_timestamp': 1124.168094, 'theta': 2.169880234696822, 'phi': -1.6764614111681764, 'norm_pos': [0.2537035134464633, 0.22771435592297318], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955653.612802,"{'circle_3d': {'center': [-8.414003150199543, 7.032538558107604, 66.10257739159702], 'normal': [-0.08767032470332102, 0.564069341870422, -0.8210601023848884], 'radius': 3.130958893109196}, 'confidence': 0.9992506885686244, 'timestamp': 1149.208236, 'diameter_3d': 6.261917786218392, 'ellipse': {'center': [81.12448041536898, 185.36431489044173], 'axes': [43.88201388622919, 59.01317728058832], 'angle': -75.16605204966162}, 'location': [81.12448041536898, 185.36431489044173], 'diameter': 59.01317728058832, 'sphere': {'center': [-7.36195925375969, 0.26370645566254025, 75.95529862021569], 'radius': 12.0}, 'projected_sphere': {'center': [99.90656583218043, 122.15255558836365], 'axes': [195.90470013687303, 195.90470013687303], 'angle': 90.0}, 'model_confidence': 0.8654880468393578, 'model_id': 83, 'model_birth_timestamp': 1124.168094, 'theta': 2.1701020692307273, 'phi': -1.6771702686634025, 'norm_pos': [0.25351400129802804, 0.22764868795649273], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955653.621506,"{'circle_3d': {'center': [-8.400380516200496, 6.999582482237575, 66.07857571044838], 'normal': [-0.0865351052034004, 0.5613230022145862, -0.8230602424806097], 'radius': 3.1180253384833727}, 'confidence': 0.9988085750825987, 'timestamp': 1149.216636, 'diameter_3d': 6.236050676966745, 'ellipse': {'center': [81.22291407048692, 185.08442527627344], 'axes': [43.87393875146451, 58.790422375201274], 'angle': -75.18719210071309}, 'location': [81.22291407048692, 185.08442527627344], 'diameter': 58.790422375201274, 'sphere': {'center': [-7.36195925375969, 0.26370645566254025, 75.95529862021569], 'radius': 12.0}, 'projected_sphere': {'center': [99.90656583218043, 122.15255558836365], 'axes': [195.90470013687303, 195.90470013687303], 'angle': 90.0}, 'model_confidence': 0.8655046538925126, 'model_id': 83, 'model_birth_timestamp': 1124.168094, 'theta': 2.166779868941987, 'phi': -1.6755497148613, 'norm_pos': [0.25382160647027163, 0.22881489468219407], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955653.6299782,"{'circle_3d': {'center': [-8.398648450584389, 7.040904420100344, 66.10670160033479], 'normal': [-0.08639076640205827, 0.5647664970364836, -0.8207164183234087], 'radius': 3.144234020199475}, 'confidence': 0.9987659351896255, 'timestamp': 1149.225036, 'diameter_3d': 6.28846804039895, 'ellipse': {'center': [81.27226092385764, 185.43327191490232], 'axes': [44.04761409427677, 59.26030395417519], 'angle': -75.30459731316137}, 'location': [81.27226092385764, 185.43327191490232], 'diameter': 59.26030395417519, 'sphere': {'center': [-7.36195925375969, 0.26370645566254025, 75.95529862021569], 'radius': 12.0}, 'projected_sphere': {'center': [99.90656583218043, 122.15255558836365], 'axes': [195.90470013687303, 195.90470013687303], 'angle': 90.0}, 'model_confidence': 0.8656439522528592, 'model_id': 83, 'model_birth_timestamp': 1124.168094, 'theta': 2.170946605076233, 'phi': -1.6756727406741099, 'norm_pos': [0.25397581538705516, 0.22736136702124032], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955653.6381729,"{'circle_3d': {'center': [-8.418432434281002, 7.012119705449582, 66.08905399376647], 'normal': [-0.08803943171010922, 0.5623677708155868, -0.8221870522041008], 'radius': 3.1107048134104005}, 'confidence': 0.9992155959270183, 'timestamp': 1149.233436, 'diameter_3d': 6.221409626820801, 'ellipse': {'center': [81.06708407250865, 185.19436575744982], 'axes': [43.688912145345554, 58.64278567865797], 'angle': -75.08041824406128}, 'location': [81.06708407250865, 185.19436575744982], 'diameter': 58.64278567865797, 'sphere': {'center': [-7.36195925375969, 0.26370645566254025, 75.95529862021569], 'radius': 12.0}, 'projected_sphere': {'center': [99.90656583218043, 122.15255558836365], 'axes': [195.90470013687303, 195.90470013687303], 'angle': 90.0}, 'model_confidence': 0.8658429603038087, 'model_id': 83, 'model_birth_timestamp': 1124.168094, 'theta': 2.1680428227504254, 'phi': -1.6774694249769484, 'norm_pos': [0.25333463772658954, 0.22835680934395908], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955653.644846,"{'circle_3d': {'center': [-8.40539765621924, 7.0270939654925275, 66.09792444185823], 'normal': [-0.0869532002049624, 0.5636156258191656, -0.821447848196455], 'radius': 3.1243536546497537}, 'confidence': 0.998778633455458, 'timestamp': 1149.241836, 'diameter_3d': 6.248707309299507, 'ellipse': {'center': [81.1988690538981, 185.32040634473537], 'axes': [43.826095240715, 58.89283807111071], 'angle': -75.2182412511259}, 'location': [81.1988690538981, 185.32040634473537], 'diameter': 58.89283807111071, 'sphere': {'center': [-7.36195925375969, 0.26370645566254025, 75.95529862021569], 'radius': 12.0}, 'projected_sphere': {'center': [99.90656583218043, 122.15255558836365], 'axes': [195.90470013687303, 195.90470013687303], 'angle': 90.0}, 'model_confidence': 0.8658420050034699, 'model_id': 83, 'model_birth_timestamp': 1124.168094, 'theta': 2.169552697924009, 'phi': -1.6762571869385556, 'norm_pos': [0.2537464657934315, 0.22783164023026925], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
