eye_packets,700
norm_X,norm_Y,phi,theta,confidence,timestamp
1580955275.510815,"{'circle_3d': {'center': [-8.623287148831771, 3.3464962933102678, 67.14726564543722], 'normal': [-0.15455870673773678, -0.03577744594466389, -0.9873355967112878], 'radius': 3.1596993395304254}, 'confidence': 0.10525246115008093, 'timestamp': 771.106913, 'diameter_3d': 6.319398679060851, 'ellipse': {'center': [80.58250184643121, 150.9498806077087], 'axes': [56.491746760792616, 58.421696940234135], 'angle': 2.2981758009646853}, 'location': [80.58250184643121, 150.9498806077087], 'diameter': 58.421696940234135, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5350112437756909, 'phi': -1.7260773236822586, 'norm_pos': [0.25182031827009754, 0.37104216413454705], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.514865,"{'circle_3d': {'center': [-8.625231999584305, 3.347233646995608, 67.14754356153813], 'normal': [-0.15472077763378117, -0.03571599980421887, -0.9873124370362114], 'radius': 3.1617361447114596}, 'confidence': 0.08304298618374617, 'timestamp': 771.115313, 'diameter_3d': 6.323472289422919, 'ellipse': {'center': [80.56534261672768, 150.9565443264057], 'axes': [56.52503341331329, 58.45904496539508], 'angle': 2.277519990635069}, 'location': [80.56534261672768, 150.9565443264057], 'diameter': 58.45904496539508, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5350727292126156, 'phi': -1.7262411308949042, 'norm_pos': [0.251766695677274, 0.3710143986399763], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.522621,"{'circle_3d': {'center': [-8.86482625744963, 3.587919520292557, 67.18129881147473], 'normal': [-0.17468696578922507, -0.015658843696139797, -0.984499499541495], 'radius': 3.1618356028139614}, 'confidence': 0.11116353507912934, 'timestamp': 771.123713, 'diameter_3d': 6.323671205627923, 'ellipse': {'center': [78.4192818559884, 153.13547279102454], 'axes': [56.114219731138874, 58.41177533970159], 'angle': -3.1247188235419223}, 'location': [78.4192818559884, 153.13547279102454], 'diameter': 58.41177533970159, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5551368431049946, 'phi': -1.74640591845941, 'norm_pos': [0.24506025579996377, 0.36193553003739776], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.534936,"{'circle_3d': {'center': [-8.849521817447547, 3.451731277658496, 67.18154424349278], 'normal': [-0.17341159578905144, -0.02700786391564488, -0.9844790468733241], 'radius': 3.1656657755467834}, 'confidence': 0.316314345506468, 'timestamp': 771.132113, 'diameter_3d': 6.331331551093567, 'ellipse': {'center': [78.55964750533506, 151.8938632867789], 'axes': [56.21479979667004, 58.49308215479331], 'angle': -0.2900988678626143}, 'location': [78.55964750533506, 151.8938632867789], 'diameter': 58.49308215479331, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5437851784338152, 'phi': -1.7451532793567663, 'norm_pos': [0.24549889845417208, 0.3671089029717546], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.5395808,"{'circle_3d': {'center': [-8.85437475462063, 3.4639477757505257, 67.18207124848904], 'normal': [-0.1738160072201417, -0.025989822407975722, -0.9844351297903025], 'radius': 3.1607088533907315}, 'confidence': 0.24457682015259083, 'timestamp': 771.140512, 'diameter_3d': 6.321417706781463, 'ellipse': {'center': [78.51529776541615, 152.00486998472073], 'axes': [56.11813187447066, 58.400037493658374], 'angle': -0.5471949642313313}, 'location': [78.51529776541615, 152.00486998472073], 'diameter': 58.400037493658374, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.544803577602549, 'phi': -1.7455593148985062, 'norm_pos': [0.24536030551692548, 0.3666463750636636], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.547885,"{'circle_3d': {'center': [-8.859207575153338, 3.466265970051056, 67.18286459220703], 'normal': [-0.17421874226453393, -0.025796639549598207, -0.9843690178138034], 'radius': 3.163344431711484}, 'confidence': 0.2777195296814474, 'timestamp': 771.148912, 'diameter_3d': 6.326688863422968, 'ellipse': {'center': [78.47254254656737, 152.0256943066886], 'axes': [56.15626251207319, 58.4478746243049], 'angle': -0.5983203889673501}, 'location': [78.47254254656737, 152.0256943066886], 'diameter': 58.4478746243049, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5449968252544433, 'phi': -1.7459675464618265, 'norm_pos': [0.24522669545802303, 0.3665596070554642], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.558364,"{'circle_3d': {'center': [-8.864065558885377, 3.4686227343534353, 67.18366388249959], 'normal': [-0.174623574242204, -0.025600242524399942, -0.9843024102894239], 'radius': 3.154318818176895}, 'confidence': 0.2785374129277951, 'timestamp': 771.157312, 'diameter_3d': 6.30863763635379, 'ellipse': {'center': [78.42786899164841, 152.0465947945991], 'axes': [55.98730701875435, 58.28023174199575], 'angle': -0.6500019569741181}, 'location': [78.42786899164841, 152.0465947945991], 'diameter': 58.28023174199575, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5451932871633642, 'phi': -1.7463779258312484, 'norm_pos': [0.24508709059890127, 0.36647252168917044], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.56221,"{'circle_3d': {'center': [-8.86894869651941, 3.4710180691508397, 67.18446917304708], 'normal': [-0.17503050237837342, -0.0254006312912829, -0.9842353027437994], 'radius': 3.161806356953996}, 'confidence': 0.2556689250789331, 'timestamp': 771.165712, 'diameter_3d': 6.323612713907992, 'ellipse': {'center': [78.38537780655079, 152.0682280437133], 'axes': [56.111429832557214, 58.41770596249381], 'angle': -0.7023754147979063}, 'location': [78.38537780655079, 152.0682280437133], 'diameter': 58.41770596249381, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5453929633293093, 'phi': -1.7467904530067655, 'norm_pos': [0.24495430564547122, 0.36638238315119454], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.574882,"{'circle_3d': {'center': [-8.756055057446211, 3.5934269923255027, 67.16242822326333], 'normal': [-0.16562269912227334, -0.015199887693394303, -0.9860720485591107], 'radius': 3.141050749571901}, 'confidence': 0.217813051418506, 'timestamp': 771.174112, 'diameter_3d': 6.282101499143802, 'ellipse': {'center': [79.38636957167954, 153.1945223116154], 'axes': [55.93578375357038, 58.042922716532836], 'angle': -3.2802580018633276}, 'location': [79.38636957167954, 153.1945223116154], 'diameter': 58.042922716532836, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5555958537522838, 'phi': -1.7372051279883887, 'norm_pos': [0.24808240491149855, 0.36168949036826914], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.5830169,"{'circle_3d': {'center': [-8.76935228568463, 3.5874007678494197, 67.16476378134026], 'normal': [-0.1667308014754749, -0.01570207306640122, -0.9858774187193675], 'radius': 3.155453490225237}, 'confidence': 0.3169549346445567, 'timestamp': 771.182512, 'diameter_3d': 6.310906980450474, 'ellipse': {'center': [79.26978422250525, 153.13864237767348], 'axes': [56.16973743848025, 58.307619941442496], 'angle': -3.1455566383512674}, 'location': [79.26978422250525, 153.13864237767348], 'diameter': 58.307619941442496, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5550936084192004, 'phi': -1.7383303007891893, 'norm_pos': [0.24771807569532892, 0.36192232342636055], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955275.590184,"{'circle_3d': {'center': [-8.772893339247897, 3.591358315124314, 67.16530081369405], 'normal': [-0.16702588927241396, -0.015372277460160053, -0.9858326660232187], 'radius': 3.159343801474274}, 'confidence': 0.344355027841639, 'timestamp': 771.190912, 'diameter_3d': 6.318687602948548, 'ellipse': {'center': [79.23865443844238, 153.17452823316856], 'axes': [56.23250808069561, 58.37875817261835], 'angle': -3.2297569590685864}, 'location': [79.23865443844238, 153.17452823316856], 'diameter': 58.37875817261835, 'sphere': {'center': [-6.76858266797893, 3.7758256446462344, 78.99529280597267], 'radius': 12.0}, 'projected_sphere': {'center': [106.87631243478793, 149.63482780462164], 'axes': [188.3656540972395, 188.3656540972395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 39, 'model_birth_timestamp': 756.482587, 'theta': 1.5554234438411052, 'phi': -1.7386287548981376, 'norm_pos': [0.24762079512013244, 0.3617727990284644], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
