eye_packets,712
norm_X,norm_Y,phi,theta,confidence,timestamp
1580975025.365354,"{'circle_3d': {'center': [-5.107293458329647, 4.83405848945946, 37.259551007056224], 'normal': [-0.12536900043451338, 0.6752280338647028, -0.7268766855617663], 'radius': 1.2604808351346541}, 'confidence': 0.9960711387778324, 'timestamp': 12941.121017, 'diameter_3d': 2.5209616702693083, 'ellipse': {'center': [75.03328724007906, 200.1338697255003], 'axes': [25.98751116438457, 42.15793521934676], 'angle': -75.11779948576483}, 'location': [75.03328724007906, 200.1338697255003], 'diameter': 42.15793521934676, 'sphere': {'center': [-3.602865453115487, -3.2686779169169733, 45.98207123379742], 'radius': 12.0}, 'projected_sphere': {'center': [111.42070548379849, 75.92672852459589], 'axes': [323.6043875523164, 323.6043875523164], 'angle': 90.0}, 'model_confidence': 0.7096939179083717, 'model_id': 86, 'model_birth_timestamp': 12827.561328, 'theta': 2.312070138019302, 'phi': -1.7415922389275569, 'norm_pos': [0.23447902262524706, 0.1661088761437488], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975025.373889,"{'circle_3d': {'center': [-5.112650964938215, 4.826764004666224, 37.253705533245935], 'normal': [-0.12581545931856064, 0.674620160131933, -0.7273638083792902], 'radius': 1.240062588092998}, 'confidence': 0.9965402733929186, 'timestamp': 12941.129417, 'diameter_3d': 2.480125176185996, 'ellipse': {'center': [74.93046886074083, 200.0347637209475], 'axes': [25.594739787990214, 41.481351834019655], 'angle': -75.06305252578129}, 'location': [74.93046886074083, 200.0347637209475], 'diameter': 41.481351834019655, 'sphere': {'center': [-3.602865453115487, -3.2686779169169733, 45.98207123379742], 'radius': 12.0}, 'projected_sphere': {'center': [111.42070548379849, 75.92672852459589], 'axes': [323.6043875523164, 323.6043875523164], 'angle': 90.0}, 'model_confidence': 0.7100485187913286, 'model_id': 86, 'model_birth_timestamp': 12827.561328, 'theta': 2.311246334835409, 'phi': -1.7420760984087735, 'norm_pos': [0.2341577151898151, 0.16652181782938547], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975025.3815758,"{'circle_3d': {'center': [-5.114897553324388, 4.838687162796109, 37.26516866509868], 'normal': [-0.1260026750174084, 0.6756137566427568, -0.726408547391562], 'radius': 1.2547617050934519}, 'confidence': 0.9957614996567862, 'timestamp': 12941.137817, 'diameter_3d': 2.5095234101869037, 'ellipse': {'center': [74.9195654354297, 200.20172933466313], 'axes': [25.836443538971515, 41.96037983215512], 'angle': -75.07812443587721}, 'location': [74.9195654354297, 200.20172933466313], 'diameter': 41.96037983215512, 'sphere': {'center': [-3.602865453115487, -3.2686779169169733, 45.98207123379742], 'radius': 12.0}, 'projected_sphere': {'center': [111.42070548379849, 75.92672852459589], 'axes': [323.6043875523164, 323.6043875523164], 'angle': 90.0}, 'model_confidence': 0.709941450832352, 'model_id': 86, 'model_birth_timestamp': 12827.561328, 'theta': 2.3125931998874862, 'phi': -1.7425471619745092, 'norm_pos': [0.23412364198571783, 0.16582612777223693], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975025.389001,"{'circle_3d': {'center': [-5.114164809181736, 4.848542192632504, 37.274217769855845], 'normal': [-0.1259416130055208, 0.676435009129123, -0.7256544553284647], 'radius': 1.248555654183083}, 'confidence': 0.9960903810619375, 'timestamp': 12941.146217, 'diameter_3d': 2.497111308366166, 'ellipse': {'center': [74.95203463812314, 200.34935103591073], 'axes': [25.66087545024027, 41.74250996689245], 'angle': -75.10817235122573}, 'location': [74.95203463812314, 200.34935103591073], 'diameter': 41.74250996689245, 'sphere': {'center': [-3.602865453115487, -3.2686779169169733, 45.98207123379742], 'radius': 12.0}, 'projected_sphere': {'center': [111.42070548379849, 75.92672852459589], 'axes': [323.6043875523164, 323.6043875523164], 'angle': 90.0}, 'model_confidence': 0.7096460497698409, 'model_id': 86, 'model_birth_timestamp': 12827.561328, 'theta': 2.3137077008490254, 'phi': -1.7426404631322487, 'norm_pos': [0.2342251082441348, 0.16521103735037201], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975025.3973591,"{'circle_3d': {'center': [-5.117726118016161, 4.870774225917225, 37.29561534083115], 'normal': [-0.12623838874172283, 0.6782876785695166, -0.7238713244138559], 'radius': 1.2533600976898027}, 'confidence': 0.9957226519765737, 'timestamp': 12941.154617, 'diameter_3d': 2.5067201953796054, 'ellipse': {'center': [74.9414965411417, 200.67101933398007], 'axes': [25.644618560211594, 41.8791172815116], 'angle': -75.1404784461779}, 'location': [74.9414965411417, 200.67101933398007], 'diameter': 41.8791172815116, 'sphere': {'center': [-3.602865453115487, -3.2686779169169733, 45.98207123379742], 'radius': 12.0}, 'projected_sphere': {'center': [111.42070548379849, 75.92672852459589], 'axes': [323.6043875523164, 323.6043875523164], 'angle': 90.0}, 'model_confidence': 0.7090305953364795, 'model_id': 86, 'model_birth_timestamp': 12827.561328, 'theta': 2.316226113135721, 'phi': -1.74345336759826, 'norm_pos': [0.23419217669106782, 0.163870752775083], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975025.405681,"{'circle_3d': {'center': [-5.129112628465912, 4.896177370057194, 37.321487667864645], 'normal': [-0.12718726461253543, 0.6804046072478472, -0.7217152971610645], 'radius': 1.2368077051822044}, 'confidence': 0.9961390406134899, 'timestamp': 12941.163017, 'diameter_3d': 2.473615410364409, 'ellipse': {'center': [74.81073407298055, 201.04561209874132], 'axes': [25.165693317557167, 41.29720415585599], 'angle': -75.12823273144568}, 'location': [74.81073407298055, 201.04561209874132], 'diameter': 41.29720415585599, 'sphere': {'center': [-3.602865453115487, -3.2686779169169733, 45.98207123379742], 'radius': 12.0}, 'projected_sphere': {'center': [111.42070548379849, 75.92672852459589], 'axes': [323.6043875523164, 323.6043875523164], 'angle': 90.0}, 'model_confidence': 0.7089784773396612, 'model_id': 86, 'model_birth_timestamp': 12827.561328, 'theta': 2.319110931137529, 'phi': -1.7452343578993514, 'norm_pos': [0.23378354397806422, 0.1623099495885778], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975025.4127748,"{'circle_3d': {'center': [-5.122861506982673, 4.921261986038639, 37.34410293203782], 'normal': [-0.12666633782226555, 0.6824949919129677, -0.7198306918133], 'radius': 1.2117976785840772}, 'confidence': 0.9968040280610119, 'timestamp': 12941.171417, 'diameter_3d': 2.4235953571681543, 'ellipse': {'center': [74.96482299858293, 201.42511525599502], 'axes': [24.543075336111897, 40.43686373106373], 'angle': -75.23349639412913}, 'location': [74.96482299858293, 201.42511525599502], 'diameter': 40.43686373106373, 'sphere': {'center': [-3.602865453115487, -3.2686779169169733, 45.98207123379742], 'radius': 12.0}, 'projected_sphere': {'center': [111.42070548379849, 75.92672852459589], 'axes': [323.6043875523164, 323.6043875523164], 'angle': 90.0}, 'model_confidence': 0.7092185863307732, 'model_id': 86, 'model_birth_timestamp': 12827.561328, 'theta': 2.321967178708979, 'phi': -1.7449799569702635, 'norm_pos': [0.23426507187057166, 0.16072868643335403], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975025.421419,"{'circle_3d': {'center': [-5.161151259595213, 4.957952879409037, 37.38589236837912], 'normal': [-0.12985715053997715, 0.6855525663605009, -0.7163482387848586], 'radius': 1.2392489359742045}, 'confidence': 0.9968637121846982, 'timestamp': 12941.179817, 'diameter_3d': 2.478497871948409, 'ellipse': {'center': [74.42611646760567, 201.93095651474272], 'axes': [24.86634687147912, 41.30783217386189], 'angle': -75.07009062547652}, 'location': [74.42611646760567, 201.93095651474272], 'diameter': 41.30783217386189, 'sphere': {'center': [-3.602865453115487, -3.2686779169169733, 45.98207123379742], 'radius': 12.0}, 'projected_sphere': {'center': [111.42070548379849, 75.92672852459589], 'axes': [323.6043875523164, 323.6043875523164], 'angle': 90.0}, 'model_confidence': 0.7096137220781729, 'model_id': 86, 'model_birth_timestamp': 12827.561328, 'theta': 2.326158750286378, 'phi': -1.7501254949107563, 'norm_pos': [0.2325816139612677, 0.15862101452190536], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975025.432966,"{'circle_3d': {'center': [-5.1465555182606995, 4.991349531740672, 37.415335126609676], 'normal': [-0.12864083876210103, 0.6883356207214704, -0.7138946755989789], 'radius': 1.2305816790495936}, 'confidence': 0.9967267216041699, 'timestamp': 12941.188217, 'diameter_3d': 2.461163358099187, 'ellipse': {'center': [74.73410209817197, 202.42453409778517], 'axes': [24.546022699321735, 40.985923151858316], 'angle': -75.25087649893278}, 'location': [74.73410209817197, 202.42453409778517], 'diameter': 40.985923151858316, 'sphere': {'center': [-3.602865453115487, -3.2686779169169733, 45.98207123379742], 'radius': 12.0}, 'projected_sphere': {'center': [111.42070548379849, 75.92672852459589], 'axes': [323.6043875523164, 323.6043875523164], 'angle': 90.0}, 'model_confidence': 0.7095542616998296, 'model_id': 86, 'model_birth_timestamp': 12827.561328, 'theta': 2.3299884204405767, 'phi': -1.7490789362119943, 'norm_pos': [0.23354406905678743, 0.15656444125922842], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975025.441428,"{'circle_3d': {'center': [-5.155852542975276, 5.029590826002114, 37.45406050625838], 'normal': [-0.12941559082164908, 0.6915223952432572, -0.7106675606282532], 'radius': 1.2265153911244102}, 'confidence': 0.9979855352650905, 'timestamp': 12941.196617, 'diameter_3d': 2.4530307822488204, 'ellipse': {'center': [74.6678727694294, 202.97519045127325], 'axes': [24.26244611684552, 40.80814756150735], 'angle': -75.2845988546664}, 'location': [74.6678727694294, 202.97519045127325], 'diameter': 40.80814756150735, 'sphere': {'center': [-3.602865453115487, -3.2686779169169733, 45.98207123379742], 'radius': 12.0}, 'projected_sphere': {'center': [111.42070548379849, 75.92672852459589], 'axes': [323.6043875523164, 323.6043875523164], 'angle': 90.0}, 'model_confidence': 0.7100963957518025, 'model_id': 86, 'model_birth_timestamp': 12827.561328, 'theta': 2.3343908036464076, 'phi': -1.750926737118024, 'norm_pos': [0.23333710240446687, 0.15427003978636145], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975025.449087,"{'circle_3d': {'center': [-5.174841167021933, 5.057456406328489, 37.48475521130172], 'normal': [-0.13099797615887054, 0.6938445269371218, -0.7081096685413084], 'radius': 1.2346545920990861}, 'confidence': 0.9968516939485633, 'timestamp': 12941.205017, 'diameter_3d': 2.4693091841981722, 'ellipse': {'center': [74.42393571276497, 203.3652381494788], 'axes': [24.258023988625094, 41.04572593600196], 'angle': -75.22875360976421}, 'location': [74.42393571276497, 203.3652381494788], 'diameter': 41.04572593600196, 'sphere': {'center': [-3.602865453115487, -3.2686779169169733, 45.98207123379742], 'radius': 12.0}, 'projected_sphere': {'center': [111.42070548379849, 75.92672852459589], 'axes': [323.6043875523164, 323.6043875523164], 'angle': 90.0}, 'model_confidence': 0.7106759779275107, 'model_id': 86, 'model_birth_timestamp': 12827.561328, 'theta': 2.3376104391704473, 'phi': -1.7537249353328996, 'norm_pos': [0.23257479910239054, 0.15264484104383824], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
