eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1580975873.094943,"{'circle_3d': {'center': [-6.483071183641501, 6.457665253327385, 44.81487297147649], 'normal': [-0.15235345801164965, 0.635562633215454, -0.7568675994466474], 'radius': 1.7855792155288486}, 'confidence': 0.995955717355005, 'timestamp': 13788.846992, 'diameter_3d': 3.571158431057697, 'ellipse': {'center': [70.36141291204211, 208.9266557488073], 'axes': [31.670236650424954, 49.62773796894832], 'angle': -72.18454676474572}, 'location': [70.36141291204211, 208.9266557488073], 'diameter': 49.62773796894832, 'sphere': {'center': [-4.654829687501706, -1.169086345258063, 53.89728416483626], 'radius': 12.0}, 'projected_sphere': {'center': [106.45380651417048, 106.55157592276429], 'axes': [276.08070110716324, 276.08070110716324], 'angle': 90.0}, 'model_confidence': 0.7842695121071275, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.259533381381537, 'phi': -1.7694365074481342, 'norm_pos': [0.2198794153501316, 0.129472267713303], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975873.103348,"{'circle_3d': {'center': [-6.508653194568378, 6.459141867495362, 44.82130087161674], 'normal': [-0.15448529225555607, 0.6356856843961187, -0.756331941101626], 'radius': 1.8007472518588952}, 'confidence': 0.9974508222093447, 'timestamp': 13788.855392, 'diameter_3d': 3.6014945037177903, 'ellipse': {'center': [70.02247166192603, 208.92770492165874], 'axes': [31.887750100471212, 50.04237551154784], 'angle': -72.01708864752871}, 'location': [70.02247166192603, 208.92770492165874], 'diameter': 50.04237551154784, 'sphere': {'center': [-4.654829687501706, -1.169086345258063, 53.89728416483626], 'radius': 12.0}, 'projected_sphere': {'center': [106.45380651417048, 106.55157592276429], 'axes': [276.08070110716324, 276.08070110716324], 'angle': 90.0}, 'model_confidence': 0.7839892803871318, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.259692774380091, 'phi': -1.7722807681495734, 'norm_pos': [0.21882022394351885, 0.12946789615975518], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975873.111252,"{'circle_3d': {'center': [-6.491669121313243, 6.45255297079555, 44.81231663432847], 'normal': [-0.1530699528176281, 0.6351366096711344, -0.7570806275423155], 'radius': 1.7926727121639654}, 'confidence': 0.9978898368394605, 'timestamp': 13788.863792, 'diameter_3d': 3.585345424327931, 'ellipse': {'center': [70.23829810775644, 208.8577773031119], 'axes': [31.80829514394234, 49.82782557364386], 'angle': -72.11268418478579}, 'location': [70.23829810775644, 208.8577773031119], 'diameter': 49.82782557364386, 'sphere': {'center': [-4.654829687501706, -1.169086345258063, 53.89728416483626], 'radius': 12.0}, 'projected_sphere': {'center': [106.45380651417048, 106.55157592276429], 'axes': [276.08070110716324, 276.08070110716324], 'angle': 90.0}, 'model_confidence': 0.7837741237968876, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.2589816979056176, 'phi': -1.7702914628523643, 'norm_pos': [0.21949468158673885, 0.12975926123703374], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975873.1207528,"{'circle_3d': {'center': [-6.510736857376893, 6.448888358260171, 44.81311827063539], 'normal': [-0.15465893082293222, 0.6348312252931861, -0.7570138245167386], 'radius': 1.770421210017168}, 'confidence': 0.9979986285692842, 'timestamp': 13788.872192, 'diameter_3d': 3.540842420034336, 'ellipse': {'center': [69.97573720783853, 208.8160180849453], 'axes': [31.39950374576546, 49.20797453477706], 'angle': -71.97478708175447}, 'location': [69.97573720783853, 208.8160180849453], 'diameter': 49.20797453477706, 'sphere': {'center': [-4.654829687501706, -1.169086345258063, 53.89728416483626], 'radius': 12.0}, 'projected_sphere': {'center': [106.45380651417048, 106.55157592276429], 'axes': [276.08070110716324, 276.08070110716324], 'angle': 90.0}, 'model_confidence': 0.7838458543039994, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.258586391289618, 'phi': -1.7723243386060152, 'norm_pos': [0.2186741787744954, 0.12993325797939448], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975873.1270242,"{'circle_3d': {'center': [-6.518939990747478, 6.4446509164011125, 44.81124555124036], 'normal': [-0.155342525270481, 0.6344781051382646, -0.7571698844663245], 'radius': 1.785569682740446}, 'confidence': 0.9978216949988076, 'timestamp': 13788.880592, 'diameter_3d': 3.571139365480892, 'ellipse': {'center': [69.85988499789715, 208.7541990806861], 'axes': [31.67648207767818, 49.631339781868014], 'angle': -71.90793304501815}, 'location': [69.85988499789715, 208.7541990806861], 'diameter': 49.631339781868014, 'sphere': {'center': [-4.654829687501706, -1.169086345258063, 53.89728416483626], 'radius': 12.0}, 'projected_sphere': {'center': [106.45380651417048, 106.55157592276429], 'axes': [276.08070110716324, 276.08070110716324], 'angle': 90.0}, 'model_confidence': 0.7836700047457623, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.25812945281706, 'phi': -1.7731504326833039, 'norm_pos': [0.2183121406184286, 0.13019083716380786], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975873.135807,"{'circle_3d': {'center': [-6.490209385812895, 6.462700626184245, 44.82054416715258], 'normal': [-0.15294830819259908, 0.6359822476201923, -0.7563949998069727], 'radius': 1.7853426515150952}, 'confidence': 0.9984413524287362, 'timestamp': 13788.888992, 'diameter_3d': 3.5706853030301904, 'ellipse': {'center': [70.27420288929838, 208.9853434892363], 'axes': [31.627587355663287, 49.6148877219564], 'angle': -72.15057980363275}, 'location': [70.27420288929838, 208.9853434892363], 'diameter': 49.6148877219564, 'sphere': {'center': [-4.654829687501706, -1.169086345258063, 53.89728416483626], 'radius': 12.0}, 'projected_sphere': {'center': [106.45380651417048, 106.55157592276429], 'axes': [276.08070110716324, 276.08070110716324], 'angle': 90.0}, 'model_confidence': 0.7837312097660698, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.2600770103102605, 'phi': -1.7703130280207704, 'norm_pos': [0.21960688402905743, 0.12922773546151545], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975873.142967,"{'circle_3d': {'center': [-6.509862091713396, 6.453767396415584, 44.81703330858913], 'normal': [-0.1545860336843075, 0.6352378118061373, -0.7566875713539272], 'radius': 1.7723241458734624}, 'confidence': 0.9982887738889548, 'timestamp': 13788.897392, 'diameter_3d': 3.544648291746925, 'ellipse': {'center': [69.99565426146766, 208.87492934524622], 'axes': [31.409536365183595, 49.25662400281744], 'angle': -71.99421304868912}, 'location': [69.99565426146766, 208.87492934524622], 'diameter': 49.25662400281744, 'sphere': {'center': [-4.654829687501706, -1.169086345258063, 53.89728416483626], 'radius': 12.0}, 'projected_sphere': {'center': [106.45380651417048, 106.55157592276429], 'axes': [276.08070110716324, 276.08070110716324], 'angle': 90.0}, 'model_confidence': 0.7838639859846785, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.259112727955765, 'phi': -1.7723164184948275, 'norm_pos': [0.21873641956708645, 0.1296877943948075], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975873.1504672,"{'circle_3d': {'center': [-6.502872102207201, 6.454661657066002, 44.81635879180795], 'normal': [-0.15400353455879132, 0.6353123335270054, -0.7567437810856923], 'radius': 1.7874228122051279}, 'confidence': 0.9979767269818008, 'timestamp': 13788.905792, 'diameter_3d': 3.5748456244102558, 'ellipse': {'center': [70.09156407117183, 208.8815754874997], 'axes': [31.68482202638834, 49.67730506558258], 'angle': -72.04344293154047}, 'location': [70.09156407117183, 208.8815754874997], 'diameter': 49.67730506558258, 'sphere': {'center': [-4.654829687501706, -1.169086345258063, 53.89728416483626], 'radius': 12.0}, 'projected_sphere': {'center': [106.45380651417048, 106.55157592276429], 'axes': [276.08070110716324, 276.08070110716324], 'angle': 90.0}, 'model_confidence': 0.7838707926272837, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.2592092229410268, 'phi': -1.7715628305424964, 'norm_pos': [0.21903613772241198, 0.1296601021354179], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975873.162346,"{'circle_3d': {'center': [-6.5172518504392025, 6.447634376251762, 44.813400131146594], 'normal': [-0.15520184691145805, 0.6347267267924854, -0.7569903361408056], 'radius': 1.7859977901467214}, 'confidence': 0.9980053380319057, 'timestamp': 13788.914192, 'diameter_3d': 3.571995580293443, 'ellipse': {'center': [69.88744554450267, 208.79102052733774], 'axes': [31.67144993990207, 49.64087977465903], 'angle': -71.92756391023761}, 'location': [69.88744554450267, 208.79102052733774], 'diameter': 49.64087977465903, 'sphere': {'center': [-4.654829687501706, -1.169086345258063, 53.89728416483626], 'radius': 12.0}, 'projected_sphere': {'center': [106.45380651417048, 106.55157592276429], 'axes': [276.08070110716324, 276.08070110716324], 'angle': 90.0}, 'model_confidence': 0.7840361115202699, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.25845115207076, 'phi': -1.7730187926462102, 'norm_pos': [0.21839826732657083, 0.13003741446942607], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975873.1710021,"{'circle_3d': {'center': [-6.510193625663732, 6.459125494540941, 44.82160188832844], 'normal': [-0.1546136615135022, 0.6356843199832504, -0.7563068563756518], 'radius': 1.7791419863107174}, 'confidence': 0.9979116179963483, 'timestamp': 13788.922592, 'diameter_3d': 3.558283972621435, 'ellipse': {'center': [70.00053177679689, 208.93692322702296], 'axes': [31.502093276108166, 49.44122075013481], 'angle': -72.00684999413765}, 'location': [70.00053177679689, 208.93692322702296], 'diameter': 49.44122075013481, 'sphere': {'center': [-4.654829687501706, -1.169086345258063, 53.89728416483626], 'radius': 12.0}, 'projected_sphere': {'center': [106.45380651417048, 106.55157592276429], 'axes': [276.08070110716324, 276.08070110716324], 'angle': 90.0}, 'model_confidence': 0.7840998329646243, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.2596910068881355, 'phi': -1.7724501996248057, 'norm_pos': [0.21875166180249028, 0.12942948655407105], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975873.178547,"{'circle_3d': {'center': [-6.4967914044625035, 6.45616815590486, 44.81638823845623], 'normal': [-0.15349680974673313, 0.6354378750969102, -0.7567413271983359], 'radius': 1.7896996636105804}, 'confidence': 0.9975414730953263, 'timestamp': 13788.930992, 'diameter_3d': 3.579399327221161, 'ellipse': {'center': [70.1755592476776, 208.90122544001616], 'axes': [31.727795034719673, 49.740617949252396], 'angle': -72.08836258066388}, 'location': [70.1755592476776, 208.90122544001616], 'diameter': 49.740617949252396, 'sphere': {'center': [-4.654829687501706, -1.169086345258063, 53.89728416483626], 'radius': 12.0}, 'projected_sphere': {'center': [106.45380651417048, 106.55157592276429], 'axes': [276.08070110716324, 276.08070110716324], 'angle': 90.0}, 'model_confidence': 0.7838532744989912, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.2593717986687514, 'phi': -1.770920395604086, 'norm_pos': [0.2192986226489925, 0.12957822733326596], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975873.1869729,"{'circle_3d': {'center': [-6.505689430673129, 6.4603173194810255, 44.821684023161154], 'normal': [-0.15423831193095197, 0.6357836387282574, -0.7563000118062587], 'radius': 1.7849650400777581}, 'confidence': 0.9978602509158966, 'timestamp': 13788.939392, 'diameter_3d': 3.5699300801555163, 'ellipse': {'center': [70.06311315346308, 208.9505020288087], 'axes': [31.606851994528682, 49.60307682458614], 'angle': -72.0402807626798}, 'location': [70.06311315346308, 208.9505020288087], 'diameter': 49.60307682458614, 'sphere': {'center': [-4.654829687501706, -1.169086345258063, 53.89728416483626], 'radius': 12.0}, 'projected_sphere': {'center': [106.45380651417048, 106.55157592276429], 'axes': [276.08070110716324, 276.08070110716324], 'angle': 90.0}, 'model_confidence': 0.7839335296935035, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.2598196734083587, 'phi': -1.7719755418022456, 'norm_pos': [0.2189472286045721, 0.12937290821329706], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975873.194891,"{'circle_3d': {'center': [-6.513903515080582, 6.460483963403607, 44.82350317735373], 'normal': [-0.1549228189649063, 0.6357975257218058, -0.7561484156235444], 'radius': 1.7989461192398386}, 'confidence': 0.9983532318800586, 'timestamp': 13788.947792, 'diameter_3d': 3.597892238479677, 'ellipse': {'center': [69.95437260063835, 208.94284155989314], 'axes': [31.839650418608763, 49.98982501374761], 'angle': -71.985690281488}, 'location': [69.95437260063835, 208.94284155989314], 'diameter': 49.98982501374761, 'sphere': {'center': [-4.654829687501706, -1.169086345258063, 53.89728416483626], 'radius': 12.0}, 'projected_sphere': {'center': [106.45380651417048, 106.55157592276429], 'axes': [276.08070110716324, 276.08070110716324], 'angle': 90.0}, 'model_confidence': 0.7839109408118161, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.2598376649673106, 'phi': -1.7728837352106324, 'norm_pos': [0.21860741437699485, 0.12940482683377863], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975873.2027578,"{'circle_3d': {'center': [-6.502110227072428, 6.4558348136365185, 44.8171887948104], 'normal': [-0.1539400449642268, 0.6354100965745485, -0.7566746141688214], 'radius': 1.7777103638883696}, 'confidence': 0.9985629171725053, 'timestamp': 13788.956192, 'diameter_3d': 3.555420727776739, 'ellipse': {'center': [70.1031203575033, 208.9006484704728], 'axes': [31.507628944766843, 49.406277766973915], 'angle': -72.05185690968145}, 'location': [70.1031203575033, 208.9006484704728], 'diameter': 49.406277766973915, 'sphere': {'center': [-4.654829687501706, -1.169086345258063, 53.89728416483626], 'radius': 12.0}, 'projected_sphere': {'center': [106.45380651417048, 106.55157592276429], 'axes': [276.08070110716324, 276.08070110716324], 'angle': 90.0}, 'model_confidence': 0.7838252909722399, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.2593358237424734, 'phi': -1.7715001231882948, 'norm_pos': [0.2190722511171978, 0.12958063137303], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975873.210519,"{'circle_3d': {'center': [-6.480684196099691, 6.4617409181646845, 44.817816636988795], 'normal': [-0.1521545423831655, 0.6359022719518956, -0.7566222939872885], 'radius': 1.7825803103707678}, 'confidence': 0.9973994159906987, 'timestamp': 13788.964592, 'diameter_3d': 3.5651606207415356, 'ellipse': {'center': [70.39993028889162, 208.97859867910046], 'axes': [31.59978087309081, 49.54110131122565], 'angle': -72.21182152838043}, 'location': [70.39993028889162, 208.97859867910046], 'diameter': 49.54110131122565, 'sphere': {'center': [-4.654829687501706, -1.169086345258063, 53.89728416483626], 'radius': 12.0}, 'projected_sphere': {'center': [106.45380651417048, 106.55157592276429], 'axes': [276.08070110716324, 276.08070110716324], 'angle': 90.0}, 'model_confidence': 0.7834997812607436, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.259973379532333, 'phi': -1.7692465590294808, 'norm_pos': [0.21999978215278632, 0.12925583883708147], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
