eye_packets,779
norm_X,norm_Y,phi,theta,confidence,timestamp
1581479172.1774988,"{'circle_3d': {'center': [1.1065899588695984, 0.16778853474236488, 4.381788522593478], 'normal': [-0.6890209655525809, -0.6355807649933719, -0.34826311920648356], 'radius': 0.5777445139898136}, 'confidence': 0.04853449619466137, 'timestamp': 346856.644355, 'diameter_3d': 1.1554890279796273, 'ellipse': {'center': [321.6322083257455, 146.53233361977271], 'axes': [89.59973169909397, 166.88223732129276], 'angle': 48.57295665680475}, 'location': [321.6322083257455, 146.53233361977271], 'diameter': 166.88223732129276, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.8820357867223823, 'phi': -2.6735974783390826, 'norm_pos': [1.0051006510179548, 0.38944860991761365], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.1858501,"{'circle_3d': {'center': [0.4065822208451415, 0.6740057464596321, 4.9741345427708605], 'normal': [-0.7473549437212856, -0.5933959973502664, -0.2989009508583684], 'radius': 0.5788957430938887}, 'confidence': 0.03510084380108026, 'timestamp': 346856.652755, 'diameter_3d': 1.1577914861877774, 'ellipse': {'center': [213.2105925770748, 206.56855076730864], 'axes': [64.23591610177527, 145.46525243354702], 'angle': 36.77973501321108}, 'location': [213.2105925770748, 206.56855076730864], 'diameter': 145.46525243354702, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.9355249163777959, 'phi': -2.761133601318709, 'norm_pos': [0.6662831018033588, 0.13929770513621398], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.193425,"{'circle_3d': {'center': [0.80086368152954, 0.7309245890344753, 4.023417422978011], 'normal': [-0.714498155330919, -0.5886527604690294, -0.3781273775077724], 'radius': 0.5774658940800069}, 'confidence': 0.03644676661537196, 'timestamp': 346856.661155, 'diameter_3d': 1.1549317881600139, 'ellipse': {'center': [289.14189134137393, 237.55205889044532], 'axes': [113.63096042482884, 179.58893841093627], 'angle': 38.71359754697565}, 'location': [289.14189134137393, 237.55205889044532], 'diameter': 179.58893841093627, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.9414050787695958, 'phi': -2.654842491728055, 'norm_pos': [0.9035684104417936, 0.010199754623144486], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.20556,"{'circle_3d': {'center': [0.3654090275408244, 0.627741711453452, 5.175091952369211], 'normal': [-0.7507860431633121, -0.5972513336007813, -0.2821545000585058], 'radius': 0.5770137181264348}, 'confidence': 0.09009430085121, 'timestamp': 346856.669555, 'diameter_3d': 1.1540274362528695, 'ellipse': {'center': [205.93609499294857, 197.39077149680122], 'axes': [56.925454087030545, 139.25755852303053], 'angle': 37.118768200477035}, 'location': [205.93609499294857, 197.39077149680122], 'diameter': 139.25755852303053, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.9307266422368409, 'phi': -2.782110171442144, 'norm_pos': [0.6435502968529643, 0.17753845209666153], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.213984,"{'circle_3d': {'center': [0.32682826453710234, 1.2262387418603273, 4.203422095254514], 'normal': [-0.7540011067469555, -0.547376581066875, -0.3631269881513972], 'radius': 0.5786173588161283}, 'confidence': 0.03407396598057478, 'timestamp': 346856.677955, 'diameter_3d': 1.1572347176322566, 'ellipse': {'center': [212.28347775314649, 306.2680794590382], 'axes': [98.58551017667233, 176.16277915245658], 'angle': 27.504261110991678}, 'location': [212.28347775314649, 306.2680794590382], 'diameter': 176.16277915245658, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.9915700514225724, 'phi': -2.6927730408639823, 'norm_pos': [0.6633858679785828, -0.2761169977459923], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.221322,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 346856.686355, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.229671,"{'circle_3d': {'center': [0.4693397884777504, 1.092960484737998, 4.113704971897074], 'normal': [-0.7421251464185683, -0.5584831024937359, -0.3706034150978506], 'radius': 0.5784022115117959}, 'confidence': 0.04191275032941841, 'timestamp': 346856.694755, 'diameter_3d': 1.1568044230235919, 'ellipse': {'center': [235.39376080182907, 290.1652547020168], 'axes': [105.58718399876486, 178.328501983524], 'angle': 29.85893704034559}, 'location': [235.39376080182907, 290.1652547020168], 'diameter': 178.328501983524, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.9782403088230892, 'phi': -2.678440132769747, 'norm_pos': [0.7356055025057159, -0.2090218945917366], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.237419,"{'circle_3d': {'center': [0.42114793168133957, 0.6146703359563359, 5.056988775251826], 'normal': [-0.7461411344849358, -0.5983406148922077, -0.2919964314849546], 'radius': 0.5786513418333821}, 'confidence': 0.05695335021137882, 'timestamp': 346856.703155, 'diameter_3d': 1.1573026836667641, 'ellipse': {'center': [214.04982949745997, 197.70920356931157], 'axes': [61.23767311963712, 142.89347733328515], 'angle': 37.48969946457196}, 'location': [214.04982949745997, 197.70920356931157], 'diameter': 142.89347733328515, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.9293678399601754, 'phi': -2.7685722011421143, 'norm_pos': [0.6689057171795624, 0.17621165179453513], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.2455308,"{'circle_3d': {'center': [0.382942564023816, 0.6545814221104935, 5.073305602032925], 'normal': [-0.7493249151230628, -0.5950146910460279, -0.29063669591986296], 'radius': 0.5778010760751423}, 'confidence': 0.09045635150300435, 'timestamp': 346856.711555, 'diameter_3d': 1.1556021521502846, 'ellipse': {'center': [209.1336427244063, 202.36411609991296], 'axes': [60.494081733618835, 142.30538406094308], 'angle': 36.902963291505586}, 'location': [209.1336427244063, 202.36411609991296], 'diameter': 142.30538406094308, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.9335123992894763, 'phi': -2.7715913018935106, 'norm_pos': [0.6535426335137696, 0.15681618291702937], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.2534678,"{'circle_3d': {'center': [0.5217454765554912, 0.5587103616230271, 4.9192006711226774], 'normal': [-0.737758005745423, -0.60300394608665, -0.3034787734957169], 'radius': 0.5773164515365805}, 'confidence': 0.06642669671711283, 'timestamp': 346856.719955, 'diameter_3d': 1.154632903073161, 'ellipse': {'center': [228.52795967895753, 192.89224650116387], 'axes': [66.33114858357824, 146.48137737304404], 'angle': 38.60917406862887}, 'location': [228.52795967895753, 192.89224650116387], 'diameter': 146.48137737304404, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.9235349742508683, 'phi': -2.7513379081944307, 'norm_pos': [0.7141498739967422, 0.19628230624515053], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.2619379,"{'circle_3d': {'center': [0.7284304382218263, 0.8561238577406325, 3.9680236629057033], 'normal': [-0.7205342589398952, -0.5782194880768496, -0.3827435241804648], 'radius': 0.5772653721068844}, 'confidence': 0.04618245777136374, 'timestamp': 346856.728355, 'diameter_3d': 1.154530744213769, 'ellipse': {'center': [279.5956669984066, 259.18678899819076], 'axes': [117.2859602088298, 182.4310417423332], 'angle': 35.61578878457345}, 'location': [279.5956669984066, 259.18678899819076], 'diameter': 182.4310417423332, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.9542516455605602, 'phi': -2.653302324496252, 'norm_pos': [0.8737364593700206, -0.07994495415912817], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
