#NEXT_T2_EW_PW_B2_C3_S1_0204134553
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
1606.032,0.03364857,-0.05353566,-0.06915605,0.1404439,359.8043,359.5836,-0.00341548,-0.002451206,0.9999912,1.5,-6.556709E-08,10,DwellButton,8.492805,
1606.05,0.03390246,-0.05358062,-0.06889058,0.1507455,359.8121,359.5837,-0.003280039,-0.002631002,0.9999912,1.5,-6.556709E-08,10,MixedRealityCamera,8.484408,
1606.064,0.03406891,-0.0536504,-0.06865295,0.1662327,359.8072,359.5694,-0.003365178,-0.002901304,0.9999901,1.5,-6.556709E-08,10,MixedRealityCamera,8.489407,
1606.081,0.03429719,-0.05373235,-0.06838156,0.1889607,359.7896,359.5429,-0.003672765,-0.00329798,0.9999878,1.5,-6.556709E-08,10,MixedRealityCamera,8.507247,
1606.099,0.03444492,-0.05369437,-0.06818715,0.1543171,359.7463,359.5344,-0.004428372,-0.002693337,0.9999866,1.5,-6.556709E-08,10,MixedRealityCamera,8.547873,
1606.117,0.03463932,-0.05361199,-0.06801453,0.1158687,359.7143,359.5385,-0.004986263,-0.00202229,0.9999855,1.5,-6.556709E-08,10,MixedRealityCamera,8.576889,
1606.132,0.034765,-0.05352427,-0.067867,0.07184334,359.6717,359.5267,-0.005730524,-0.001253902,0.9999828,1.5,-6.556709E-08,10,MixedRealityCamera,8.616846,
1606.149,0.03495062,-0.0534237,-0.06774235,0.0306684,359.6468,359.5158,-0.006164139,-0.0005352646,0.9999809,1.5,-6.556709E-08,10,MixedRealityCamera,8.63902,
1606.165,0.0351952,-0.05331162,-0.06760116,359.977,359.6096,359.5178,-0.006813267,0.0004008473,0.9999767,1.5,-6.556709E-08,10,MixedRealityCamera,8.673034,
1606.182,0.03530007,-0.05320968,-0.06751543,359.899,359.5806,359.5094,-0.007319582,0.001763314,0.9999716,1.5,-6.556709E-08,10,MixedRealityCamera,8.699356,
1606.198,0.03546875,-0.05314392,-0.06743581,359.8172,359.5579,359.4983,-0.007715606,0.003190296,0.9999651,1.5,-6.556709E-08,10,MixedRealityCamera,8.719653,
1606.216,0.03558828,-0.0530457,-0.06736872,359.745,359.5535,359.4811,-0.007793528,0.004450098,0.9999597,1.5,-6.556709E-08,10,MixedRealityCamera,8.722829,
1606.232,0.03577764,-0.05294402,-0.06730191,359.6479,359.5447,359.4845,-0.007945778,0.006144494,0.9999496,1.5,-6.556709E-08,10,MixedRealityCamera,8.73055,
1606.249,0.03595207,-0.05284273,-0.06721792,359.5631,359.5495,359.524,-0.007863177,0.007625003,0.99994,1.5,-6.556709E-08,10,MixedRealityCamera,8.725823,
1606.265,0.03622421,-0.05271364,-0.06712285,359.4628,359.531,359.539,-0.008184554,0.009376439,0.9999226,1.5,-6.556709E-08,10,MixedRealityCamera,8.744915,
1606.282,0.03643615,-0.05254448,-0.06698816,359.36,359.5299,359.5601,-0.008204625,0.01117023,0.999904,1.5,-6.556709E-08,10,MixedRealityCamera,8.748418,
1606.299,0.03677485,-0.05241517,-0.06678738,359.253,359.5103,359.5678,-0.008546285,0.01303753,0.9998785,1.5,-6.556709E-08,10,MixedRealityCamera,8.77109,
1606.315,0.03722038,-0.05235225,-0.0665482,359.1838,359.5561,359.5082,-0.007746778,0.01424461,0.9998685,1.5,-6.556709E-08,10,MixedRealityCamera,8.726882,
1606.331,0.03789281,-0.05229618,-0.06631938,359.1514,359.6372,359.4371,-0.006330915,0.01480959,0.9998703,1.5,-6.556709E-08,10,MixedRealityCamera,8.644361,
1606.349,0.03942534,-0.05222148,-0.06590606,359.1508,359.9905,359.1318,-0.0001659574,0.01482111,0.9998901,1.5,-6.556709E-08,10,MixedRealityCamera,8.283752,
1606.365,0.04139411,-0.05204723,-0.06541494,359.135,0.5361853,358.8183,0.009356997,0.01509629,0.9998423,1.5,-6.556709E-08,10,MixedRealityCamera,7.730049,
1606.381,0.04349361,-0.05201142,-0.06484231,359.1326,1.156255,358.541,0.02017677,0.01513876,0.9996818,1.5,-6.556709E-08,10,MixedRealityCamera,7.100836,
1606.399,0.04677149,-0.05243733,-0.06388446,359.3579,2.212752,358.2123,0.03860778,0.01120603,0.9991916,1.5,-6.556709E-08,10,MixedRealityCamera,6.013761,
1606.415,0.04972785,-0.05309612,-0.06296451,359.7112,3.154322,357.94,0.05502479,0.005041604,0.9984723,1.5,-6.556709E-08,10,MixedRealityCamera,5.046594,
1606.431,0.0524847,-0.05385705,-0.06203029,0.04748308,4.037172,357.6913,0.07040364,-0.0008287359,0.9975182,1.5,-6.556709E-08,10,MixedRealityCamera,4.16396,
1606.448,0.05579438,-0.05497142,-0.06060598,0.510848,5.062519,357.4391,0.08823919,-0.008915861,0.9960594,1.5,-6.556709E-08,10,MixedRealityCamera,3.213027,
1606.465,0.05879535,-0.05572132,-0.05913782,0.764991,5.942727,357.2869,0.103525,-0.01335122,0.9945372,1.5,-6.556709E-08,10,MixedRealityCamera,2.45997,
1606.482,0.06178306,-0.0563014,-0.05751972,0.8836333,6.753206,357.2478,0.117579,-0.0154217,0.9929438,1.5,-6.556709E-08,10,MixedRealityCamera,1.83323,
1606.499,0.0645761,-0.05664464,-0.05581304,0.9061726,7.435722,357.2981,0.1293977,-0.01581504,0.9914666,1.5,-6.556709E-08,10,target_2,1.405696,
1606.515,0.06721975,-0.05694161,-0.05402156,0.8652562,7.993411,357.415,0.1390434,-0.015101,0.9901711,1.5,-6.556709E-08,10,target_2,1.19239,
1606.532,0.06980144,-0.05717934,-0.05221062,0.8752838,8.447102,357.5961,0.1468791,-0.01527599,0.9890365,1.5,-6.556709E-08,10,target_2,1.247881,
1606.548,0.07217915,-0.05736495,-0.0503822,0.8942144,8.786178,357.7544,0.1527288,-0.01560635,0.9881449,1.5,-6.556709E-08,10,target_2,1.405138,
1606.565,0.07440858,-0.05736816,-0.04854658,0.8673615,8.959426,357.9018,0.1557172,-0.01513774,0.9876857,1.5,-6.556709E-08,10,MixedRealityCamera,1.483849,
1606.582,0.07650697,-0.0572148,-0.04655004,0.787982,8.981521,358.0261,0.1561012,-0.01375245,0.9876453,1.5,-6.556709E-08,10,MixedRealityCamera,1.440622,
1606.599,0.07857015,-0.05695463,-0.04452684,0.6709664,8.87524,358.0836,0.1542729,-0.01171031,0.9879589,1.5,-6.556709E-08,10,target_2,1.287856,
1606.615,0.08055829,-0.05686645,-0.04236882,0.5300367,8.666059,358.1085,0.1506688,-0.009250753,0.988541,1.5,-6.556709E-08,10,target_2,1.053506,
1606.631,0.08270034,-0.05692635,-0.04022403,0.4196154,8.428809,358.0323,0.1465765,-0.007323605,0.9891722,1.5,-6.556709E-08,10,target_2,0.8395343,
1606.648,0.08476706,-0.0570623,-0.03796032,0.2870525,8.191048,357.9132,0.1424725,-0.005009991,0.9897861,1.5,-6.556709E-08,10,target_2,0.6314908,
1606.664,0.08704833,-0.05718271,-0.03566103,0.1175798,7.97763,357.883,0.1387862,-0.002052153,0.9903203,1.5,-6.556709E-08,10,target_2,0.4423477,
1606.682,0.08925904,-0.05737767,-0.03316926,359.9068,7.793931,357.9559,0.1356104,0.001627397,0.9907609,1.5,-6.556709E-08,10,target_2,0.3121605,
1606.698,0.09159258,-0.05747742,-0.03064714,359.7081,7.632006,358.0504,0.1328083,0.005094584,0.9911286,1.5,-6.556709E-08,10,target_2,0.3620769,
1606.715,0.09383111,-0.05770673,-0.0279656,359.4934,7.510657,358.1581,0.1307055,0.008841196,0.9913818,1.5,-6.556709E-08,10,target_2,0.5047422,
1606.731,0.09626596,-0.0580721,-0.02528242,359.331,7.403426,358.2556,0.1288461,0.01167597,0.9915959,1.5,-6.556709E-08,10,target_2,0.661456,
1606.748,0.09855585,-0.05877184,-0.02229705,359.2866,7.32967,358.3514,0.1275683,0.0124503,0.9917516,1.5,-6.556709E-08,10,target_2,0.7364823,
1606.764,0.1010202,-0.05921794,-0.01932527,359.297,7.29467,358.3913,0.1269628,0.01226926,0.9918316,1.5,-6.556709E-08,10,target_2,0.7501709,
1606.781,0.103306,-0.0595225,-0.01639403,359.3051,7.290058,358.4273,0.1268832,0.01212745,0.9918435,1.5,-6.556709E-08,10,target_2,0.7401926,
1606.798,0.1057871,-0.05996075,-0.01308359,359.4116,7.315911,358.5117,0.1273333,0.01027006,0.9918068,1.5,-6.556709E-08,10,target_2,0.659382,
1606.815,0.1079306,-0.06085258,-0.009829797,359.5132,7.317258,358.6167,0.1273588,0.008496583,0.9918203,1.5,-6.556709E-08,10,target_2,0.6167554,
1606.831,0.1102069,-0.06213083,-0.006305497,359.6216,7.293745,358.6972,0.1269536,0.006605118,0.9918867,1.5,-6.556709E-08,10,target_2,0.614212,
1606.848,0.112177,-0.06338296,-0.002620824,359.6531,7.278588,358.742,0.1266916,0.006054867,0.9919237,1.5,-6.556709E-08,10,target_2,0.6202354,
1606.864,0.1142546,-0.0643039,0.001375236,359.5109,7.268256,358.7616,0.1265104,0.008537038,0.9919285,1.5,-6.556709E-08,10,target_2,0.6345818,
1606.881,0.1162016,-0.06482324,0.005437762,359.3378,7.27362,358.7673,0.1265995,0.01155734,0.9918866,1.5,-6.556709E-08,10,target_2,0.6763749,
1606.898,0.1180409,-0.06465434,0.010292,358.9912,7.261754,358.6861,0.1263829,0.01760551,0.9918253,1.5,-6.556709E-08,10,target_2,0.8884541,
1606.915,0.1196317,-0.06410199,0.01507904,358.7414,7.227565,358.6449,0.1257802,0.02196467,0.991815,1.5,-6.556709E-08,10,target_2,1.101629,
