#NEXT_T5_EU_PS_B3_C2_S1_0204140118
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
2522.015,-0.01287655,-0.1232048,-0.087782,358.4262,359.8456,358.6536,-0.002693585,0.02746413,0.9996192,-0.2121321,-0.212132,1.912218,DwellButton,6.891335,
2522.032,-0.01293099,-0.1234463,-0.08763162,358.5986,359.7647,358.7006,-0.004104737,0.02445608,0.9996925,-0.2121321,-0.212132,1.912368,MixedRealityCamera,6.719044,
2522.048,-0.01297297,-0.1236953,-0.08746493,358.7654,359.68,358.701,-0.005583121,0.02154586,0.9997523,-0.2121321,-0.212132,1.912535,MixedRealityCamera,6.54835,
2522.064,-0.01296767,-0.1239857,-0.08729494,358.9424,359.6289,358.6655,-0.006475545,0.01845665,0.9998087,-0.2121321,-0.212132,1.912705,MixedRealityCamera,6.401502,
2522.081,-0.01287233,-0.1242561,-0.08704768,359.1059,359.5962,358.6265,-0.007047136,0.015604,0.9998534,-0.2121321,-0.212132,1.912952,MixedRealityCamera,6.282443,
2522.098,-0.01273113,-0.1245044,-0.08685012,359.2737,359.5964,358.5847,-0.007043224,0.01267509,0.9998949,-0.2121321,-0.212132,1.91315,MixedRealityCamera,6.193181,
2522.115,-0.01247859,-0.1246793,-0.08661723,359.4125,359.6253,358.5337,-0.006538595,0.01025299,0.999926,-0.2121321,-0.212132,1.913383,MixedRealityCamera,6.150775,
2522.131,-0.01222234,-0.1249163,-0.0864602,359.5578,359.6909,358.4885,-0.005394703,0.007717567,0.9999557,-0.2121321,-0.212132,1.91354,MixedRealityCamera,6.139961,
2522.148,-0.01193002,-0.1251631,-0.08630981,359.7422,359.7559,358.4556,-0.004261098,0.004498809,0.9999808,-0.2121321,-0.212132,1.91369,MixedRealityCamera,6.116351,
2522.164,-0.01169267,-0.1254245,-0.08625643,359.8837,359.801,358.4412,-0.00347348,0.002030147,0.9999919,-0.2121321,-0.212132,1.913744,MixedRealityCamera,6.098086,
2522.181,-0.01146978,-0.1255766,-0.08624601,359.9814,359.8398,358.4002,-0.002795368,0.0003249783,0.9999961,-0.2121321,-0.212132,1.913754,MixedRealityCamera,6.096607,
2522.198,-0.01126825,-0.1256631,-0.08626825,-0.004907078,359.8499,358.3513,-0.002619342,8.564466E-05,0.9999965,-0.2121321,-0.212132,1.913732,MixedRealityCamera,6.104513,
2522.215,-0.01109495,-0.1255817,-0.0862378,359.9562,359.8629,358.2915,-0.002393319,0.0007651024,0.9999968,-0.2121321,-0.212132,1.913762,MixedRealityCamera,6.137565,
2522.231,-0.01089644,-0.125469,-0.08631398,359.8553,359.8608,358.2398,-0.002429543,0.002525234,0.9999939,-0.2121321,-0.212132,1.913686,MixedRealityCamera,6.18412,
2522.248,-0.01066516,-0.1253039,-0.0863783,359.7483,359.8773,358.1831,-0.002141341,0.004393753,0.9999881,-0.2121321,-0.212132,1.913622,MixedRealityCamera,6.252976,
2522.264,-0.01050094,-0.1251322,-0.08654317,359.6413,359.8875,358.1281,-0.0019629,0.006259745,0.9999785,-0.2121321,-0.212132,1.913457,MixedRealityCamera,6.31581,
2522.281,-0.01032661,-0.1249851,-0.08669327,359.5417,359.8791,358.0753,-0.002109802,0.007999599,0.9999658,-0.2121321,-0.212132,1.913307,MixedRealityCamera,6.36011,
