#NEXT_T2_EW_PS_B0_C4_S2_0205092141
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
414.9016,0.01938139,0.0992648,0.06782589,0.9366405,359.7878,359.2735,-0.003703713,-0.01634673,0.9998595,1.5,-6.556709E-08,10,DwellButton,8.698159,
414.9185,0.01939164,0.09928632,0.06768011,0.9235115,359.7843,359.2716,-0.003763839,-0.01611762,0.999863,1.5,-6.556709E-08,10,MixedRealityCamera,8.700913,
414.9343,0.01943666,0.09926865,0.06754227,0.9129582,359.774,359.2751,-0.003944489,-0.01593345,0.9998653,1.5,-6.556709E-08,10,MixedRealityCamera,8.710458,
414.9512,0.01946825,0.09928742,0.06738593,0.9079652,359.7691,359.2766,-0.004029356,-0.01584632,0.9998663,1.5,-6.556709E-08,10,MixedRealityCamera,8.714808,
414.9673,0.0195317,0.09932092,0.06724445,0.8955399,359.7639,359.2774,-0.00411928,-0.01562948,0.9998693,1.5,-6.556709E-08,10,MixedRealityCamera,8.719001,
414.9841,0.01955207,0.09933802,0.06708925,0.888468,359.7584,359.2766,-0.004215564,-0.01550607,0.9998709,1.5,-6.556709E-08,10,MixedRealityCamera,8.724,
415.0002,0.0195839,0.09938182,0.06692554,0.87147,359.7412,359.2758,-0.004516015,-0.01520943,0.9998741,1.5,-6.556709E-08,10,MixedRealityCamera,8.740309,
415.0177,0.01961906,0.09939234,0.06675242,0.8621784,359.7309,359.276,-0.004695773,-0.01504728,0.9998758,1.5,-6.556709E-08,10,MixedRealityCamera,8.749946,
415.0338,0.01960932,0.09942863,0.06657785,0.8535482,359.7279,359.2576,-0.004748445,-0.01489668,0.9998778,1.5,-6.556709E-08,10,MixedRealityCamera,8.752548,
415.0511,0.01965469,0.09943923,0.06639464,0.8285896,359.7202,359.2527,-0.004882399,-0.01446111,0.9998835,1.5,-6.556709E-08,10,MixedRealityCamera,8.759077,
415.0681,0.01968574,0.09947427,0.06620989,0.8129858,359.7204,359.2539,-0.004879903,-0.0141888,0.9998874,1.5,-6.556709E-08,10,MixedRealityCamera,8.758158,
415.0841,0.01973896,0.09951794,0.06600572,0.8053639,359.7308,359.235,-0.004698248,-0.01405579,0.9998901,1.5,-6.556709E-08,10,MixedRealityCamera,8.747094,
415.1005,0.01980918,0.09954689,0.06582406,0.7919971,359.7488,359.2217,-0.004384193,-0.01382252,0.9998949,1.5,-6.556709E-08,10,MixedRealityCamera,8.728187,
415.1176,0.01988862,0.09954382,0.06562566,0.7869176,359.7753,359.2254,-0.003920899,-0.01373387,0.999898,1.5,-6.556709E-08,10,MixedRealityCamera,8.700913,
415.1343,0.01997876,0.09949642,0.06545201,0.7910162,359.7961,359.2519,-0.003558252,-0.0138054,0.9998984,1.5,-6.556709E-08,10,MixedRealityCamera,8.679577,
415.1513,0.01995995,0.09962235,0.06526521,0.7712374,359.8289,359.2488,-0.002986327,-0.01346023,0.9999049,1.5,-6.556709E-08,10,MixedRealityCamera,8.646292,
415.1675,0.02005706,0.09967375,0.06511077,0.7100752,359.8758,359.1974,-0.002167133,-0.01239283,0.9999208,1.5,-6.556709E-08,10,MixedRealityCamera,8.597519,
415.1842,0.02019428,0.09966705,0.06487062,0.7286925,359.9593,359.1287,-0.0007111513,-0.01271774,0.9999189,1.5,-6.556709E-08,10,MixedRealityCamera,8.513454,
415.2007,0.02043183,0.0996656,0.06469022,0.7400959,0.07252605,359.12,0.001265712,-0.01291675,0.9999158,1.5,-6.556709E-08,10,MixedRealityCamera,8.398915,
