#NEXT_T2_EU_PW_B1_C4_S4_0205164500
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
1408.021,0.03353564,0.07066035,-0.05183052,0.205203,359.5802,358.4245,-0.00732711,-0.00358146,0.9999667,0.195,-8.52372E-09,1.948169,DwellButton,5.350351,
1408.038,0.03350517,0.07066085,-0.05181298,0.2122146,359.5951,358.4261,-0.007066193,-0.003703835,0.9999682,0.195,-8.52372E-09,1.948187,MixedRealityCamera,5.334726,
1408.056,0.03344102,0.07069573,-0.05176908,0.2041308,359.6082,358.4355,-0.006837464,-0.003562747,0.9999703,0.195,-8.52372E-09,1.948231,MixedRealityCamera,5.327155,
1408.072,0.03337278,0.07076299,-0.05174896,0.1766688,359.6143,358.4478,-0.006730715,-0.003083448,0.9999726,0.195,-8.52372E-09,1.948251,MixedRealityCamera,5.333367,
1408.088,0.03328355,0.07081228,-0.05170164,0.1447507,359.6036,358.4661,-0.006918313,-0.002526373,0.9999729,0.195,-8.52372E-09,1.948298,MixedRealityCamera,5.357415,
1408.105,0.03318307,0.07084118,-0.05166826,0.1394107,359.5836,358.4588,-0.007268043,-0.002433174,0.9999706,0.195,-8.52372E-09,1.948332,MixedRealityCamera,5.380992,
1408.121,0.03308498,0.07084677,-0.05162216,0.1349789,359.5622,358.4603,-0.007640684,-0.002355824,0.9999681,0.195,-8.52372E-09,1.948378,MixedRealityCamera,5.405191,
1408.137,0.03300109,0.07081465,-0.05159345,0.1705332,359.5349,358.4626,-0.008116947,-0.002976361,0.9999626,0.195,-8.52372E-09,1.948407,MixedRealityCamera,5.420469,
1408.155,0.03292737,0.07083337,-0.05153893,0.1850749,359.5275,358.4636,-0.008246644,-0.00323016,0.9999608,0.195,-8.52372E-09,1.948461,MixedRealityCamera,5.424661,
1408.171,0.03289364,0.07084897,-0.05152692,0.1844635,359.5419,358.4649,-0.007994847,-0.00321949,0.9999629,0.195,-8.52372E-09,1.948473,MixedRealityCamera,5.412365,
1408.188,0.0328803,0.07084069,-0.05150433,0.1742619,359.5671,358.4676,-0.007554633,-0.00304144,0.9999669,0.195,-8.52372E-09,1.948496,MixedRealityCamera,5.392415,
1408.204,0.03286748,0.07081714,-0.05152785,0.1734866,359.5961,358.4836,-0.007048838,-0.003027907,0.9999706,0.195,-8.52372E-09,1.948472,MixedRealityCamera,5.365602,
1408.221,0.03282122,0.07075329,-0.05153396,0.1562333,359.6079,358.4879,-0.006842841,-0.002726781,0.9999729,0.195,-8.52372E-09,1.948466,MixedRealityCamera,5.361072,
1408.238,0.03275902,0.07072119,-0.05152373,0.1459192,359.6161,358.4791,-0.006700059,-0.002546767,0.9999743,0.195,-8.52372E-09,1.948476,MixedRealityCamera,5.35833,
1408.255,0.03266301,0.07072768,-0.05149978,0.1301813,359.6123,358.4853,-0.006765888,-0.00227209,0.9999745,0.195,-8.52372E-09,1.9485,MixedRealityCamera,5.370056,
1408.271,0.03261121,0.07062832,-0.05150686,0.1476148,359.5932,358.5042,-0.007100456,-0.002576361,0.9999714,0.195,-8.52372E-09,1.948493,MixedRealityCamera,5.382267,
1408.288,0.03248357,0.07057692,-0.05149124,0.1724104,359.5698,358.495,-0.007508418,-0.003009125,0.9999673,0.195,-8.52372E-09,1.948509,MixedRealityCamera,5.398552,
1408.305,0.03241467,0.0705741,-0.0514191,0.1551267,359.5571,358.5034,-0.007729522,-0.002707469,0.9999664,0.195,-8.52372E-09,1.948581,MixedRealityCamera,5.418191,
1408.321,0.03233061,0.07057747,-0.05134247,0.1684745,359.5232,358.5106,-0.008321027,-0.00294043,0.9999611,0.195,-8.52372E-09,1.948658,MixedRealityCamera,5.447732,
1408.337,0.03222496,0.07056132,-0.05125165,0.1633315,359.5092,358.4435,-0.008564993,-0.002850669,0.9999592,0.195,-8.52372E-09,1.948748,MixedRealityCamera,5.465365,
1408.354,0.03211777,0.07054731,-0.05109521,0.1496721,359.5361,358.4091,-0.008097139,-0.002612267,0.9999638,0.195,-8.52372E-09,1.948905,MixedRealityCamera,5.447516,
1408.371,0.03208324,0.07049097,-0.05098141,0.1540904,359.5735,358.4318,-0.007443216,-0.002689382,0.9999687,0.195,-8.52372E-09,1.949019,MixedRealityCamera,5.411206,
1408.388,0.03203348,0.07039788,-0.05083583,0.174079,359.6145,358.4578,-0.00672778,-0.003038248,0.9999728,0.195,-8.52372E-09,1.949164,MixedRealityCamera,5.36626,
1408.404,0.03202865,0.07033693,-0.05069236,0.1690439,359.67,358.4948,-0.005758948,-0.002950369,0.9999791,0.195,-8.52372E-09,1.949308,MixedRealityCamera,5.315444,
1408.422,0.03206387,0.07037783,-0.05052565,0.1193537,359.7715,358.5498,-0.003988969,-0.002083114,0.9999899,0.195,-8.52372E-09,1.949474,MixedRealityCamera,5.237645,
1408.437,0.03213039,0.07039535,-0.05032226,0.0143773,359.9006,358.5527,-0.001735395,-0.0002509312,0.9999985,0.195,-8.52372E-09,1.949678,MixedRealityCamera,5.155637,
