quatI,quatJ,quatK,quatReal,quatRadianAccuracy,IMUtimestamp
0.01855,0.01404,0.85828,0.51263,0.34644,1580879356.945177
0.01849,0.01404,0.85828,0.51263,0.34644,1580879356.952472
0.01843,0.01410,0.85828,0.51270,0.34644,1580879356.956985
0.01837,0.01416,0.85828,0.51270,0.34644,1580879356.980684
0.01837,0.01428,0.85828,0.51270,0.34644,1580879357.03858
0.01837,0.01440,0.85828,0.51270,0.34644,1580879357.0600698
0.01843,0.01459,0.85822,0.51270,0.34644,1580879357.0832481
0.01855,0.01483,0.85822,0.51276,0.34644,1580879357.123321
0.01874,0.01514,0.85822,0.51276,0.34644,1580879357.166317
0.01904,0.01544,0.85822,0.51276,0.34644,1580879357.2244842
0.01935,0.01575,0.85815,0.51276,0.34644,1580879357.249392
0.01971,0.01611,0.85815,0.51282,0.34650,1580879357.2738738
0.02008,0.01642,0.85809,0.51282,0.34650,1580879357.311287
0.02057,0.01678,0.85809,0.51288,0.34650,1580879357.353368
0.02112,0.01709,0.85803,0.51288,0.34650,1580879357.385013
0.02161,0.01733,0.85797,0.51294,0.34650,1580879357.417042
0.02216,0.01752,0.85797,0.51294,0.34650,1580879357.444396
0.02271,0.01764,0.85791,0.51294,0.34650,1580879357.445181
0.02338,0.01770,0.85791,0.51300,0.34650,1580879357.451263
0.02399,0.01776,0.85785,0.51300,0.34650,1580879357.477221
0.02454,0.01770,0.85785,0.51300,0.34650,1580879357.479572
0.02509,0.01764,0.85785,0.51300,0.34650,1580879357.5381398
0.02570,0.01746,0.85785,0.51294,0.34650,1580879357.571131
0.02625,0.01727,0.85785,0.51294,0.34650,1580879357.615956
0.02686,0.01709,0.85785,0.51288,0.34650,1580879357.633538
0.02759,0.01685,0.85791,0.51282,0.34650,1580879357.66237
0.02838,0.01666,0.85791,0.51276,0.34650,1580879357.6865
0.02924,0.01660,0.85797,0.51263,0.34650,1580879357.731627
0.03003,0.01654,0.85803,0.51251,0.34650,1580879357.751563
0.03101,0.01642,0.85809,0.51233,0.34650,1580879357.8018298
0.03180,0.01630,0.85815,0.51221,0.34650,1580879357.8218749
0.03259,0.01611,0.85815,0.51208,0.34650,1580879357.8778691
0.03326,0.01593,0.85822,0.51196,0.34650,1580879357.8991601
0.03400,0.01575,0.85828,0.51178,0.34650,1580879357.9405959
0.03473,0.01563,0.85834,0.51166,0.34650,1580879357.959782
0.03534,0.01556,0.85840,0.51154,0.34650,1580879357.979897
0.03613,0.01556,0.85846,0.51135,0.34650,1580879358.014077
0.03680,0.01556,0.85852,0.51123,0.34650,1580879358.0698419
0.03735,0.01556,0.85858,0.51105,0.34650,1580879358.099786
0.03778,0.01544,0.85864,0.51093,0.34650,1580879358.122709
0.03796,0.01538,0.85870,0.51080,0.34650,1580879358.1482089
0.03796,0.01520,0.85876,0.51068,0.34650,1580879358.1942568
0.03784,0.01495,0.85883,0.51062,0.34650,1580879358.1963992
0.03748,0.01465,0.85889,0.51056,0.34650,1580879358.239149
0.03699,0.01434,0.85895,0.51050,0.34650,1580879358.308917
0.03625,0.01398,0.85901,0.51050,0.34650,1580879358.352788
0.03558,0.01361,0.85901,0.51050,0.34650,1580879358.393288
0.03473,0.01324,0.85907,0.51056,0.34650,1580879358.395576
0.03412,0.01294,0.85907,0.51056,0.34650,1580879358.439138
0.03345,0.01270,0.85907,0.51056,0.34650,1580879358.488578
0.03296,0.01257,0.85913,0.51056,0.34650,1580879358.491643
0.03259,0.01251,0.85913,0.51056,0.34650,1580879358.5665212
0.03235,0.01251,0.85919,0.51050,0.34650,1580879358.608819
0.03217,0.01263,0.85919,0.51050,0.34650,1580879358.653017
0.03217,0.01270,0.85925,0.51038,0.34650,1580879358.708925
0.03217,0.01288,0.85925,0.51031,0.34650,1580879358.7547
0.03229,0.01306,0.85931,0.51025,0.34650,1580879358.781945
0.03241,0.01324,0.85937,0.51013,0.34650,1580879358.840727
0.03259,0.01349,0.85944,0.51007,0.34650,1580879358.875587
0.03278,0.01373,0.85944,0.50995,0.34656,1580879358.910229
0.03296,0.01392,0.85950,0.50989,0.34656,1580879358.937391
0.03308,0.01416,0.85956,0.50977,0.34656,1580879358.9432871
0.03320,0.01428,0.85962,0.50970,0.34656,1580879358.947958
0.03326,0.01440,0.85962,0.50964,0.34656,1580879358.9647858
