quatI,quatJ,quatK,quatReal,quatRadianAccuracy,IMUtimestamp
0.02979,-0.02795,-0.91522,0.40088,0.38318,1580877202.667228
0.02960,-0.02820,-0.91522,0.40094,0.38318,1580877202.669107
0.02942,-0.02844,-0.91516,0.40094,0.38318,1580877202.728385
0.02924,-0.02875,-0.91516,0.40106,0.38318,1580877202.775672
0.02905,-0.02905,-0.91510,0.40112,0.38318,1580877202.8115351
0.02893,-0.02942,-0.91504,0.40125,0.38318,1580877202.868854
0.02881,-0.02979,-0.91498,0.40131,0.38318,1580877202.9166248
0.02875,-0.03015,-0.91498,0.40137,0.38318,1580877202.938883
0.02869,-0.03052,-0.91492,0.40143,0.38318,1580877202.942361
0.02869,-0.03076,-0.91492,0.40149,0.38318,1580877202.944234
0.02875,-0.03101,-0.91486,0.40155,0.38318,1580877202.9463859
0.02881,-0.03119,-0.91486,0.40155,0.38318,1580877202.9480598
0.02887,-0.03137,-0.91486,0.40155,0.38318,1580877202.9498172
0.02899,-0.03143,-0.91486,0.40155,0.38318,1580877202.959583
0.02911,-0.03143,-0.91486,0.40155,0.38318,1580877203.0493
0.02930,-0.03131,-0.91486,0.40149,0.38318,1580877203.1079848
0.02942,-0.03125,-0.91486,0.40149,0.38318,1580877203.228778
0.02960,-0.03107,-0.91486,0.40143,0.38318,1580877203.3214579
0.02972,-0.03088,-0.91486,0.40143,0.38318,1580877203.367313
0.02991,-0.03070,-0.91492,0.40143,0.38318,1580877203.406305
0.03003,-0.03052,-0.91492,0.40137,0.38318,1580877203.410143
0.03015,-0.03021,-0.91492,0.40137,0.38318,1580877203.411399
0.03021,-0.02997,-0.91492,0.40137,0.38318,1580877203.4137611
0.03033,-0.02966,-0.91498,0.40131,0.38318,1580877203.416987
0.03040,-0.02936,-0.91498,0.40131,0.38318,1580877203.418964
0.03046,-0.02905,-0.91498,0.40131,0.38318,1580877203.527443
0.03052,-0.02875,-0.91498,0.40125,0.38318,1580877203.636286
0.03052,-0.02844,-0.91504,0.40125,0.38318,1580877203.6965601
0.03052,-0.02802,-0.91504,0.40118,0.38318,1580877203.714168
0.03046,-0.02771,-0.91510,0.40118,0.38318,1580877203.720875
0.03046,-0.02734,-0.91510,0.40112,0.38318,1580877203.831081
0.03040,-0.02704,-0.91510,0.40112,0.38318,1580877203.862261
0.03033,-0.02667,-0.91516,0.40106,0.38318,1580877203.865827
0.03027,-0.02643,-0.91516,0.40100,0.38318,1580877203.86874
0.03027,-0.02618,-0.91522,0.40100,0.38318,1580877203.9242082
0.03015,-0.02594,-0.91522,0.40094,0.38318,1580877204.0199318
0.03009,-0.02576,-0.91528,0.40094,0.38318,1580877204.101891
0.03003,-0.02557,-0.91528,0.40088,0.38324,1580877204.125907
0.02997,-0.02545,-0.91528,0.40088,0.38324,1580877204.1837661
0.02985,-0.02533,-0.91534,0.40082,0.38324,1580877204.23646
0.02972,-0.02521,-0.91534,0.40082,0.38324,1580877204.2817569
0.02960,-0.02515,-0.91534,0.40082,0.38324,1580877204.285281
0.02954,-0.02509,-0.91534,0.40082,0.38324,1580877204.335082
0.02942,-0.02496,-0.91534,0.40088,0.38324,1580877204.371024
0.02930,-0.02490,-0.91534,0.40088,0.38324,1580877204.411704
0.02917,-0.02484,-0.91528,0.40094,0.38324,1580877204.458173
0.02905,-0.02478,-0.91528,0.40100,0.38324,1580877204.498944
0.02887,-0.02472,-0.91522,0.40112,0.38324,1580877204.527936
0.02875,-0.02466,-0.91516,0.40125,0.38324,1580877204.562282
0.02856,-0.02454,-0.91510,0.40143,0.38324,1580877204.619236
0.02844,-0.02448,-0.91504,0.40161,0.38324,1580877204.651225
0.02826,-0.02435,-0.91498,0.40179,0.38324,1580877204.674567
0.02808,-0.02423,-0.91486,0.40204,0.38324,1580877204.69134
0.02795,-0.02405,-0.91479,0.40222,0.38324,1580877204.7407548
0.02783,-0.02393,-0.91467,0.40247,0.38324,1580877204.8206751
0.02771,-0.02380,-0.91455,0.40277,0.38324,1580877204.859645
0.02765,-0.02368,-0.91449,0.40302,0.38324,1580877204.8744771
0.02753,-0.02356,-0.91431,0.40332,0.38324,1580877204.9297862
0.02753,-0.02350,-0.91418,0.40363,0.38324,1580877204.9621341
0.02747,-0.02344,-0.91406,0.40399,0.38324,1580877204.963917
0.02747,-0.02338,-0.91394,0.40430,0.38324,1580877204.9652889
0.02740,-0.02332,-0.91376,0.40466,0.38324,1580877204.966534
0.02734,-0.02332,-0.91364,0.40497,0.38324,1580877204.9681752
0.02728,-0.02332,-0.91345,0.40533,0.38324,1580877204.9699972
0.02722,-0.02332,-0.91327,0.40570,0.38324,1580877205.0712142
0.02716,-0.02332,-0.91315,0.40613,0.38324,1580877205.164691
0.02704,-0.02338,-0.91296,0.40649,0.38324,1580877205.196555
0.02692,-0.02350,-0.91278,0.40686,0.38324,1580877205.2224052
0.02686,-0.02362,-0.91260,0.40729,0.38324,1580877205.224771
0.02679,-0.02380,-0.91241,0.40771,0.38324,1580877205.227324
0.02673,-0.02393,-0.91223,0.40808,0.38324,1580877205.2294269
0.02667,-0.02417,-0.91205,0.40857,0.38324,1580877205.2312598
0.02661,-0.02435,-0.91187,0.40894,0.38324,1580877205.233461
0.02661,-0.02454,-0.91168,0.40930,0.38324,1580877205.235542
0.02661,-0.02472,-0.91156,0.40961,0.38324,1580877205.243218
0.02667,-0.02496,-0.91138,0.40997,0.38324,1580877205.374034
0.02679,-0.02515,-0.91125,0.41022,0.38324,1580877205.513145
0.02692,-0.02539,-0.91113,0.41046,0.38324,1580877205.5844119
0.02704,-0.02563,-0.91101,0.41071,0.38324,1580877205.6130922
0.02722,-0.02588,-0.91089,0.41089,0.38324,1580877205.636837
0.02747,-0.02618,-0.91083,0.41107,0.38324,1580877205.668413
0.02765,-0.02643,-0.91077,0.41119,0.38324,1580877205.692866
0.02789,-0.02673,-0.91064,0.41132,0.38324,1580877205.694645
0.02808,-0.02698,-0.91058,0.41144,0.38324,1580877205.696036
0.02832,-0.02722,-0.91052,0.41156,0.38324,1580877205.698785
0.02850,-0.02747,-0.91046,0.41168,0.38324,1580877205.705276
0.02869,-0.02765,-0.91040,0.41180,0.38324,1580877205.8241851
0.02881,-0.02771,-0.91034,0.41193,0.38324,1580877205.974707
0.02887,-0.02777,-0.91028,0.41199,0.38324,1580877206.011116
0.02893,-0.02783,-0.91022,0.41211,0.38324,1580877206.07164
0.02887,-0.02777,-0.91022,0.41223,0.38324,1580877206.110461
0.02881,-0.02765,-0.91016,0.41241,0.38324,1580877206.121662
0.02863,-0.02740,-0.91010,0.41254,0.38330,1580877206.12531
0.02838,-0.02704,-0.91003,0.41272,0.38330,1580877206.127329
0.02814,-0.02679,-0.90997,0.41290,0.38330,1580877206.129432
0.02777,-0.02661,-0.90985,0.41309,0.38330,1580877206.131707
0.02747,-0.02655,-0.90979,0.41333,0.38330,1580877206.133675
0.02716,-0.02655,-0.90967,0.41364,0.38330,1580877206.134945
0.02686,-0.02661,-0.90955,0.41388,0.38330,1580877206.135942
0.02649,-0.02661,-0.90942,0.41418,0.38330,1580877206.257855
0.02600,-0.02649,-0.90930,0.41455,0.38330,1580877206.3381271
0.02557,-0.02631,-0.90912,0.41486,0.38330,1580877206.3998249
0.02515,-0.02606,-0.90906,0.41516,0.38330,1580877206.4577029
0.02472,-0.02594,-0.90887,0.41547,0.38330,1580877206.494282
0.02429,-0.02582,-0.90875,0.41583,0.38330,1580877206.547203
0.02399,-0.02576,-0.90863,0.41614,0.38330,1580877206.5497038
0.02374,-0.02576,-0.90851,0.41644,0.38330,1580877206.554036
0.02350,-0.02576,-0.90833,0.41675,0.38330,1580877206.5871801
0.02332,-0.02576,-0.90820,0.41705,0.38330,1580877206.649108
0.02313,-0.02582,-0.90808,0.41730,0.38330,1580877206.689903
0.02301,-0.02588,-0.90796,0.41754,0.38330,1580877206.692791
0.02289,-0.02588,-0.90784,0.41785,0.38330,1580877206.694837
0.02283,-0.02588,-0.90778,0.41809,0.38330,1580877206.6977122
0.02271,-0.02588,-0.90765,0.41827,0.38330,1580877206.699483
0.02271,-0.02588,-0.90753,0.41852,0.38330,1580877206.701782
0.02264,-0.02594,-0.90747,0.41876,0.38330,1580877206.731439
0.02271,-0.02612,-0.90735,0.41895,0.38330,1580877206.804805
0.02277,-0.02637,-0.90723,0.41919,0.38330,1580877206.8885481
0.02283,-0.02673,-0.90710,0.41943,0.38330,1580877206.974334
0.02295,-0.02716,-0.90698,0.41962,0.38330,1580877207.035348
0.02307,-0.02765,-0.90686,0.41986,0.38330,1580877207.100266
0.02319,-0.02814,-0.90680,0.42004,0.38330,1580877207.1097689
0.02332,-0.02863,-0.90668,0.42023,0.38330,1580877207.142704
0.02338,-0.02924,-0.90656,0.42041,0.38330,1580877207.147163
0.02350,-0.02979,-0.90643,0.42059,0.38330,1580877207.149776
0.02362,-0.03046,-0.90631,0.42078,0.38330,1580877207.152373
0.02374,-0.03094,-0.90625,0.42096,0.38330,1580877207.1960928
0.02386,-0.03156,-0.90613,0.42114,0.38330,1580877207.297377
0.02393,-0.03204,-0.90607,0.42126,0.38330,1580877207.3454661
0.02405,-0.03259,-0.90594,0.42139,0.38330,1580877207.377986
0.02411,-0.03302,-0.90588,0.42151,0.38330,1580877207.380687
0.02423,-0.03339,-0.90588,0.42157,0.38330,1580877207.383412
0.02429,-0.03369,-0.90582,0.42163,0.38330,1580877207.3943439
0.02435,-0.03400,-0.90576,0.42175,0.38330,1580877207.5083761
0.02441,-0.03418,-0.90570,0.42181,0.38330,1580877207.631347
0.02441,-0.03424,-0.90570,0.42181,0.38330,1580877207.664212
0.02441,-0.03430,-0.90564,0.42187,0.38330,1580877207.673137
0.02441,-0.03430,-0.90564,0.42194,0.38330,1580877207.7872598
0.02435,-0.03418,-0.90564,0.42200,0.38330,1580877207.8191712
0.02435,-0.03406,-0.90558,0.42206,0.38330,1580877207.823421
0.02429,-0.03387,-0.90558,0.42212,0.38330,1580877207.825135
0.02423,-0.03363,-0.90558,0.42218,0.38330,1580877207.826994
0.02417,-0.03339,-0.90552,0.42224,0.38330,1580877207.828338
0.02411,-0.03302,-0.90552,0.42236,0.38330,1580877207.830903
0.02405,-0.03265,-0.90552,0.42242,0.38330,1580877207.833384
0.02393,-0.03223,-0.90546,0.42255,0.38330,1580877207.836274
0.02386,-0.03186,-0.90540,0.42267,0.38336,1580877207.912212
0.02380,-0.03143,-0.90540,0.42279,0.38336,1580877208.027679
0.02374,-0.03101,-0.90533,0.42291,0.38336,1580877208.1461399
0.02368,-0.03058,-0.90527,0.42310,0.38336,1580877208.2089531
0.02368,-0.03021,-0.90521,0.42322,0.38336,1580877208.254536
0.02368,-0.02985,-0.90515,0.42340,0.38336,1580877208.308106
0.02368,-0.02954,-0.90509,0.42352,0.38336,1580877208.347873
0.02380,-0.02905,-0.90497,0.42383,0.38336,1580877208.369196
0.02386,-0.02887,-0.90491,0.42401,0.38336,1580877208.3728
0.02399,-0.02869,-0.90485,0.42413,0.38336,1580877208.411191
0.02411,-0.02850,-0.90479,0.42426,0.38336,1580877208.414646
0.02417,-0.02832,-0.90472,0.42438,0.38336,1580877208.41711
0.02423,-0.02808,-0.90466,0.42450,0.38336,1580877208.432202
0.02429,-0.02789,-0.90466,0.42456,0.38336,1580877208.498313
0.02441,-0.02765,-0.90460,0.42468,0.38336,1580877208.593817
0.02441,-0.02734,-0.90460,0.42474,0.38336,1580877208.631259
