quatI,quatJ,quatK,quatReal,quatRadianAccuracy,IMUtimestamp
-0.01013,0.03601,0.99286,0.11328,0.78540,1580879907.935016
-0.01019,0.03601,0.99286,0.11334,0.78540,1580879907.990283
-0.01019,0.03607,0.99286,0.11340,0.78540,1580879908.018775
-0.01025,0.03607,0.99286,0.11340,0.78540,1580879908.0473018
-0.01025,0.03613,0.99286,0.11346,0.78540,1580879908.051467
-0.01031,0.03613,0.99280,0.11353,0.78540,1580879908.054713
-0.01031,0.03619,0.99280,0.11359,0.78540,1580879908.158257
-0.01031,0.03625,0.99280,0.11359,0.78540,1580879908.311178
-0.01038,0.03632,0.99280,0.11365,0.78540,1580879908.3585222
-0.01038,0.03638,0.99280,0.11365,0.78540,1580879908.413294
-0.01038,0.03644,0.99280,0.11371,0.78540,1580879908.4782422
-0.01038,0.03650,0.99280,0.11371,0.78540,1580879908.4872372
-0.01038,0.03656,0.99280,0.11377,0.78540,1580879908.547981
-0.01038,0.03662,0.99280,0.11377,0.78540,1580879908.649497
-0.01038,0.03668,0.99280,0.11377,0.78540,1580879908.7161841
-0.01038,0.03674,0.99280,0.11377,0.78540,1580879908.857528
-0.01038,0.03680,0.99280,0.11371,0.78540,1580879908.944643
-0.01038,0.03687,0.99280,0.11371,0.78540,1580879908.962222
-0.01038,0.03693,0.99280,0.11365,0.78540,1580879908.98523
-0.01038,0.03699,0.99280,0.11365,0.78540,1580879909.037527
-0.01038,0.03705,0.99280,0.11359,0.78540,1580879909.152693
-0.01038,0.03711,0.99280,0.11353,0.78540,1580879909.206073
-0.01038,0.03717,0.99280,0.11346,0.78540,1580879909.3150132
-0.01038,0.03723,0.99280,0.11340,0.78540,1580879909.379301
-0.01044,0.03723,0.99280,0.11334,0.78540,1580879909.4123561
-0.01044,0.03729,0.99280,0.11328,0.78540,1580879909.432954
-0.01044,0.03735,0.99280,0.11316,0.78540,1580879909.452499
-0.01044,0.03741,0.99280,0.11310,0.78540,1580879909.5787709
-0.01044,0.03741,0.99286,0.11304,0.78540,1580879909.6690729
-0.01044,0.03748,0.99286,0.11292,0.78540,1580879909.711703
-0.01044,0.03754,0.99286,0.11285,0.78540,1580879909.725502
-0.01044,0.03760,0.99286,0.11273,0.78540,1580879909.789691
-0.01044,0.03766,0.99286,0.11261,0.78540,1580879909.793557
-0.01044,0.03772,0.99286,0.11255,0.78540,1580879909.861818
-0.01044,0.03778,0.99286,0.11243,0.78540,1580879909.868065
-0.01044,0.03784,0.99292,0.11230,0.78540,1580879909.873237
-0.01050,0.03790,0.99292,0.11224,0.78540,1580879909.9711459
-0.01050,0.03796,0.99292,0.11212,0.78540,1580879910.009046
-0.01050,0.03809,0.99292,0.11206,0.78540,1580879910.017196
-0.01044,0.03815,0.99292,0.11194,0.78540,1580879910.02098
-0.01044,0.03821,0.99292,0.11182,0.78540,1580879910.023532
-0.01044,0.03827,0.99292,0.11169,0.78540,1580879910.055134
-0.01044,0.03833,0.99298,0.11163,0.78540,1580879910.198512
-0.01044,0.03839,0.99298,0.11151,0.78540,1580879910.290627
-0.01044,0.03845,0.99298,0.11145,0.78540,1580879910.367885
-0.01044,0.03851,0.99298,0.11133,0.78540,1580879910.402208
-0.01044,0.03857,0.99298,0.11127,0.78540,1580879910.4613838
-0.01038,0.03864,0.99298,0.11121,0.78540,1580879910.487753
-0.01038,0.03864,0.99298,0.11108,0.78540,1580879910.544322
-0.01038,0.03870,0.99298,0.11102,0.78540,1580879910.56582
-0.01038,0.03876,0.99304,0.11096,0.78540,1580879910.569819
-0.01038,0.03882,0.99304,0.11084,0.78540,1580879910.578309
-0.01038,0.03888,0.99304,0.11078,0.78540,1580879910.6464598
-0.01031,0.03888,0.99304,0.11072,0.78540,1580879910.758723
-0.01031,0.03894,0.99304,0.11066,0.78540,1580879910.818292
-0.01025,0.03894,0.99304,0.11060,0.78540,1580879910.879523
-0.01025,0.03900,0.99304,0.11053,0.78540,1580879910.91579
-0.01025,0.03900,0.99304,0.11047,0.78540,1580879910.9573078
-0.01025,0.03900,0.99304,0.11047,0.78540,1580879910.961084
-0.01019,0.03900,0.99304,0.11041,0.78540,1580879910.965167
-0.01019,0.03906,0.99310,0.11035,0.78540,1580879910.9674292
-0.01019,0.03900,0.99310,0.11029,0.78540,1580879910.969792
-0.01013,0.03900,0.99310,0.11029,0.78540,1580879910.975872
-0.01013,0.03900,0.99310,0.11023,0.78540,1580879911.0705159
-0.01007,0.03894,0.99310,0.11017,0.78540,1580879911.203976
-0.01007,0.03894,0.99310,0.11017,0.78540,1580879911.31007
-0.01001,0.03894,0.99310,0.11017,0.78540,1580879911.4224782
