quatI,quatJ,quatK,quatReal,quatRadianAccuracy,IMUtimestamp
0.04846,0.01007,-0.94659,0.31854,0.02075,1580887579.4823198
0.04846,0.01007,-0.94666,0.31836,0.02075,1580887579.485416
0.04852,0.01001,-0.94672,0.31818,0.02075,1580887579.487377
0.04858,0.01001,-0.94678,0.31799,0.02075,1580887579.491997
0.04858,0.01001,-0.94684,0.31787,0.02075,1580887579.501191
0.04865,0.01001,-0.94690,0.31769,0.02075,1580887579.619902
0.04865,0.01001,-0.94696,0.31750,0.02075,1580887579.741992
0.04865,0.01001,-0.94702,0.31738,0.02075,1580887579.8454468
0.04865,0.01001,-0.94708,0.31720,0.02075,1580887579.897871
0.04865,0.01001,-0.94708,0.31708,0.02075,1580887579.928606
0.04865,0.01001,-0.94714,0.31689,0.02075,1580887579.9338722
0.04865,0.01001,-0.94720,0.31677,0.02075,1580887579.9375181
0.04865,0.01001,-0.94720,0.31665,0.02075,1580887580.0640278
0.04865,0.01001,-0.94727,0.31659,0.02075,1580887580.1319628
0.04865,0.01001,-0.94733,0.31647,0.02075,1580887580.177022
0.04865,0.01007,-0.94733,0.31641,0.02075,1580887580.1855218
0.04858,0.01007,-0.94733,0.31635,0.02075,1580887580.1881359
0.04858,0.01007,-0.94739,0.31628,0.02075,1580887580.315489
0.04858,0.01007,-0.94739,0.31622,0.02075,1580887580.3773599
0.04858,0.01007,-0.94739,0.31616,0.02075,1580887580.419053
0.04858,0.01013,-0.94739,0.31616,0.02075,1580887580.450506
0.04858,0.01013,-0.94745,0.31610,0.02075,1580887580.452548
0.04858,0.01019,-0.94745,0.31610,0.02075,1580887580.4809222
0.04858,0.01025,-0.94745,0.31610,0.02075,1580887580.6375198
0.04858,0.01025,-0.94745,0.31604,0.02075,1580887580.642272
0.04858,0.01025,-0.94745,0.31604,0.02075,1580887580.7081542
0.04858,0.01025,-0.94745,0.31604,0.02075,1580887580.771543
0.04858,0.01025,-0.94745,0.31604,0.02075,1580887580.81569
0.04865,0.01019,-0.94745,0.31604,0.02075,1580887580.820918
0.04865,0.01019,-0.94745,0.31604,0.02075,1580887580.824474
0.04865,0.01019,-0.94745,0.31604,0.02075,1580887580.907166
0.04858,0.01013,-0.94745,0.31604,0.02075,1580887580.937422
0.04858,0.01013,-0.94745,0.31610,0.02075,1580887581.004087
0.04858,0.01013,-0.94745,0.31610,0.02075,1580887581.065056
0.04858,0.01013,-0.94745,0.31610,0.02075,1580887581.109483
0.04852,0.01019,-0.94739,0.31616,0.02075,1580887581.1328309
0.04852,0.01025,-0.94739,0.31616,0.02075,1580887581.152261
0.04846,0.01031,-0.94739,0.31622,0.02075,1580887581.1945229
0.04846,0.01038,-0.94739,0.31622,0.02075,1580887581.2622652
0.04840,0.01044,-0.94739,0.31628,0.02075,1580887581.303927
0.04840,0.01056,-0.94739,0.31628,0.02075,1580887581.340827
0.04834,0.01062,-0.94739,0.31635,0.02075,1580887581.37479
0.04828,0.01068,-0.94733,0.31635,0.02075,1580887581.4190269
0.04828,0.01074,-0.94733,0.31641,0.02075,1580887581.4561439
0.04822,0.01074,-0.94733,0.31641,0.02075,1580887581.480003
0.04822,0.01074,-0.94733,0.31647,0.02075,1580887581.5244532
0.04822,0.01068,-0.94733,0.31647,0.02075,1580887581.532968
0.04822,0.01068,-0.94727,0.31653,0.02075,1580887581.535098
0.04822,0.01056,-0.94727,0.31659,0.02075,1580887581.537736
0.04822,0.01050,-0.94727,0.31665,0.02075,1580887581.5761669
0.04822,0.01031,-0.94727,0.31671,0.02075,1580887581.6144252
0.04822,0.01019,-0.94720,0.31677,0.02075,1580887581.680911
0.04822,0.01007,-0.94720,0.31683,0.02075,1580887581.7071428
0.04822,0.00995,-0.94714,0.31689,0.02075,1580887581.7350159
0.04822,0.00983,-0.94714,0.31702,0.02069,1580887581.7656388
0.04822,0.00970,-0.94714,0.31708,0.02069,1580887581.812824
0.04822,0.00958,-0.94708,0.31714,0.02069,1580887581.841527
0.04822,0.00946,-0.94708,0.31726,0.02069,1580887581.85977
0.04822,0.00940,-0.94702,0.31732,0.02069,1580887581.933624
0.04822,0.00928,-0.94702,0.31744,0.02069,1580887581.966221
0.04822,0.00916,-0.94696,0.31757,0.02069,1580887581.980878
0.04822,0.00909,-0.94696,0.31763,0.02069,1580887581.9841979
0.04822,0.00897,-0.94690,0.31769,0.02069,1580887581.9863648
0.04822,0.00885,-0.94690,0.31781,0.02069,1580887582.0472739
0.04822,0.00873,-0.94690,0.31787,0.02069,1580887582.155186
0.04822,0.00861,-0.94684,0.31793,0.02069,1580887582.1989892
0.04822,0.00848,-0.94684,0.31799,0.02069,1580887582.2766562
0.04816,0.00836,-0.94684,0.31805,0.02069,1580887582.3275461
0.04816,0.00824,-0.94678,0.31805,0.02069,1580887582.332015
0.04816,0.00812,-0.94678,0.31812,0.02069,1580887582.333811
0.04816,0.00800,-0.94678,0.31818,0.02069,1580887582.336951
0.04810,0.00781,-0.94678,0.31818,0.02069,1580887582.338609
0.04810,0.00775,-0.94678,0.31824,0.02069,1580887582.448273
0.04810,0.00763,-0.94678,0.31830,0.02069,1580887582.4941719
0.04810,0.00751,-0.94672,0.31830,0.02069,1580887582.5646331
0.04803,0.00739,-0.94672,0.31830,0.02069,1580887582.5712168
0.04803,0.00726,-0.94672,0.31836,0.02069,1580887582.600615
