eye_packets,832
norm_X,norm_Y,phi,theta,confidence,timestamp
1580951258.503913,"{'circle_3d': {'center': [-5.940432356127689, 9.259337232810775, 60.92152148926697], 'normal': [-0.2871747512662934, 0.6674144063920977, -0.6870870922782835], 'radius': 2.0722683830447717}, 'confidence': 0.999807625786496, 'timestamp': 2288.477587, 'diameter_3d': 4.144536766089543, 'ellipse': {'center': [99.64873976058578, 213.9609578109743], 'axes': [23.52751076551854, 42.206021860166665], 'angle': -65.7251374333441}, 'location': [99.64873976058578, 213.9609578109743], 'diameter': 42.206021860166665, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9732936988717356, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.3015276317867515, 'phi': -1.9666887416964824, 'norm_pos': [0.3114023117518306, 0.10849600912094048], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.509829,"{'circle_3d': {'center': [-5.978286960260935, 9.282058316764656, 60.9596199514472], 'normal': [-0.2903293016107306, 0.6693078300549211, -0.6839122204299307], 'radius': 2.083254515565872}, 'confidence': 0.9991447434466054, 'timestamp': 2288.485987, 'diameter_3d': 4.166509031131744, 'ellipse': {'center': [99.30287775910023, 214.13178942295784], 'axes': [23.463180719579498, 42.403394839591655], 'angle': -65.57019191934673}, 'location': [99.30287775910023, 214.13178942295784], 'diameter': 42.403394839591655, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9732326441274863, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.304073116249941, 'phi': -1.9722540036477174, 'norm_pos': [0.3103214929971882, 0.10778421073767563], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.517483,"{'circle_3d': {'center': [-5.933003314565571, 9.258149785381992, 60.917267530274934], 'normal': [-0.28655566446945024, 0.667315452439699, -0.6874415888609531], 'radius': 2.113388625874908}, 'confidence': 0.9999217381471117, 'timestamp': 2288.494387, 'diameter_3d': 4.226777251749816, 'ellipse': {'center': [99.72418143381867, 213.94433721390737], 'axes': [24.016781598963277, 43.04706779658521], 'angle': -65.76482209399975}, 'location': [99.72418143381867, 213.94433721390737], 'diameter': 43.04706779658521, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9734639773093745, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.301394759687291, 'phi': -1.965738243607608, 'norm_pos': [0.31163806698068336, 0.10856526160871927], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.536246,"{'circle_3d': {'center': [-5.93117203410241, 9.23759106384719, 60.896599059571045], 'normal': [-0.28640305776418684, 0.6656022256451323, -0.6891639614196103], 'radius': 2.0786002116632782}, 'confidence': 0.9996766007087146, 'timestamp': 2288.502787, 'diameter_3d': 4.1572004233265565, 'ellipse': {'center': [99.71929652365621, 213.77571014009425], 'axes': [23.721526723885074, 42.35232341466528], 'angle': -65.71782038848309}, 'location': [99.71929652365621, 213.77571014009425], 'diameter': 42.35232341466528, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9735595888861304, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.2990967959606814, 'phi': -1.9646615418087834, 'norm_pos': [0.31162280163642564, 0.10926787441627395], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.54059,"{'circle_3d': {'center': [-5.949860377809545, 9.241896498284264, 60.90855468452736], 'normal': [-0.28796041973978137, 0.6659610118482218, -0.6881676593399181], 'radius': 2.0860275409667284}, 'confidence': 0.9993902906897326, 'timestamp': 2288.511187, 'diameter_3d': 4.172055081933457, 'ellipse': {'center': [99.54199770961615, 213.79969041298685], 'axes': [23.746030505474764, 42.495379012478715], 'angle': -65.62151309795074}, 'location': [99.54199770961615, 213.79969041298685], 'diameter': 42.495379012478715, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9738550307824334, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.2995776480970105, 'phi': -1.9671018835557683, 'norm_pos': [0.3110687428425505, 0.10916795661255485], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.548287,"{'circle_3d': {'center': [-5.9236742983706625, 9.223863504116085, 60.88025585830608], 'normal': [-0.2857782464532079, 0.6644582623342069, -0.6905258948583578], 'radius': 2.112974968153135}, 'confidence': 0.999848371890928, 'timestamp': 2288.519587, 'diameter_3d': 4.22594993630627, 'ellipse': {'center': [99.78317167698687, 213.651490649452], 'axes': [24.195937088857793, 43.06468199193697], 'angle': -65.72277828066683}, 'location': [99.78317167698687, 213.651490649452], 'diameter': 43.06468199193697, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9739057587149214, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.2975650089665165, 'phi': -1.9631901239988656, 'norm_pos': [0.311822411490584, 0.10978545562728337], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.558593,"{'circle_3d': {'center': [-5.911065960496053, 9.233317878555498, 60.884151192164296], 'normal': [-0.2847275516303237, 0.6652461268708246, -0.6902012837035063], 'radius': 2.1266189938721514}, 'confidence': 0.9997551967093292, 'timestamp': 2288.527987, 'diameter_3d': 4.253237987744303, 'ellipse': {'center': [99.91626247412131, 213.7379772419428], 'axes': [24.33442278949969, 43.340238123894984], 'angle': -65.82267382235646}, 'location': [99.91626247412131, 213.7379772419428], 'diameter': 43.340238123894984, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9739454099583433, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.2986197493853866, 'phi': -1.9620560773686302, 'norm_pos': [0.3122383202316291, 0.10942509482523843], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.5618072,"{'circle_3d': {'center': [-5.917795130239543, 9.191607487818976, 60.846916327874474], 'normal': [-0.28528831577561453, 0.6617702609761144, -0.6933041890609913], 'radius': 2.124990930269044}, 'confidence': 0.9997535499729436, 'timestamp': 2288.536387, 'diameter_3d': 4.249981860538088, 'ellipse': {'center': [99.81203690136695, 213.37013334650726], 'axes': [24.50037355070231, 43.33334464201043], 'angle': -65.6660594997119}, 'location': [99.81203690136695, 213.37013334650726], 'diameter': 43.33334464201043, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9739710761106357, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.293973905569815, 'phi': -1.9611691754102212, 'norm_pos': [0.3119126153167717, 0.1109577777228864], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.573909,"{'circle_3d': {'center': [-5.920006914126246, 9.16811796687682, 60.825466427460256], 'normal': [-0.28547263109950644, 0.6598128008976014, -0.6950916807621763], 'radius': 2.084525497764668}, 'confidence': 0.9992612148885947, 'timestamp': 2288.544787, 'diameter_3d': 4.169050995529336, 'ellipse': {'center': [99.76471059411674, 213.1741301147343], 'axes': [24.137958589774694, 42.52254366095404], 'angle': -65.58661430176562}, 'location': [99.76471059411674, 213.1741301147343], 'diameter': 42.52254366095404, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9737795688355533, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.2913659366064767, 'phi': -1.9604908004944424, 'norm_pos': [0.3117647206066148, 0.11177445785527373], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.579,"{'circle_3d': {'center': [-5.937280361858625, 9.150690396554847, 60.8160589451233], 'normal': [-0.2869120850772047, 0.6583605033707703, -0.6958756376235891], 'radius': 2.099472880865384}, 'confidence': 0.9996250512300172, 'timestamp': 2288.553187, 'diameter_3d': 4.198945761730768, 'ellipse': {'center': [99.58173759079745, 213.00697852079114], 'axes': [24.355731035582952, 42.83415372918169], 'angle': -65.43599566210808}, 'location': [99.58173759079745, 213.00697852079114], 'diameter': 42.83415372918169, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9736926477554309, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.289434860975754, 'phi': -1.9618641204487324, 'norm_pos': [0.31119292997124204, 0.1124709228300369], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.589243,"{'circle_3d': {'center': [-5.896807797197497, 9.163886380695617, 60.81196604656901], 'normal': [-0.2835393713554441, 0.6594601687158345, -0.6962167125031133], 'radius': 2.139775706895362}, 'confidence': 0.9998318197344607, 'timestamp': 2288.561587, 'diameter_3d': 4.279551413790724, 'ellipse': {'center': [99.99316100122118, 213.1361179994551], 'axes': [24.849084670505015, 43.66004524761716], 'angle': -65.71033808466468}, 'location': [99.99316100122118, 213.1361179994551], 'diameter': 43.66004524761716, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.973652887954346, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.2908967517671557, 'phi': -1.9575433390151082, 'norm_pos': [0.3124786281288162, 0.11193284166893702], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.598849,"{'circle_3d': {'center': [-5.8962905384946005, 9.140100179654947, 60.78928962444053], 'normal': [-0.283496266463536, 0.6574779852957787, -0.6981064143471536], 'radius': 2.1177192177139768}, 'confidence': 0.9998342759706587, 'timestamp': 2288.569987, 'diameter_3d': 4.2354384354279535, 'ellipse': {'center': [99.9743305815666, 212.93384614602041], 'axes': [24.70567464774307, 43.225740440091016], 'angle': -65.64588646826513}, 'location': [99.9743305815666, 212.93384614602041], 'diameter': 43.225740440091016, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9736676298997771, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.2882629957071043, 'phi': -1.9565443994996645, 'norm_pos': [0.31241978306739565, 0.11277564105824822], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.604192,"{'circle_3d': {'center': [-5.8589398953519005, 9.132788618325614, 60.76735092234587], 'normal': [-0.280383712868311, 0.6568686885183344, -0.6999346395217085], 'radius': 2.104416948443143}, 'confidence': 0.999650147678409, 'timestamp': 2288.578387, 'diameter_3d': 4.208833896886286, 'ellipse': {'center': [100.33155259817516, 212.89541383341194], 'axes': [24.663302437735087, 42.9696278082367], 'angle': -65.84490406299112}, 'location': [100.33155259817516, 212.89541383341194], 'diameter': 42.9696278082367, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9735699536543962, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.287454630420153, 'phi': -1.951807399164313, 'norm_pos': [0.31353610186929737, 0.11293577569411695], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.616995,"{'circle_3d': {'center': [-5.886925617842537, 9.123143241917893, 60.769562140961405], 'normal': [-0.2827158564091974, 0.6560649071510242, -0.6997503713037472], 'radius': 2.119346801199734}, 'confidence': 0.9994205354161053, 'timestamp': 2288.586786, 'diameter_3d': 4.238693602399468, 'ellipse': {'center': [100.05075272513552, 212.79005804800218], 'axes': [24.824263091374366, 43.272977956073326], 'angle': -65.65266380816685}, 'location': [100.05075272513552, 212.79005804800218], 'diameter': 43.272977956073326, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9734166443622239, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.2863891087780006, 'phi': -1.9547667411206888, 'norm_pos': [0.3126586022660485, 0.1133747581333242], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.621732,"{'circle_3d': {'center': [-5.852708402756219, 9.114374252653178, 60.747618994642316], 'normal': [-0.2798644218186709, 0.6553341580456312, -0.7015789668303382], 'radius': 2.1327665218396206}, 'confidence': 0.9997974094211209, 'timestamp': 2288.595186, 'diameter_3d': 4.265533043679241, 'ellipse': {'center': [100.3790494369851, 212.7294485143365], 'axes': [25.09598759954833, 43.56293615543363], 'angle': -65.82947095495784}, 'location': [100.3790494369851, 212.7294485143365], 'diameter': 43.56293615543363, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9733989947996236, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.285421257164456, 'phi': -1.9503596905574194, 'norm_pos': [0.31368452949057846, 0.11362729785693126], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.6316319,"{'circle_3d': {'center': [-5.839816873877521, 9.106493480235606, 60.735137981139246], 'normal': [-0.2787901277454461, 0.6546774270108336, -0.7026190512889274], 'radius': 2.1296792306283017}, 'confidence': 0.9993016161855387, 'timestamp': 2288.603586, 'diameter_3d': 4.259358461256603, 'ellipse': {'center': [100.49792189313177, 212.6684716946425], 'axes': [25.123880361380994, 43.508776317873014], 'angle': -65.88335241959692}, 'location': [100.49792189313177, 212.6684716946425], 'diameter': 43.508776317873014, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9732154291867801, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.2845521328020513, 'phi': -1.9485298385957022, 'norm_pos': [0.3140560059160368, 0.11388136793898951], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.639311,"{'circle_3d': {'center': [-5.821824131821947, 9.10054856065936, 60.722490193524884], 'normal': [-0.27729073257414816, 0.6541820170461465, -0.7036730335901239], 'radius': 2.1431671147478735}, 'confidence': 0.9997049493763271, 'timestamp': 2288.611986, 'diameter_3d': 4.286334229495747, 'ellipse': {'center': [100.67032221099818, 212.62282478840848], 'axes': [25.349358627952846, 43.79364510908679], 'angle': -65.97311048659328}, 'location': [100.67032221099818, 212.62282478840848], 'diameter': 43.79364510908679, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9734673518398962, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.2838969350329945, 'phi': -1.9461731937634346, 'norm_pos': [0.31459475690936933, 0.11407156338163138], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.647668,"{'circle_3d': {'center': [-5.834753726685186, 9.08248559625115, 60.710829970635565], 'normal': [-0.2783681988127515, 0.6526767700121289, -0.7046447188309006], 'radius': 2.133884386673455}, 'confidence': 0.9995987831413288, 'timestamp': 2288.620386, 'diameter_3d': 4.26776877334691, 'ellipse': {'center': [100.52672595175112, 212.45872924291297], 'axes': [25.296814865218582, 43.612105247758514], 'angle': -65.84515755032997}, 'location': [100.52672595175112, 212.45872924291297], 'diameter': 43.612105247758514, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9733741533999862, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.2819084637587457, 'phi': -1.9470261087298601, 'norm_pos': [0.31414601859922225, 0.11475529482119595], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.655551,"{'circle_3d': {'center': [-5.831709346863237, 9.052461966178361, 60.68192119285304], 'normal': [-0.27811450049425573, 0.6501748008393965, -0.707053783646111], 'radius': 2.118980942900186}, 'confidence': 0.9996385430983066, 'timestamp': 2288.628786, 'diameter_3d': 4.237961885800372, 'ellipse': {'center': [100.52859327227466, 212.19959224452384], 'axes': [25.2654098349887, 43.32783466773031], 'angle': -65.7775982671693}, 'location': [100.52859327227466, 212.19959224452384], 'diameter': 43.32783466773031, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9732944542141131, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.278610807171661, 'phi': -1.9455505794488586, 'norm_pos': [0.3141518539758583, 0.115835032314484], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.663083,"{'circle_3d': {'center': [-5.8148720011501736, 9.066906732379882, 60.68861274157409], 'normal': [-0.27671138835150044, 0.65137853135619, -0.7064961545860232], 'radius': 2.1499816185226495}, 'confidence': 0.9998481347376003, 'timestamp': 2288.637186, 'diameter_3d': 4.299963237045299, 'ellipse': {'center': [100.70962502687868, 212.32823524209329], 'axes': [25.60333851847725, 43.957376872771015], 'angle': -65.91896415704815}, 'location': [100.70962502687868, 212.32823524209329], 'diameter': 43.957376872771015, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.9734367690603873, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.2801961880975945, 'phi': -1.944098701696625, 'norm_pos': [0.3147175782089959, 0.11529901982461133], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951258.6698592,"{'circle_3d': {'center': [-5.7852861077391715, 9.058967263606613, 60.66978110540918], 'normal': [-0.27424589723391696, 0.6507169089584175, -0.7080654575997662], 'radius': 2.1604181455507248}, 'confidence': 0.9999133231965848, 'timestamp': 2288.645586, 'diameter_3d': 4.3208362911014495, 'ellipse': {'center': [100.99403709308882, 212.27201220037273], 'axes': [25.827736496565333, 44.18464632122814], 'angle': -66.07280246343028}, 'location': [100.99403709308882, 212.27201220037273], 'diameter': 44.18464632122814, 'sphere': {'center': [-2.4943353409321682, 1.2503643561056026, 69.16656659660637], 'radius': 12.0}, 'projected_sphere': {'center': [137.64110628192117, 131.20810152839812], 'axes': [215.13284137382757, 215.13284137382757], 'angle': 90.0}, 'model_confidence': 0.973435431322689, 'model_id': 114, 'model_birth_timestamp': 2175.58135, 'theta': 2.279324527509316, 'phi': -1.9403216300783255, 'norm_pos': [0.3156063659159026, 0.11553328249844697], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
