imu_packets,1071
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1580950805.632132,0.00360,-0.05646,-0.99774,0.03656,0.0166
1580950805.64043,0.00354,-0.05670,-0.99774,0.03595,0.0167
1580950805.659013,0.00342,-0.05719,-0.99774,0.03485,0.0166
1580950805.664222,0.00336,-0.05737,-0.99774,0.03436,0.0167
1580950805.6642299,0.00330,-0.05762,-0.99774,0.03394,0.0167
1580950805.664235,0.00323,-0.05786,-0.99774,0.03345,0.0167
1580950805.664623,0.00311,-0.05804,-0.99774,0.03308,0.0167
1580950805.678015,0.00305,-0.05823,-0.99774,0.03271,0.0167
1580950805.682444,0.00299,-0.05835,-0.99774,0.03235,0.0166
1580950805.682507,0.00287,-0.05847,-0.99774,0.03204,0.0166
1580950805.686344,0.00281,-0.05859,-0.99774,0.03174,0.0166
1580950805.694936,0.00262,-0.05884,-0.99780,0.03131,0.0167
1580950805.70748,0.00256,-0.05890,-0.99780,0.03113,0.0167
1580950805.7165198,0.00250,-0.05896,-0.99780,0.03101,0.0166
1580950805.721717,0.00244,-0.05896,-0.99780,0.03088,0.0166
1580950805.7217221,0.00238,-0.05902,-0.99780,0.03082,0.0166
1580950805.721837,0.00232,-0.05908,-0.99780,0.03076,0.0166
1580950805.7254632,0.00226,-0.05908,-0.99780,0.03070,0.0166
1580950805.748739,0.00226,-0.05908,-0.99780,0.03064,0.0166
1580950805.748747,0.00226,-0.05908,-0.99780,0.03064,0.0166
1580950805.748964,0.00226,-0.05908,-0.99780,0.03064,0.0166
1580950805.748968,0.00226,-0.05908,-0.99780,0.03064,0.0166
1580950805.754046,0.00226,-0.05902,-0.99780,0.03064,0.0166
1580950805.7653341,0.00232,-0.05902,-0.99780,0.03070,0.0166
1580950805.765339,0.00238,-0.05902,-0.99780,0.03070,0.0166
1580950805.773488,0.00244,-0.05902,-0.99780,0.03076,0.0166
1580950805.776056,0.00262,-0.05908,-0.99780,0.03082,0.0166
1580950805.787572,0.00275,-0.05908,-0.99774,0.03088,0.0166
1580950805.794549,0.00287,-0.05908,-0.99774,0.03094,0.0166
1580950805.796157,0.00293,-0.05908,-0.99774,0.03094,0.0166
1580950805.807304,0.00305,-0.05908,-0.99774,0.03094,0.0166
1580950805.807321,0.00317,-0.05908,-0.99774,0.03101,0.0166
1580950805.810009,0.00336,-0.05908,-0.99774,0.03101,0.0166
1580950805.8273249,0.00348,-0.05902,-0.99774,0.03094,0.0166
1580950805.8332129,0.00372,-0.05890,-0.99780,0.03094,0.0166
1580950805.83322,0.00385,-0.05884,-0.99780,0.03088,0.0166
1580950805.8354409,0.00397,-0.05878,-0.99780,0.03088,0.0166
1580950805.8402271,0.00409,-0.05865,-0.99780,0.03088,0.0166
1580950805.864373,0.00421,-0.05859,-0.99780,0.03088,0.0166
1580950805.866625,0.00427,-0.05847,-0.99780,0.03082,0.0166
1580950805.8666298,0.00433,-0.05829,-0.99780,0.03082,0.0166
1580950805.866634,0.00439,-0.05817,-0.99780,0.03082,0.0166
1580950805.8667111,0.00439,-0.05804,-0.99780,0.03082,0.0166
1580950805.872423,0.00446,-0.05780,-0.99786,0.03076,0.0166
1580950805.882496,0.00446,-0.05768,-0.99786,0.03070,0.0166
1580950805.88917,0.00446,-0.05756,-0.99786,0.03070,0.0166
1580950805.889666,0.00446,-0.05743,-0.99786,0.03064,0.0166
1580950805.902058,0.00446,-0.05737,-0.99786,0.03058,0.0166
1580950805.902706,0.00439,-0.05725,-0.99786,0.03058,0.0166
1580950805.908457,0.00439,-0.05719,-0.99786,0.03052,0.0166
1580950805.917674,0.00433,-0.05713,-0.99786,0.03046,0.0166
1580950805.920558,0.00433,-0.05701,-0.99792,0.03040,0.0166
1580950805.933328,0.00427,-0.05695,-0.99792,0.03040,0.0166
1580950805.933335,0.00427,-0.05695,-0.99792,0.03033,0.0166
1580950805.94238,0.00433,-0.05695,-0.99792,0.03033,0.0166
1580950805.9462342,0.00433,-0.05701,-0.99792,0.03027,0.0166
1580950805.9508421,0.00433,-0.05701,-0.99792,0.03027,0.0166
1580950805.952647,0.00439,-0.05707,-0.99792,0.03027,0.0166
1580950805.957495,0.00446,-0.05719,-0.99792,0.03021,0.0166
1580950805.9674082,0.00446,-0.05725,-0.99786,0.03015,0.0166
1580950805.9718149,0.00446,-0.05731,-0.99786,0.03015,0.0166
1580950805.973653,0.00446,-0.05731,-0.99786,0.03009,0.0166
1580950805.990583,0.00446,-0.05737,-0.99786,0.03003,0.0166
1580950805.993458,0.00446,-0.05737,-0.99792,0.02991,0.0166
1580950805.993469,0.00446,-0.05737,-0.99792,0.02979,0.0166
1580950806.000471,0.00439,-0.05743,-0.99792,0.02966,0.0166
1580950806.001305,0.00439,-0.05750,-0.99792,0.02954,0.0166
1580950806.012011,0.00439,-0.05756,-0.99792,0.02917,0.0166
1580950806.013299,0.00446,-0.05750,-0.99792,0.02899,0.0166
1580950806.0241768,0.00452,-0.05750,-0.99792,0.02875,0.0166
1580950806.029336,0.00458,-0.05743,-0.99792,0.02850,0.0166
1580950806.032649,0.00470,-0.05737,-0.99792,0.02826,0.0166
1580950806.046092,0.00482,-0.05731,-0.99792,0.02795,0.0166
1580950806.046099,0.00494,-0.05731,-0.99799,0.02765,0.0166
1580950806.046216,0.00513,-0.05731,-0.99799,0.02728,0.0166
1580950806.051931,0.00525,-0.05737,-0.99799,0.02698,0.0166
1580950806.066993,0.00543,-0.05743,-0.99799,0.02661,0.0166
1580950806.067004,0.00586,-0.05750,-0.99799,0.02594,0.0166
1580950806.069581,0.00604,-0.05756,-0.99799,0.02551,0.0166
1580950806.0755908,0.00629,-0.05762,-0.99799,0.02515,0.0166
1580950806.0894542,0.00653,-0.05768,-0.99799,0.02472,0.0166
1580950806.089466,0.00677,-0.05780,-0.99799,0.02429,0.0166
1580950806.092512,0.00702,-0.05792,-0.99799,0.02386,0.0166
1580950806.109371,0.00726,-0.05804,-0.99799,0.02338,0.0166
1580950806.109382,0.00751,-0.05817,-0.99799,0.02295,0.0166
1580950806.1109571,0.00775,-0.05829,-0.99799,0.02246,0.0166
1580950806.1123588,0.00806,-0.05847,-0.99799,0.02197,0.0166
1580950806.1173382,0.00861,-0.05878,-0.99799,0.02094,0.0167
1580950806.1325078,0.00897,-0.05902,-0.99799,0.02032,0.0167
1580950806.1356711,0.00922,-0.05920,-0.99799,0.01978,0.0167
1580950806.139627,0.00958,-0.05939,-0.99799,0.01923,0.0167
1580950806.144392,0.00989,-0.05963,-0.99799,0.01868,0.0167
1580950806.1461802,0.01019,-0.06000,-0.99799,0.01807,0.0167
1580950806.1516259,0.01050,-0.06036,-0.99799,0.01752,0.0167
1580950806.162576,0.01105,-0.06116,-0.99792,0.01660,0.0167
1580950806.162903,0.01129,-0.06158,-0.99792,0.01611,0.0167
1580950806.1723719,0.01154,-0.06189,-0.99792,0.01569,0.0167
1580950806.179712,0.01172,-0.06213,-0.99786,0.01532,0.0167
1580950806.179724,0.01190,-0.06226,-0.99786,0.01495,0.0167
1580950806.1846778,0.01215,-0.06232,-0.99786,0.01465,0.0167
1580950806.201353,0.01233,-0.06238,-0.99786,0.01428,0.0167
1580950806.201366,0.01257,-0.06232,-0.99786,0.01398,0.0167
1580950806.2073011,0.01300,-0.06201,-0.99792,0.01349,0.0167
1580950806.207665,0.01318,-0.06183,-0.99792,0.01324,0.0167
1580950806.216535,0.01343,-0.06158,-0.99792,0.01306,0.0167
1580950806.219133,0.01361,-0.06140,-0.99792,0.01288,0.0167
1580950806.2327812,0.01379,-0.06128,-0.99792,0.01270,0.0167
1580950806.239713,0.01398,-0.06116,-0.99792,0.01257,0.0167
1580950806.242931,0.01416,-0.06110,-0.99792,0.01245,0.0167
1580950806.243692,0.01434,-0.06110,-0.99792,0.01239,0.0167
1580950806.246881,0.01465,-0.06110,-0.99792,0.01239,0.0167
1580950806.2540941,0.01483,-0.06110,-0.99792,0.01245,0.0167
1580950806.2655191,0.01495,-0.06122,-0.99792,0.01257,0.0167
1580950806.265533,0.01514,-0.06134,-0.99792,0.01270,0.0167
1580950806.2741199,0.01520,-0.06158,-0.99792,0.01288,0.0167
1580950806.275938,0.01532,-0.06195,-0.99786,0.01312,0.0167
1580950806.285826,0.01544,-0.06226,-0.99786,0.01337,0.0167
1580950806.296289,0.01556,-0.06305,-0.99780,0.01385,0.0167
1580950806.296308,0.01563,-0.06342,-0.99774,0.01416,0.0167
1580950806.301051,0.01575,-0.06366,-0.99774,0.01440,0.0167
1580950806.305561,0.01581,-0.06390,-0.99774,0.01465,0.0167
1580950806.314424,0.01593,-0.06403,-0.99768,0.01489,0.0167
1580950806.318788,0.01605,-0.06409,-0.99768,0.01514,0.0167
1580950806.326796,0.01617,-0.06409,-0.99768,0.01538,0.0167
1580950806.3271072,0.01636,-0.06403,-0.99768,0.01563,0.0167
1580950806.331695,0.01660,-0.06366,-0.99768,0.01599,0.0167
1580950806.3380082,0.01672,-0.06342,-0.99774,0.01617,0.0167
1580950806.342418,0.01685,-0.06305,-0.99774,0.01636,0.0167
1580950806.3534982,0.01691,-0.06262,-0.99774,0.01654,0.0167
1580950806.354302,0.01697,-0.06219,-0.99780,0.01666,0.0167
1580950806.3596,0.01703,-0.06165,-0.99780,0.01685,0.0167
1580950806.370514,0.01709,-0.06110,-0.99786,0.01703,0.0167
1580950806.370626,0.01715,-0.06055,-0.99786,0.01721,0.0167
1580950806.38539,0.01721,-0.06000,-0.99792,0.01740,0.0167
1580950806.3854,0.01721,-0.05957,-0.99792,0.01758,0.0167
1580950806.3879511,0.01727,-0.05865,-0.99799,0.01788,0.0167
1580950806.394881,0.01727,-0.05823,-0.99799,0.01807,0.0167
1580950806.3984268,0.01733,-0.05792,-0.99799,0.01825,0.0167
1580950806.404001,0.01733,-0.05756,-0.99805,0.01837,0.0167
1580950806.4115882,0.01740,-0.05731,-0.99805,0.01855,0.0167
1580950806.42084,0.01746,-0.05707,-0.99805,0.01874,0.0167
1580950806.420846,0.01752,-0.05695,-0.99805,0.01886,0.0167
1580950806.42658,0.01764,-0.05682,-0.99805,0.01917,0.0167
1580950806.4320068,0.01776,-0.05676,-0.99805,0.01929,0.0167
1580950806.437095,0.01782,-0.05676,-0.99805,0.01941,0.0167
1580950806.4439821,0.01801,-0.05682,-0.99805,0.01953,0.0167
1580950806.4547782,0.01807,-0.05682,-0.99805,0.01959,0.0167
