imu_packets,1075
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1580949629.524645,0.03467,-0.01404,-0.83331,0.55151,0.7854
1580949629.532057,0.03473,-0.01392,-0.83282,0.55231,0.7854
1580949629.5395572,0.03479,-0.01385,-0.83252,0.55267,0.7854
1580949629.550197,0.03485,-0.01385,-0.83228,0.55304,0.7854
1580949629.5502038,0.03491,-0.01379,-0.83209,0.55341,0.7854
1580949629.553355,0.03497,-0.01373,-0.83185,0.55377,0.7854
1580949629.56492,0.03503,-0.01373,-0.83160,0.55414,0.7854
1580949629.5650291,0.03510,-0.01367,-0.83136,0.55450,0.7854
1580949629.568594,0.03516,-0.01367,-0.83112,0.55481,0.7854
1580949629.576396,0.03528,-0.01361,-0.83087,0.55518,0.7854
1580949629.585259,0.03540,-0.01349,-0.83051,0.55573,0.7854
1580949629.586051,0.03546,-0.01337,-0.83032,0.55603,0.7854
1580949629.599376,0.03552,-0.01324,-0.83014,0.55627,0.7854
1580949629.6022909,0.03558,-0.01312,-0.82996,0.55652,0.7854
1580949629.6036968,0.03571,-0.01300,-0.82983,0.55670,0.7854
1580949629.608695,0.03577,-0.01282,-0.82971,0.55688,0.7854
1580949629.618589,0.03583,-0.01263,-0.82959,0.55707,0.7854
1580949629.6194172,0.03595,-0.01251,-0.82947,0.55719,0.7854
1580949629.623895,0.03601,-0.01233,-0.82941,0.55737,0.7854
1580949629.635107,0.03607,-0.01215,-0.82928,0.55750,0.7854
1580949629.64022,0.03625,-0.01172,-0.82916,0.55774,0.7854
1580949629.646155,0.03632,-0.01147,-0.82910,0.55780,0.7854
1580949629.6466439,0.03638,-0.01123,-0.82904,0.55792,0.7854
1580949629.658317,0.03638,-0.01093,-0.82898,0.55798,0.7854
1580949629.6591911,0.03644,-0.01068,-0.82892,0.55804,0.7854
1580949629.6625779,0.03650,-0.01038,-0.82892,0.55811,0.7854
1580949629.676662,0.03656,-0.01001,-0.82892,0.55811,0.7854
1580949629.685971,0.03656,-0.00964,-0.82886,0.55817,0.7854
1580949629.686801,0.03662,-0.00928,-0.82886,0.55817,0.7854
1580949629.6868281,0.03680,-0.00854,-0.82886,0.55817,0.7854
1580949629.691233,0.03693,-0.00812,-0.82892,0.55811,0.7854
1580949629.701198,0.03705,-0.00775,-0.82892,0.55811,0.7854
1580949629.70803,0.03717,-0.00739,-0.82898,0.55804,0.7854
1580949629.709122,0.03735,-0.00708,-0.82898,0.55798,0.7854
1580949629.713147,0.03748,-0.00671,-0.82904,0.55786,0.7854
1580949629.724046,0.03766,-0.00635,-0.82910,0.55780,0.7854
