eye_packets,813
norm_X,norm_Y,phi,theta,confidence,timestamp
1580956409.77399,"{'circle_3d': {'center': [-7.992801844027666, 7.0438679660100885, 62.04638755944677], 'normal': [-0.07273519254509873, 0.6824452018103945, -0.7273088328154673], 'radius': 2.80898602371113}, 'confidence': 0.9928024165526922, 'timestamp': 1905.371658, 'diameter_3d': 5.61797204742226, 'ellipse': {'center': [80.12184708279138, 189.82269315685062], 'axes': [35.79798202377855, 56.46441943761897], 'angle': -79.05254624873616}, 'location': [80.12184708279138, 189.82269315685062], 'diameter': 56.46441943761897, 'sphere': {'center': [-7.119979533486481, -1.1454744557146443, 70.77409355323238], 'radius': 12.0}, 'projected_sphere': {'center': [97.62707384671259, 109.9653372175101], 'axes': [210.24642284974067, 210.24642284974067], 'angle': 90.0}, 'model_confidence': 0.3593543039084435, 'model_id': 7, 'model_birth_timestamp': 1892.990194, 'theta': 2.3218990583341825, 'phi': -1.6704708455630524, 'norm_pos': [0.25038077213372306, 0.2090721118464558], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956409.7822511,"{'circle_3d': {'center': [-7.896819936667777, 7.033357471148392, 62.02748122044255], 'normal': [-0.06473670026510803, 0.6815693272385864, -0.7288843610658183], 'radius': 2.813658665816051}, 'confidence': 0.9922699089009521, 'timestamp': 1905.380058, 'diameter_3d': 5.627317331632102, 'ellipse': {'center': [81.05083929633324, 189.73589795855833], 'axes': [36.030440027128385, 56.57573326805907], 'angle': -79.67200800572097}, 'location': [81.05083929633324, 189.73589795855833], 'diameter': 56.57573326805907, 'sphere': {'center': [-7.119979533486481, -1.1454744557146443, 70.77409355323238], 'radius': 12.0}, 'projected_sphere': {'center': [97.62707384671259, 109.9653372175101], 'axes': [210.24642284974067, 210.24642284974067], 'angle': 90.0}, 'model_confidence': 0.3580806420296012, 'model_id': 7, 'model_birth_timestamp': 1892.990194, 'theta': 2.320701437123821, 'phi': -1.6593800361563882, 'norm_pos': [0.25328387280104137, 0.20943375850600698], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956409.7941508,"{'circle_3d': {'center': [-7.923075607761803, 7.048743603381734, 62.04426955182992], 'normal': [-0.06692467285627687, 0.6828515049246981, -0.7274853334502045], 'radius': 2.8034357409728634}, 'confidence': 0.9933871105597278, 'timestamp': 1905.388457, 'diameter_3d': 5.606871481945727, 'ellipse': {'center': [80.81129394311188, 189.87549067658009], 'axes': [35.77829618508806, 56.35479030039569], 'angle': -79.5261359974647}, 'location': [80.81129394311188, 189.87549067658009], 'diameter': 56.35479030039569, 'sphere': {'center': [-7.119979533486481, -1.1454744557146443, 70.77409355323238], 'radius': 12.0}, 'projected_sphere': {'center': [97.62707384671259, 109.9653372175101], 'axes': [210.24642284974067, 210.24642284974067], 'angle': 90.0}, 'model_confidence': 0.35783566846117054, 'model_id': 7, 'model_birth_timestamp': 1892.990194, 'theta': 2.3224550689850876, 'phi': -1.662532652357742, 'norm_pos': [0.2525352935722246, 0.2088521221809163], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956409.80026,"{'circle_3d': {'center': [-7.9642873005954975, 7.046507838521528, 62.046059955375384], 'normal': [-0.07035898059241812, 0.6826651911863477, -0.7273361331547493], 'radius': 2.797190861512748}, 'confidence': 0.9925329399272453, 'timestamp': 1905.396857, 'diameter_3d': 5.594381723025496, 'ellipse': {'center': [80.40454362855485, 189.85395817544276], 'axes': [35.664848421144036, 56.22744540610316], 'angle': -79.24737428129386}, 'location': [80.40454362855485, 189.85395817544276], 'diameter': 56.22744540610316, 'sphere': {'center': [-7.119979533486481, -1.1454744557146443, 70.77409355323238], 'radius': 12.0}, 'projected_sphere': {'center': [97.62707384671259, 109.9653372175101], 'axes': [210.24642284974067, 210.24642284974067], 'angle': 90.0}, 'model_confidence': 0.35663353444791435, 'model_id': 7, 'model_birth_timestamp': 1892.990194, 'theta': 2.3222000697333742, 'phi': -1.6672314350525035, 'norm_pos': [0.2512641988392339, 0.20894184093565515], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956409.806106,"{'circle_3d': {'center': [-7.9708382345874575, 7.052185654870851, 62.05202910827004], 'normal': [-0.07090489175841477, 0.6831383425487914, -0.7268387037468613], 'radius': 2.8072483735208436}, 'confidence': 0.993350838924806, 'timestamp': 1905.405257, 'diameter_3d': 5.614496747041687, 'ellipse': {'center': [80.34694843350073, 189.90014038622712], 'axes': [35.7517960175681, 56.42441210894304], 'angle': -79.21482816607174}, 'location': [80.34694843350073, 189.90014038622712], 'diameter': 56.42441210894304, 'sphere': {'center': [-7.119979533486481, -1.1454744557146443, 70.77409355323238], 'radius': 12.0}, 'projected_sphere': {'center': [97.62707384671259, 109.9653372175101], 'axes': [210.24642284974067, 210.24642284974067], 'angle': 90.0}, 'model_confidence': 0.35559277471849393, 'model_id': 7, 'model_birth_timestamp': 1892.990194, 'theta': 2.3228477696306977, 'phi': -1.6680410736158624, 'norm_pos': [0.25108421385468976, 0.20874941505738698], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956409.8134,"{'circle_3d': {'center': [-7.968050665337144, 7.0544060903731385, 62.05384502551181], 'normal': [-0.07067259432088864, 0.6833233788406485, -0.7266873773100471], 'radius': 2.8047447907848375}, 'confidence': 0.9923843309998515, 'timestamp': 1905.413657, 'diameter_3d': 5.609489581569675, 'ellipse': {'center': [80.376917411963, 189.92131180832254], 'axes': [35.70981654460047, 56.37241011172086], 'angle': -79.23769991661143}, 'location': [80.376917411963, 189.92131180832254], 'diameter': 56.37241011172086, 'sphere': {'center': [-7.119979533486481, -1.1454744557146443, 70.77409355323238], 'radius': 12.0}, 'projected_sphere': {'center': [97.62707384671259, 109.9653372175101], 'axes': [210.24642284974067, 210.24642284974067], 'angle': 90.0}, 'model_confidence': 0.3541978408252322, 'model_id': 7, 'model_birth_timestamp': 1892.990194, 'theta': 2.323101173735732, 'phi': -1.6677445351678273, 'norm_pos': [0.2511778669123844, 0.20866120079865602], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956409.822274,"{'circle_3d': {'center': [-7.938879745906478, 7.024175571060265, 62.02273817922801], 'normal': [-0.06824168436833311, 0.6808041688979092, -0.7292796145003642], 'radius': 2.798887521569471}, 'confidence': 0.9918771204714442, 'timestamp': 1905.422057, 'diameter_3d': 5.597775043138942, 'ellipse': {'center': [80.62747242507791, 189.65554161345557], 'axes': [35.84834433899295, 56.282633390368375], 'angle': -79.37335588601442}, 'location': [80.62747242507791, 189.65554161345557], 'diameter': 56.282633390368375, 'sphere': {'center': [-7.119979533486481, -1.1454744557146443, 70.77409355323238], 'radius': 12.0}, 'projected_sphere': {'center': [97.62707384671259, 109.9653372175101], 'axes': [210.24642284974067, 210.24642284974067], 'angle': 90.0}, 'model_confidence': 0.35265440293976713, 'model_id': 7, 'model_birth_timestamp': 1892.990194, 'theta': 2.319656295302952, 'phi': -1.6640987387095434, 'norm_pos': [0.2519608513283685, 0.20976857661060178], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956409.8292532,"{'circle_3d': {'center': [-7.899581097434346, 6.948798032901063, 61.94941371306089], 'normal': [-0.0649667969956555, 0.6745227073846423, -0.7353899866809567], 'radius': 2.8017248660936036}, 'confidence': 0.9952250603259909, 'timestamp': 1905.430457, 'diameter_3d': 5.603449732187207, 'ellipse': {'center': [80.92599977300739, 188.9804659253844], 'axes': [36.37345800370407, 56.40600793176316], 'angle': -79.49151085874553}, 'location': [80.92599977300739, 188.9804659253844], 'diameter': 56.40600793176316, 'sphere': {'center': [-7.119979533486481, -1.1454744557146443, 70.77409355323238], 'radius': 12.0}, 'projected_sphere': {'center': [97.62707384671259, 109.9653372175101], 'axes': [210.24642284974067, 210.24642284974067], 'angle': 90.0}, 'model_confidence': 0.3526761379511356, 'model_id': 7, 'model_birth_timestamp': 1892.990194, 'theta': 2.3111143225309503, 'phi': -1.6589108961577976, 'norm_pos': [0.2528937492906481, 0.21258139197756498], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956409.840746,"{'circle_3d': {'center': [-7.829368294110043, 6.813579705331545, 61.821427779964935], 'normal': [-0.05911573005196347, 0.6632545134205158, -0.74605548110562], 'radius': 2.7834458952050385}, 'confidence': 0.9951163984140602, 'timestamp': 1905.438857, 'diameter_3d': 5.566891790410077, 'ellipse': {'center': [81.46500482153307, 187.77161025983423], 'axes': [36.988955264716395, 56.15292654805796], 'angle': -79.71009763231491}, 'location': [81.46500482153307, 187.77161025983423], 'diameter': 56.15292654805796, 'sphere': {'center': [-7.119979533486481, -1.1454744557146443, 70.77409355323238], 'radius': 12.0}, 'projected_sphere': {'center': [97.62707384671259, 109.9653372175101], 'axes': [210.24642284974067, 210.24642284974067], 'angle': 90.0}, 'model_confidence': 0.35305184976800463, 'model_id': 7, 'model_birth_timestamp': 1892.990194, 'theta': 2.295955417297952, 'phi': -1.6498688273082665, 'norm_pos': [0.25457814006729085, 0.21761829058402404], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956409.845598,"{'circle_3d': {'center': [-7.75172569890471, 6.703003163698183, 61.718581649421786], 'normal': [-0.05264551378485243, 0.6540398016177357, -0.7546259919842159], 'radius': 2.773473127065446}, 'confidence': 0.9957720154522094, 'timestamp': 1905.447257, 'diameter_3d': 5.546946254130892, 'ellipse': {'center': [82.1113089295479, 186.77578850513635], 'axes': [37.55536294105294, 56.04420443676236], 'angle': -80.03855235498261}, 'location': [82.1113089295479, 186.77578850513635], 'diameter': 56.04420443676236, 'sphere': {'center': [-7.119979533486481, -1.1454744557146443, 70.77409355323238], 'radius': 12.0}, 'projected_sphere': {'center': [97.62707384671259, 109.9653372175101], 'axes': [210.24642284974067, 210.24642284974067], 'angle': 90.0}, 'model_confidence': 0.35300587130503436, 'model_id': 7, 'model_birth_timestamp': 1892.990194, 'theta': 2.283708918530031, 'phi': -1.6404471932291866, 'norm_pos': [0.2565978404048372, 0.2217675478952652], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956409.8655202,"{'circle_3d': {'center': [-7.673005049484502, 6.652268072707793, 61.669733375873], 'normal': [-0.04608545966650174, 0.6498118773685364, -0.7586966814466145], 'radius': 2.7414028883659523}, 'confidence': 0.9932176944833294, 'timestamp': 1905.455657, 'diameter_3d': 5.4828057767319045, 'ellipse': {'center': [82.83715744918698, 186.33054485962492], 'axes': [37.47236841190359, 55.43921675463246], 'angle': -80.49788748781415}, 'location': [82.83715744918698, 186.33054485962492], 'diameter': 55.43921675463246, 'sphere': {'center': [-7.119979533486481, -1.1454744557146443, 70.77409355323238], 'radius': 12.0}, 'projected_sphere': {'center': [97.62707384671259, 109.9653372175101], 'axes': [210.24642284974067, 210.24642284974067], 'angle': 90.0}, 'model_confidence': 0.3520812230619397, 'model_id': 7, 'model_birth_timestamp': 1892.990194, 'theta': 2.27813323851193, 'phi': -1.6314647142824188, 'norm_pos': [0.2588661170287093, 0.22362272975156283], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
