eye_packets,704
norm_X,norm_Y,phi,theta,confidence,timestamp
1580956052.5810199,"{'circle_3d': {'center': [-27.803933260633688, 18.220165775022153, 183.64596104313412], 'normal': [-0.15156711520814817, 0.5444155381486884, -0.8250085644463055], 'radius': 7.228931994293258}, 'confidence': 0.9981626406377918, 'timestamp': 1548.184315, 'diameter_3d': 14.457863988586515, 'ellipse': {'center': [66.20593394885279, 181.11114931304863], 'axes': [36.34603486472563, 49.07086729167072], 'angle': -68.05267494566701}, 'location': [66.20593394885279, 181.11114931304863], 'diameter': 49.07086729167072, 'sphere': {'center': [-25.98512787813591, 11.687179317237893, 193.54606381648978], 'radius': 12.0}, 'projected_sphere': {'center': [76.75997451583589, 157.43838047545012], 'axes': [76.88092284898356, 76.88092284898356], 'angle': 90.0}, 'model_confidence': 0.8261993467328921, 'model_id': 1, 'model_birth_timestamp': 1545.815515, 'theta': 2.1464885135457665, 'phi': -1.7524861135953271, 'norm_pos': [0.20689354359016496, 0.24537021119563074], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956052.5905979,"{'circle_3d': {'center': [-27.791209964397392, 18.245854174756246, 183.66062747755956], 'normal': [-0.15050684052179014, 0.5465562381265295, -0.8237863615775177], 'radius': 7.21554469864474}, 'confidence': 0.9988656147264299, 'timestamp': 1548.192715, 'diameter_3d': 14.43108939728948, 'ellipse': {'center': [66.25481595047108, 181.19368463597033], 'axes': [36.21002855436494, 48.97767371134386], 'angle': -68.2199122634402}, 'location': [66.25481595047108, 181.19368463597033], 'diameter': 48.97767371134386, 'sphere': {'center': [-25.98512787813591, 11.687179317237893, 193.54606381648978], 'radius': 12.0}, 'projected_sphere': {'center': [76.75997451583589, 157.43838047545012], 'axes': [76.88092284898356, 76.88092284898356], 'angle': 90.0}, 'model_confidence': 0.8266274585199462, 'model_id': 1, 'model_birth_timestamp': 1545.815515, 'theta': 2.149042683929209, 'phi': -1.7515045535035458, 'norm_pos': [0.20704629984522213, 0.24502631401679031], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956052.599284,"{'circle_3d': {'center': [-27.819686070635136, 18.27885705240734, 183.68786008183278], 'normal': [-0.15287984937493568, 0.5493064779307871, -0.8215169778880839], 'radius': 7.260811621092248}, 'confidence': 0.9982624456531065, 'timestamp': 1548.201115, 'diameter_3d': 14.521623242184496, 'ellipse': {'center': [66.17446600541439, 181.29044549846162], 'axes': [36.285812391184095, 49.277150568087315], 'angle': -68.12932129607022}, 'location': [66.17446600541439, 181.29044549846162], 'diameter': 49.277150568087315, 'sphere': {'center': [-25.98512787813591, 11.687179317237893, 193.54606381648978], 'radius': 12.0}, 'projected_sphere': {'center': [76.75997451583589, 157.43838047545012], 'axes': [76.88092284898356, 76.88092284898356], 'angle': 90.0}, 'model_confidence': 0.8266196657507607, 'model_id': 1, 'model_birth_timestamp': 1545.815515, 'theta': 2.152330389897621, 'phi': -1.7547862342330318, 'norm_pos': [0.20679520626691997, 0.24462314375640992], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956052.6082182,"{'circle_3d': {'center': [-27.832854698779574, 18.393182373750463, 183.76774961606043], 'normal': [-0.1539772350536386, 0.5588335880427142, -0.8148595167024453], 'radius': 7.240569519368639}, 'confidence': 0.9982154383334657, 'timestamp': 1548.209515, 'diameter_3d': 14.481139038737277, 'ellipse': {'center': [66.16867363201449, 181.64922071133915], 'axes': [35.77377662780107, 49.12134272636262], 'angle': -68.39434156447011}, 'location': [66.16867363201449, 181.64922071133915], 'diameter': 49.12134272636262, 'sphere': {'center': [-25.98512787813591, 11.687179317237893, 193.54606381648978], 'radius': 12.0}, 'projected_sphere': {'center': [76.75997451583589, 157.43838047545012], 'axes': [76.88092284898356, 76.88092284898356], 'angle': 90.0}, 'model_confidence': 0.8265795753609639, 'model_id': 1, 'model_birth_timestamp': 1545.815515, 'theta': 2.163774923074488, 'phi': -1.7575559541402659, 'norm_pos': [0.20677710510004527, 0.24312824703608682], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956052.615036,"{'circle_3d': {'center': [-27.768871663055613, 18.38872227677232, 183.7528222657429], 'normal': [-0.14864531540997544, 0.5584619132945358, -0.8161034625622386], 'radius': 7.237455152315304}, 'confidence': 0.9984118012716171, 'timestamp': 1548.217915, 'diameter_3d': 14.474910304630608, 'ellipse': {'center': [66.37328050472331, 181.6389201663672], 'axes': [35.86280284868439, 49.107913154355174], 'angle': -68.81021990130985}, 'location': [66.37328050472331, 181.6389201663672], 'diameter': 49.107913154355174, 'sphere': {'center': [-25.98512787813591, 11.687179317237893, 193.54606381648978], 'radius': 12.0}, 'projected_sphere': {'center': [76.75997451583589, 157.43838047545012], 'axes': [76.88092284898356, 76.88092284898356], 'angle': 90.0}, 'model_confidence': 0.8266779162594662, 'model_id': 1, 'model_birth_timestamp': 1545.815515, 'theta': 2.1633268009319635, 'phi': -1.750961602587727, 'norm_pos': [0.20741650157726035, 0.24317116597347], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956052.6255622,"{'circle_3d': {'center': [-27.758048643219652, 18.44132669722846, 183.78705540732744], 'normal': [-0.14774339709031203, 0.5628456149992139, -0.813250700763529], 'radius': 7.238117559800321}, 'confidence': 0.9990749398401149, 'timestamp': 1548.226315, 'diameter_3d': 14.476235119600641, 'ellipse': {'center': [66.42547009315749, 181.80353428563652], 'axes': [35.69800782681228, 49.105628564648846], 'angle': -69.04123913157977}, 'location': [66.42547009315749, 181.80353428563652], 'diameter': 49.105628564648846, 'sphere': {'center': [-25.98512787813591, 11.687179317237893, 193.54606381648978], 'radius': 12.0}, 'projected_sphere': {'center': [76.75997451583589, 157.43838047545012], 'axes': [76.88092284898356, 76.88092284898356], 'angle': 90.0}, 'model_confidence': 0.8272383106390779, 'model_id': 1, 'model_birth_timestamp': 1545.815515, 'theta': 2.1686208195209153, 'phi': -1.7505065522129986, 'norm_pos': [0.20757959404111714, 0.24248527380984786], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956052.6327958,"{'circle_3d': {'center': [-27.74374644829696, 18.43108854593299, 183.77739200094567], 'normal': [-0.1465515475134209, 0.5619924357245913, -0.8140559846286757], 'radius': 7.210884413511399}, 'confidence': 0.9990130141792961, 'timestamp': 1548.234715, 'diameter_3d': 14.421768827022799, 'ellipse': {'center': [66.4677032243864, 181.7753762868776], 'axes': [35.6186592748044, 48.92387719699744], 'angle': -69.10668085681814}, 'location': [66.4677032243864, 181.7753762868776], 'diameter': 48.92387719699744, 'sphere': {'center': [-25.98512787813591, 11.687179317237893, 193.54606381648978], 'radius': 12.0}, 'projected_sphere': {'center': [76.75997451583589, 157.43838047545012], 'axes': [76.88092284898356, 76.88092284898356], 'angle': 90.0}, 'model_confidence': 0.8277479050240455, 'model_id': 1, 'model_birth_timestamp': 1545.815515, 'theta': 2.1675889795007093, 'phi': -1.7489148116460365, 'norm_pos': [0.20771157257620748, 0.24260259880467672], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956052.6424341,"{'circle_3d': {'center': [-27.791598406695634, 18.423349108296506, 183.78078446690256], 'normal': [-0.15053921071331053, 0.5613474825882178, -0.813773279132268], 'radius': 7.211735933915646}, 'confidence': 0.9989320558903054, 'timestamp': 1548.243115, 'diameter_3d': 14.423471867831292, 'ellipse': {'center': [66.31092206297083, 181.74872088756945], 'axes': [35.584133857688364, 48.92562015973478], 'angle': -68.76241412258919}, 'location': [66.31092206297083, 181.74872088756945], 'diameter': 48.92562015973478, 'sphere': {'center': [-25.98512787813591, 11.687179317237893, 193.54606381648978], 'radius': 12.0}, 'projected_sphere': {'center': [76.75997451583589, 157.43838047545012], 'axes': [76.88092284898356, 76.88092284898356], 'angle': 90.0}, 'model_confidence': 0.8281948241667503, 'model_id': 1, 'model_birth_timestamp': 1545.815515, 'theta': 2.16680944931106, 'phi': -1.7537175824735864, 'norm_pos': [0.20722163144678385, 0.24271366296846064], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956052.654052,"{'circle_3d': {'center': [-27.753377141628878, 18.433358864438908, 183.78069868972247], 'normal': [-0.1473541052910808, 0.5621816289334179, -0.8137804272306098], 'radius': 7.213544580727357}, 'confidence': 0.9993264777561626, 'timestamp': 1548.251515, 'diameter_3d': 14.427089161454713, 'ellipse': {'center': [66.43744803806695, 181.78167944277266], 'axes': [35.61079959410184, 48.94054633109193], 'angle': -69.04878184502022}, 'location': [66.43744803806695, 181.78167944277266], 'diameter': 48.94054633109193, 'sphere': {'center': [-25.98512787813591, 11.687179317237893, 193.54606381648978], 'radius': 12.0}, 'projected_sphere': {'center': [76.75997451583589, 157.43838047545012], 'axes': [76.88092284898356, 76.88092284898356], 'angle': 90.0}, 'model_confidence': 0.8289054168239329, 'model_id': 1, 'model_birth_timestamp': 1545.815515, 'theta': 2.1678177284083904, 'phi': -1.749928921985996, 'norm_pos': [0.20761702511895921, 0.24257633565511394], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956052.659616,"{'circle_3d': {'center': [-27.757837405569994, 18.42469446954724, 183.7755269579673], 'normal': [-0.1477257939528405, 0.5614595960257788, -0.8142114048768737], 'radius': 7.137073138138396}, 'confidence': 0.999546284365051, 'timestamp': 1548.259915, 'diameter_3d': 14.274146276276792, 'ellipse': {'center': [66.41881237623647, 181.76296258756585], 'axes': [35.25666328449361, 48.422271528665576], 'angle': -68.99301296197163}, 'location': [66.41881237623647, 181.76296258756585], 'diameter': 48.422271528665576, 'sphere': {'center': [-25.98512787813591, 11.687179317237893, 193.54606381648978], 'radius': 12.0}, 'projected_sphere': {'center': [76.75997451583589, 157.43838047545012], 'axes': [76.88092284898356, 76.88092284898356], 'angle': 90.0}, 'model_confidence': 0.8297556845384135, 'model_id': 1, 'model_birth_timestamp': 1545.815515, 'theta': 2.166944926921692, 'phi': -1.7502781059872505, 'norm_pos': [0.207558788675739, 0.24265432255180897], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956052.669021,"{'circle_3d': {'center': [-27.782036779658103, 18.434325900120072, 183.78660013303198], 'normal': [-0.14974240846018294, 0.5622622152401815, -0.8132886402881497], 'radius': 7.2541923337560466}, 'confidence': 0.9985273614545711, 'timestamp': 1548.268315, 'diameter_3d': 14.508384667512093, 'ellipse': {'center': [66.34615319970047, 181.77867499131617], 'axes': [35.76874919272741, 49.213185538669116], 'angle': -68.85947762068267}, 'location': [66.34615319970047, 181.77867499131617], 'diameter': 49.213185538669116, 'sphere': {'center': [-25.98512787813591, 11.687179317237893, 193.54606381648978], 'radius': 12.0}, 'projected_sphere': {'center': [76.75997451583589, 157.43838047545012], 'axes': [76.88092284898356, 76.88092284898356], 'angle': 90.0}, 'model_confidence': 0.8299070138305775, 'model_id': 1, 'model_birth_timestamp': 1545.815515, 'theta': 2.16791517415426, 'phi': -1.7528767285892508, 'norm_pos': [0.20733172874906397, 0.24258885420284926], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
