eye_packets,778
norm_X,norm_Y,phi,theta,confidence,timestamp
1580954205.234016,"{'circle_3d': {'center': [-6.285270239287179, 8.21748366119214, 60.680098573719185], 'normal': [-0.08200724164466337, 0.6183484343570198, -0.781613731996858], 'radius': 2.71964575433945}, 'confidence': 0.8397902883094926, 'timestamp': 5212.004294, 'diameter_3d': 5.4392915086789, 'ellipse': {'center': [95.80979901938707, 203.4255561503755], 'axes': [38.24137233699132, 55.7455920794215], 'angle': -78.50069400346872}, 'location': [95.80979901938707, 203.4255561503755], 'diameter': 55.7455920794215, 'sphere': {'center': [-5.301183339551218, 0.7973024489079026, 70.05946335768148], 'radius': 12.0}, 'projected_sphere': {'center': [113.08651375558402, 127.05582793004224], 'axes': [212.39100739370028, 212.39100739370028], 'angle': 90.0}, 'model_confidence': 0.9399072919593632, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2374358031949657, 'phi': -1.6753342723456233, 'norm_pos': [0.2994056219355846, 0.15239351604010198], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954205.242969,"{'circle_3d': {'center': [-6.2749064661369145, 8.228231138878337, 60.68752854797829], 'normal': [-0.08114359388214137, 0.6192440574975362, -0.7809945674752663], 'radius': 2.7184565254783357}, 'confidence': 0.8590655809199116, 'timestamp': 5212.012694, 'diameter_3d': 5.436913050956671, 'ellipse': {'center': [95.92256870046674, 203.52552265272232], 'axes': [38.17911062674287, 55.7146038757777], 'angle': -78.59563003231231}, 'location': [95.92256870046674, 203.52552265272232], 'diameter': 55.7146038757777, 'sphere': {'center': [-5.301183339551218, 0.7973024489079026, 70.05946335768148], 'radius': 12.0}, 'projected_sphere': {'center': [113.08651375558402, 127.05582793004224], 'axes': [212.39100739370028, 212.39100739370028], 'angle': 90.0}, 'model_confidence': 0.9396492021290559, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2385759235375633, 'phi': -1.6743226495396897, 'norm_pos': [0.29975802718895855, 0.1519769889469903], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954205.246371,"{'circle_3d': {'center': [-6.294326687119334, 8.198256643380379, 60.66587281399152], 'normal': [-0.08276194563067628, 0.6167461828727063, -0.7827992119741634], 'radius': 2.7210455411660925}, 'confidence': 0.8336833160152779, 'timestamp': 5212.021094, 'diameter_3d': 5.442091082332185, 'ellipse': {'center': [95.70324285653217, 203.24814227535904], 'axes': [38.35254493645406, 55.78709673726121], 'angle': -78.39885182734702}, 'location': [95.70324285653217, 203.24814227535904], 'diameter': 55.78709673726121, 'sphere': {'center': [-5.301183339551218, 0.7973024489079026, 70.05946335768148], 'radius': 12.0}, 'projected_sphere': {'center': [113.08651375558402, 127.05582793004224], 'axes': [212.39100739370028, 212.39100739370028], 'angle': 90.0}, 'model_confidence': 0.9396244957057709, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.235398697606846, 'phi': -1.6761306546927779, 'norm_pos': [0.29907263392666306, 0.15313274051933734], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954205.254102,"{'circle_3d': {'center': [-6.2737727233808664, 8.18633379906997, 60.654343177865385], 'normal': [-0.08104911531913735, 0.6157526125135057, -0.7837600149846748], 'radius': 2.729244202598771}, 'confidence': 0.8597961028699109, 'timestamp': 5212.029493, 'diameter_3d': 5.458488405197542, 'ellipse': {'center': [95.90007611479524, 203.138641254751], 'axes': [38.55350858025047, 55.9661186092643], 'angle': -78.52477129871201}, 'location': [95.90007611479524, 203.138641254751], 'diameter': 55.9661186092643, 'sphere': {'center': [-5.301183339551218, 0.7973024489079026, 70.05946335768148], 'radius': 12.0}, 'projected_sphere': {'center': [113.08651375558402, 127.05582793004224], 'axes': [212.39100739370028, 212.39100739370028], 'angle': 90.0}, 'model_confidence': 0.9395414316020201, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2341371025301675, 'phi': -1.6738406858963915, 'norm_pos': [0.29968773785873515, 0.15358899477187082], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954205.2615418,"{'circle_3d': {'center': [-6.279640082237498, 8.172874504606215, 60.6443925000674], 'normal': [-0.08153806189052333, 0.614631004641526, -0.7845892381345067], 'radius': 2.7258854911284023}, 'confidence': 0.8935743796782619, 'timestamp': 5212.037893, 'diameter_3d': 5.451770982256805, 'ellipse': {'center': [95.83018400898118, 203.01607250565957], 'axes': [38.570360902802214, 55.906165448970505], 'angle': -78.4567428840456}, 'location': [95.83018400898118, 203.01607250565957], 'diameter': 55.906165448970505, 'sphere': {'center': [-5.301183339551218, 0.7973024489079026, 70.05946335768148], 'radius': 12.0}, 'projected_sphere': {'center': [113.08651375558402, 127.05582793004224], 'axes': [212.39100739370028, 212.39100739370028], 'angle': 90.0}, 'model_confidence': 0.9394895271084613, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.23271442344696, 'phi': -1.6743491162893565, 'norm_pos': [0.29946932502806617, 0.1540996978930852], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954205.2693682,"{'circle_3d': {'center': [-6.27482765066841, 8.185523417068028, 60.653815709535806], 'normal': [-0.08113702592643263, 0.6156850806800105, -0.7838039706788058], 'radius': 2.7222746433230127}, 'confidence': 0.8485029596461735, 'timestamp': 5212.046293, 'diameter_3d': 5.444549286646025, 'ellipse': {'center': [95.88867467160527, 203.13385193345368], 'axes': [38.45802242870545, 55.823552324215704], 'angle': -78.51563006546056}, 'location': [95.88867467160527, 203.13385193345368], 'diameter': 55.823552324215704, 'sphere': {'center': [-5.301183339551218, 0.7973024489079026, 70.05946335768148], 'radius': 12.0}, 'projected_sphere': {'center': [113.08651375558402, 127.05582793004224], 'axes': [212.39100739370028, 212.39100739370028], 'angle': 90.0}, 'model_confidence': 0.9394827858249633, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.23405139852794, 'phi': -1.6739459190574681, 'norm_pos': [0.2996521083487665, 0.15360895027727628], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954205.279498,"{'circle_3d': {'center': [-6.287381041038387, 8.17078184697586, 60.64356108228329], 'normal': [-0.08218314179059734, 0.6144566165056631, -0.7846585229498492], 'radius': 2.7019326847234932}, 'confidence': 0.8160468853180682, 'timestamp': 5212.054693, 'diameter_3d': 5.4038653694469865, 'ellipse': {'center': [95.75021626152308, 203.00533996582533], 'axes': [38.233469529895316, 55.41516857596194], 'angle': -78.39675350267564}, 'location': [95.75021626152308, 203.00533996582533], 'diameter': 55.41516857596194, 'sphere': {'center': [-5.301183339551218, 0.7973024489079026, 70.05946335768148], 'radius': 12.0}, 'projected_sphere': {'center': [113.08651375558402, 127.05582793004224], 'axes': [212.39100739370028, 212.39100739370028], 'angle': 90.0}, 'model_confidence': 0.9394693522307596, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.232493366326311, 'phi': -1.675153301716106, 'norm_pos': [0.29921942581725963, 0.1541444168090611], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954205.285063,"{'circle_3d': {'center': [-6.346614558988725, 8.545046036737764, 60.9556431231499], 'normal': [-0.08711926828645893, 0.6456452989858218, -0.7586516862109652], 'radius': 2.7269046385223814}, 'confidence': 0.38961723049413816, 'timestamp': 5212.063093, 'diameter_3d': 5.453809277044763, 'ellipse': {'center': [95.47368205365787, 206.38009249959538], 'axes': [36.4941731972638, 55.643951668512315], 'angle': -78.67644967788229}, 'location': [95.47368205365787, 206.38009249959538], 'diameter': 55.643951668512315, 'sphere': {'center': [-5.301183339551218, 0.7973024489079026, 70.05946335768148], 'radius': 12.0}, 'projected_sphere': {'center': [113.08651375558402, 127.05582793004224], 'axes': [212.39100739370028, 212.39100739370028], 'angle': 90.0}, 'model_confidence': 0.9394693522307596, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2726643416542918, 'phi': -1.6851298561434989, 'norm_pos': [0.29835525641768085, 0.14008294791835263], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954205.294602,"{'circle_3d': {'center': [-6.292221047245331, 8.154818528796143, 60.63158971639235], 'normal': [-0.08258647564117609, 0.6131263399906868, -0.7856561367740942], 'radius': 2.719003452236726}, 'confidence': 0.8876899731701342, 'timestamp': 5212.071493, 'diameter_3d': 5.438006904473452, 'ellipse': {'center': [95.68908163960575, 202.85182563495292], 'axes': [38.553564964438195, 55.776358237417526], 'angle': -78.33100517186385}, 'location': [95.68908163960575, 202.85182563495292], 'diameter': 55.776358237417526, 'sphere': {'center': [-5.301183339551218, 0.7973024489079026, 70.05946335768148], 'radius': 12.0}, 'projected_sphere': {'center': [113.08651375558402, 127.05582793004224], 'axes': [212.39100739370028, 212.39100739370028], 'angle': 90.0}, 'model_confidence': 0.9394803670947249, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2308083371173977, 'phi': -1.6755295374288144, 'norm_pos': [0.299028380123768, 0.15478405985436283], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954205.3019059,"{'circle_3d': {'center': [-6.289184607954562, 8.144433451981236, 60.62317597771514], 'normal': [-0.08233343903361194, 0.6122609169227777, -0.7863572816638617], 'radius': 2.6865296381959403}, 'confidence': 0.8096341216404529, 'timestamp': 5212.079893, 'diameter_3d': 5.3730592763918805, 'ellipse': {'center': [95.71045214002825, 202.76985524618266], 'axes': [38.14919210194868, 55.11729467851917], 'angle': -78.33325096419878}, 'location': [95.71045214002825, 202.76985524618266], 'diameter': 55.11729467851917, 'sphere': {'center': [-5.301183339551218, 0.7973024489079026, 70.05946335768148], 'radius': 12.0}, 'projected_sphere': {'center': [113.08651375558402, 127.05582793004224], 'axes': [212.39100739370028, 212.39100739370028], 'angle': 90.0}, 'model_confidence': 0.9394567346941329, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.229713308996734, 'phi': -1.6751185506421802, 'norm_pos': [0.2990951629375883, 0.15512560314090562], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954205.3129978,"{'circle_3d': {'center': [-6.275012625423835, 8.12463348144637, 60.606322267992], 'normal': [-0.08115244048938473, 0.6106109193782056, -0.7877617574741234], 'radius': 2.7120066612269698}, 'confidence': 0.8754592968946128, 'timestamp': 5212.088293, 'diameter_3d': 5.4240133224539395, 'ellipse': {'center': [95.83751549598504, 202.580214815919], 'axes': [38.629539313190264, 55.65587181167196], 'angle': -78.39831795013613}, 'location': [95.83751549598504, 202.580214815919], 'diameter': 55.65587181167196, 'sphere': {'center': [-5.301183339551218, 0.7973024489079026, 70.05946335768148], 'radius': 12.0}, 'projected_sphere': {'center': [113.08651375558402, 127.05582793004224], 'axes': [212.39100739370028, 212.39100739370028], 'angle': 90.0}, 'model_confidence': 0.9394112850390712, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2276281188150118, 'phi': -1.6734506889828835, 'norm_pos': [0.2994922359249533, 0.15591577160033754], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
