imu_packets,1191
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1580954324.14175,0.00519,-0.04156,-0.99847,0.03583,0.3833
1580954324.147419,0.00525,-0.04163,-0.99847,0.03577,0.3833
1580954324.156296,0.00525,-0.04163,-0.99847,0.03577,0.3833
1580954324.1599,0.00531,-0.04169,-0.99847,0.03571,0.3833
1580954324.164487,0.00531,-0.04169,-0.99847,0.03571,0.3833
1580954324.1707141,0.00531,-0.04175,-0.99847,0.03564,0.3833
1580954324.186924,0.00537,-0.04175,-0.99847,0.03558,0.3833
1580954324.18708,0.00543,-0.04181,-0.99847,0.03558,0.3833
1580954324.1870852,0.00549,-0.04181,-0.99847,0.03546,0.3833
1580954324.1923158,0.00555,-0.04187,-0.99847,0.03540,0.3833
1580954324.197355,0.00555,-0.04187,-0.99847,0.03540,0.3833
1580954324.202843,0.00562,-0.04193,-0.99847,0.03534,0.3833
1580954324.2081852,0.00562,-0.04193,-0.99847,0.03528,0.3833
1580954324.213823,0.00568,-0.04199,-0.99847,0.03528,0.3833
1580954324.2217338,0.00568,-0.04199,-0.99847,0.03522,0.3833
1580954324.225593,0.00568,-0.04205,-0.99847,0.03516,0.3833
1580954324.233593,0.00574,-0.04211,-0.99847,0.03516,0.3833
1580954324.24302,0.00574,-0.04211,-0.99847,0.03510,0.3833
1580954324.243225,0.00574,-0.04224,-0.99847,0.03503,0.3833
1580954324.248241,0.00580,-0.04224,-0.99847,0.03503,0.3833
1580954324.253484,0.00580,-0.04230,-0.99847,0.03497,0.3833
1580954324.259493,0.00580,-0.04230,-0.99847,0.03497,0.3833
1580954324.263079,0.00580,-0.04236,-0.99847,0.03491,0.3833
1580954324.2697861,0.00580,-0.04242,-0.99847,0.03491,0.3833
1580954324.275737,0.00580,-0.04242,-0.99847,0.03491,0.3833
1580954324.28162,0.00586,-0.04248,-0.99847,0.03491,0.3833
1580954324.286117,0.00586,-0.04254,-0.99847,0.03485,0.3833
1580954324.295933,0.00592,-0.04260,-0.99847,0.03485,0.3833
1580954324.2962391,0.00598,-0.04266,-0.99847,0.03479,0.3833
1580954324.301839,0.00604,-0.04272,-0.99847,0.03479,0.3833
1580954324.309626,0.00604,-0.04272,-0.99847,0.03479,0.3833
1580954324.3148642,0.00604,-0.04279,-0.99847,0.03479,0.3833
1580954324.319762,0.00604,-0.04279,-0.99847,0.03473,0.3833
1580954324.326561,0.00610,-0.04279,-0.99847,0.03473,0.3833
1580954324.329643,0.00610,-0.04285,-0.99847,0.03473,0.3833
1580954324.3351521,0.00610,-0.04285,-0.99847,0.03467,0.3833
1580954324.340843,0.00610,-0.04285,-0.99847,0.03467,0.3833
1580954324.350503,0.00616,-0.04291,-0.99847,0.03461,0.3833
1580954324.3582342,0.00616,-0.04297,-0.99847,0.03461,0.3833
1580954324.358309,0.00610,-0.04303,-0.99847,0.03455,0.3833
1580954324.366795,0.00610,-0.04303,-0.99847,0.03455,0.3833
1580954324.3727932,0.00610,-0.04309,-0.99847,0.03448,0.3833
1580954324.375954,0.00610,-0.04309,-0.99847,0.03448,0.3833
1580954324.382359,0.00610,-0.04315,-0.99847,0.03448,0.3833
1580954324.3860312,0.00610,-0.04315,-0.99847,0.03448,0.3833
1580954324.393451,0.00604,-0.04327,-0.99847,0.03448,0.3833
1580954324.3988218,0.00604,-0.04327,-0.99847,0.03448,0.3833
1580954324.409323,0.00598,-0.04333,-0.99847,0.03448,0.3833
1580954324.4093282,0.00592,-0.04333,-0.99847,0.03455,0.3833
1580954324.416976,0.00592,-0.04340,-0.99841,0.03455,0.3833
1580954324.423077,0.00586,-0.04346,-0.99841,0.03455,0.3833
1580954324.42624,0.00580,-0.04346,-0.99841,0.03461,0.3833
1580954324.430638,0.00580,-0.04352,-0.99841,0.03461,0.3833
1580954324.44398,0.00574,-0.04352,-0.99841,0.03467,0.3833
1580954324.4444952,0.00568,-0.04358,-0.99841,0.03473,0.3833
