eye_packets,765
norm_X,norm_Y,phi,theta,confidence,timestamp
1580976031.75963,"{'circle_3d': {'center': [-6.492699402931517, 6.740953966320795, 45.3995638819631], 'normal': [-0.1504926073919163, 0.647924904961737, -0.7466895557396706], 'radius': 1.7677711517121386}, 'confidence': 0.998559712611288, 'timestamp': 13947.514592, 'diameter_3d': 3.535542303424277, 'ellipse': {'center': [71.37850959658527, 211.6646730626591], 'axes': [30.265702096060636, 48.49573906848323], 'angle': -72.7897143975515}, 'location': [71.37850959658527, 211.6646730626591], 'diameter': 48.49573906848323, 'sphere': {'center': [-4.686788114228521, -1.034144893220049, 54.35983855083914], 'radius': 12.0}, 'projected_sphere': {'center': [106.5449363300799, 108.2050820810149], 'axes': [273.7314973090607, 273.7314973090607], 'angle': 90.0}, 'model_confidence': 0.8717280939204319, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.275653316953127, 'phi': -1.7696783865375327, 'norm_pos': [0.22305784248932897, 0.1180638622389204], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580976031.7719529,"{'circle_3d': {'center': [-6.459011922575718, 6.759027453911166, 45.40854325121704], 'normal': [-0.14768531736226648, 0.6494310289276013, -0.7459412749685084], 'radius': 1.781929266915253}, 'confidence': 0.9976125391674938, 'timestamp': 13947.522992, 'diameter_3d': 3.563858533830506, 'ellipse': {'center': [71.85479621812576, 211.88677370922548], 'axes': [30.46858487715296, 48.87493173716718], 'angle': -73.06013566664953}, 'location': [71.85479621812576, 211.88677370922548], 'diameter': 48.87493173716718, 'sphere': {'center': [-4.686788114228521, -1.034144893220049, 54.35983855083914], 'radius': 12.0}, 'projected_sphere': {'center': [106.5449363300799, 108.2050820810149], 'axes': [273.7314973090607, 273.7314973090607], 'angle': 90.0}, 'model_confidence': 0.8712676741273961, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.2776322920714396, 'phi': -1.7662538109111476, 'norm_pos': [0.224546238181643, 0.11713844287822717], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580976031.77993,"{'circle_3d': {'center': [-6.464415923906418, 6.752973696524343, 45.40434730582544], 'normal': [-0.1481356508064914, 0.648926549145366, -0.7462909370844752], 'radius': 1.7918240490029032}, 'confidence': 0.9976284075835071, 'timestamp': 13947.531392, 'diameter_3d': 3.5836480980058063, 'ellipse': {'center': [71.77375355510685, 211.80812631669232], 'axes': [30.66125307611249, 49.15101252207963], 'angle': -73.00843910435354}, 'location': [71.77375355510685, 211.80812631669232], 'diameter': 49.15101252207963, 'sphere': {'center': [-4.686788114228521, -1.034144893220049, 54.35983855083914], 'radius': 12.0}, 'projected_sphere': {'center': [106.5449363300799, 108.2050820810149], 'axes': [273.7314973090607, 273.7314973090607], 'angle': 90.0}, 'model_confidence': 0.871220815531748, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.2769690577390915, 'phi': -1.766745167107452, 'norm_pos': [0.22429297985970892, 0.11746614034711533], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580976031.7873201,"{'circle_3d': {'center': [-6.485291903434111, 6.746439463538163, 45.402836195833174], 'normal': [-0.14987531576713248, 0.648382029729851, -0.7464168629171642], 'radius': 1.7665785980817934}, 'confidence': 0.9983808785984957, 'timestamp': 13947.539792, 'diameter_3d': 3.533157196163587, 'ellipse': {'center': [71.48553069180946, 211.73348085677102], 'axes': [30.228756500631068, 48.45955738185651], 'angle': -72.85322611974033}, 'location': [71.48553069180946, 211.73348085677102], 'diameter': 48.45955738185651, 'sphere': {'center': [-4.686788114228521, -1.034144893220049, 54.35983855083914], 'radius': 12.0}, 'projected_sphere': {'center': [106.5449363300799, 108.2050820810149], 'axes': [273.7314973090607, 273.7314973090607], 'angle': 90.0}, 'model_confidence': 0.8710314304162692, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.2762536044693773, 'phi': -1.76895431480654, 'norm_pos': [0.22339228341190456, 0.11777716309678743], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580976031.7961469,"{'circle_3d': {'center': [-6.471639759653602, 6.765928374901932, 45.417067077981734], 'normal': [-0.1487376371187568, 0.6500061056768318, -0.7452309560714506], 'radius': 1.7705095000012894}, 'confidence': 0.9984833517687575, 'timestamp': 13947.548192, 'diameter_3d': 3.5410190000025787, 'ellipse': {'center': [71.69876333690192, 211.9691496649407], 'axes': [30.216201705632955, 48.55237742770123], 'angle': -72.99477645040022}, 'location': [71.69876333690192, 211.9691496649407], 'diameter': 48.55237742770123, 'sphere': {'center': [-4.686788114228521, -1.034144893220049, 54.35983855083914], 'radius': 12.0}, 'projected_sphere': {'center': [106.5449363300799, 108.2050820810149], 'axes': [273.7314973090607, 273.7314973090607], 'angle': 90.0}, 'model_confidence': 0.8708402828261574, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.2783887980287005, 'phi': -1.7677937412951958, 'norm_pos': [0.2240586354278185, 0.11679520972941382], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580976031.804864,"{'circle_3d': {'center': [-6.467500542075179, 6.756185817433122, 45.40775439864495], 'normal': [-0.1483927023205548, 0.6491942258877642, -0.7460070126828499], 'radius': 1.7587150261332658}, 'confidence': 0.9984956382445919, 'timestamp': 13947.556592, 'diameter_3d': 3.5174300522665316, 'ellipse': {'center': [71.73663165819988, 211.8600047983404], 'axes': [30.072200880983363, 48.23857710900799], 'angle': -72.99662792726322}, 'location': [71.73663165819988, 211.8600047983404], 'diameter': 48.23857710900799, 'sphere': {'center': [-4.686788114228521, -1.034144893220049, 54.35983855083914], 'radius': 12.0}, 'projected_sphere': {'center': [106.5449363300799, 108.2050820810149], 'axes': [273.7314973090607, 273.7314973090607], 'angle': 90.0}, 'model_confidence': 0.8708648563837351, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.277320922820015, 'phi': -1.7671493251071377, 'norm_pos': [0.22417697393187463, 0.117249980006915], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580976031.8120608,"{'circle_3d': {'center': [-6.462929566590068, 6.7673389814292175, 45.41656337365766], 'normal': [-0.14801178769679563, 0.6501236562207722, -0.7452729314317903], 'radius': 1.7957713892606284}, 'confidence': 0.9977195174260295, 'timestamp': 13947.564992, 'diameter_3d': 3.591542778521257, 'ellipse': {'center': [71.81755059321085, 211.97797633749602], 'axes': [30.654824579952624, 49.24619301561307], 'angle': -73.05591135872996}, 'location': [71.81755059321085, 211.97797633749602], 'diameter': 49.24619301561307, 'sphere': {'center': [-4.686788114228521, -1.034144893220049, 54.35983855083914], 'radius': 12.0}, 'projected_sphere': {'center': [106.5449363300799, 108.2050820810149], 'axes': [273.7314973090607, 273.7314973090607], 'angle': 90.0}, 'model_confidence': 0.8705853457375068, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.2785434944863185, 'phi': -1.7668461243332476, 'norm_pos': [0.22442984560378393, 0.11675843192709989], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580976031.8199701,"{'circle_3d': {'center': [-6.463033435596314, 6.741789781486721, 45.3943607335105], 'normal': [-0.14802044344731605, 0.6479945562255641, -0.7471231514440535], 'radius': 1.7666128873987244}, 'confidence': 0.9985567115608905, 'timestamp': 13947.573392, 'diameter_3d': 3.5332257747974487, 'ellipse': {'center': [71.77215401725434, 211.68667777453066], 'axes': [30.290007730388464, 48.469589775579045], 'angle': -72.98833834097982}, 'location': [71.77215401725434, 211.68667777453066], 'diameter': 48.469589775579045, 'sphere': {'center': [-4.686788114228521, -1.034144893220049, 54.35983855083914], 'radius': 12.0}, 'projected_sphere': {'center': [106.5449363300799, 108.2050820810149], 'axes': [273.7314973090607, 273.7314973090607], 'angle': 90.0}, 'model_confidence': 0.8707794609784547, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.2757447618620548, 'phi': -1.766384063719035, 'norm_pos': [0.2242879813039198, 0.11797217593945553], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580976031.8299909,"{'circle_3d': {'center': [-6.478198923012561, 6.740988051152549, 45.3966831348317], 'normal': [-0.1492842340653367, 0.6479277453643831, -0.7469296180006204], 'radius': 1.7847496822759543}, 'confidence': 0.9977238554699938, 'timestamp': 13947.581792, 'diameter_3d': 3.5694993645519086, 'ellipse': {'center': [71.57116942524189, 211.66313548464484], 'axes': [30.58064203371336, 48.96498804066547], 'angle': -72.8856658706724}, 'location': [71.57116942524189, 211.66313548464484], 'diameter': 48.96498804066547, 'sphere': {'center': [-4.686788114228521, -1.034144893220049, 54.35983855083914], 'radius': 12.0}, 'projected_sphere': {'center': [106.5449363300799, 108.2050820810149], 'axes': [273.7314973090607, 273.7314973090607], 'angle': 90.0}, 'model_confidence': 0.8705345479586679, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.2756570459690355, 'phi': -1.7680609761065371, 'norm_pos': [0.2236599044538809, 0.11807026881397986], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580976031.836019,"{'circle_3d': {'center': [-6.475973768906132, 6.767538705563414, 45.41933813321324], 'normal': [-0.14909880455646762, 0.6501402998986219, -0.7450417014688254], 'radius': 1.7587683942149381}, 'confidence': 0.999070383499818, 'timestamp': 13947.590192, 'diameter_3d': 3.5175367884298763, 'ellipse': {'center': [71.64357265228855, 211.99183944708585], 'axes': [30.00009788911005, 48.227768253441205], 'angle': -72.97043491802948}, 'location': [71.64357265228855, 211.99183944708585], 'diameter': 48.227768253441205, 'sphere': {'center': [-4.686788114228521, -1.034144893220049, 54.35983855083914], 'radius': 12.0}, 'projected_sphere': {'center': [106.5449363300799, 108.2050820810149], 'axes': [273.7314973090607, 273.7314973090607], 'angle': 90.0}, 'model_confidence': 0.8705902008193211, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.2785653992128707, 'phi': -1.768308635594988, 'norm_pos': [0.22388616453840174, 0.1167006689704756], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580976031.843752,"{'circle_3d': {'center': [-6.458944052150493, 6.759336635866868, 45.408799002972714], 'normal': [-0.14767966149349768, 0.6494567940905764, -0.7459199623222028], 'radius': 1.7980410243472316}, 'confidence': 0.9980014314438319, 'timestamp': 13947.598592, 'diameter_3d': 3.596082048694463, 'ellipse': {'center': [71.85702600864056, 211.88321515922144], 'axes': [30.74291669901377, 49.3168808115169], 'angle': -73.06131169061011}, 'location': [71.85702600864056, 211.88321515922144], 'diameter': 49.3168808115169, 'sphere': {'center': [-4.686788114228521, -1.034144893220049, 54.35983855083914], 'radius': 12.0}, 'projected_sphere': {'center': [106.5449363300799, 108.2050820810149], 'axes': [273.7314973090607, 273.7314973090607], 'angle': 90.0}, 'model_confidence': 0.870451644636383, 'model_id': 210, 'model_birth_timestamp': 13659.781792, 'theta': 2.277666175344888, 'phi': -1.766251958024358, 'norm_pos': [0.22455320627700176, 0.11715327016991073], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
