eye_packets,693
norm_X,norm_Y,phi,theta,confidence,timestamp
1580974169.514606,"{'circle_3d': {'center': [-6.5301979249045745, 6.066556686101432, 57.55511790201982], 'normal': [-0.13804599031454398, 0.6763530722887257, -0.7235259678571867], 'radius': 1.9592225020615728}, 'confidence': 0.9996844484581766, 'timestamp': 12115.896488, 'diameter_3d': 3.9184450041231456, 'ellipse': {'center': [89.68779558441778, 185.03499809457142], 'axes': [26.798277286033205, 42.35883202101083], 'angle': -74.6937154377402}, 'location': [89.68779558441778, 185.03499809457142], 'diameter': 42.35883202101083, 'sphere': {'center': [-4.873646041130047, -2.0496801813632755, 66.23742951630607], 'radius': 12.0}, 'projected_sphere': {'center': [114.38137368001624, 100.81444703206078], 'axes': [224.64639870025303, 224.64639870025303], 'angle': 90.0}, 'model_confidence': 0.961862755697307, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.3135964552332737, 'phi': -1.759326599674036, 'norm_pos': [0.28027436120130556, 0.22902084127261912], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974169.5194051,"{'circle_3d': {'center': [-6.540382912444581, 6.079545351927338, 57.569230139809434], 'normal': [-0.1388947392762112, 0.6774354611075512, -0.7223499480413859], 'radius': 1.9486597832193966}, 'confidence': 0.9995784488239835, 'timestamp': 12115.904888, 'diameter_3d': 3.897319566438793, 'ellipse': {'center': [89.59511328557295, 185.16261546557894], 'axes': [26.58257175120404, 42.120067708211764], 'angle': -74.65768881573635}, 'location': [89.59511328557295, 185.16261546557894], 'diameter': 42.120067708211764, 'sphere': {'center': [-4.873646041130047, -2.0496801813632755, 66.23742951630607], 'radius': 12.0}, 'projected_sphere': {'center': [114.38137368001624, 100.81444703206078], 'axes': [224.64639870025303, 224.64639870025303], 'angle': 90.0}, 'model_confidence': 0.9618462111363191, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.315066932326626, 'phi': -1.7607596337263167, 'norm_pos': [0.27998472901741545, 0.22848910222675445], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974169.5274508,"{'circle_3d': {'center': [-6.557597721183564, 6.083177260272503, 57.57596678918691], 'normal': [-0.1403293066711264, 0.6777381201363148, -0.7217885605932634], 'radius': 1.9470598258212888}, 'confidence': 0.9994115999358947, 'timestamp': 12115.913288, 'diameter_3d': 3.8941196516425776, 'ellipse': {'center': [89.41843468608208, 185.19484209934478], 'axes': [26.522850009344648, 42.08062307677346], 'angle': -74.5536743722974}, 'location': [89.41843468608208, 185.19484209934478], 'diameter': 42.08062307677346, 'sphere': {'center': [-4.873646041130047, -2.0496801813632755, 66.23742951630607], 'radius': 12.0}, 'projected_sphere': {'center': [114.38137368001624, 100.81444703206078], 'axes': [224.64639870025303, 224.64639870025303], 'angle': 90.0}, 'model_confidence': 0.9618062727699161, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.3154784653896945, 'phi': -1.7628196882877354, 'norm_pos': [0.2794326083940065, 0.22835482458606338], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974169.5341911,"{'circle_3d': {'center': [-6.589827921198282, 6.087464847450253, 57.58632608757625], 'normal': [-0.14301515667235293, 0.6780954190677939, -0.7209252857274846], 'radius': 1.965887064810186}, 'confidence': 0.9992674403433446, 'timestamp': 12115.921688, 'diameter_3d': 3.931774129620372, 'ellipse': {'center': [89.08578799133649, 185.22363551405203], 'axes': [26.718939459285096, 42.480260140111504], 'angle': -74.3534523476934}, 'location': [89.08578799133649, 185.22363551405203], 'diameter': 42.480260140111504, 'sphere': {'center': [-4.873646041130047, -2.0496801813632755, 66.23742951630607], 'radius': 12.0}, 'projected_sphere': {'center': [114.38137368001624, 100.81444703206078], 'axes': [224.64639870025303, 224.64639870025303], 'angle': 90.0}, 'model_confidence': 0.9617360417862875, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.315964494709148, 'phi': -1.7666310389803759, 'norm_pos': [0.2783930874729265, 0.22823485202478322], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974169.542659,"{'circle_3d': {'center': [-6.618821499336278, 6.094622871352517, 57.59887116403461], 'normal': [-0.14543128818385262, 0.6786919210596494, -0.7198798626892878], 'radius': 1.9452582608842677}, 'confidence': 0.9995432583967372, 'timestamp': 12115.930088, 'diameter_3d': 3.8905165217685354, 'ellipse': {'center': [88.78924895880186, 185.29350564404822], 'axes': [26.368856750062573, 42.0252281142538], 'angle': -74.18202505524542}, 'location': [88.78924895880186, 185.29350564404822], 'diameter': 42.0252281142538, 'sphere': {'center': [-4.873646041130047, -2.0496801813632755, 66.23742951630607], 'radius': 12.0}, 'projected_sphere': {'center': [114.38137368001624, 100.81444703206078], 'axes': [224.64639870025303, 224.64639870025303], 'angle': 90.0}, 'model_confidence': 0.9617587801513228, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.316776395062013, 'phi': -1.770134983635313, 'norm_pos': [0.2774664029962558, 0.22794372648313244], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974169.550554,"{'circle_3d': {'center': [-6.6517136376612225, 6.0883535787347665, 57.59967042371322], 'normal': [-0.14817229971093135, 0.6781694800081701, -0.7198132577160704], 'radius': 1.9498844761870537}, 'confidence': 0.9993111252838692, 'timestamp': 12115.938488, 'diameter_3d': 3.8997689523741075, 'ellipse': {'center': [88.43754639045923, 185.22391521924413], 'axes': [26.417127809606278, 42.1247781370103], 'angle': -73.95324965973505}, 'location': [88.43754639045923, 185.22391521924413], 'diameter': 42.1247781370103, 'sphere': {'center': [-4.873646041130047, -2.0496801813632755, 66.23742951630607], 'radius': 12.0}, 'projected_sphere': {'center': [114.38137368001624, 100.81444703206078], 'axes': [224.64639870025303, 224.64639870025303], 'angle': 90.0}, 'model_confidence': 0.9617162048363936, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.3160652661591548, 'phi': -1.773808828022981, 'norm_pos': [0.2763673324701851, 0.2282336865864828], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974169.561517,"{'circle_3d': {'center': [-6.670313830338683, 6.095836595277969, 57.610579494619344], 'normal': [-0.14972231576738637, 0.6787930647201037, -0.7189041684738935], 'radius': 1.9544227744271778}, 'confidence': 0.9992929918595328, 'timestamp': 12115.946888, 'diameter_3d': 3.9088455488543556, 'ellipse': {'center': [88.25157366226891, 185.29096241545489], 'axes': [26.420230236974525, 42.21496727313047], 'angle': -73.85098527958111}, 'location': [88.25157366226891, 185.29096241545489], 'diameter': 42.21496727313047, 'sphere': {'center': [-4.873646041130047, -2.0496801813632755, 66.23742951630607], 'radius': 12.0}, 'projected_sphere': {'center': [114.38137368001624, 100.81444703206078], 'axes': [224.64639870025303, 224.64639870025303], 'angle': 90.0}, 'model_confidence': 0.9615784130219907, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.31691412234623, 'phi': -1.7761258764427565, 'norm_pos': [0.27578616769459036, 0.22795432326893794], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974169.5669818,"{'circle_3d': {'center': [-6.705303074070021, 6.088226435152556, 57.61075527795967], 'normal': [-0.15263808607833118, 0.6781588847096526, -0.7188895198621997], 'radius': 1.9655861676584456}, 'confidence': 0.9990358499224493, 'timestamp': 12115.955288, 'diameter_3d': 3.9311723353168913, 'ellipse': {'center': [87.87696400990302, 185.20558114510015], 'axes': [26.55899054097705, 42.45623695189837], 'angle': -73.60598669984273}, 'location': [87.87696400990302, 185.20558114510015], 'diameter': 42.45623695189837, 'sphere': {'center': [-4.873646041130047, -2.0496801813632755, 66.23742951630607], 'radius': 12.0}, 'projected_sphere': {'center': [114.38137368001624, 100.81444703206078], 'axes': [224.64639870025303, 224.64639870025303], 'angle': 90.0}, 'model_confidence': 0.9613361936867793, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.3160508490301153, 'phi': -1.780014100046878, 'norm_pos': [0.27461551253094696, 0.22831007856208274], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974169.574827,"{'circle_3d': {'center': [-6.732073590197517, 6.085002286166869, 57.61344040468697], 'normal': [-0.15486896242228923, 0.677890205627512, -0.7186657593015916], 'radius': 1.956114946364943}, 'confidence': 0.9993180232424074, 'timestamp': 12115.963688, 'diameter_3d': 3.912229892729886, 'ellipse': {'center': [87.59280093936522, 185.1711418039337], 'axes': [26.409230887755005, 42.24967932924569], 'angle': -73.4252371171365}, 'location': [87.59280093936522, 185.1711418039337], 'diameter': 42.24967932924569, 'sphere': {'center': [-4.873646041130047, -2.0496801813632755, 66.23742951630607], 'radius': 12.0}, 'projected_sphere': {'center': [114.38137368001624, 100.81444703206078], 'axes': [224.64639870025303, 224.64639870025303], 'angle': 90.0}, 'model_confidence': 0.9612231575363062, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.315685318776866, 'phi': -1.783045680764185, 'norm_pos': [0.2737275029355163, 0.22845357581694292], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974169.583605,"{'circle_3d': {'center': [-6.759351131566071, 6.076088256668097, 57.6109584183775], 'normal': [-0.1571420908696686, 0.6771473698359477, -0.7188725914940471], 'radius': 1.9641060914645232}, 'confidence': 0.9992819564406339, 'timestamp': 12115.972088, 'diameter_3d': 3.9282121829290464, 'ellipse': {'center': [87.29750730991229, 185.07565880816156], 'axes': [26.520255417039454, 42.42430065242314], 'angle': -73.2271090597883}, 'location': [87.29750730991229, 185.07565880816156], 'diameter': 42.42430065242314, 'sphere': {'center': [-4.873646041130047, -2.0496801813632755, 66.23742951630607], 'radius': 12.0}, 'projected_sphere': {'center': [114.38137368001624, 100.81444703206078], 'axes': [224.64639870025303, 224.64639870025303], 'angle': 90.0}, 'model_confidence': 0.9610497287716457, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.314675352248215, 'phi': -1.78600628152157, 'norm_pos': [0.2728047103434759, 0.22885142163266015], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974169.596618,"{'circle_3d': {'center': [-6.785138873788879, 6.060569282771638, 57.60203440199929], 'normal': [-0.159291069388236, 0.6758541220112428, -0.7196162595255643], 'radius': 1.965732089173022}, 'confidence': 0.9988292824799805, 'timestamp': 12115.980488, 'diameter_3d': 3.931464178346044, 'ellipse': {'center': [87.0098808221397, 184.91827162510288], 'axes': [26.57684083496246, 42.46610067915149], 'angle': -73.02185114287289}, 'location': [87.0098808221397, 184.91827162510288], 'diameter': 42.46610067915149, 'sphere': {'center': [-4.873646041130047, -2.0496801813632755, 66.23742951630607], 'radius': 12.0}, 'projected_sphere': {'center': [114.38137368001624, 100.81444703206078], 'axes': [224.64639870025303, 224.64639870025303], 'angle': 90.0}, 'model_confidence': 0.9607507581641306, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.312919275727246, 'phi': -1.788639255427002, 'norm_pos': [0.2719058775691866, 0.22950720156207138], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
