eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1580974462.248713,"{'circle_3d': {'center': [-6.276067918508147, 6.176017468437337, 52.78149420544964], 'normal': [-0.10935105899669194, 0.6511508475303677, -0.7510292402142448], 'radius': 2.041590388032097}, 'confidence': 0.9944845536273584, 'timestamp': 12408.629577, 'diameter_3d': 4.083180776064194, 'ellipse': {'center': [86.3060228904742, 192.1402653918789], 'axes': [31.647601531786194, 48.15607705897663], 'angle': -76.16568842269017}, 'location': [86.3060228904742, 192.1402653918789], 'diameter': 48.15607705897663, 'sphere': {'center': [-4.963855210547844, -1.6377927019270762, 61.793845088020575], 'radius': 12.0}, 'projected_sphere': {'center': [110.19584513383376, 103.56743339488935], 'axes': [240.8006813430138, 240.8006813430138], 'angle': 90.0}, 'model_confidence': 0.7665088088186778, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.2798961503635597, 'phi': -1.715381909888672, 'norm_pos': [0.2697063215327319, 0.19941556086717127], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974462.256586,"{'circle_3d': {'center': [-6.266333576928067, 6.191189314297164, 52.79325673532113], 'normal': [-0.10853986386501858, 0.6524151680186866, -0.7500490293916205], 'radius': 1.9830015170526982}, 'confidence': 0.9980917802364211, 'timestamp': 12408.637977, 'diameter_3d': 3.9660030341053965, 'ellipse': {'center': [86.43446584839977, 192.32544331658661], 'axes': [30.67674138772706, 46.76280825899849], 'angle': -76.26747660549924}, 'location': [86.43446584839977, 192.32544331658661], 'diameter': 46.76280825899849, 'sphere': {'center': [-4.963855210547844, -1.6377927019270762, 61.793845088020575], 'radius': 12.0}, 'projected_sphere': {'center': [110.19584513383376, 103.56743339488935], 'axes': [240.8006813430138, 240.8006813430138], 'angle': 90.0}, 'model_confidence': 0.7661036845045377, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.2815632281338987, 'phi': -1.7145090595627468, 'norm_pos': [0.27010770577624926, 0.19864398618088908], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974462.264624,"{'circle_3d': {'center': [-6.277196772607615, 6.176405046139131, 52.78199469559375], 'normal': [-0.10944513017164767, 0.6511831456721838, -0.750987532702235], 'radius': 2.012672922036775}, 'confidence': 0.9957097504687498, 'timestamp': 12408.646377, 'diameter_3d': 4.02534584407355, 'ellipse': {'center': [86.29271506656576, 192.15559268287006], 'axes': [31.19550706130097, 47.47309904405784], 'angle': -76.15892158739983}, 'location': [86.29271506656576, 192.15559268287006], 'diameter': 47.47309904405784, 'sphere': {'center': [-4.963855210547844, -1.6377927019270762, 61.793845088020575], 'radius': 12.0}, 'projected_sphere': {'center': [110.19584513383376, 103.56743339488935], 'axes': [240.8006813430138, 240.8006813430138], 'angle': 90.0}, 'model_confidence': 0.7652155752279288, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.2799387075839026, 'phi': -1.715512488663169, 'norm_pos': [0.269664734583018, 0.19935169715470802], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974462.272099,"{'circle_3d': {'center': [-6.2637327842414585, 6.168104861860986, 52.77285392756287], 'normal': [-0.10832313114113454, 0.6504914636490051, -0.7517492633714752], 'radius': 2.0121380808356584}, 'confidence': 0.994978884402582, 'timestamp': 12408.654777, 'diameter_3d': 4.024276161671317, 'ellipse': {'center': [86.43764881958262, 192.07056565149728], 'axes': [31.243994150572256, 47.46862627261461], 'angle': -76.23301407648587}, 'location': [86.43764881958262, 192.07056565149728], 'diameter': 47.46862627261461, 'sphere': {'center': [-4.963855210547844, -1.6377927019270762, 61.793845088020575], 'radius': 12.0}, 'projected_sphere': {'center': [110.19584513383376, 103.56743339488935], 'axes': [240.8006813430138, 240.8006813430138], 'angle': 90.0}, 'model_confidence': 0.7639712252840214, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.279027661216428, 'phi': -1.7139060373890294, 'norm_pos': [0.2701176525611957, 0.19970597645209465], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974462.284528,"{'circle_3d': {'center': [-6.265323451955046, 6.176378307089607, 52.780249143090955], 'normal': [-0.1084556867839335, 0.651180917418057, -0.7511329954108015], 'radius': 2.0075560656509452}, 'confidence': 0.9961185569537157, 'timestamp': 12408.663177, 'diameter_3d': 4.0151121313018905, 'ellipse': {'center': [86.4290699868752, 192.1595546779914], 'axes': [31.13055412560056, 47.35385029632209], 'angle': -76.24080764412821}, 'location': [86.4290699868752, 192.1595546779914], 'diameter': 47.35385029632209, 'sphere': {'center': [-4.963855210547844, -1.6377927019270762, 61.793845088020575], 'radius': 12.0}, 'projected_sphere': {'center': [110.19584513383376, 103.56743339488935], 'axes': [240.8006813430138, 240.8006813430138], 'angle': 90.0}, 'model_confidence': 0.7629828515877124, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.279935771504351, 'phi': -1.714194727936637, 'norm_pos': [0.270090843708985, 0.19933518884170254], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974462.292779,"{'circle_3d': {'center': [-6.276288248925294, 6.17087747413896, 52.77707240589133], 'normal': [-0.10936941986478749, 0.6507225146721697, -0.75139772351077], 'radius': 1.9999279531086664}, 'confidence': 0.995803812348218, 'timestamp': 12408.671576, 'diameter_3d': 3.999855906217333, 'ellipse': {'center': [86.29622734554336, 192.10231247455988], 'axes': [31.025637904549836, 47.17667535904156], 'angle': -76.15266835904123}, 'location': [86.29622734554336, 192.10231247455988], 'diameter': 47.17667535904156, 'sphere': {'center': [-4.963855210547844, -1.6377927019270762, 61.793845088020575], 'radius': 12.0}, 'projected_sphere': {'center': [110.19584513383376, 103.56743339488935], 'axes': [240.8006813430138, 240.8006813430138], 'angle': 90.0}, 'model_confidence': 0.761886549179247, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.2793319100731417, 'phi': -1.7153359176123424, 'norm_pos': [0.26967571045482297, 0.1995736980226671], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974462.300145,"{'circle_3d': {'center': [-6.268048292025893, 6.183475493675228, 52.786800943647535], 'normal': [-0.1086827567898374, 0.6517723496335254, -0.7505870120310867], 'radius': 1.9854174621845255}, 'confidence': 0.9967844406255116, 'timestamp': 12408.679976, 'diameter_3d': 3.970834924369051, 'ellipse': {'center': [86.40560646843467, 192.24268674856444], 'axes': [30.74936522507984, 46.82553321912404], 'angle': -76.23819106844856}, 'location': [86.40560646843467, 192.24268674856444], 'diameter': 46.82553321912404, 'sphere': {'center': [-4.963855210547844, -1.6377927019270762, 61.793845088020575], 'radius': 12.0}, 'projected_sphere': {'center': [110.19584513383376, 103.56743339488935], 'axes': [240.8006813430138, 240.8006813430138], 'angle': 90.0}, 'model_confidence': 0.7612591065542573, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.280715337425252, 'phi': -1.7145939349778831, 'norm_pos': [0.27001752021385833, 0.19898880521431483], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974462.3086421,"{'circle_3d': {'center': [-6.269593269384211, 6.176910999391033, 52.78132855919738], 'normal': [-0.10881150490303065, 0.6512253084431757, -0.7510430440685996], 'radius': 2.0029197331383446}, 'confidence': 0.9960727358842144, 'timestamp': 12408.688376, 'diameter_3d': 4.005839466276689, 'ellipse': {'center': [86.38048022239488, 192.166199213869], 'axes': [31.050850665711714, 47.243471140539505], 'angle': -76.2125697583392}, 'location': [86.38048022239488, 192.166199213869], 'diameter': 47.243471140539505, 'sphere': {'center': [-4.963855210547844, -1.6377927019270762, 61.793845088020575], 'radius': 12.0}, 'projected_sphere': {'center': [110.19584513383376, 103.56743339488935], 'axes': [240.8006813430138, 240.8006813430138], 'angle': 90.0}, 'model_confidence': 0.7604219145227908, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.2799942651412612, 'phi': -1.714675724426231, 'norm_pos': [0.269939000694984, 0.19930750327554592], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974462.316917,"{'circle_3d': {'center': [-6.270321642030125, 6.158013758028082, 52.76508287483036], 'normal': [-0.10887220262352346, 0.6496505383295964, -0.7523968510991843], 'radius': 2.0049105547004866}, 'confidence': 0.993968447894897, 'timestamp': 12408.696776, 'diameter_3d': 4.009821109400973, 'ellipse': {'center': [86.3496864647191, 191.9654061423654], 'axes': [31.172708827517017, 47.30498179053639], 'angle': -76.16456671962719}, 'location': [86.3496864647191, 191.9654061423654], 'diameter': 47.30498179053639, 'sphere': {'center': [-4.963855210547844, -1.6377927019270762, 61.793845088020575], 'radius': 12.0}, 'projected_sphere': {'center': [110.19584513383376, 103.56743339488935], 'axes': [240.8006813430138, 240.8006813430138], 'angle': 90.0}, 'model_confidence': 0.7591242771289308, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.277920996110507, 'phi': -1.714499406051034, 'norm_pos': [0.2698427702022472, 0.20014414107347756], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974462.324963,"{'circle_3d': {'center': [-6.273045648040248, 6.187413451964678, 52.79094727412348], 'normal': [-0.10909920312436701, 0.6521005128243129, -0.7502414844914244], 'radius': 1.9927843082012566}, 'confidence': 0.9965418230690307, 'timestamp': 12408.705176, 'diameter_3d': 3.9855686164025133, 'ellipse': {'center': [86.35304325302951, 192.28049240097982], 'axes': [30.83853861222979, 46.995723525345866], 'angle': -76.21263393873986}, 'location': [86.35304325302951, 192.28049240097982], 'diameter': 46.995723525345866, 'sphere': {'center': [-4.963855210547844, -1.6377927019270762, 61.793845088020575], 'radius': 12.0}, 'projected_sphere': {'center': [110.19584513383376, 103.56743339488935], 'axes': [240.8006813430138, 240.8006813430138], 'angle': 90.0}, 'model_confidence': 0.75827713633555, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.2811481141807897, 'phi': -1.715202882826309, 'norm_pos': [0.2698532601657172, 0.19883128166258401], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974462.332243,"{'circle_3d': {'center': [-6.2513144873162805, 6.188306217953935, 52.78858971646669], 'normal': [-0.10728827306403642, 0.6521749099900842, -0.7504379476294908], 'radius': 2.0109376153310317}, 'confidence': 0.9956021733342668, 'timestamp': 12408.713576, 'diameter_3d': 4.021875230662063, 'ellipse': {'center': [86.60445837154798, 192.2869091443917], 'axes': [31.141590889021337, 47.426140737739544], 'angle': -76.36440581063451}, 'location': [86.60445837154798, 192.2869091443917], 'diameter': 47.426140737739544, 'sphere': {'center': [-4.963855210547844, -1.6377927019270762, 61.793845088020575], 'radius': 12.0}, 'projected_sphere': {'center': [110.19584513383376, 103.56743339488935], 'axes': [240.8006813430138, 240.8006813430138], 'angle': 90.0}, 'model_confidence': 0.7573060358069372, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.281246250461475, 'phi': -1.712801576459801, 'norm_pos': [0.27063893241108744, 0.1988045452317012], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
