imu_packets,1184
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1580974698.5052679,0.05267,-0.00549,-0.97772,0.20306,0.0177
1580974698.509325,0.05267,-0.00555,-0.97772,0.20306,0.0177
1580974698.5174882,0.05267,-0.00562,-0.97772,0.20306,0.0177
1580974698.519808,0.05267,-0.00562,-0.97772,0.20306,0.0177
1580974698.525612,0.05267,-0.00568,-0.97772,0.20306,0.0177
1580974698.5316749,0.05273,-0.00568,-0.97772,0.20306,0.0177
1580974698.537156,0.05273,-0.00574,-0.97772,0.20306,0.0177
1580974698.54302,0.05273,-0.00574,-0.97772,0.20306,0.0177
1580974698.547789,0.05280,-0.00574,-0.97772,0.20312,0.0177
1580974698.5565388,0.05280,-0.00580,-0.97772,0.20312,0.0177
1580974698.5619001,0.05286,-0.00580,-0.97772,0.20312,0.0177
1580974698.5638988,0.05286,-0.00586,-0.97772,0.20312,0.0177
1580974698.570464,0.05286,-0.00586,-0.97772,0.20319,0.0177
1580974698.575146,0.05286,-0.00586,-0.97772,0.20319,0.0177
1580974698.581645,0.05292,-0.00592,-0.97766,0.20319,0.0177
1580974698.589629,0.05292,-0.00592,-0.97766,0.20325,0.0177
1580974698.592134,0.05292,-0.00592,-0.97766,0.20331,0.0177
1580974698.600587,0.05292,-0.00592,-0.97766,0.20331,0.0177
1580974698.602675,0.05292,-0.00592,-0.97766,0.20337,0.0177
1580974698.60959,0.05292,-0.00592,-0.97766,0.20337,0.0177
1580974698.616914,0.05292,-0.00592,-0.97766,0.20343,0.0177
1580974698.6190689,0.05292,-0.00592,-0.97760,0.20349,0.0177
1580974698.6254022,0.05292,-0.00586,-0.97760,0.20355,0.0177
1580974698.631306,0.05292,-0.00586,-0.97760,0.20355,0.0177
1580974698.636037,0.05292,-0.00586,-0.97760,0.20361,0.0177
1580974698.642102,0.05292,-0.00586,-0.97760,0.20367,0.0177
1580974698.647399,0.05292,-0.00580,-0.97760,0.20367,0.0177
1580974698.652423,0.05292,-0.00580,-0.97760,0.20374,0.0177
1580974698.657717,0.05286,-0.00580,-0.97760,0.20374,0.0177
1580974698.664062,0.05286,-0.00574,-0.97754,0.20380,0.0177
1580974698.671105,0.05286,-0.00574,-0.97754,0.20392,0.0177
1580974698.674337,0.05280,-0.00574,-0.97754,0.20398,0.0177
1580974698.679554,0.05280,-0.00574,-0.97754,0.20404,0.0177
1580974698.6866848,0.05280,-0.00574,-0.97754,0.20410,0.0177
1580974698.690874,0.05280,-0.00574,-0.97748,0.20416,0.0177
1580974698.696694,0.05280,-0.00574,-0.97748,0.20422,0.0177
1580974698.702165,0.05280,-0.00574,-0.97748,0.20428,0.0177
1580974698.708021,0.05273,-0.00574,-0.97748,0.20435,0.0177
1580974698.713289,0.05273,-0.00580,-0.97742,0.20447,0.0177
1580974698.718194,0.05273,-0.00580,-0.97742,0.20459,0.0177
1580974698.723828,0.05273,-0.00586,-0.97736,0.20471,0.0177
1580974698.729155,0.05267,-0.00592,-0.97729,0.20508,0.0177
1580974698.7352982,0.05267,-0.00604,-0.97723,0.20532,0.0177
1580974698.7406468,0.05261,-0.00610,-0.97717,0.20563,0.0177
1580974698.746038,0.05261,-0.00623,-0.97711,0.20593,0.0177
1580974698.7547882,0.05267,-0.00635,-0.97705,0.20636,0.0177
1580974698.758053,0.05267,-0.00647,-0.97693,0.20679,0.0177
1580974698.762323,0.05273,-0.00665,-0.97681,0.20740,0.0177
1580974698.76971,0.05273,-0.00677,-0.97668,0.20801,0.0177
1580974698.775423,0.05280,-0.00696,-0.97650,0.20880,0.0177
1580974698.77953,0.05298,-0.00732,-0.97614,0.21051,0.0177
1580974698.78546,0.05310,-0.00751,-0.97589,0.21167,0.0177
1580974698.7897248,0.05328,-0.00769,-0.97559,0.21289,0.0177
1580974698.796227,0.05347,-0.00787,-0.97528,0.21429,0.0177
1580974698.802269,0.05365,-0.00812,-0.97491,0.21582,0.0177
1580974698.8067698,0.05383,-0.00830,-0.97455,0.21735,0.0177
1580974698.813337,0.05408,-0.00854,-0.97412,0.21924,0.0177
1580974698.818151,0.05426,-0.00879,-0.97369,0.22119,0.0177
1580974698.8228228,0.05457,-0.00903,-0.97314,0.22345,0.0177
1580974698.8287969,0.05487,-0.00928,-0.97266,0.22559,0.0177
1580974698.834444,0.05554,-0.00977,-0.97144,0.23041,0.0178
1580974698.841869,0.05591,-0.01001,-0.97076,0.23322,0.0178
1580974698.8454368,0.05621,-0.01025,-0.97015,0.23566,0.0178
1580974698.853929,0.05658,-0.01050,-0.96948,0.23840,0.0178
1580974698.856228,0.05695,-0.01074,-0.96869,0.24133,0.0178
1580974698.8617961,0.05731,-0.01099,-0.96796,0.24432,0.0178
1580974698.870383,0.05768,-0.01129,-0.96716,0.24725,0.0178
1580974698.87257,0.05798,-0.01154,-0.96637,0.25031,0.0178
1580974698.879755,0.05841,-0.01184,-0.96545,0.25366,0.0178
1580974698.885323,0.05908,-0.01233,-0.96381,0.25977,0.0179
1580974698.889243,0.05945,-0.01263,-0.96277,0.26331,0.0179
1580974698.8948648,0.05975,-0.01288,-0.96191,0.26642,0.0179
1580974698.900222,0.06006,-0.01318,-0.96094,0.26978,0.0179
1580974698.907572,0.06036,-0.01343,-0.96008,0.27277,0.0179
1580974698.91206,0.06067,-0.01367,-0.95911,0.27600,0.0180
1580974698.91794,0.06097,-0.01392,-0.95819,0.27924,0.0180
1580974698.9254022,0.06128,-0.01422,-0.95715,0.28278,0.0180
1580974698.9283662,0.06152,-0.01447,-0.95624,0.28571,0.0180
1580974698.935123,0.06183,-0.01477,-0.95514,0.28918,0.0180
1580974698.93953,0.06232,-0.01526,-0.95325,0.29529,0.0180
1580974698.944322,0.06256,-0.01550,-0.95221,0.29852,0.0180
1580974698.9512918,0.06281,-0.01575,-0.95123,0.30157,0.0180
1580974698.9583302,0.06305,-0.01599,-0.95026,0.30463,0.0180
1580974698.9618392,0.06329,-0.01624,-0.94928,0.30762,0.0180
1580974698.966136,0.06348,-0.01648,-0.94843,0.31012,0.0181
1580974698.971483,0.06366,-0.01672,-0.94751,0.31293,0.0181
1580974698.977715,0.06384,-0.01697,-0.94653,0.31567,0.0181
1580974698.98436,0.06396,-0.01721,-0.94562,0.31848,0.0181
1580974698.9876428,0.06415,-0.01746,-0.94476,0.32092,0.0181
1580974698.993682,0.06427,-0.01776,-0.94385,0.32361,0.0181
1580974698.999604,0.06458,-0.01831,-0.94214,0.32843,0.0181
1580974699.0047832,0.06470,-0.01862,-0.94135,0.33063,0.0181
1580974699.00969,0.06482,-0.01892,-0.94055,0.33289,0.0181
1580974699.015264,0.06494,-0.01923,-0.93976,0.33502,0.0181
1580974699.022327,0.06512,-0.01953,-0.93896,0.33728,0.0181
1580974699.02946,0.06519,-0.01984,-0.93823,0.33917,0.0181
1580974699.032165,0.06531,-0.02014,-0.93750,0.34113,0.0181
1580974699.038181,0.06543,-0.02051,-0.93671,0.34326,0.0181
1580974699.044371,0.06555,-0.02081,-0.93604,0.34509,0.0181
1580974699.051935,0.06580,-0.02142,-0.93481,0.34839,0.0181
1580974699.054239,0.06586,-0.02173,-0.93414,0.35010,0.0181
1580974699.0597188,0.06598,-0.02209,-0.93353,0.35168,0.0181
1580974699.066417,0.06604,-0.02234,-0.93304,0.35297,0.0181
1580974699.072489,0.06616,-0.02271,-0.93243,0.35455,0.0181
1580974699.077589,0.06622,-0.02295,-0.93195,0.35571,0.0182
1580974699.082082,0.06628,-0.02325,-0.93140,0.35712,0.0181
1580974699.087507,0.06635,-0.02356,-0.93097,0.35822,0.0182
1580974699.0936162,0.06641,-0.02386,-0.93048,0.35937,0.0181
1580974699.1003468,0.06647,-0.02441,-0.92969,0.36139,0.0182
1580974699.1054778,0.06653,-0.02466,-0.92932,0.36237,0.0181
1580974699.109687,0.06653,-0.02496,-0.92896,0.36328,0.0181
1580974699.116323,0.06653,-0.02521,-0.92865,0.36414,0.0181
1580974699.12209,0.06647,-0.02551,-0.92828,0.36493,0.0181
1580974699.1264682,0.06647,-0.02570,-0.92804,0.36560,0.0181
