#NEXT_T1_EW_PS_B1_C5_S1_0204133943
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
1227.117,0.0238915,-0.05688556,0.03045646,359.6885,359.5168,358.9583,-0.008433804,0.005435792,0.9999496,1.06066,1.06066,10,DwellButton,8.811913,
1227.133,0.0238638,-0.05689593,0.03027564,359.6719,359.4917,358.9767,-0.008871944,0.005726948,0.9999443,1.06066,1.06066,10,MixedRealityCamera,8.818665,
1227.15,0.02388312,-0.05684606,0.03005434,359.6467,359.4726,358.9459,-0.009204928,0.006166136,0.9999386,1.06066,1.06066,10,MixedRealityCamera,8.814899,
1227.166,0.02391923,-0.05678901,0.02982652,359.6207,359.4845,358.9518,-0.008997168,0.006620785,0.9999376,1.06066,1.06066,10,MixedRealityCamera,8.787848,
1227.182,0.02407019,-0.05674639,0.02957764,359.5951,359.4939,358.9481,-0.008832662,0.0070677,0.999936,1.06066,1.06066,10,MixedRealityCamera,8.762507,
1227.2,0.0241465,-0.05671216,0.02932891,359.5776,359.5059,358.9477,-0.008623975,0.007372795,0.9999356,1.06066,1.06066,10,MixedRealityCamera,8.741208,
1227.216,0.02424668,-0.0567045,0.0290413,359.5604,359.5386,358.9271,-0.00805233,0.007673118,0.9999381,1.06066,1.06066,10,MixedRealityCamera,8.704819,
1227.233,0.02433326,-0.0566761,0.02880312,359.5339,359.5596,358.9053,-0.007686845,0.008134054,0.9999374,1.06066,1.06066,10,MixedRealityCamera,8.670815,
1227.25,0.0244121,-0.05662491,0.02853707,359.506,359.5848,358.8987,-0.007245608,0.008621668,0.9999366,1.06066,1.06066,10,MixedRealityCamera,8.632515,
1227.265,0.02447408,-0.05659827,0.02829987,359.4907,359.5974,358.8733,-0.007025477,0.00888971,0.9999358,1.06066,1.06066,10,MixedRealityCamera,8.612265,
1227.283,0.02458116,-0.05657639,0.02804596,359.4665,359.6035,358.8596,-0.006919097,0.009311236,0.9999327,1.06066,1.06066,10,MixedRealityCamera,8.59064,
1227.299,0.02463956,-0.05655085,0.02780663,359.4507,359.6132,358.8426,-0.006750363,0.009586297,0.9999313,1.06066,1.06066,10,MixedRealityCamera,8.572285,
1227.316,0.02469519,-0.05654451,0.02756079,359.4283,359.6175,358.828,-0.006675158,0.009977485,0.9999279,1.06066,1.06066,10,MixedRealityCamera,8.553431,
1227.333,0.02474634,-0.05653173,0.02732342,359.4339,359.6176,358.8136,-0.006672991,0.009879874,0.999929,1.06066,1.06066,10,MixedRealityCamera,8.556668,
1227.35,0.02478421,-0.05647942,0.02703834,359.4422,359.6136,358.794,-0.006742665,0.009734598,0.9999299,1.06066,1.06066,10,MixedRealityCamera,8.564674,
1227.366,0.02481746,-0.05645438,0.02676146,359.4494,359.627,358.7654,-0.006509103,0.009608814,0.9999326,1.06066,1.06066,10,MixedRealityCamera,8.559284,
1227.383,0.02489471,-0.05640509,0.02647052,359.4096,359.6463,358.755,-0.00617317,0.010304,0.9999279,1.06066,1.06066,10,MixedRealityCamera,8.517305,
1227.399,0.02496638,-0.05627079,0.02620493,359.3089,359.6563,358.771,-0.005997539,0.01206227,0.9999093,1.06066,1.06066,10,MixedRealityCamera,8.440804,
1227.416,0.02511732,-0.05576352,0.02592605,358.9109,359.7258,358.8266,-0.00478438,0.01900776,0.9998079,1.06066,1.06066,10,MixedRealityCamera,8.122577,
1227.432,0.02527291,-0.05514233,0.02561345,358.4809,359.7972,358.8168,-0.003538802,0.02651003,0.9996423,1.06066,1.06066,10,MixedRealityCamera,7.790798,
1227.45,0.0257359,-0.05414943,0.02502335,357.8447,0.00932743,358.6581,0.0001626792,0.03760781,0.9992926,1.06066,1.06066,10,MixedRealityCamera,7.232343,
