#NEXT_T6_EU_PS_B2_C6_S2_0205094533
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
1845.935,-0.02969927,0.1523651,-0.07514542,1.320063,0.3100919,358.4893,0.005410661,-0.02303741,0.99972,-0.3,3.577464E-09,1.924855,DwellButton,8.539666,
1845.952,-0.02967116,0.1522422,-0.07484795,1.345407,0.2892969,358.4913,0.005047769,-0.02347962,0.9997116,-0.3,3.577464E-09,1.925152,MixedRealityCamera,8.510824,
1845.969,-0.02964411,0.1522047,-0.07455859,1.36622,0.2836845,358.4934,0.0049498,-0.02384278,0.9997035,-0.3,3.577464E-09,1.925441,MixedRealityCamera,8.498609,
1845.985,-0.02961185,0.1521909,-0.07429498,1.378523,0.2695775,358.5065,0.004703636,-0.02405744,0.9996995,-0.3,3.577464E-09,1.925705,MixedRealityCamera,8.481815,
1846.001,-0.02960335,0.1521701,-0.07405251,1.381442,0.2498476,358.5077,0.004359382,-0.02410837,0.9996998,-0.3,3.577464E-09,1.925948,MixedRealityCamera,8.462343,
1846.019,-0.02956429,0.1521244,-0.07383773,1.395437,0.2261098,358.5038,0.003945181,-0.02435255,0.9996957,-0.3,3.577464E-09,1.926162,MixedRealityCamera,8.435823,
1846.035,-0.02950744,0.1521478,-0.07363609,1.417205,0.2060764,358.5023,0.003595604,-0.02473237,0.9996877,-0.3,3.577464E-09,1.926364,MixedRealityCamera,8.411181,
1846.052,-0.02945755,0.1521574,-0.07343969,1.413383,0.1839615,358.4893,0.003209751,-0.02466569,0.9996906,-0.3,3.577464E-09,1.92656,MixedRealityCamera,8.393185,
1846.068,-0.02943658,0.1521408,-0.07328044,1.397131,0.1716883,358.4785,0.002995631,-0.02438211,0.9996982,-0.3,3.577464E-09,1.92672,MixedRealityCamera,8.387779,
1846.085,-0.02938322,0.152168,-0.07315246,1.392561,0.1648564,358.4839,0.002876433,-0.02430238,0.9997005,-0.3,3.577464E-09,1.926848,MixedRealityCamera,8.384642,
1846.101,-0.02940005,0.1522577,-0.07298691,1.337763,0.1517483,358.4626,0.002647783,-0.02334625,0.9997239,-0.3,3.577464E-09,1.927013,MixedRealityCamera,8.392226,
1846.119,-0.02935003,0.1522749,-0.07287365,1.296319,0.1432676,358.4429,0.002499848,-0.02262311,0.999741,-0.3,3.577464E-09,1.927126,MixedRealityCamera,8.400645,
