#NEXT_T1_EU_PW_B2_C2_S3_0205140241
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
2405.341,0.2949167,0.1107226,0.1898795,0.4723719,358.2174,6.138356,-0.0311055,-0.008244352,0.9994821,0.1378858,0.1378858,2.189879,DwellButton,2.980649,
2405.357,0.2947568,0.1107782,0.189907,0.3831422,358.1876,6.11731,-0.03162612,-0.006687043,0.9994774,0.1378858,0.1378858,2.189907,MixedRealityCamera,2.912285,
2405.373,0.2946023,0.1107992,0.1899551,0.3145591,358.1899,6.114915,-0.03158581,-0.005490064,0.999486,0.1378858,0.1378858,2.189955,MixedRealityCamera,2.883576,
2405.391,0.2945192,0.1107826,0.1899711,0.3059874,358.2145,6.143836,-0.03115691,-0.005340463,0.9995002,0.1378858,0.1378858,2.189971,MixedRealityCamera,2.901105,
2405.408,0.2944135,0.1107625,0.1899235,0.3547268,358.2302,6.211455,-0.03088296,-0.00619111,0.9995039,0.1378858,0.1378858,2.189924,MixedRealityCamera,2.931513,
2405.424,0.2943302,0.1107321,0.1899294,0.4034184,358.2406,6.260896,-0.03070137,-0.007040922,0.9995038,0.1378858,0.1378858,2.189929,MixedRealityCamera,2.958235,
2405.44,0.2943012,0.1106909,0.1900185,0.4857936,358.2554,6.287225,-0.0304426,-0.008478597,0.9995006,0.1378858,0.1378858,2.190019,MixedRealityCamera,3.005242,
2405.456,0.29427,0.1106044,0.1900727,0.5557647,358.2791,6.291238,-0.03002947,-0.009699771,0.9995019,0.1378858,0.1378858,2.190073,MixedRealityCamera,3.05691,
2405.474,0.2942029,0.110586,0.1901835,0.6014128,358.2953,6.291057,-0.0297463,-0.01049644,0.9995024,0.1378858,0.1378858,2.190184,MixedRealityCamera,3.090095,
2405.491,0.2941671,0.1105259,0.190341,0.6326663,358.3246,6.285686,-0.02923509,-0.01104189,0.9995116,0.1378858,0.1378858,2.190341,MixedRealityCamera,3.130191,
2405.507,0.2941512,0.1104655,0.1905362,0.6697532,358.3476,6.295279,-0.0288333,-0.01168913,0.9995159,0.1378858,0.1378858,2.190536,MixedRealityCamera,3.167926,
2405.523,0.2941647,0.1103916,0.1907206,0.7003294,358.3672,6.286248,-0.02849108,-0.01222275,0.9995193,0.1378858,0.1378858,2.190721,MixedRealityCamera,3.200818,
2405.542,0.2941804,0.1103981,0.1909926,0.7228958,358.395,6.274868,-0.02800697,-0.01261658,0.9995281,0.1378858,0.1378858,2.190993,MixedRealityCamera,3.236158,
2405.556,0.2942017,0.1103378,0.1912149,0.7429433,358.403,6.244111,-0.02786637,-0.01296644,0.9995276,0.1378858,0.1378858,2.191215,MixedRealityCamera,3.253956,
2405.573,0.2941771,0.1102851,0.1914158,0.7798041,358.4312,6.196135,-0.02737377,-0.01360973,0.9995326,0.1378858,0.1378858,2.191416,MixedRealityCamera,3.296337,
2405.59,0.294167,0.1102812,0.1916429,0.8143239,358.4437,6.159945,-0.02715721,-0.01421215,0.9995301,0.1378858,0.1378858,2.191643,MixedRealityCamera,3.323605,
2405.607,0.294121,0.1103249,0.1918618,0.791005,358.444,6.118676,-0.02715212,-0.0138052,0.999536,0.1378858,0.1378858,2.191862,MixedRealityCamera,3.310857,
2405.624,0.2940379,0.1103888,0.1922012,0.7706993,358.4288,6.10861,-0.0274159,-0.01345083,0.9995336,0.1378858,0.1378858,2.192201,MixedRealityCamera,3.284974,
