#NEXT_T5_EW_PW_B2_C3_S5_0206100839
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
2158.36,-0.1735005,0.1070029,-0.06145396,1.811142,0.4970411,2.642207,0.008670561,-0.03160512,0.9994628,-0.6894292,-0.689429,10,DwellButton,4.368209,
2158.376,-0.1747037,0.1066819,-0.05932324,1.92782,0.496525,2.555772,0.008660983,-0.03364046,0.9993964,-0.6894292,-0.689429,10,MixedRealityCamera,4.290898,
2158.392,-0.1758103,0.1063936,-0.05720671,1.991434,0.5196416,2.465413,0.009063855,-0.03475007,0.999355,-0.6894292,-0.689429,10,MixedRealityCamera,4.266271,
2158.41,-0.1771559,0.1064162,-0.0547561,2.019903,0.6120015,2.391195,0.0106746,-0.03524666,0.9993216,-0.6894292,-0.689429,10,MixedRealityCamera,4.319422,
2158.426,-0.1783819,0.1065938,-0.05238507,2.023824,0.6665264,2.376324,0.01162556,-0.03531504,0.9993086,-0.6894292,-0.689429,10,MixedRealityCamera,4.357794,
2158.443,-0.1798212,0.10661,-0.0498956,2.021858,0.7495424,2.282007,0.01307347,-0.03528076,0.9992919,-0.6894292,-0.689429,10,MixedRealityCamera,4.421554,
2158.46,-0.1812203,0.1065429,-0.04731064,2.006468,0.8635936,2.153066,0.01506274,-0.03501232,0.9992734,-0.6894292,-0.689429,10,MixedRealityCamera,4.518957,
2158.476,-0.1827367,0.1065269,-0.04459412,1.967478,0.9719576,2.096146,0.01695305,-0.03433222,0.9992667,-0.6894292,-0.689429,10,MixedRealityCamera,4.624783,
2158.492,-0.1842464,0.1063328,-0.04186641,1.950714,1.080218,2.03991,0.01884131,-0.0340398,0.9992428,-0.6894292,-0.689429,10,MixedRealityCamera,4.717876,
2158.51,-0.1859442,0.1062913,-0.03908994,1.898284,1.163872,2.009073,0.02030087,-0.03312525,0.999245,-0.6894292,-0.689429,10,MixedRealityCamera,4.809701,
2158.526,-0.1875912,0.1060085,-0.03629804,1.859932,1.256752,1.982438,0.02192114,-0.03245624,0.9992327,-0.6894292,-0.689429,10,MixedRealityCamera,4.901089,
2158.542,-0.189418,0.1055811,-0.0335292,1.856175,1.364846,1.934439,0.0238063,-0.03239071,0.9991917,-0.6894292,-0.689429,10,MixedRealityCamera,4.98527,
2158.559,-0.1911571,0.1050714,-0.03069704,1.876753,1.488624,1.89198,0.02596453,-0.03274967,0.9991263,-0.6894292,-0.689429,10,MixedRealityCamera,5.070684,
2158.576,-0.1930568,0.1046754,-0.027652,1.850913,1.604369,1.861108,0.02798326,-0.0322989,0.9990864,-0.6894292,-0.689429,10,MixedRealityCamera,5.173961,
2158.592,-0.194904,0.1042843,-0.02461922,1.79696,1.711157,1.804243,0.0298462,-0.03135773,0.9990625,-0.6894292,-0.689429,10,MixedRealityCamera,5.284499,
2158.609,-0.1968847,0.1038848,-0.02149168,1.805113,1.827272,1.76119,0.03187069,-0.03149996,0.9989955,-0.6894292,-0.689429,10,MixedRealityCamera,5.37064,
2158.627,-0.1988445,0.1035312,-0.01826704,1.822915,1.925339,1.716981,0.03358017,-0.0318105,0.9989297,-0.6894292,-0.689429,10,MixedRealityCamera,5.43729,
2158.642,-0.2009377,0.1032062,-0.01496116,1.866463,2.002498,1.659864,0.03492453,-0.03257015,0.9988591,-0.6894292,-0.689429,10,MixedRealityCamera,5.473284,
2158.66,-0.2032003,0.1028177,-0.01131953,1.939488,1.969974,1.637219,0.03435606,-0.03384398,0.9988365,-0.6894292,-0.689429,10,MixedRealityCamera,5.39888,
