eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1595556727.030566,"{'circle_3d': {'center': [1.2105827780842042, 6.3362896923121745, 71.52196505181917], 'normal': [-0.11600756075101755, 0.6726561634103927, -0.7308049888134386], 'radius': 1.9704399927017946}, 'confidence': 0.9968171937011219, 'timestamp': 274568.481973, 'diameter_3d': 3.940879985403589, 'ellipse': {'center': [170.53775968849678, 174.71519517855216], 'axes': [22.995439709366956, 34.18287001003987], 'angle': -81.74110176924523}, 'location': [170.53775968849678, 174.71519517855216], 'diameter': 34.18287001003987, 'sphere': {'center': [2.602673507096415, -1.7355842686125382, 80.29162491758042], 'radius': 12.0}, 'projected_sphere': {'center': [180.0974581851619, 106.59807610514353], 'axes': [185.32443471251656, 185.32443471251656], 'angle': 90.0}, 'model_confidence': 0.9329613347307641, 'model_id': 97, 'model_birth_timestamp': 274329.933622, 'theta': 2.3085889115600975, 'phi': -1.7282222340986753, 'norm_pos': [0.5329304990265524, 0.272020020089366], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556727.038506,"{'circle_3d': {'center': [1.1928094031477277, 6.355686275940959, 71.54270360217028], 'normal': [-0.11748867532905727, 0.6742725453794581, -0.7290767762841784], 'radius': 1.9465615026174183}, 'confidence': 0.9295400780980834, 'timestamp': 274568.490373, 'diameter_3d': 3.8931230052348367, 'ellipse': {'center': [170.3799839469035, 174.87274285740295], 'axes': [22.64119122267668, 33.75867517285037], 'angle': -81.63084772396184}, 'location': [170.3799839469035, 174.87274285740295], 'diameter': 33.75867517285037, 'sphere': {'center': [2.602673507096415, -1.7355842686125382, 80.29162491758042], 'radius': 12.0}, 'projected_sphere': {'center': [180.0974581851619, 106.59807610514353], 'axes': [185.32443471251656, 185.32443471251656], 'angle': 90.0}, 'model_confidence': 0.9325409633658799, 'model_id': 97, 'model_birth_timestamp': 274329.933622, 'theta': 2.3107755187286205, 'phi': -1.7305699454108825, 'norm_pos': [0.5324374498340735, 0.2713635714274877], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556727.046311,"{'circle_3d': {'center': [1.1975923071478365, 6.345548636394479, 71.53257030003385], 'normal': [-0.11709009999571486, 0.6734277420839181, -0.729921218128881], 'radius': 1.9486611589691154}, 'confidence': 0.8427465422449343, 'timestamp': 274568.498773, 'diameter_3d': 3.897322317938231, 'ellipse': {'center': [170.42292555030429, 174.79211761994515], 'axes': [22.70285884787462, 33.79988679870005], 'angle': -81.656358150817}, 'location': [170.42292555030429, 174.79211761994515], 'diameter': 33.79988679870005, 'sphere': {'center': [2.602673507096415, -1.7355842686125382, 80.29162491758042], 'radius': 12.0}, 'projected_sphere': {'center': [180.0974581851619, 106.59807610514353], 'axes': [185.32443471251656, 185.32443471251656], 'angle': 90.0}, 'model_confidence': 0.932370671747218, 'model_id': 97, 'model_birth_timestamp': 274329.933622, 'theta': 2.309632143446262, 'phi': -1.72985592051211, 'norm_pos': [0.5325716423447009, 0.2716995099168952], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556727.0547469,"{'circle_3d': {'center': [1.1873079148930357, 6.3692697482266265, 71.55617520928647], 'normal': [-0.11794713268361492, 0.6754045014032637, -0.7279541423578292], 'radius': 1.960795022168283}, 'confidence': 0.9979449601821347, 'timestamp': 274568.507173, 'diameter_3d': 3.921590044336566, 'ellipse': {'center': [170.33107302107695, 174.97718703812393], 'axes': [22.757009595911825, 33.999213771940724], 'angle': -81.60321013979427}, 'location': [170.33107302107695, 174.97718703812393], 'diameter': 33.999213771940724, 'sphere': {'center': [2.602673507096415, -1.7355842686125382, 80.29162491758042], 'radius': 12.0}, 'projected_sphere': {'center': [180.0974581851619, 106.59807610514353], 'axes': [185.32443471251656, 185.32443471251656], 'angle': 90.0}, 'model_confidence': 0.931396806225826, 'model_id': 97, 'model_birth_timestamp': 274329.933622, 'theta': 2.312309406870277, 'phi': -1.73142590242951, 'norm_pos': [0.5322846031908655, 0.2709283873411503], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556727.062452,"{'circle_3d': {'center': [1.196620340068612, 6.37159435978052, 71.55682845865718], 'normal': [-0.1171710972523169, 0.6755982190327549, -0.7278997049102698], 'radius': 1.9659081385768098}, 'confidence': 0.9378185877575418, 'timestamp': 274568.515573, 'diameter_3d': 3.9318162771536196, 'ellipse': {'center': [170.41165492196933, 174.99569564940214], 'axes': [22.813076071586956, 34.08762507476268], 'angle': -81.67112069009971}, 'location': [170.41165492196933, 174.99569564940214], 'diameter': 34.08762507476268, 'sphere': {'center': [2.602673507096415, -1.7355842686125382, 80.29162491758042], 'radius': 12.0}, 'projected_sphere': {'center': [180.0974581851619, 106.59807610514353], 'axes': [185.32443471251656, 185.32443471251656], 'angle': 90.0}, 'model_confidence': 0.9312976917325022, 'model_id': 97, 'model_birth_timestamp': 274329.933622, 'theta': 2.312572125165706, 'phi': -1.7303986820239645, 'norm_pos': [0.5325364216311541, 0.27085126812749105], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556727.0701592,"{'circle_3d': {'center': [1.1834633404828703, 6.360152929563789, 71.54834854535903], 'normal': [-0.11826751388446205, 0.6746447665146938, -0.7286063643517829], 'radius': 1.9677314573772222}, 'confidence': 0.9830677850246665, 'timestamp': 274568.523973, 'diameter_3d': 3.9354629147544444, 'ellipse': {'center': [170.2993289409715, 174.90267853573312], 'axes': [22.867291578690594, 34.123236182518305], 'angle': -81.56831323640083}, 'location': [170.2993289409715, 174.90267853573312], 'diameter': 34.123236182518305, 'sphere': {'center': [2.602673507096415, -1.7355842686125382, 80.29162491758042], 'radius': 12.0}, 'projected_sphere': {'center': [180.0974581851619, 106.59807610514353], 'axes': [185.32443471251656, 185.32443471251656], 'angle': 90.0}, 'model_confidence': 0.9309305891066266, 'model_id': 97, 'model_birth_timestamp': 274329.933622, 'theta': 2.311279669870204, 'phi': -1.7317130294467316, 'norm_pos': [0.532185402940536, 0.2712388394344454], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556727.0819101,"{'circle_3d': {'center': [1.1825341393969282, 6.328408069444201, 71.51921180897271], 'normal': [-0.11834494730829055, 0.6719993615047283, -0.7310344257173088], 'radius': 1.9700978467082815}, 'confidence': 0.8491488897127828, 'timestamp': 274568.532373, 'diameter_3d': 3.940195693416563, 'ellipse': {'center': [170.2957264660172, 174.64915722209494], 'axes': [23.004431389899583, 34.1781491787424], 'angle': -81.53482673391653}, 'location': [170.2957264660172, 174.64915722209494], 'diameter': 34.1781491787424, 'sphere': {'center': [2.602673507096415, -1.7355842686125382, 80.29162491758042], 'radius': 12.0}, 'projected_sphere': {'center': [180.0974581851619, 106.59807610514353], 'axes': [185.32443471251656, 185.32443471251656], 'angle': 90.0}, 'model_confidence': 0.9308119227008693, 'model_id': 97, 'model_birth_timestamp': 274329.933622, 'theta': 2.3077016453745554, 'phi': -1.7312909136767582, 'norm_pos': [0.5321741452063037, 0.27229517824127103], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556727.090646,"{'circle_3d': {'center': [1.2008360528730846, 6.363866559840401, 71.54898526874382], 'normal': [-0.11681978785194419, 0.6749542357044116, -0.7285533040697162], 'radius': 1.9815294395610998}, 'confidence': 0.9992284499142803, 'timestamp': 274568.540773, 'diameter_3d': 3.9630588791221997, 'ellipse': {'center': [170.4499486356799, 174.93132540131137], 'axes': [23.023711742423817, 34.362352215392946], 'angle': -81.69462502034594}, 'location': [170.4499486356799, 174.93132540131137], 'diameter': 34.362352215392946, 'sphere': {'center': [2.602673507096415, -1.7355842686125382, 80.29162491758042], 'radius': 12.0}, 'projected_sphere': {'center': [180.0974581851619, 106.59807610514353], 'axes': [185.32443471251656, 185.32443471251656], 'angle': 90.0}, 'model_confidence': 0.930409603518012, 'model_id': 97, 'model_birth_timestamp': 274329.933622, 'theta': 2.311699004197641, 'phi': -1.729787836623623, 'norm_pos': [0.5326560894864997, 0.2711194774945359], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556727.098742,"{'circle_3d': {'center': [1.166496782198732, 6.336235943118899, 71.52902742115586], 'normal': [-0.11968139374147357, 0.672651684310953, -0.7302164580353804], 'radius': 1.9619685864704104}, 'confidence': 0.8917627281961503, 'timestamp': 274568.549173, 'diameter_3d': 3.923937172940821, 'ellipse': {'center': [170.15530373011313, 174.7113866394431], 'axes': [22.874171089060233, 34.03236315954293], 'angle': -81.42745034550464}, 'location': [170.15530373011313, 174.7113866394431], 'diameter': 34.03236315954293, 'sphere': {'center': [2.602673507096415, -1.7355842686125382, 80.29162491758042], 'radius': 12.0}, 'projected_sphere': {'center': [180.0974581851619, 106.59807610514353], 'axes': [185.32443471251656, 185.32443471251656], 'angle': 90.0}, 'model_confidence': 0.930273714613461, 'model_id': 97, 'model_birth_timestamp': 274329.933622, 'theta': 2.3085828583731396, 'phi': -1.733250465275369, 'norm_pos': [0.5317353241566035, 0.27203588900232034], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556727.106346,"{'circle_3d': {'center': [1.1581817423479506, 6.367760203208157, 71.55954315475967], 'normal': [-0.12037431372903869, 0.6752787059850578, -0.7276734802350631], 'radius': 1.956191844652935}, 'confidence': 0.9983756140843102, 'timestamp': 274568.557573, 'diameter_3d': 3.91238368930587, 'ellipse': {'center': [170.07874514652977, 174.9626547776881], 'axes': [22.693695108266706, 33.91768212137097], 'angle': -81.39567320633897}, 'location': [170.07874514652977, 174.9626547776881], 'diameter': 33.91768212137097, 'sphere': {'center': [2.602673507096415, -1.7355842686125382, 80.29162491758042], 'radius': 12.0}, 'projected_sphere': {'center': [180.0974581851619, 106.59807610514353], 'axes': [185.32443471251656, 185.32443471251656], 'angle': 90.0}, 'model_confidence': 0.9296584642793593, 'model_id': 97, 'model_birth_timestamp': 274329.933622, 'theta': 2.3121388379819936, 'phi': -1.7347352197876968, 'norm_pos': [0.5314960785829055, 0.27098893842629956], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556727.115608,"{'circle_3d': {'center': [1.1715604754882365, 6.382709305464704, 71.57123358829608], 'normal': [-0.11925941930068153, 0.6765244645064368, -0.7266992774403613], 'radius': 1.9515645794254355}, 'confidence': 0.9930706180480107, 'timestamp': 274568.565973, 'diameter_3d': 3.903129158850871, 'ellipse': {'center': [170.19240211829424, 175.0841814087177], 'axes': [22.59527043585227, 33.83196149140951], 'angle': -81.50308308675473}, 'location': [170.19240211829424, 175.0841814087177], 'diameter': 33.83196149140951, 'sphere': {'center': [2.602673507096415, -1.7355842686125382, 80.29162491758042], 'radius': 12.0}, 'projected_sphere': {'center': [180.0974581851619, 106.59807610514353], 'axes': [185.32443471251656, 185.32443471251656], 'angle': 90.0}, 'model_confidence': 0.9292102161912563, 'model_id': 97, 'model_birth_timestamp': 274329.933622, 'theta': 2.313829167359438, 'phi': -1.7334574831953513, 'norm_pos': [0.5318512566196695, 0.2704825774636762], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
